step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.487,1.269322,0.225940,0.194637,0.257243,20,0.00000000,0,0.183579,0.184529,0.182629,0.590159,0.555440,0.624878,0.267388,0.230553,0.304224,0.000000,0.000000,0.676361,0.592961,0.050000,0,0,0,0,0
25,27.017,0.760261,0.451439,0.416975,0.485903,20,0.00002622,0,0.151848,0.168539,0.135158,0.773093,0.742998,0.803188,0.519414,0.487252,0.551576,0.000000,0.000000,0.412522,0.347721,0.050000,0,0,0,0,0
50,196.027,0.547536,0.570984,0.548242,0.593727,20,0.00003576,0,0.164270,0.198142,0.130399,0.802788,0.768259,0.837316,0.664010,0.656871,0.671148,0.000000,0.000000,0.291766,0.255745,0.050000,0,0,0,0,0
75,222.811,0.428028,0.648244,0.601579,0.694908,20,0.00017170,0,0.165000,0.217805,0.112195,0.822033,0.770831,0.873236,0.752740,0.732606,0.772873,0.000000,0.000000,0.247951,0.179957,0.050000,0,0,0,0,0
100,394.867,0.356317,0.700657,0.633598,0.767717,20,0.00033001,3,0.156538,0.225151,0.087924,0.839960,0.775165,0.904756,0.805735,0.776253,0.835217,0.000000,0.000000,0.223897,0.132189,0.050000,0,0,0,0,0
125,421.715,0.320466,0.727510,0.647453,0.807566,20,0.00071335,3,0.139670,0.225799,0.053540,0.859653,0.778508,0.940797,0.822225,0.793647,0.850803,0.000000,0.000000,0.213393,0.106574,0.050000,0,0,0,0,0
150,593.494,0.289415,0.752969,0.663462,0.842476,20,0.00070767,2,0.122014,0.213807,0.030220,0.878279,0.790205,0.966353,0.836626,0.805315,0.867936,0.000000,0.000000,0.202185,0.086734,0.050000,0,0,0,0,0
175,620.095,0.264014,0.773384,0.673742,0.873025,20,0.00040521,4,0.110121,0.196089,0.024152,0.888995,0.804292,0.973698,0.849983,0.805856,0.894111,0.000000,0.000000,0.194353,0.069377,0.050000,0,0,0,0,0
200,791.576,0.236465,0.795811,0.691321,0.900301,20,0.00025678,3,0.106924,0.187554,0.026294,0.893182,0.814033,0.972330,0.872477,0.820981,0.923974,0.000000,0.000000,0.182346,0.053940,0.050000,0,0,0,0,0
225,818.410,0.223144,0.807273,0.695688,0.918859,20,0.00034853,1,0.098854,0.180099,0.017609,0.900806,0.820095,0.981516,0.878010,0.820981,0.935039,0.000000,0.000000,0.178893,0.044008,0.050000,0,0,0,0,0
250,991.463,0.210340,0.818892,0.699926,0.937858,20,0.00046239,0,0.095191,0.173725,0.016657,0.904138,0.825445,0.982831,0.887501,0.821521,0.953480,0.000000,0.000000,0.175924,0.034092,0.050000,0,0,0,0,0
275,1018.355,0.205390,0.823640,0.701559,0.945722,20,0.00070105,0,0.095365,0.171456,0.019274,0.903892,0.827387,0.980397,0.892898,0.821845,0.963950,0.000000,0.000000,0.175144,0.029755,0.050000,0,0,0,0,0
300,1186.947,0.198860,0.828969,0.706007,0.951930,20,0.00061354,0,0.093112,0.168971,0.017252,0.906276,0.830055,0.982496,0.896827,0.825303,0.968352,0.000000,0.000000,0.172357,0.026074,0.050000,0,0,0,0,0
325,1214.026,0.187654,0.837203,0.719073,0.955334,20,0.00059868,0,0.087762,0.160653,0.014872,0.911736,0.838580,0.984892,0.902068,0.834594,0.969542,0.000000,0.000000,0.162890,0.024345,0.050000,0,0,0,0,0
350,1381.499,0.183453,0.840744,0.725100,0.956389,20,0.00060236,0,0.090463,0.166054,0.014872,0.910376,0.835843,0.984909,0.908059,0.845506,0.970613,0.000000,0.000000,0.159175,0.023856,0.050000,0,0,0,0,0
375,1408.093,0.172661,0.847640,0.740085,0.955194,20,0.00056927,0,0.091480,0.165946,0.017014,0.910747,0.838706,0.982788,0.917173,0.862900,0.971446,0.000000,0.000000,0.148512,0.023751,0.050000,0,0,0,0,0
400,1576.391,0.170609,0.849963,0.742945,0.956980,20,0.00055767,0,0.089388,0.163786,0.014991,0.912770,0.840740,0.984801,0.917977,0.864628,0.971327,0.000000,0.000000,0.146776,0.023442,0.050000,0,0,0,0,0
425,1602.539,0.167856,0.852949,0.747745,0.958153,20,0.00057880,0,0.088470,0.161949,0.014991,0.913854,0.842889,0.984819,0.920679,0.868842,0.972516,0.000000,0.000000,0.144867,0.022584,0.050000,0,0,0,0,0
450,1768.303,0.165185,0.855228,0.749651,0.960805,20,0.00056017,0,0.089314,0.161733,0.016895,0.913190,0.843377,0.983002,0.923966,0.870895,0.977037,0.000000,0.000000,0.143322,0.021471,0.050000,0,0,0,0,0
475,1794.288,0.159804,0.859222,0.752169,0.966276,20,0.00032310,0,0.087169,0.158276,0.016062,0.915081,0.846259,0.983904,0.926508,0.871219,0.981797,0.000000,0.000000,0.140800,0.018779,0.050000,0,0,0,0,0
500,1963.724,0.159360,0.860114,0.753546,0.966682,20,0.00036450,1,0.087732,0.157736,0.017728,0.914590,0.846880,0.982300,0.928113,0.872407,0.983819,0.000000,0.000000,0.140997,0.018108,0.050000,0,0,0,0,0
525,1990.254,0.157568,0.861283,0.754624,0.967942,20,0.00033713,1,0.086775,0.156655,0.016895,0.915479,0.847833,0.983125,0.928567,0.872839,0.984295,0.000000,0.000000,0.139234,0.018098,0.050000,0,0,0,0,0
