step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.111,1.427316,0.288066,0.266100,0.310032,20,0.00024157,0,0.198721,0.185204,0.212239,0.634560,0.630027,0.639094,0.345608,0.315383,0.375833,0.000000,0.000000,0.735407,0.691740,0.050000,0,0,0,0,0
25,28.986,0.901739,0.551008,0.533611,0.568404,20,0.00029392,3,0.149437,0.127999,0.170875,0.810170,0.824638,0.795703,0.633722,0.601912,0.665531,0.000000,0.000000,0.468582,0.432952,0.050000,0,0,0,0,0
50,202.248,0.563254,0.718681,0.745345,0.692016,22,0.00107046,1,0.150420,0.117262,0.183579,0.846735,0.876567,0.816904,0.825901,0.832746,0.819055,0.000000,0.000000,0.254892,0.307612,0.050000,1,1,0,0,0
75,231.577,0.434349,0.783099,0.802366,0.763832,22,0.00068349,2,0.121408,0.106022,0.136793,0.878591,0.893279,0.863903,0.877877,0.887435,0.868319,0.000000,0.000000,0.198325,0.235546,0.050000,1,1,0,0,0
100,405.098,0.364288,0.818026,0.836998,0.799053,20,0.00049988,2,0.101698,0.090924,0.112471,0.898563,0.909440,0.887686,0.901013,0.913102,0.888923,0.000000,0.000000,0.162800,0.201138,0.050000,1,1,2,0,0
125,431.649,0.335938,0.832459,0.854749,0.810169,20,0.00089690,2,0.088925,0.081027,0.096824,0.910562,0.919379,0.901745,0.906310,0.924006,0.888613,0.000000,0.000000,0.145375,0.189935,0.050000,1,1,2,0,0
150,598.914,0.302257,0.849667,0.864417,0.834917,20,0.00133782,3,0.083156,0.073981,0.092332,0.917130,0.926192,0.908067,0.920187,0.928368,0.912006,0.000000,0.000000,0.136013,0.165307,0.050000,1,1,2,0,0
175,625.074,0.291619,0.855378,0.862031,0.848724,20,0.00124066,2,0.079457,0.078510,0.080403,0.920757,0.922130,0.919385,0.923337,0.929710,0.916964,0.000000,0.000000,0.138122,0.152629,0.050000,1,1,2,0,0
200,791.713,0.279949,0.861521,0.878446,0.844596,20,0.00089812,2,0.082266,0.070961,0.093571,0.918937,0.929862,0.908011,0.932203,0.940782,0.923625,0.000000,0.000000,0.122346,0.156974,0.050000,1,1,2,0,0
225,817.939,0.272322,0.865190,0.887171,0.843209,20,0.00111280,1,0.081887,0.063077,0.100697,0.919718,0.937312,0.902123,0.935624,0.943130,0.928118,0.000000,0.000000,0.113403,0.158140,0.050000,1,1,2,0,0
250,987.175,0.262929,0.870208,0.900813,0.839603,20,0.00132028,2,0.079914,0.052005,0.107823,0.922049,0.947978,0.896119,0.938896,0.947660,0.930132,0.000000,0.000000,0.100883,0.161122,0.050000,1,1,2,0,0
275,1013.648,0.248974,0.877150,0.905564,0.848737,20,0.00155972,2,0.072105,0.046301,0.097909,0.929165,0.953410,0.904920,0.939664,0.947492,0.931836,0.000000,0.000000,0.094733,0.153149,0.050000,1,1,2,0,0
300,1182.226,0.240877,0.881066,0.916214,0.845918,20,0.00163458,4,0.081586,0.051166,0.112006,0.921576,0.949553,0.893598,0.951880,0.963093,0.940666,0.000000,0.000000,0.084269,0.155464,0.050000,1,1,2,0,0
325,1208.874,0.224579,0.888690,0.921745,0.855635,20,0.00175354,3,0.073570,0.046133,0.101007,0.928753,0.954342,0.903164,0.953164,0.964268,0.942060,0.000000,0.000000,0.079062,0.144289,0.050000,1,1,2,0,0
350,1377.676,0.220521,0.891473,0.923337,0.859609,20,0.00198319,4,0.069220,0.043785,0.094655,0.932572,0.956543,0.908601,0.952370,0.963764,0.940976,0.000000,0.000000,0.077451,0.141682,0.050000,1,1,2,0,0
375,1404.242,0.219310,0.893178,0.926582,0.859773,20,0.00192533,3,0.067833,0.041939,0.093726,0.933866,0.958368,0.909363,0.952899,0.965442,0.940356,0.000000,0.000000,0.076419,0.141543,0.050000,1,1,2,0,0
400,1571.195,0.215449,0.894321,0.927539,0.861103,20,0.00212482,2,0.069698,0.044120,0.095275,0.932339,0.956428,0.908250,0.955803,0.968462,0.943145,0.000000,0.000000,0.073630,0.140332,0.050000,1,1,2,0,0
425,1597.463,0.221181,0.890359,0.925124,0.855593,20,0.00196298,2,0.072957,0.046301,0.099613,0.929304,0.954350,0.904258,0.954390,0.967958,0.940821,0.000000,0.000000,0.074612,0.145195,0.050000,1,1,2,0,0
450,1764.630,0.217502,0.893152,0.923976,0.862328,20,0.00151999,2,0.070394,0.048146,0.092641,0.931560,0.952640,0.910479,0.955339,0.968462,0.942215,0.000000,0.000000,0.075902,0.140537,0.050000,1,1,2,0,0
475,1790.955,0.221476,0.889927,0.914772,0.865082,20,0.00129457,2,0.078093,0.055024,0.101162,0.925030,0.946062,0.903999,0.958851,0.965107,0.952595,0.000000,0.000000,0.084630,0.135940,0.050000,1,1,2,0,0
500,1956.131,0.215394,0.893203,0.918902,0.867504,20,0.00127504,2,0.074369,0.050830,0.097909,0.928388,0.949992,0.906785,0.959025,0.965610,0.952440,0.000000,0.000000,0.081252,0.133250,0.050000,1,1,2,0,0
525,1982.188,0.214240,0.894171,0.912738,0.875605,20,0.00150877,2,0.069057,0.049656,0.088459,0.932896,0.950724,0.915068,0.955560,0.958061,0.953060,0.000000,0.000000,0.087850,0.125334,0.050000,1,1,2,0,0
550,2149.542,0.202765,0.900432,0.920989,0.879875,20,0.00139420,1,0.066541,0.044623,0.088459,0.935560,0.955674,0.915445,0.959897,0.962087,0.957707,0.000000,0.000000,0.079433,0.122356,0.050000,1,1,2,0,1
575,2175.812,0.186065,0.907966,0.938159,0.877773,20,0.00115577,2,0.064955,0.033551,0.096359,0.937770,0.966555,0.908984,0.965995,0.969636,0.962355,0.000000,0.000000,0.062070,0.123186,0.050000,1,1,2,0,1
