step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.988,0.879408,0.287914,0.266884,0.308944,20,0.00024157,0,0.195669,0.182352,0.208985,0.637492,0.633760,0.641223,0.344530,0.315551,0.373509,0.000000,0.000000,0.454359,0.424880,0.050000,0,0,0,0,0
25,26.970,0.440598,0.507248,0.504660,0.509836,20,0.00021524,2,0.107012,0.080020,0.134005,0.841907,0.871981,0.811834,0.561600,0.545043,0.578156,0.000000,0.000000,0.203989,0.236459,0.050000,0,0,0,0,0
50,187.028,0.287252,0.652542,0.662177,0.642907,20,0.00009157,0,0.087917,0.058715,0.117119,0.891256,0.922720,0.859792,0.709630,0.701057,0.718203,0.000000,0.000000,0.121363,0.165825,0.050000,0,0,0,0,0
75,211.701,0.220853,0.742733,0.758360,0.727106,20,0.00014210,2,0.081596,0.063580,0.099613,0.908074,0.926933,0.889214,0.803056,0.806576,0.799535,0.000000,0.000000,0.094688,0.126065,0.050000,0,0,0,0,0
100,366.612,0.186679,0.771877,0.787025,0.756730,20,0.00014952,0,0.068222,0.060225,0.076220,0.923552,0.932683,0.914420,0.824416,0.834424,0.814407,0.000000,0.000000,0.083682,0.102893,0.050000,0,0,0,0,0
125,390.858,0.159485,0.799346,0.815920,0.782773,20,0.00034866,1,0.058213,0.051669,0.064756,0.935556,0.943205,0.927906,0.845770,0.858078,0.833462,0.000000,0.000000,0.070475,0.088766,0.050000,0,0,0,0,0
150,547.811,0.136208,0.823545,0.843046,0.804045,20,0.00014774,1,0.049559,0.042107,0.057010,0.945700,0.954264,0.937137,0.864214,0.878544,0.849884,0.000000,0.000000,0.058079,0.078026,0.050000,0,0,0,0,0
175,572.163,0.126486,0.829965,0.846914,0.813015,20,0.00003623,1,0.043886,0.035565,0.052208,0.951756,0.961029,0.942482,0.866247,0.877034,0.855461,0.000000,0.000000,0.053407,0.073054,0.050000,0,0,0,0,0
200,724.194,0.121467,0.839662,0.860114,0.819210,19,0.00009440,1,0.043693,0.032545,0.054841,0.952487,0.964650,0.940324,0.876121,0.888106,0.864136,0.000000,0.000000,0.048557,0.072844,0.050000,0,0,1,0,0
225,747.154,0.117547,0.848604,0.871762,0.825446,19,0.00001491,1,0.043441,0.036068,0.050813,0.953130,0.961600,0.944660,0.885297,0.903204,0.867390,0.000000,0.000000,0.048325,0.069212,0.050000,0,0,1,0,0
250,892.658,0.112433,0.852574,0.878798,0.826350,19,0.00001596,1,0.041292,0.032545,0.050039,0.955426,0.965376,0.945476,0.887549,0.907398,0.867699,0.000000,0.000000,0.044825,0.067597,0.050000,0,0,1,0,0
275,915.558,0.110185,0.854377,0.874187,0.834566,19,0.00001210,1,0.039491,0.032042,0.046940,0.957359,0.965703,0.949016,0.887969,0.902198,0.873741,0.000000,0.000000,0.045183,0.064994,0.050000,0,0,1,0,0
300,1062.779,0.109926,0.849490,0.864490,0.834490,19,0.00003450,1,0.038388,0.027512,0.049264,0.958346,0.969958,0.946734,0.881937,0.888274,0.875600,0.000000,0.000000,0.044998,0.064905,0.050000,0,0,1,0,0
325,1085.758,0.109098,0.858031,0.874041,0.842020,19,0.00010603,0,0.040195,0.028183,0.052208,0.956973,0.969593,0.944353,0.892327,0.898675,0.885980,0.000000,0.000000,0.042839,0.066184,0.050000,0,0,1,0,0
350,1233.912,0.102790,0.866342,0.883880,0.848803,19,0.00010503,1,0.037678,0.027177,0.048180,0.959783,0.970936,0.948629,0.898800,0.907901,0.889698,0.000000,0.000000,0.040160,0.062557,0.050000,0,0,1,0,0
375,1256.633,0.100815,0.867669,0.883464,0.851874,19,0.00034164,1,0.038278,0.030700,0.045856,0.959218,0.967385,0.951050,0.900761,0.910585,0.890937,0.000000,0.000000,0.042204,0.058371,0.050000,0,0,1,0,0
400,1397.272,0.095430,0.873206,0.893645,0.852766,18,0.00019879,1,0.034257,0.026841,0.041673,0.963385,0.971581,0.955189,0.902967,0.917631,0.888304,0.000000,0.000000,0.037868,0.057423,0.050000,0,0,2,0,0
425,1419.120,0.099715,0.870897,0.895209,0.846586,18,0.00016970,2,0.038769,0.029357,0.048180,0.958813,0.969125,0.948501,0.904432,0.921490,0.887374,0.000000,0.000000,0.038319,0.061277,0.050000,0,0,2,0,0
450,1560.118,0.095795,0.874170,0.901457,0.846883,18,0.00013030,1,0.035497,0.024828,0.046166,0.962151,0.973828,0.950474,0.904909,0.923838,0.885980,0.000000,0.000000,0.035257,0.060447,0.050000,0,0,2,0,0
475,1582.077,0.100263,0.869141,0.893277,0.845006,18,0.00008722,1,0.038252,0.028015,0.048490,0.959253,0.970395,0.948110,0.902141,0.918302,0.885980,0.000000,0.000000,0.037755,0.062447,0.050000,0,0,2,0,0
500,1720.635,0.095368,0.870143,0.887092,0.853195,18,0.00008585,0,0.034638,0.026673,0.042603,0.962921,0.971546,0.954296,0.900148,0.910753,0.889543,0.000000,0.000000,0.038679,0.056628,0.050000,0,0,2,0,0
525,1742.197,0.096034,0.865081,0.880229,0.849933,18,0.00015927,0,0.033631,0.026673,0.040589,0.963726,0.971331,0.956121,0.894069,0.903707,0.884431,0.000000,0.000000,0.040049,0.055873,0.050000,0,0,2,0,0
550,1880.995,0.093868,0.869948,0.886981,0.852915,18,0.00007087,0,0.033670,0.025667,0.041673,0.963879,0.972561,0.955197,0.899103,0.909747,0.888459,0.000000,0.000000,0.038093,0.055725,0.050000,0,0,2,0,0
575,1902.526,0.092523,0.874657,0.891596,0.857718,18,0.00007955,0,0.032366,0.026002,0.038730,0.965351,0.972361,0.958340,0.902858,0.914779,0.890937,0.000000,0.000000,0.037679,0.054788,0.050000,0,0,2,0,0
600,2041.538,0.086888,0.875231,0.888617,0.861846,18,0.00008234,0,0.028848,0.027177,0.030519,0.968933,0.971087,0.966779,0.900458,0.912766,0.888149,0.000000,0.000000,0.038617,0.048213,0.050000,0,0,2,0,0
625,2063.224,0.092205,0.873620,0.889415,0.857825,18,0.00008177,0,0.032714,0.027009,0.038420,0.964967,0.971281,0.958653,0.902110,0.913437,0.890782,0.000000,0.000000,0.039136,0.053012,0.050000,0,0,2,0,0
650,2198.469,0.080259,0.879283,0.885471,0.873095,17,0.00010372,1,0.025989,0.025331,0.026646,0.971994,0.972856,0.971131,0.902130,0.907901,0.896359,0.000000,0.000000,0.038575,0.041611,0.050000,0,0,3,0,0
675,2219.196,0.081279,0.879916,0.885887,0.873945,17,0.00006941,0,0.026040,0.024660,0.027421,0.971959,0.973552,0.970367,0.902821,0.907734,0.897909,0.000000,0.000000,0.038096,0.043134,0.050000,0,0,3,0,0
700,2352.260,0.080466,0.881354,0.886505,0.876203,17,0.00006504,0,0.027112,0.024325,0.029899,0.970921,0.973911,0.967930,0.905235,0.908069,0.902401,0.000000,0.000000,0.037535,0.042886,0.050000,0,0,3,0,0
725,2372.921,0.081007,0.882397,0.888271,0.876523,17,0.00010145,0,0.027777,0.025499,0.030054,0.970277,0.972770,0.967785,0.906893,0.910921,0.902866,0.000000,0.000000,0.038218,0.042718,0.050000,0,0,3,0,0
750,2506.796,0.075590,0.886467,0.887379,0.885554,17,0.00008888,0,0.023413,0.024828,0.021998,0.974847,0.973424,0.976270,0.907223,0.909411,0.905035,0.000000,0.000000,0.037862,0.037666,0.050000,0,0,3,0,0
775,2527.372,0.076194,0.883884,0.885780,0.881988,17,0.00006935,0,0.023891,0.025164,0.022618,0.974286,0.973036,0.975536,0.905003,0.908069,0.901936,0.000000,0.000000,0.038472,0.037673,0.050000,0,0,3,0,0
800,2660.348,0.073395,0.886219,0.888907,0.883530,17,0.00010901,1,0.023433,0.025331,0.021534,0.974828,0.972958,0.976697,0.906990,0.911424,0.902556,0.000000,0.000000,0.037830,0.035488,0.050000,0,0,3,0,0
825,2681.103,0.072683,0.885573,0.882747,0.888399,17,0.00010525,0,0.022367,0.025835,0.018900,0.975905,0.972262,0.979547,0.905371,0.905553,0.905190,0.000000,0.000000,0.039209,0.033400,0.050000,0,0,3,0,0
850,2814.846,0.070999,0.886635,0.884162,0.889109,17,0.00013439,0,0.021883,0.025331,0.018435,0.976432,0.972817,0.980047,0.906029,0.906559,0.905500,0.000000,0.000000,0.038555,0.032350,0.050000,0,0,3,0,0
875,2835.729,0.069684,0.891333,0.889053,0.893614,17,0.00014651,3,0.020792,0.025164,0.016421,0.977687,0.973133,0.982242,0.909856,0.911424,0.908288,0.000000,0.000000,0.037640,0.031942,0.050000,0,0,3,0,0
900,2971.564,0.069900,0.894051,0.892396,0.895706,17,0.00011435,0,0.021670,0.025835,0.017506,0.976854,0.972554,0.981154,0.913418,0.915450,0.911387,0.000000,0.000000,0.037272,0.032548,0.050000,0,0,3,0,0
925,2992.476,0.073303,0.895374,0.898463,0.892284,17,0.00019988,1,0.025007,0.026002,0.024012,0.973480,0.972566,0.974393,0.917768,0.921825,0.913710,0.000000,0.000000,0.036405,0.036758,0.050000,0,0,3,0,0
950,3125.459,0.072338,0.895259,0.898774,0.891745,17,0.00011903,0,0.025233,0.025835,0.024632,0.973246,0.972743,0.973749,0.917852,0.921993,0.913710,0.000000,0.000000,0.036254,0.036000,0.050000,0,0,3,0,0
975,3146.517,0.066707,0.896002,0.897042,0.894962,17,0.00010624,1,0.020611,0.026506,0.014717,0.978036,0.972021,0.984052,0.914476,0.920819,0.908133,0.000000,0.000000,0.036795,0.029838,0.050000,0,0,3,0,0
1000,3282.298,0.065120,0.899972,0.900066,0.899878,17,0.00014378,1,0.020283,0.023989,0.016576,0.978417,0.974632,0.982202,0.918226,0.921657,0.914795,0.000000,0.000000,0.034820,0.030200,0.050000,0,0,3,0,0
1025,3303.037,0.068233,0.900464,0.901505,0.899423,17,0.00009873,2,0.022503,0.025331,0.019675,0.976162,0.973326,0.978998,0.920730,0.924342,0.917119,0.000000,0.000000,0.034836,0.033327,0.050000,0,0,3,0,1
1050,3438.281,0.068555,0.898263,0.899149,0.897378,17,0.00013565,1,0.023329,0.024660,0.021998,0.975253,0.973932,0.976575,0.919220,0.921322,0.917119,0.000000,0.000000,0.034853,0.033607,0.050000,0,0,3,0,1
1075,3459.402,0.067382,0.901422,0.903147,0.899697,17,0.00011411,2,0.023058,0.023654,0.022463,0.975608,0.975053,0.976163,0.922208,0.924509,0.919907,0.000000,0.000000,0.033785,0.033517,0.050000,0,0,3,0,1
1100,3594.887,0.068419,0.900003,0.902096,0.897910,17,0.00013009,1,0.023717,0.024660,0.022773,0.974908,0.974014,0.975802,0.921350,0.924342,0.918358,0.000000,0.000000,0.034326,0.034002,0.050000,0,0,3,0,1
1125,3616.117,0.068878,0.901945,0.903934,0.899955,17,0.00008097,1,0.024208,0.023318,0.025097,0.974464,0.975411,0.973516,0.923777,0.925013,0.922541,0.000000,0.000000,0.033194,0.035628,0.050000,0,0,3,0,1
