step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.108,1.110505,0.288066,0.266100,0.310032,20,0.00024157,0,0.198721,0.185204,0.212239,0.634560,0.630027,0.639094,0.345608,0.315383,0.375833,0.000000,0.000000,0.581584,0.528751,0.050000,0,0,0,0,0
25,28.630,0.589675,0.546052,0.530917,0.561187,20,0.00027479,3,0.156949,0.134038,0.179861,0.802149,0.817912,0.786385,0.632101,0.602080,0.662122,0.000000,0.000000,0.307621,0.281862,0.050000,0,0,0,0,0
50,200.795,0.354945,0.700175,0.727545,0.672805,20,0.00121950,1,0.156675,0.118772,0.194578,0.838876,0.872662,0.805090,0.808838,0.813957,0.803718,0.000000,0.000000,0.158192,0.195900,0.050000,0,0,0,0,0
75,227.109,0.262707,0.769197,0.790715,0.747680,20,0.00112363,2,0.146101,0.123805,0.168397,0.858051,0.877713,0.838388,0.881098,0.888609,0.873586,0.000000,0.000000,0.117122,0.144798,0.050000,0,0,0,0,0
100,395.516,0.221484,0.801066,0.818018,0.784114,20,0.00080021,1,0.128196,0.115417,0.140976,0.875792,0.887710,0.863874,0.903543,0.912431,0.894655,0.000000,0.000000,0.099734,0.121190,0.050000,0,0,0,0,0
125,421.913,0.196200,0.822128,0.835621,0.808635,20,0.00072109,1,0.106234,0.100151,0.112316,0.895376,0.901761,0.888991,0.909383,0.919309,0.899458,0.000000,0.000000,0.089626,0.106069,0.050000,0,0,0,0,0
150,589.426,0.180422,0.835545,0.845953,0.825137,20,0.00126821,3,0.095862,0.092266,0.099458,0.905206,0.909211,0.901200,0.915605,0.924006,0.907204,0.000000,0.000000,0.083949,0.095585,0.050000,0,0,0,0,0
175,615.733,0.171745,0.842831,0.853300,0.832363,20,0.00120552,1,0.087847,0.085221,0.090473,0.912543,0.915727,0.909359,0.916844,0.926019,0.907668,0.000000,0.000000,0.079159,0.091741,0.050000,0,0,0,0,0
200,781.862,0.162927,0.850190,0.858050,0.842331,20,0.00109972,1,0.082754,0.083711,0.081797,0.917520,0.917411,0.917629,0.920555,0.929878,0.911232,0.000000,0.000000,0.076156,0.086001,0.050000,0,0,0,0,0
225,808.362,0.147557,0.864338,0.875917,0.852760,20,0.00116530,1,0.077689,0.074820,0.080558,0.922991,0.926378,0.919604,0.931455,0.941453,0.921456,0.000000,0.000000,0.066757,0.079984,0.050000,0,0,0,0,0
250,975.914,0.138739,0.871698,0.879695,0.863702,20,0.00100436,1,0.078140,0.076497,0.079783,0.923226,0.925258,0.921194,0.939800,0.946989,0.932610,0.000000,0.000000,0.063970,0.074066,0.050000,0,0,0,0,0
275,1001.821,0.135731,0.873998,0.880919,0.867078,20,0.00092629,1,0.076940,0.073478,0.080403,0.924429,0.927901,0.920956,0.941220,0.945647,0.936793,0.000000,0.000000,0.063603,0.071480,0.050000,0,0,0,0,0
300,1166.239,0.133470,0.875286,0.891598,0.858973,20,0.00083272,1,0.077439,0.066264,0.088613,0.924139,0.934840,0.913438,0.942884,0.950679,0.935089,0.000000,0.000000,0.057474,0.075412,0.050000,0,0,0,0,0
325,1191.771,0.124910,0.884204,0.913728,0.854679,20,0.00080920,1,0.080744,0.065593,0.095895,0.922006,0.936885,0.907127,0.955150,0.973662,0.936638,0.000000,0.000000,0.045165,0.079178,0.050000,0,0,0,0,0
350,1343.943,0.123338,0.884097,0.918229,0.849965,20,0.00090778,2,0.082726,0.064754,0.100697,0.920354,0.937882,0.902826,0.956621,0.977688,0.935554,0.000000,0.000000,0.042172,0.080531,0.050000,0,0,0,0,0
375,1368.404,0.122545,0.885979,0.921823,0.850134,20,0.00089747,0,0.077898,0.060057,0.095740,0.924450,0.942099,0.906801,0.954355,0.977185,0.931526,0.000000,0.000000,0.040731,0.081186,0.050000,0,0,0,0,0
400,1529.847,0.121762,0.886789,0.923650,0.849929,20,0.00085016,0,0.077163,0.059050,0.095275,0.925113,0.943070,0.907156,0.954549,0.978192,0.930906,0.000000,0.000000,0.039994,0.081173,0.050000,0,0,0,0,0
425,1554.944,0.119266,0.889256,0.924259,0.854252,20,0.00055223,1,0.076763,0.058715,0.094810,0.925675,0.943393,0.907956,0.956886,0.978527,0.935244,0.000000,0.000000,0.039618,0.079261,0.050000,0,0,0,0,0
450,1714.036,0.119566,0.888127,0.923711,0.852542,20,0.00055506,0,0.077266,0.057708,0.096824,0.925199,0.944228,0.906170,0.956053,0.977017,0.935089,0.000000,0.000000,0.039487,0.079690,0.050000,0,0,0,0,0
475,1738.695,0.114169,0.894439,0.928549,0.860330,20,0.00066211,0,0.072252,0.054186,0.090318,0.929860,0.947548,0.912172,0.958448,0.978863,0.938033,0.000000,0.000000,0.037539,0.076166,0.050000,0,0,0,0,0
