step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.645,1.144619,0.219159,0.198358,0.239960,20,0.00140645,0,0.094578,0.108543,0.080612,0.716178,0.669510,0.762847,0.239596,0.219888,0.259303,0.000000,0.000000,0.604958,0.538676,0.050000,0,0,0,0,0
25,26.114,0.758428,0.389544,0.367247,0.411841,20,0.00000000,1,0.112672,0.138655,0.086688,0.794361,0.750988,0.837734,0.432855,0.418167,0.447543,0.000000,0.000000,0.407016,0.351412,0.050000,0,0,0,0,0
50,188.472,0.546507,0.514870,0.470426,0.559313,20,0.00002434,2,0.098847,0.123049,0.074645,0.850310,0.811089,0.889531,0.564687,0.528311,0.601063,0.000000,0.000000,0.312153,0.234337,0.050000,0,0,0,0,0
75,213.855,0.393440,0.622718,0.555038,0.690398,20,0.00006123,2,0.079103,0.096038,0.062168,0.892753,0.863656,0.921849,0.670831,0.608343,0.733319,0.000000,0.000000,0.242084,0.151313,0.050000,0,0,0,0,0
100,375.214,0.300991,0.704307,0.618765,0.789848,20,0.00013187,3,0.074391,0.097139,0.051644,0.908144,0.874823,0.941466,0.754755,0.678872,0.830639,0.000000,0.000000,0.201776,0.099122,0.050000,0,0,0,0,0
125,400.233,0.243040,0.759929,0.697706,0.822151,20,0.00011938,2,0.075070,0.099040,0.051101,0.914892,0.885615,0.944168,0.815485,0.766807,0.864164,0.000000,0.000000,0.158426,0.084531,0.050000,0,0,0,0,0
150,558.972,0.206066,0.793917,0.753668,0.834167,20,0.00117827,2,0.069646,0.097739,0.041554,0.924350,0.894344,0.954356,0.848080,0.827331,0.868829,0.000000,0.000000,0.129150,0.076091,0.050000,0,0,0,0,0
175,583.719,0.183542,0.815884,0.790066,0.841702,20,0.00353143,3,0.063256,0.093637,0.032874,0.932895,0.902225,0.963564,0.866709,0.864046,0.869372,0.000000,0.000000,0.110349,0.070721,0.050000,0,0,0,0,0
200,742.541,0.159315,0.843147,0.845836,0.840458,20,0.00555827,2,0.060609,0.088235,0.032983,0.937963,0.912526,0.963400,0.894323,0.920468,0.868178,0.000000,0.000000,0.084709,0.070715,0.050000,0,0,0,0,0
225,767.176,0.150649,0.853118,0.862741,0.843494,20,0.00531059,3,0.059829,0.087435,0.032223,0.939530,0.914748,0.964311,0.904425,0.938175,0.870674,0.000000,0.000000,0.077837,0.069095,0.050000,0,0,0,0,0
250,924.103,0.142875,0.859130,0.873161,0.845099,20,0.00523803,3,0.054771,0.081333,0.028209,0.944624,0.920691,0.968557,0.906558,0.944178,0.868938,0.000000,0.000000,0.071870,0.067338,0.050000,0,0,0,0,0
275,948.810,0.134521,0.868532,0.878847,0.858217,20,0.00538395,1,0.051930,0.079232,0.024628,0.947830,0.922905,0.972756,0.913916,0.948479,0.879353,0.000000,0.000000,0.069124,0.061629,0.050000,0,0,0,0,0
300,1104.925,0.131559,0.869628,0.877956,0.861300,20,0.00515640,1,0.050161,0.078731,0.021591,0.949650,0.923249,0.976050,0.913487,0.947079,0.879896,0.000000,0.000000,0.068590,0.059359,0.050000,0,0,0,0,0
325,1129.504,0.129568,0.873037,0.882544,0.863530,20,0.00486863,2,0.049854,0.075730,0.023977,0.949862,0.926125,0.973599,0.916808,0.949380,0.884236,0.000000,0.000000,0.067388,0.058772,0.050000,0,0,0,0,0
350,1287.211,0.125253,0.875083,0.884852,0.865313,20,0.00507671,1,0.050043,0.073830,0.026256,0.949592,0.927902,0.971283,0.919107,0.950180,0.888033,0.000000,0.000000,0.064429,0.057271,0.050000,0,0,0,0,0
375,1311.730,0.123064,0.878850,0.888361,0.869339,20,0.00499612,1,0.048715,0.074430,0.023001,0.951225,0.927662,0.974789,0.921908,0.954482,0.889335,0.000000,0.000000,0.063402,0.056165,0.050000,0,0,0,0,0
400,1468.812,0.121602,0.879122,0.888744,0.869501,20,0.00461410,1,0.048082,0.072729,0.023435,0.951731,0.929122,0.974341,0.921629,0.953381,0.889877,0.000000,0.000000,0.062550,0.055822,0.050000,0,0,0,0,0
425,1493.660,0.121849,0.880073,0.890921,0.869224,20,0.00440606,2,0.047945,0.072129,0.023760,0.951891,0.929789,0.973994,0.922530,0.955182,0.889877,0.000000,0.000000,0.062837,0.055927,0.050000,0,0,0,0,0
450,1650.003,0.121103,0.880899,0.890060,0.871738,20,0.00421500,1,0.047752,0.072829,0.022675,0.952165,0.929135,0.975196,0.923193,0.954882,0.891505,0.000000,0.000000,0.063500,0.054652,0.050000,0,0,0,0,0
475,1674.477,0.121752,0.880880,0.889675,0.872086,20,0.00405671,1,0.049145,0.074530,0.023760,0.950877,0.927677,0.974077,0.924395,0.955982,0.892807,0.000000,0.000000,0.064292,0.054619,0.050000,0,0,0,0,0
500,1831.605,0.121224,0.881179,0.886906,0.875452,20,0.00395398,1,0.048735,0.076531,0.020940,0.951451,0.925793,0.977108,0.924283,0.954782,0.893783,0.000000,0.000000,0.064862,0.053594,0.050000,0,0,0,0,0
525,1856.328,0.121994,0.880256,0.889407,0.871105,20,0.00400374,4,0.048636,0.073729,0.023543,0.951301,0.928328,0.974274,0.923298,0.954982,0.891613,0.000000,0.000000,0.064551,0.054641,0.050000,0,0,0,0,0
550,2012.889,0.122319,0.879902,0.887968,0.871836,20,0.00392001,4,0.049266,0.074230,0.024303,0.950653,0.927800,0.973507,0.923453,0.953882,0.893024,0.000000,0.000000,0.064141,0.055434,0.050000,0,0,0,0,0
575,2037.427,0.120728,0.882608,0.893234,0.871982,20,0.00396505,3,0.048279,0.071929,0.024628,0.951650,0.930126,0.973174,0.925470,0.957483,0.893458,0.000000,0.000000,0.062183,0.055770,0.050000,0,0,0,0,0
600,2194.881,0.118185,0.884128,0.892553,0.875703,20,0.00386707,3,0.046431,0.070728,0.022133,0.953481,0.931092,0.975869,0.925384,0.955682,0.895085,0.000000,0.000000,0.061525,0.053953,0.050000,0,0,0,0,0
625,2219.633,0.116246,0.885228,0.895230,0.875226,20,0.00372341,2,0.044613,0.067527,0.021699,0.955157,0.934005,0.976309,0.924950,0.955682,0.894217,0.000000,0.000000,0.059464,0.054175,0.050000,0,0,0,0,0
650,2376.502,0.115713,0.885571,0.896155,0.874987,20,0.00364639,3,0.045839,0.069328,0.022350,0.954080,0.932535,0.975624,0.926413,0.958283,0.894543,0.000000,0.000000,0.059281,0.053879,0.050000,0,0,0,0,0
675,2401.166,0.115676,0.885309,0.894929,0.875689,20,0.00354894,3,0.046060,0.069228,0.022892,0.953807,0.932534,0.975080,0.926309,0.956883,0.895736,0.000000,0.000000,0.059248,0.053943,0.050000,0,0,0,0,0
700,2553.307,0.111654,0.888691,0.903071,0.874311,19,0.00377329,4,0.042459,0.062025,0.022892,0.957149,0.939257,0.975041,0.926705,0.959084,0.894326,0.000000,0.000000,0.054989,0.054023,0.050000,0,0,1,0,0
725,2576.982,0.108194,0.891100,0.905059,0.877141,19,0.00335948,2,0.039994,0.060024,0.019963,0.959646,0.941119,0.978173,0.927017,0.959384,0.894651,0.000000,0.000000,0.053276,0.052566,0.050000,0,0,1,0,0
750,2726.765,0.105302,0.894283,0.908307,0.880259,19,0.00332107,2,0.038640,0.056122,0.021157,0.960867,0.944729,0.977005,0.929083,0.959284,0.898882,0.000000,0.000000,0.051620,0.051358,0.050000,0,0,1,0,0
775,2750.154,0.106571,0.893643,0.908344,0.878942,19,0.00307718,2,0.040761,0.059824,0.021699,0.958950,0.941493,0.976407,0.930350,0.962685,0.898015,0.000000,0.000000,0.052285,0.052131,0.050000,0,0,1,0,0
800,2900.427,0.104713,0.895770,0.911061,0.880480,19,0.00303221,2,0.039728,0.057323,0.022133,0.959916,0.943835,0.975997,0.931626,0.963285,0.899967,0.000000,0.000000,0.050729,0.051862,0.050000,0,0,1,0,0
825,2923.739,0.100727,0.898424,0.915947,0.880902,19,0.00298751,2,0.037405,0.054522,0.020289,0.962247,0.946569,0.977925,0.932330,0.965886,0.898774,0.000000,0.000000,0.047743,0.050892,0.050000,0,0,1,0,0
850,3072.713,0.101040,0.898959,0.918352,0.879567,19,0.00314271,2,0.037656,0.053721,0.021591,0.961970,0.947405,0.976536,0.933122,0.967687,0.898557,0.000000,0.000000,0.047069,0.051771,0.050000,0,0,1,0,0
875,3095.924,0.101296,0.899672,0.914737,0.884607,19,0.00318316,2,0.040174,0.058323,0.022025,0.959698,0.943177,0.976218,0.936089,0.968087,0.904090,0.000000,0.000000,0.049475,0.049593,0.050000,0,0,1,0,0
900,3245.708,0.100027,0.900188,0.915208,0.885167,19,0.00336889,4,0.038760,0.057123,0.020397,0.961083,0.944249,0.977916,0.935355,0.967487,0.903222,0.000000,0.000000,0.048271,0.049398,0.050000,0,0,1,0,1
925,3268.845,0.099680,0.900625,0.919078,0.882172,19,0.00338051,2,0.037839,0.054522,0.021157,0.961897,0.946741,0.977053,0.935012,0.969188,0.900835,0.000000,0.000000,0.046652,0.050662,0.050000,0,0,1,0,1
950,3417.191,0.099550,0.901537,0.918292,0.884783,19,0.00320304,2,0.039161,0.056623,0.021699,0.960710,0.944861,0.976559,0.937135,0.970288,0.903982,0.000000,0.000000,0.047404,0.049904,0.050000,0,0,1,0,1
975,3440.396,0.101962,0.901323,0.917407,0.885239,19,0.00337573,2,0.041246,0.058623,0.023869,0.958707,0.943074,0.974341,0.938779,0.971188,0.906369,0.000000,0.000000,0.048095,0.051505,0.050000,0,0,1,0,1
1000,3579.053,0.100912,0.901475,0.917029,0.885920,19,0.00325827,3,0.040975,0.058623,0.023326,0.958983,0.943052,0.974915,0.938687,0.970788,0.906586,0.000000,0.000000,0.048222,0.050410,0.050000,0,0,1,0,1
1025,3602.208,0.100510,0.901249,0.918323,0.884175,19,0.00303047,3,0.039958,0.057023,0.022892,0.959914,0.944515,0.975313,0.937552,0.970688,0.904416,0.000000,0.000000,0.047900,0.050489,0.050000,0,0,1,0,1
1050,3743.590,0.098424,0.903935,0.919393,0.888477,19,0.00335647,3,0.039178,0.054922,0.023435,0.960641,0.946408,0.974875,0.939593,0.969888,0.909298,0.000000,0.000000,0.046784,0.049290,0.050000,0,0,1,0,1
1075,3766.424,0.099043,0.902980,0.917353,0.888606,19,0.00360545,1,0.039699,0.056723,0.022675,0.960188,0.944721,0.975655,0.939072,0.969388,0.908756,0.000000,0.000000,0.047792,0.048727,0.050000,0,0,1,0,1
1100,3912.764,0.101828,0.902102,0.916714,0.887491,19,0.00361729,1,0.042131,0.058223,0.026039,0.957790,0.943380,0.972200,0.940344,0.970088,0.910600,0.000000,0.000000,0.048671,0.050625,0.050000,0,0,1,0,1
1125,3935.575,0.098804,0.904459,0.918901,0.890018,19,0.00375198,2,0.040438,0.055922,0.024954,0.959440,0.945506,0.973373,0.941258,0.970288,0.912227,0.000000,0.000000,0.046632,0.049545,0.050000,0,0,1,0,1
1150,4082.040,0.099169,0.903829,0.922272,0.885386,19,0.00366536,2,0.040244,0.051521,0.028968,0.959369,0.949554,0.969183,0.940411,0.969788,0.911034,0.000000,0.000000,0.044002,0.052601,0.050000,0,0,1,0,1
1175,4105.049,0.094121,0.907345,0.925131,0.889560,19,0.00433991,4,0.036774,0.048920,0.024628,0.962849,0.952007,0.973690,0.940928,0.970388,0.911468,0.000000,0.000000,0.042097,0.048986,0.050000,0,0,1,0,1
1200,4250.284,0.093602,0.908392,0.926329,0.890456,18,0.00431519,2,0.035714,0.048319,0.023109,0.963931,0.952601,0.975261,0.941061,0.971088,0.911034,0.000000,0.000000,0.041843,0.048738,0.050000,0,0,2,0,1
1225,4272.689,0.094190,0.907267,0.926117,0.888417,18,0.00384342,2,0.035456,0.048019,0.022892,0.964143,0.952858,0.975428,0.939672,0.970588,0.908756,0.000000,0.000000,0.042270,0.049229,0.050000,0,0,2,0,1
1250,4414.024,0.091905,0.909507,0.927956,0.891058,18,0.00385687,4,0.034201,0.045618,0.022784,0.965353,0.955096,0.975610,0.940824,0.970288,0.911359,0.000000,0.000000,0.041086,0.048119,0.050000,0,0,2,0,1
1275,4436.353,0.093033,0.908765,0.927146,0.890385,18,0.00415122,2,0.035577,0.047719,0.023435,0.964052,0.953176,0.974927,0.941320,0.971389,0.911251,0.000000,0.000000,0.041766,0.048361,0.050000,0,0,2,0,1
1300,4579.708,0.093819,0.908145,0.926177,0.890113,18,0.00397058,4,0.035694,0.047519,0.023869,0.963893,0.953308,0.974478,0.940774,0.970188,0.911359,0.000000,0.000000,0.042071,0.048968,0.050000,0,0,2,0,1
1325,4601.918,0.091563,0.909631,0.928606,0.890656,18,0.00359657,2,0.034860,0.046719,0.023001,0.964758,0.954139,0.975377,0.941566,0.971989,0.911142,0.000000,0.000000,0.040713,0.048333,0.050000,0,0,2,0,1
1350,4743.424,0.090882,0.911314,0.930744,0.891883,18,0.00365246,1,0.034193,0.045818,0.022567,0.965449,0.955045,0.975853,0.942700,0.973389,0.912010,0.000000,0.000000,0.040087,0.048238,0.050000,0,0,2,0,1
1375,4765.290,0.090283,0.911442,0.929526,0.893357,18,0.00372278,1,0.035039,0.047619,0.022459,0.964691,0.953379,0.976003,0.943605,0.973790,0.913421,0.000000,0.000000,0.040663,0.047014,0.050000,0,0,2,0,1
1400,4905.623,0.089750,0.911480,0.931681,0.891279,18,0.00370857,2,0.034694,0.045518,0.023869,0.964934,0.955357,0.974510,0.943321,0.974090,0.912553,0.000000,0.000000,0.039230,0.047924,0.050000,0,0,2,0,1
1425,4927.783,0.090237,0.910153,0.928578,0.891729,18,0.00378796,2,0.034714,0.046319,0.023109,0.964896,0.954496,0.975296,0.941962,0.971589,0.912336,0.000000,0.000000,0.040236,0.047350,0.050000,0,0,2,0,1
1450,5064.511,0.089744,0.911580,0.930876,0.892285,18,0.00380593,2,0.033634,0.044918,0.022350,0.965972,0.955859,0.976085,0.942458,0.972689,0.912227,0.000000,0.000000,0.039714,0.047366,0.050000,0,0,2,0,1
1475,5086.414,0.088516,0.912814,0.932554,0.893073,18,0.00371372,2,0.033501,0.044218,0.022784,0.966114,0.956564,0.975663,0.943605,0.973790,0.913421,0.000000,0.000000,0.038992,0.046925,0.050000,0,0,2,0,1
1500,5222.067,0.089329,0.912128,0.931464,0.892793,18,0.00385071,2,0.033626,0.045118,0.022133,0.966013,0.955706,0.976320,0.943021,0.973489,0.912553,0.000000,0.000000,0.039371,0.047262,0.050000,0,0,2,0,1
1525,5243.821,0.090457,0.911841,0.930399,0.893282,18,0.00373598,2,0.034271,0.047819,0.020723,0.965510,0.953243,0.977778,0.943342,0.974890,0.911793,0.000000,0.000000,0.040628,0.047214,0.050000,0,0,2,0,1
1550,5381.044,0.090422,0.911735,0.931529,0.891941,18,0.00385700,2,0.034614,0.046118,0.023109,0.965057,0.954813,0.975301,0.943521,0.974490,0.912553,0.000000,0.000000,0.039809,0.047913,0.050000,0,0,2,0,1
1575,5402.456,0.089280,0.912350,0.933678,0.891021,18,0.00380876,3,0.033626,0.043818,0.023435,0.965960,0.956974,0.974945,0.943246,0.974590,0.911902,0.000000,0.000000,0.037961,0.048653,0.050000,0,0,2,0,1
1600,5539.643,0.087686,0.913378,0.936113,0.890643,18,0.00383335,3,0.032593,0.041317,0.023869,0.966916,0.959338,0.974493,0.943346,0.974790,0.911902,0.000000,0.000000,0.036544,0.048458,0.050000,0,0,2,0,1
1625,5561.036,0.088094,0.913021,0.935397,0.890645,18,0.00394206,3,0.031754,0.040616,0.022892,0.967716,0.959945,0.975488,0.942212,0.973389,0.911034,0.000000,0.000000,0.036664,0.048671,0.050000,0,0,2,0,1
1650,5697.603,0.088791,0.911545,0.934094,0.888995,18,0.00380371,3,0.034048,0.042817,0.025279,0.965454,0.957895,0.973014,0.942779,0.974090,0.911468,0.000000,0.000000,0.037189,0.048939,0.050000,0,0,2,0,1
1675,5719.098,0.087944,0.913020,0.935998,0.890042,18,0.00381758,3,0.032605,0.041016,0.024194,0.966875,0.959606,0.974145,0.942983,0.974390,0.911576,0.000000,0.000000,0.036541,0.048730,0.050000,0,0,2,0,1
1700,5856.029,0.087004,0.913837,0.936509,0.891164,18,0.00377647,3,0.032150,0.041517,0.022784,0.967393,0.959174,0.975613,0.943429,0.975390,0.911468,0.000000,0.000000,0.036180,0.048180,0.050000,0,0,2,0,1
1725,5877.518,0.087288,0.913948,0.936972,0.890924,18,0.00379602,3,0.032868,0.041216,0.024520,0.966652,0.959465,0.973840,0.944180,0.975590,0.912770,0.000000,0.000000,0.036059,0.048571,0.050000,0,0,2,0,1
1750,6017.481,0.088124,0.913433,0.935258,0.891608,18,0.00372627,3,0.033497,0.043017,0.023977,0.966087,0.957764,0.974409,0.944239,0.975490,0.912987,0.000000,0.000000,0.037344,0.048172,0.050000,0,0,2,0,1
1775,6039.249,0.086721,0.914857,0.936804,0.892910,18,0.00370564,3,0.031929,0.041617,0.022242,0.967654,0.959095,0.976213,0.944280,0.975790,0.912770,0.000000,0.000000,0.036258,0.047869,0.050000,0,0,2,0,1
1800,6178.497,0.085870,0.915868,0.938082,0.893653,18,0.00374277,3,0.032179,0.042117,0.022242,0.967465,0.958697,0.976232,0.945560,0.977591,0.913529,0.000000,0.000000,0.035601,0.047649,0.050000,0,0,2,0,1
1825,6200.601,0.086382,0.914517,0.934112,0.894921,18,0.00375933,3,0.032887,0.044618,0.021157,0.966824,0.956275,0.977373,0.944823,0.975790,0.913855,0.000000,0.000000,0.037525,0.046226,0.050000,0,0,2,0,1
1850,6340.368,0.085175,0.915200,0.936959,0.893441,18,0.00392176,3,0.031629,0.041016,0.022242,0.967936,0.959646,0.976226,0.944351,0.975390,0.913312,0.000000,0.000000,0.035544,0.046886,0.050000,0,0,2,0,1
1875,6362.406,0.085977,0.915714,0.937662,0.893766,18,0.00382322,3,0.032422,0.041517,0.023326,0.967176,0.959222,0.975130,0.945602,0.976591,0.914614,0.000000,0.000000,0.036074,0.047226,0.050000,0,0,2,0,1
1900,6498.756,0.086100,0.915822,0.939892,0.891751,18,0.00375816,3,0.031771,0.040216,0.023326,0.967783,0.960491,0.975075,0.945122,0.977691,0.912553,0.000000,0.000000,0.034954,0.048515,0.050000,0,0,2,0,1
1925,6520.798,0.084562,0.916819,0.940164,0.893475,18,0.00372195,3,0.031241,0.039916,0.022567,0.968335,0.960775,0.975895,0.945664,0.977691,0.913638,0.000000,0.000000,0.034895,0.047061,0.050000,0,0,2,0,1
1950,6661.540,0.085722,0.915643,0.937962,0.893323,18,0.00369255,3,0.031925,0.041717,0.022133,0.967694,0.959053,0.976334,0.945093,0.977091,0.913095,0.000000,0.000000,0.035941,0.047197,0.050000,0,0,2,0,1
1975,6683.633,0.086126,0.915456,0.937236,0.893676,18,0.00366019,3,0.032438,0.042417,0.022459,0.967201,0.958391,0.976011,0.945369,0.976991,0.913746,0.000000,0.000000,0.035978,0.047586,0.050000,0,0,2,0,1
2000,6823.564,0.085324,0.915930,0.938832,0.893028,18,0.00361994,3,0.032083,0.041817,0.022350,0.967552,0.959000,0.976105,0.945539,0.978091,0.912987,0.000000,0.000000,0.035452,0.047338,0.050000,0,0,2,0,1
2025,6845.517,0.085496,0.915714,0.939015,0.892414,18,0.00365529,3,0.031292,0.040016,0.022567,0.968252,0.960638,0.975867,0.944572,0.976591,0.912553,0.000000,0.000000,0.035240,0.047698,0.050000,0,0,2,0,1
2050,6986.560,0.085555,0.915474,0.939441,0.891507,18,0.00363864,3,0.031370,0.040716,0.022025,0.968209,0.960020,0.976398,0.944417,0.977691,0.911142,0.000000,0.000000,0.035292,0.047717,0.050000,0,0,2,0,1
2075,7008.868,0.085851,0.915217,0.937566,0.892869,18,0.00358431,3,0.031974,0.043117,0.020831,0.967715,0.957774,0.977656,0.944730,0.977991,0.911468,0.000000,0.000000,0.036190,0.047152,0.050000,0,0,2,0,1
