step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.414,0.913997,0.218643,0.197668,0.239618,20,0.00140645,0,0.092914,0.106843,0.078984,0.718941,0.671889,0.765992,0.238666,0.218788,0.258544,0.000000,0.000000,0.496505,0.416507,0.050000,0,0,0,0,0
25,43.431,0.586968,0.360632,0.336807,0.384457,20,0.00003781,0,0.075545,0.094238,0.056851,0.836811,0.796368,0.877255,0.387431,0.368547,0.406314,0.000000,0.000000,0.327378,0.259564,0.050000,0,0,0,0,0
50,317.396,0.429172,0.458889,0.403499,0.514280,20,0.00002751,1,0.058919,0.080732,0.037105,0.889371,0.843786,0.934956,0.484718,0.436074,0.533362,0.000000,0.000000,0.263636,0.165516,0.050000,0,0,0,0,0
75,359.449,0.330082,0.536204,0.450479,0.621928,20,0.00000006,0,0.044410,0.064626,0.024194,0.922328,0.881250,0.963407,0.558283,0.479592,0.636975,0.000000,0.000000,0.220969,0.109113,0.050000,0,0,0,0,0
100,619.332,0.272307,0.597935,0.496975,0.698895,20,0.00000542,0,0.039790,0.058423,0.021157,0.935622,0.900034,0.971209,0.619846,0.526010,0.713681,0.000000,0.000000,0.190348,0.081956,0.050000,0,0,0,0,0
125,659.962,0.241315,0.631473,0.522680,0.740267,20,0.00001556,0,0.035682,0.054222,0.017142,0.944077,0.910413,0.977740,0.651988,0.551020,0.752956,0.000000,0.000000,0.174407,0.066897,0.050000,0,0,0,0,0
150,923.370,0.217655,0.652611,0.539298,0.765923,20,0.00004116,0,0.030323,0.048820,0.011826,0.952758,0.920547,0.984970,0.670304,0.565626,0.774981,0.000000,0.000000,0.162198,0.055427,0.050000,0,0,0,0,0
175,964.378,0.203677,0.670313,0.558124,0.782501,20,0.00004355,0,0.028976,0.047319,0.010633,0.955922,0.925111,0.986733,0.687678,0.584534,0.790821,0.000000,0.000000,0.152891,0.050756,0.050000,0,0,0,0,0
200,1228.339,0.193993,0.681494,0.576455,0.786532,20,0.00000531,0,0.028485,0.043517,0.013453,0.957970,0.932537,0.983402,0.699327,0.601541,0.797114,0.000000,0.000000,0.142808,0.051181,0.050000,0,0,0,0,0
225,1269.009,0.186392,0.690015,0.583677,0.796352,20,0.00004874,0,0.026546,0.041917,0.011175,0.960915,0.935519,0.986312,0.706697,0.608143,0.805251,0.000000,0.000000,0.138401,0.047957,0.050000,0,0,0,0,0
250,1528.606,0.183042,0.696294,0.593144,0.799444,20,0.00003504,0,0.028069,0.041817,0.014321,0.959632,0.936619,0.982645,0.714420,0.617947,0.810893,0.000000,0.000000,0.133986,0.049031,0.050000,0,0,0,0,0
275,1568.831,0.172575,0.704729,0.606888,0.802571,20,0.00000993,0,0.024909,0.037015,0.012802,0.964473,0.944453,0.984494,0.721099,0.629352,0.812846,0.000000,0.000000,0.125003,0.047565,0.050000,0,0,0,0,0
