step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.458,1.467386,0.268718,0.208865,0.328571,20,0.00017882,0,0.249744,0.158561,0.340927,0.583949,0.604136,0.563763,0.341287,0.241983,0.440590,0.000000,0.000000,0.793300,0.673961,0.050000,0,0,0,0,0
25,44.704,0.988186,0.507007,0.410326,0.603689,20,0.00010591,0,0.167326,0.127559,0.207093,0.781291,0.783881,0.778700,0.595688,0.462667,0.728708,0.000000,0.000000,0.592500,0.395612,0.050000,0,0,0,0,0
50,321.626,0.705414,0.647385,0.538253,0.756518,20,0.00077017,4,0.137016,0.132174,0.141859,0.840355,0.821765,0.858945,0.736616,0.609395,0.863836,0.000000,0.000000,0.462554,0.242320,0.050000,0,0,0,0,0
75,364.005,0.612578,0.693962,0.601289,0.786636,20,0.00065638,6,0.130962,0.138445,0.123479,0.854593,0.831776,0.877409,0.784152,0.684534,0.883769,0.000000,0.000000,0.399403,0.212716,0.050000,0,0,0,0,0
100,634.903,0.530790,0.734925,0.653358,0.816492,20,0.00051330,5,0.130692,0.146965,0.114419,0.862169,0.836040,0.888299,0.829647,0.749379,0.909915,0.000000,0.000000,0.347017,0.183414,0.050000,0,0,0,0,0
125,677.319,0.454990,0.772863,0.707251,0.838476,20,0.00035598,4,0.118382,0.129334,0.107429,0.878471,0.860640,0.896302,0.863637,0.798722,0.928553,0.000000,0.000000,0.292669,0.162073,0.050000,0,0,0,0,0
150,943.245,0.408092,0.796741,0.721446,0.872036,20,0.00032808,4,0.118999,0.135487,0.102511,0.880865,0.858081,0.903650,0.890311,0.819193,0.961429,0.000000,0.000000,0.278869,0.128994,0.050000,0,0,0,0,0
175,985.132,0.373486,0.814311,0.738396,0.890227,20,0.00058588,4,0.115490,0.134422,0.096557,0.885853,0.861716,0.909990,0.906918,0.837652,0.976184,0.000000,0.000000,0.262260,0.110816,0.050000,0,0,0,0,0
200,1257.724,0.352472,0.824529,0.751433,0.897625,20,0.00029245,4,0.112598,0.135369,0.089827,0.889479,0.863060,0.915899,0.915704,0.853153,0.978255,0.000000,0.000000,0.248473,0.103794,0.050000,0,0,0,0,0
225,1299.835,0.337304,0.831669,0.761362,0.901975,20,0.00053161,3,0.110272,0.132529,0.088014,0.892237,0.866778,0.917695,0.921813,0.862265,0.981362,0.000000,0.000000,0.238677,0.098254,0.050000,0,0,0,0,0
