step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.535,1.163992,0.269204,0.209704,0.328704,20,0.00017882,0,0.250202,0.158443,0.341962,0.584277,0.605248,0.563306,0.342019,0.242930,0.441108,0.000000,0.000000,0.655904,0.507963,0.050000,0,0,0,0,0
25,44.660,0.674739,0.500640,0.423563,0.577717,20,0.00005662,0,0.171465,0.113833,0.229097,0.780841,0.805617,0.756064,0.590924,0.471778,0.710070,0.000000,0.000000,0.407730,0.266970,0.050000,0,0,0,0,0
50,321.075,0.450362,0.636535,0.558498,0.714571,20,0.00043324,4,0.143529,0.121642,0.165415,0.835839,0.837393,0.834284,0.729604,0.626435,0.832772,0.000000,0.000000,0.284634,0.165424,0.050000,0,0,0,0,0
75,363.134,0.383871,0.680938,0.611648,0.750227,20,0.00071943,5,0.132279,0.125547,0.139011,0.852923,0.845762,0.860083,0.771478,0.688439,0.854517,0.000000,0.000000,0.241174,0.142193,0.050000,0,0,0,0,0
100,629.479,0.323448,0.724617,0.660535,0.788700,20,0.00043438,6,0.107551,0.106378,0.108724,0.881174,0.872933,0.889415,0.802625,0.730801,0.874450,0.000000,0.000000,0.205079,0.118065,0.050000,0,0,0,0,0
125,670.460,0.281585,0.755360,0.700172,0.810549,20,0.00036538,6,0.098184,0.101881,0.094486,0.893547,0.883349,0.903745,0.829320,0.771506,0.887134,0.000000,0.000000,0.176439,0.104890,0.050000,0,0,0,0,0
150,933.000,0.254078,0.776946,0.729243,0.824649,20,0.00015081,3,0.092700,0.097385,0.088014,0.901089,0.891511,0.910667,0.848745,0.800260,0.897230,0.000000,0.000000,0.157387,0.096586,0.050000,0,0,0,0,0
175,974.984,0.228626,0.796336,0.761215,0.831458,20,0.00011696,1,0.087974,0.094663,0.081284,0.907535,0.897985,0.917085,0.866158,0.833274,0.899042,0.000000,0.000000,0.136129,0.092415,0.050000,0,0,0,0,0
200,1237.823,0.208969,0.812746,0.784749,0.840744,20,0.00016221,1,0.082571,0.093953,0.071188,0.914050,0.901354,0.926745,0.879537,0.858478,0.900595,0.000000,0.000000,0.121019,0.087837,0.050000,0,0,0,0,0
225,1279.554,0.198000,0.821876,0.800477,0.843275,20,0.00031846,2,0.081598,0.091232,0.071965,0.915847,0.905434,0.926260,0.888733,0.873506,0.903961,0.000000,0.000000,0.111432,0.086345,0.050000,0,0,0,0,0
250,1545.197,0.189691,0.827596,0.811997,0.843194,20,0.00035640,2,0.082615,0.088865,0.076366,0.915530,0.908671,0.922389,0.895870,0.884156,0.907585,0.000000,0.000000,0.104244,0.085198,0.050000,0,0,0,0,0
275,1586.804,0.182128,0.833887,0.814783,0.852991,20,0.00035686,2,0.084742,0.091823,0.077660,0.914268,0.906438,0.922098,0.904416,0.889599,0.919234,0.000000,0.000000,0.101910,0.079968,0.050000,0,0,0,0,0
300,1847.849,0.171186,0.844300,0.815408,0.873192,20,0.00049892,1,0.083688,0.093598,0.073777,0.916031,0.905008,0.927054,0.914671,0.891729,0.937613,0.000000,0.000000,0.101916,0.068921,0.050000,0,0,0,0,0
325,1889.104,0.162343,0.852043,0.804886,0.899200,20,0.00049515,0,0.086354,0.104366,0.068341,0.914255,0.894925,0.933585,0.924771,0.888889,0.960652,0.000000,0.000000,0.108227,0.053769,0.050000,0,0,0,0,0
350,2157.452,0.152237,0.861314,0.809299,0.913328,20,0.00028069,0,0.084135,0.102000,0.066270,0.916828,0.897369,0.936287,0.932851,0.891847,0.973855,0.000000,0.000000,0.105711,0.046329,0.050000,0,0,0,0,0
375,2199.537,0.149839,0.862406,0.809175,0.915636,20,0.00027717,1,0.083314,0.098805,0.067823,0.917560,0.899988,0.935132,0.933432,0.889126,0.977738,0.000000,0.000000,0.105473,0.044172,0.050000,0,0,0,0,0
400,2465.356,0.147755,0.864206,0.812007,0.916404,20,0.00020175,2,0.082094,0.095847,0.068341,0.918756,0.902761,0.934750,0.934434,0.889836,0.979032,0.000000,0.000000,0.103691,0.043922,0.050000,0,0,0,0,0
425,2507.645,0.146630,0.865318,0.815701,0.914935,20,0.00018297,1,0.081979,0.092770,0.071188,0.919009,0.905735,0.932283,0.935721,0.891374,0.980067,0.000000,0.000000,0.101635,0.044867,0.050000,0,0,0,0,0
450,2774.886,0.142644,0.869452,0.823702,0.915201,20,0.00021062,1,0.081946,0.089339,0.074553,0.919492,0.909451,0.929533,0.940361,0.897290,0.983433,0.000000,0.000000,0.097458,0.045039,0.050000,0,0,0,0,0
475,2816.762,0.141130,0.870504,0.824342,0.916667,20,0.00028472,1,0.079812,0.087919,0.071706,0.921347,0.910719,0.931974,0.939607,0.896817,0.982397,0.000000,0.000000,0.096832,0.044099,0.050000,0,0,0,0,0
500,3075.737,0.141302,0.869823,0.822999,0.916647,20,0.00019547,1,0.080570,0.089694,0.071447,0.920633,0.909080,0.932187,0.939478,0.896817,0.982138,0.000000,0.000000,0.096970,0.044194,0.050000,0,0,0,0,0
525,3116.402,0.139854,0.870639,0.822935,0.918343,20,0.00017967,0,0.078485,0.088629,0.068341,0.922428,0.909976,0.934879,0.938487,0.895870,0.981103,0.000000,0.000000,0.096837,0.042891,0.050000,0,0,0,0,0
550,3375.400,0.140547,0.870363,0.823555,0.917171,20,0.00017190,0,0.077974,0.087090,0.068858,0.922858,0.911347,0.934370,0.937802,0.895279,0.980326,0.000000,0.000000,0.096886,0.043540,0.050000,0,0,0,0,0
575,3416.808,0.141953,0.868586,0.826044,0.911127,20,0.00018245,0,0.081247,0.087682,0.074812,0.920057,0.911087,0.929028,0.938882,0.898474,0.979291,0.000000,0.000000,0.095085,0.046740,0.050000,0,0,0,0,0
600,3684.195,0.155728,0.857682,0.818812,0.896552,20,0.00014775,0,0.086483,0.091942,0.081025,0.914803,0.906756,0.922849,0.931645,0.894095,0.969195,0.000000,0.000000,0.100620,0.055005,0.050000,0,0,0,0,0
625,3725.837,0.158050,0.855344,0.818834,0.891853,20,0.00030541,1,0.095602,0.104485,0.086720,0.907153,0.896434,0.917872,0.936792,0.904390,0.969195,0.000000,0.000000,0.099982,0.057854,0.050000,0,0,0,0,0
650,3993.149,0.166132,0.848782,0.814431,0.883132,20,0.00016520,0,0.100598,0.106970,0.094227,0.902544,0.893934,0.911155,0.933949,0.901550,0.966347,0.000000,0.000000,0.103228,0.062788,0.050000,0,0,0,0,0
675,4034.483,0.186158,0.831128,0.790252,0.872004,20,0.00014428,0,0.120604,0.128860,0.112348,0.884990,0.873783,0.896197,0.931028,0.892084,0.969972,0.000000,0.000000,0.117118,0.068939,0.050000,0,0,0,0,0
700,4297.812,0.194975,0.824471,0.774204,0.874738,20,0.00011905,1,0.128717,0.147675,0.109759,0.877952,0.857485,0.898419,0.929641,0.888534,0.970748,0.000000,0.000000,0.127560,0.067332,0.050000,0,0,0,0,0
725,4338.462,0.168147,0.846666,0.810315,0.883016,20,0.00008707,0,0.099334,0.096675,0.101993,0.903507,0.901885,0.905129,0.930865,0.888652,0.973078,0.000000,0.000000,0.105314,0.062771,0.050000,0,0,0,0,0
750,4604.204,0.155725,0.856308,0.817954,0.894662,20,0.00008094,2,0.087981,0.084842,0.091121,0.913678,0.912731,0.914625,0.931767,0.887351,0.976184,0.000000,0.000000,0.100387,0.055282,0.050000,0,0,0,0,0
775,4646.158,0.152389,0.859983,0.819654,0.900312,20,0.00006106,3,0.080770,0.081292,0.080249,0.919880,0.915984,0.923777,0.929423,0.886286,0.972560,0.000000,0.000000,0.099693,0.052653,0.050000,0,0,0,0,0
800,4906.168,0.150455,0.860968,0.821315,0.900621,19,0.00005499,2,0.082512,0.081410,0.083614,0.918560,0.916036,0.921085,0.932052,0.888179,0.975925,0.000000,0.000000,0.098188,0.052228,0.050000,0,0,1,0,0
825,4946.154,0.150361,0.860639,0.825593,0.895685,19,0.00003702,0,0.087364,0.082830,0.091897,0.914654,0.915203,0.914106,0.935987,0.893977,0.977996,0.000000,0.000000,0.095351,0.054984,0.050000,0,0,1,0,0
850,5202.318,0.144965,0.866504,0.831271,0.901737,19,0.00003407,2,0.084358,0.080701,0.088014,0.917624,0.917573,0.917676,0.939729,0.898355,0.981103,0.000000,0.000000,0.092603,0.052338,0.050000,0,0,1,0,0
875,5242.090,0.143426,0.867070,0.836970,0.897170,19,0.00003262,0,0.088437,0.079281,0.097593,0.914573,0.919316,0.909830,0.944026,0.903325,0.984727,0.000000,0.000000,0.089027,0.054376,0.050000,0,0,1,0,0
900,5479.070,0.142532,0.867138,0.837293,0.896983,18,0.00003212,0,0.089405,0.080701,0.098110,0.913767,0.918117,0.909417,0.944925,0.904863,0.984986,0.000000,0.000000,0.088167,0.054343,0.050000,0,0,2,0,0
925,5516.292,0.141457,0.868277,0.840912,0.895642,18,0.00003591,0,0.089439,0.079991,0.098887,0.913876,0.919052,0.908700,0.946193,0.908177,0.984209,0.000000,0.000000,0.086784,0.054647,0.050000,0,0,2,0,0
950,5754.084,0.140616,0.868871,0.842140,0.895603,18,0.00002887,1,0.090178,0.079399,0.100958,0.913395,0.919670,0.907121,0.947513,0.909005,0.986021,0.000000,0.000000,0.085814,0.054781,0.050000,0,0,2,0,0
975,5790.954,0.137928,0.871408,0.849363,0.893452,18,0.00003453,1,0.090386,0.077742,0.103029,0.913536,0.921720,0.905351,0.950449,0.915395,0.985503,0.000000,0.000000,0.081625,0.056279,0.050000,0,0,2,0,0
1000,6019.969,0.138115,0.871075,0.848279,0.893872,18,0.00003699,1,0.090955,0.079399,0.102511,0.912993,0.920205,0.905782,0.950567,0.915631,0.985503,0.000000,0.000000,0.082211,0.055878,0.050000,0,0,2,0,0
1025,6057.862,0.137408,0.871999,0.849434,0.894563,18,0.00004262,1,0.088300,0.076677,0.099922,0.915228,0.922645,0.907810,0.949258,0.914566,0.983950,0.000000,0.000000,0.081620,0.055758,0.050000,0,0,2,0,0
1050,6293.639,0.138595,0.870662,0.847922,0.893402,18,0.00004466,1,0.089298,0.076086,0.102511,0.914384,0.923031,0.905737,0.948711,0.912436,0.984986,0.000000,0.000000,0.082201,0.056363,0.050000,0,0,2,0,0
1075,6331.348,0.138412,0.871137,0.850027,0.892246,18,0.00003912,1,0.091835,0.078571,0.105100,0.912371,0.921065,0.903677,0.951418,0.916815,0.986021,0.000000,0.000000,0.081401,0.056983,0.050000,0,0,2,0,0
1100,6567.828,0.136927,0.872413,0.850669,0.894156,18,0.00005481,1,0.090740,0.078452,0.103029,0.913320,0.921221,0.905418,0.951843,0.917406,0.986280,0.000000,0.000000,0.080802,0.056087,0.050000,0,0,2,0,0
1125,6604.660,0.135868,0.872918,0.852627,0.893208,18,0.00005878,0,0.089835,0.074311,0.105359,0.914269,0.924961,0.903577,0.951651,0.915986,0.987316,0.000000,0.000000,0.079552,0.056275,0.050000,0,0,2,0,0
1150,6842.846,0.136254,0.873207,0.852811,0.893602,18,0.00006928,1,0.088914,0.073246,0.104582,0.915051,0.925904,0.904197,0.951166,0.915276,0.987057,0.000000,0.000000,0.079951,0.056255,0.050000,0,0,2,0,0
