step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.173,1.517761,0.243239,0.186973,0.299505,20,0.00048697,0,0.119110,0.204192,0.034027,0.712706,0.524409,0.901004,0.267424,0.225151,0.309697,0.000000,0.000000,0.814387,0.703034,0.050000,0,0,0,0,0
25,29.595,1.031571,0.486415,0.414031,0.558800,20,0.00080909,1,0.132922,0.222774,0.043070,0.812810,0.694428,0.931192,0.544567,0.506266,0.582867,0.000000,0.000000,0.586748,0.444256,0.050000,0,0,0,0,0
50,205.494,0.697007,0.652258,0.560575,0.743941,22,0.00000223,0,0.148214,0.255618,0.040809,0.841761,0.733589,0.949934,0.739084,0.703868,0.774301,0.000000,0.000000,0.439805,0.257200,0.050000,2,0,0,0,0
75,235.567,0.505764,0.748134,0.646262,0.850006,22,0.00086411,0,0.149233,0.260156,0.038311,0.858145,0.757893,0.958398,0.848480,0.814391,0.882570,0.000000,0.000000,0.353844,0.151315,0.050000,2,0,0,0,0
100,428.416,0.409213,0.796932,0.701619,0.892245,22,0.00062211,0,0.137845,0.247731,0.027960,0.874926,0.779434,0.970418,0.896312,0.875432,0.917192,0.000000,0.000000,0.298741,0.110037,0.050000,2,0,0,0,0
125,459.165,0.356453,0.822587,0.736948,0.908225,22,0.00025655,0,0.126704,0.229257,0.024152,0.886365,0.798039,0.974691,0.918030,0.905899,0.930161,0.000000,0.000000,0.262793,0.093481,0.050000,2,0,0,0,0
150,654.340,0.310297,0.845901,0.765691,0.926111,22,0.00037081,0,0.114582,0.206677,0.022487,0.897002,0.817200,0.976804,0.935439,0.923941,0.946936,0.000000,0.000000,0.234447,0.075591,0.050000,2,0,0,0,0
175,685.248,0.285908,0.858114,0.783724,0.932505,22,0.00035591,1,0.101532,0.178911,0.024152,0.906554,0.837774,0.975334,0.939484,0.923941,0.955027,0.000000,0.000000,0.216072,0.069587,0.050000,2,0,0,0,0
200,879.958,0.261458,0.870626,0.794634,0.946618,22,0.00052945,1,0.091119,0.163678,0.018560,0.915363,0.849613,0.981114,0.944443,0.924697,0.964188,0.000000,0.000000,0.205003,0.056085,0.050000,2,0,0,0,0
225,910.427,0.246994,0.877342,0.798828,0.955857,22,0.00042694,1,0.090212,0.161625,0.018798,0.916361,0.851661,0.981062,0.950882,0.927939,0.973825,0.000000,0.000000,0.200920,0.045776,0.050000,2,0,0,0,0
250,1102.313,0.242106,0.879789,0.803235,0.956344,22,0.00051618,1,0.090828,0.162381,0.019274,0.916229,0.851848,0.980610,0.954221,0.933665,0.974777,0.000000,0.000000,0.196760,0.044985,0.050000,2,0,0,0,0
275,1133.748,0.237523,0.882224,0.804346,0.960103,22,0.00098213,1,0.087693,0.158492,0.016895,0.918814,0.854637,0.982990,0.954076,0.931828,0.976324,0.000000,0.000000,0.195192,0.041644,0.050000,2,0,0,0,0
300,1326.527,0.233617,0.884773,0.804150,0.965396,22,0.00157051,1,0.087735,0.161193,0.014277,0.919208,0.852787,0.985629,0.956476,0.933773,0.979179,0.000000,0.000000,0.195846,0.036672,0.050000,2,0,0,0,0
325,1356.876,0.231912,0.884997,0.801483,0.968511,22,0.00105541,1,0.089171,0.165730,0.012612,0.918323,0.849342,0.987304,0.957519,0.934313,0.980726,0.000000,0.000000,0.197252,0.033921,0.050000,2,0,0,0,0
350,1550.778,0.229960,0.886253,0.801852,0.970654,22,0.00097766,1,0.090187,0.166811,0.013563,0.917544,0.848687,0.986401,0.959714,0.935609,0.983819,0.000000,0.000000,0.198229,0.031047,0.050000,2,0,0,0,0
375,1581.048,0.227387,0.888344,0.804416,0.972271,22,0.00078446,1,0.088523,0.164434,0.012612,0.919010,0.850667,0.987352,0.960611,0.936690,0.984533,0.000000,0.000000,0.196459,0.030379,0.050000,2,0,0,0,0
400,1775.848,0.221427,0.890325,0.807886,0.972764,22,0.00047228,1,0.086238,0.159032,0.013444,0.920682,0.854818,0.986546,0.961104,0.936366,0.985842,0.000000,0.000000,0.191623,0.029474,0.050000,2,0,0,0,0
425,1806.180,0.221467,0.890888,0.808079,0.973697,22,0.00038701,1,0.086984,0.160761,0.013206,0.920239,0.853687,0.986790,0.962271,0.937986,0.986556,0.000000,0.000000,0.191926,0.029270,0.050000,2,0,0,0,0
450,1999.699,0.219268,0.892312,0.808959,0.975664,22,0.00044310,1,0.084822,0.157627,0.012017,0.921953,0.855930,0.987976,0.961931,0.936474,0.987388,0.000000,0.000000,0.190724,0.028234,0.050000,2,0,0,0,0
475,2030.239,0.216365,0.893227,0.811682,0.974771,22,0.00044837,1,0.084964,0.156007,0.013920,0.921775,0.857439,0.986111,0.963325,0.938310,0.988340,0.000000,0.000000,0.187273,0.028778,0.050000,2,0,0,0,0
500,2225.393,0.213498,0.894991,0.813777,0.976204,22,0.00039379,1,0.083878,0.152766,0.014991,0.922527,0.859958,0.985096,0.964466,0.938094,0.990839,0.000000,0.000000,0.186856,0.026366,0.050000,2,0,0,0,0
525,2255.466,0.213642,0.894420,0.814266,0.974575,22,0.00030681,1,0.083306,0.151145,0.015467,0.922877,0.861141,0.984612,0.963493,0.937338,0.989649,0.000000,0.000000,0.185127,0.028300,0.050000,2,0,0,0,0
550,2439.426,0.208274,0.897025,0.816004,0.978046,21,0.00031641,1,0.083915,0.154386,0.013444,0.922901,0.859184,0.986618,0.966590,0.941984,0.991196,0.000000,0.000000,0.182855,0.025197,0.050000,2,0,1,0,0
575,2468.128,0.208293,0.897322,0.815937,0.978706,21,0.00032396,1,0.083223,0.155143,0.011303,0.923685,0.858661,0.988709,0.966146,0.942524,0.989768,0.000000,0.000000,0.183594,0.024472,0.050000,2,0,1,0,0
600,2653.400,0.207993,0.897667,0.816075,0.979260,21,0.00037275,1,0.082822,0.156007,0.009637,0.924222,0.858097,0.990347,0.966043,0.943388,0.988697,0.000000,0.000000,0.183843,0.023890,0.050000,2,0,1,0,0
625,2682.261,0.206025,0.898134,0.815468,0.980801,21,0.00030948,1,0.084086,0.158060,0.010113,0.923260,0.856625,0.989895,0.967540,0.944360,0.990720,0.000000,0.000000,0.183898,0.021910,0.050000,2,0,1,0,0
650,2869.259,0.206913,0.898336,0.815989,0.980683,21,0.00031557,1,0.082790,0.155467,0.010113,0.924172,0.858450,0.989894,0.966724,0.942848,0.990601,0.000000,0.000000,0.184135,0.022558,0.050000,2,0,1,0,0
675,2898.208,0.203125,0.900265,0.819360,0.981170,21,0.00036482,1,0.080829,0.150713,0.010946,0.925633,0.862181,0.989085,0.967379,0.942848,0.991910,0.000000,0.000000,0.180567,0.022303,0.050000,2,0,1,0,1
700,3082.792,0.204452,0.899842,0.819540,0.980143,21,0.00035239,1,0.081338,0.150065,0.012612,0.925052,0.862652,0.987453,0.967514,0.942524,0.992504,0.000000,0.000000,0.181193,0.023012,0.050000,2,0,1,0,1
725,3111.397,0.204520,0.899601,0.819495,0.979707,21,0.00041276,1,0.082927,0.151577,0.014277,0.923723,0.861610,0.985836,0.968703,0.943712,0.993694,0.000000,0.000000,0.180553,0.023679,0.050000,2,0,1,0,1
750,3295.999,0.207384,0.897167,0.817075,0.977259,21,0.00034952,1,0.084527,0.154062,0.014991,0.922337,0.859563,0.985112,0.967433,0.942956,0.991910,0.000000,0.000000,0.181585,0.025554,0.050000,2,0,1,0,1
775,3325.179,0.208505,0.897945,0.820229,0.975661,21,0.00035410,2,0.084123,0.151469,0.016776,0.922580,0.861790,0.983371,0.968249,0.944468,0.992029,0.000000,0.000000,0.180846,0.027412,0.050000,2,0,1,0,1
800,3510.254,0.212046,0.895534,0.814025,0.977044,21,0.00032328,1,0.087968,0.160112,0.015824,0.919670,0.855033,0.984307,0.968432,0.944360,0.992504,0.000000,0.000000,0.185505,0.026315,0.050000,2,0,1,0,1
825,3539.436,0.212236,0.894546,0.816065,0.973027,21,0.00018517,2,0.087138,0.155359,0.018917,0.919905,0.858534,0.981276,0.967141,0.942848,0.991434,0.000000,0.000000,0.182965,0.029141,0.050000,2,0,1,0,1
850,3716.315,0.211670,0.896637,0.818650,0.974623,21,0.00020837,1,0.085068,0.152766,0.017371,0.921729,0.860676,0.982783,0.967632,0.943712,0.991553,0.000000,0.000000,0.182473,0.029051,0.050000,2,0,1,0,1
875,3744.131,0.212674,0.895095,0.817358,0.972831,21,0.00020314,1,0.088392,0.156439,0.020345,0.918956,0.857997,0.979915,0.968924,0.945225,0.992623,0.000000,0.000000,0.182244,0.030288,0.050000,2,0,1,0,1
900,3921.798,0.213577,0.895922,0.820739,0.971106,21,0.00017211,1,0.086756,0.152334,0.021178,0.920183,0.861275,0.979091,0.968718,0.945765,0.991672,0.000000,0.000000,0.180795,0.032662,0.050000,2,0,1,0,1
925,3949.171,0.214020,0.895269,0.818743,0.971795,21,0.00018257,2,0.087982,0.155143,0.020821,0.919260,0.859078,0.979443,0.968897,0.945765,0.992029,0.000000,0.000000,0.182165,0.031727,0.050000,2,0,1,0,1
950,4130.087,0.219138,0.892833,0.812256,0.973411,21,0.00012417,0,0.091034,0.161841,0.020226,0.916825,0.853611,0.980040,0.968406,0.943712,0.993099,0.000000,0.000000,0.188365,0.030687,0.050000,2,0,1,0,1
975,4157.929,0.221085,0.891201,0.810370,0.972031,21,0.00014600,1,0.093875,0.166811,0.020940,0.914687,0.850039,0.979335,0.968967,0.945549,0.992385,0.000000,0.000000,0.190034,0.030949,0.050000,2,0,1,0,1
1000,4340.650,0.219558,0.892263,0.812935,0.971592,21,0.00012984,0,0.093109,0.164326,0.021892,0.915249,0.852072,0.978427,0.969691,0.946521,0.992861,0.000000,0.000000,0.188183,0.031284,0.050000,2,0,1,0,1
1025,4368.126,0.218654,0.892194,0.811880,0.972507,21,0.00012280,0,0.093568,0.165838,0.021297,0.914960,0.850913,0.979008,0.969870,0.946521,0.993218,0.000000,0.000000,0.188141,0.030427,0.050000,2,0,1,0,1
1050,4548.089,0.215636,0.893970,0.814412,0.973528,21,0.00012214,0,0.091088,0.161949,0.020226,0.916956,0.853870,0.980042,0.969762,0.946305,0.993218,0.000000,0.000000,0.185265,0.030286,0.050000,2,0,1,0,1
1075,4576.310,0.208076,0.897450,0.821915,0.972986,21,0.00007554,0,0.085703,0.149633,0.021773,0.920930,0.863291,0.978569,0.969535,0.944901,0.994170,0.000000,0.000000,0.177982,0.030042,0.050000,2,0,1,0,1
1100,4751.752,0.206101,0.899159,0.825964,0.972355,21,0.00008429,0,0.081731,0.143475,0.019988,0.924184,0.868123,0.980245,0.968130,0.944468,0.991791,0.000000,0.000000,0.174731,0.031312,0.050000,2,0,1,0,1
1125,4778.581,0.203156,0.900482,0.827815,0.973150,21,0.00008763,0,0.078992,0.138829,0.019155,0.926347,0.871641,0.981052,0.967265,0.942740,0.991791,0.000000,0.000000,0.173002,0.030092,0.050000,2,0,1,0,1
1150,4955.614,0.201482,0.900322,0.829884,0.970760,21,0.00009604,0,0.079685,0.138073,0.021297,0.925713,0.872455,0.978971,0.967951,0.944468,0.991434,0.000000,0.000000,0.169414,0.032001,0.050000,2,0,1,0,1
1175,4983.090,0.200187,0.901524,0.830233,0.972815,21,0.00009354,0,0.079127,0.138505,0.019750,0.926338,0.872196,0.980480,0.968627,0.945225,0.992029,0.000000,0.000000,0.169639,0.030482,0.050000,2,0,1,0,1
1200,5162.719,0.201415,0.900727,0.829660,0.971795,21,0.00009348,1,0.079015,0.137208,0.020821,0.926241,0.873038,0.979443,0.967762,0.943496,0.992029,0.000000,0.000000,0.169913,0.031437,0.050000,2,0,1,0,1
1225,5189.955,0.202172,0.900618,0.830546,0.970691,21,0.00009050,1,0.079869,0.136776,0.022963,0.925431,0.873463,0.977398,0.968562,0.944144,0.992980,0.000000,0.000000,0.169465,0.032643,0.050000,2,0,1,0,1
1250,5362.539,0.200310,0.901585,0.832048,0.971122,21,0.00008490,1,0.078248,0.134723,0.021773,0.926827,0.875125,0.978529,0.968205,0.944144,0.992267,0.000000,0.000000,0.167672,0.032579,0.050000,2,0,1,0,1
1275,5389.438,0.196499,0.902988,0.836846,0.969131,21,0.00009318,2,0.076462,0.127701,0.025223,0.928027,0.880811,0.975242,0.968644,0.943712,0.993575,0.000000,0.000000,0.163108,0.033327,0.050000,2,0,1,0,1
