step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.502,1.228210,0.243576,0.187797,0.299356,20,0.00048697,0,0.119115,0.204084,0.034146,0.713136,0.525615,0.900658,0.267851,0.226124,0.309578,0.000000,0.000000,0.685585,0.542283,0.050000,0,0,0,0,0
25,27.296,0.716130,0.477120,0.415926,0.538314,20,0.00047147,0,0.134175,0.215644,0.052707,0.807962,0.701019,0.914906,0.536152,0.505618,0.566686,0.000000,0.000000,0.413845,0.301955,0.050000,0,0,0,0,0
50,194.325,0.439293,0.645633,0.556732,0.734535,20,0.00001160,1,0.140567,0.244490,0.036645,0.846625,0.739166,0.954085,0.727150,0.692848,0.761452,0.000000,0.000000,0.285077,0.154207,0.050000,0,0,0,0,0
75,220.598,0.319052,0.732829,0.622709,0.842949,20,0.00077380,0,0.150525,0.261668,0.039381,0.853570,0.750155,0.956985,0.830899,0.785653,0.876145,0.000000,0.000000,0.232316,0.086194,0.050000,0,0,0,0,0
100,387.718,0.275867,0.766243,0.653606,0.878879,20,0.00029387,0,0.130603,0.229797,0.031410,0.872092,0.777673,0.966510,0.855144,0.803803,0.906484,0.000000,0.000000,0.210144,0.065518,0.050000,0,0,0,0,0
125,413.981,0.242519,0.790482,0.689124,0.891839,20,0.00011029,0,0.122306,0.213915,0.030696,0.882022,0.796359,0.967685,0.877877,0.836538,0.919215,0.000000,0.000000,0.184376,0.058066,0.050000,0,0,0,0,0
150,581.281,0.218794,0.809246,0.713237,0.905255,20,0.00023396,1,0.115274,0.207109,0.023438,0.890708,0.806089,0.975326,0.893714,0.860955,0.926472,0.000000,0.000000,0.167851,0.050779,0.050000,0,0,0,0,0
175,607.736,0.187176,0.834738,0.743029,0.926447,20,0.00128822,1,0.104762,0.185609,0.023914,0.900691,0.825972,0.975410,0.914772,0.880942,0.948602,0.000000,0.000000,0.147264,0.039010,0.050000,0,0,0,0,0
200,776.030,0.167578,0.850694,0.769706,0.931683,20,0.00029352,1,0.095343,0.171889,0.018798,0.910260,0.839940,0.980580,0.925603,0.902010,0.949197,0.000000,0.000000,0.130946,0.036426,0.050000,0,0,0,0,0
225,802.352,0.156815,0.858457,0.783167,0.933747,20,0.00027941,1,0.092911,0.169404,0.016419,0.913448,0.843902,0.982994,0.932458,0.915838,0.949078,0.000000,0.000000,0.121287,0.035333,0.050000,0,0,0,0,0
250,969.582,0.152964,0.861751,0.788834,0.934668,20,0.00031153,1,0.090577,0.164974,0.016181,0.915526,0.847802,0.983249,0.934382,0.918971,0.949792,0.000000,0.000000,0.117442,0.035304,0.050000,0,0,0,0,0
275,995.707,0.152153,0.862426,0.787952,0.936900,20,0.00014083,2,0.089232,0.162165,0.016300,0.916362,0.849554,0.983170,0.933951,0.915730,0.952171,0.000000,0.000000,0.118177,0.033878,0.050000,0,0,0,0,0
300,1163.623,0.147162,0.866974,0.792613,0.941335,20,0.00022318,2,0.087616,0.161193,0.014039,0.918235,0.850964,0.985505,0.937463,0.920376,0.954551,0.000000,0.000000,0.115709,0.031297,0.050000,0,0,0,0,0
325,1189.819,0.145661,0.867246,0.794462,0.940031,20,0.00035254,2,0.088253,0.162705,0.013801,0.917982,0.850239,0.985725,0.938365,0.923725,0.953004,0.000000,0.000000,0.113818,0.031596,0.050000,0,0,0,0,0
350,1357.258,0.141022,0.871495,0.800260,0.942730,20,0.00030189,2,0.088361,0.162921,0.013801,0.918391,0.851018,0.985765,0.943190,0.930640,0.955741,0.000000,0.000000,0.110681,0.030129,0.050000,0,0,0,0,0
375,1383.159,0.139497,0.872962,0.799274,0.946651,20,0.00010570,2,0.086465,0.160436,0.012493,0.919833,0.852532,0.987134,0.942992,0.927506,0.958477,0.000000,0.000000,0.110903,0.028520,0.050000,0,0,0,0,0
400,1549.284,0.136645,0.875728,0.802924,0.948531,20,0.00005865,2,0.086248,0.160004,0.012493,0.920277,0.853395,0.987159,0.945888,0.931396,0.960381,0.000000,0.000000,0.109078,0.027527,0.050000,0,0,0,0,0
425,1575.195,0.133638,0.877870,0.804202,0.951539,20,0.00003623,1,0.083065,0.157087,0.009042,0.923119,0.855568,0.990670,0.945337,0.930532,0.960143,0.000000,0.000000,0.107426,0.026186,0.050000,0,0,0,0,0
450,1740.315,0.132213,0.879516,0.808260,0.950771,20,0.00002044,1,0.079284,0.148336,0.010232,0.925832,0.862204,0.989459,0.944327,0.928155,0.960500,0.000000,0.000000,0.106033,0.026166,0.050000,0,0,0,0,0
475,1766.449,0.130283,0.881372,0.809124,0.953620,20,0.00001925,1,0.078442,0.146175,0.010708,0.926427,0.863842,0.989012,0.945615,0.927398,0.963831,0.000000,0.000000,0.105354,0.024916,0.050000,0,0,0,0,0
500,1934.383,0.128033,0.882480,0.809345,0.955616,20,0.00001638,1,0.079895,0.149201,0.010589,0.925458,0.861762,0.989154,0.947917,0.930099,0.965735,0.000000,0.000000,0.104281,0.023741,0.050000,0,0,0,0,0
525,1960.515,0.127102,0.885766,0.813513,0.958020,20,0.00001219,1,0.075952,0.140125,0.011779,0.928373,0.868751,0.987994,0.948405,0.927506,0.969304,0.000000,0.000000,0.103999,0.023094,0.050000,0,0,0,0,0
550,2127.818,0.125471,0.886800,0.812867,0.960734,20,0.00004235,1,0.076125,0.140233,0.012017,0.928188,0.868584,0.987792,0.949568,0.926858,0.972278,0.000000,0.000000,0.104187,0.021254,0.050000,0,0,0,0,0
575,2153.875,0.120051,0.891904,0.814804,0.969004,20,0.00001928,1,0.073255,0.136992,0.009518,0.930771,0.871177,0.990364,0.952327,0.926426,0.978227,0.000000,0.000000,0.102832,0.017205,0.050000,0,0,0,0,0
600,2315.269,0.117575,0.893119,0.815542,0.970696,20,0.00004506,1,0.074779,0.138613,0.010946,0.929542,0.870115,0.988969,0.954954,0.928587,0.981321,0.000000,0.000000,0.101558,0.015985,0.050000,0,0,0,0,0
625,2340.456,0.116796,0.894809,0.818936,0.970682,20,0.00003469,0,0.071786,0.133103,0.010470,0.931996,0.874555,0.989438,0.954392,0.927939,0.980845,0.000000,0.000000,0.100586,0.016186,0.050000,0,0,0,0,0
650,2500.745,0.115862,0.894010,0.817706,0.970315,20,0.00000170,0,0.072467,0.134939,0.009994,0.931481,0.873056,0.989905,0.954029,0.928047,0.980012,0.000000,0.000000,0.099662,0.016199,0.050000,0,0,0,0,0
675,2525.380,0.113907,0.896999,0.820263,0.973734,20,0.00000198,0,0.071284,0.132455,0.010113,0.932513,0.875204,0.989823,0.956246,0.928911,0.983581,0.000000,0.000000,0.098825,0.015081,0.050000,0,0,0,0,0
700,2686.963,0.113595,0.896766,0.820127,0.973406,20,0.00000498,0,0.073434,0.135804,0.011065,0.930821,0.872760,0.988882,0.957840,0.931504,0.984176,0.000000,0.000000,0.098507,0.015084,0.050000,0,0,0,0,0
