step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.458,1.127314,0.241526,0.245000,0.238052,20,0.00230101,0,0.203616,0.207851,0.199380,0.588115,0.587413,0.588818,0.290719,0.295924,0.285515,0.000000,0.000000,0.559008,0.566696,0.050000,0,0,0,0,0
25,44.334,0.609087,0.479423,0.456917,0.501928,20,0.00295354,4,0.115282,0.105855,0.124710,0.822926,0.826791,0.819060,0.534904,0.505284,0.564524,0.000000,0.000000,0.318035,0.288984,0.050000,0,0,0,0,0
50,317.502,0.413938,0.612747,0.579426,0.646067,20,0.00303501,5,0.095379,0.087737,0.103021,0.875749,0.877804,0.873694,0.671445,0.630263,0.712626,0.000000,0.000000,0.224563,0.187251,0.050000,0,0,0,0,0
75,360.408,0.305609,0.700518,0.679421,0.721614,20,0.00141957,5,0.084336,0.078510,0.090163,0.900199,0.903226,0.897173,0.759720,0.732763,0.786677,0.000000,0.000000,0.161578,0.143038,0.050000,0,0,0,0,0
100,631.504,0.212116,0.798945,0.812782,0.785108,20,0.00138607,7,0.086596,0.078846,0.094345,0.909278,0.917500,0.901056,0.868023,0.876866,0.859179,0.000000,0.000000,0.096838,0.114308,0.050000,0,0,0,0,0
125,673.240,0.188447,0.827047,0.856020,0.798073,20,0.00095838,8,0.088322,0.067271,0.109373,0.910733,0.931418,0.890048,0.899483,0.913605,0.885360,0.000000,0.000000,0.075008,0.112768,0.050000,0,0,0,0,0
150,943.082,0.179302,0.840248,0.865388,0.815109,20,0.00099742,6,0.094523,0.075491,0.113555,0.906890,0.924975,0.888805,0.919192,0.930716,0.907668,0.000000,0.000000,0.072978,0.105626,0.050000,0,0,0,0,0
175,984.716,0.170530,0.845657,0.862150,0.829165,20,0.00102692,3,0.086680,0.077001,0.096359,0.913792,0.923423,0.904160,0.918799,0.928535,0.909063,0.000000,0.000000,0.075380,0.094432,0.050000,0,0,0,0,0
200,1246.899,0.158708,0.855824,0.870039,0.841608,20,0.00064754,3,0.080283,0.077839,0.082727,0.920064,0.923356,0.916771,0.924497,0.937762,0.911232,0.000000,0.000000,0.072309,0.085946,0.050000,0,0,0,0,0
225,1287.377,0.158272,0.858207,0.877478,0.838936,20,0.00061489,3,0.083038,0.083040,0.083036,0.917953,0.919643,0.916263,0.929471,0.950344,0.908598,0.000000,0.000000,0.071035,0.086807,0.050000,0,0,0,0,0
250,1542.373,0.155676,0.861608,0.881081,0.842135,20,0.00071697,4,0.084322,0.086227,0.082417,0.917216,0.917350,0.917082,0.934298,0.957054,0.911541,0.000000,0.000000,0.069906,0.085268,0.050000,0,0,0,0,0
275,1581.927,0.160487,0.858652,0.875958,0.841345,20,0.00058160,4,0.088497,0.094112,0.082881,0.913599,0.910583,0.916615,0.934736,0.958396,0.911077,0.000000,0.000000,0.074679,0.085401,0.050000,0,0,0,0,0
300,1836.851,0.161272,0.859111,0.875593,0.842629,20,0.00041649,5,0.092530,0.096293,0.088768,0.910305,0.908831,0.911778,0.938667,0.959906,0.917428,0.000000,0.000000,0.074705,0.086276,0.050000,0,0,0,0,0
