step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.366,0.615838,0.154033,0.186302,0.121763,20,0.00018427,0,0.161230,0.111545,0.210915,0.530683,0.649922,0.411444,0.177264,0.207083,0.147445,0.027868,0.047817,0.182990,0.198391,0.050000,0,0,0,0,0
25,42.894,0.410962,0.227965,0.240034,0.215896,20,0.00000024,1,0.073278,0.049020,0.097537,0.772724,0.837047,0.708401,0.244377,0.251801,0.236953,0.011925,0.021839,0.161114,0.160454,0.050000,0,0,0,0,0
50,299.785,0.334345,0.339404,0.329354,0.349454,20,0.00022874,0,0.055741,0.039116,0.072366,0.867788,0.897429,0.838146,0.358490,0.342237,0.374742,0.009368,0.015899,0.140548,0.129700,0.050000,0,0,0,0,0
75,338.000,0.271196,0.463285,0.436687,0.489884,20,0.00033087,1,0.045973,0.030212,0.061734,0.915486,0.937070,0.893903,0.485003,0.449880,0.520126,0.007331,0.013541,0.117052,0.100530,0.050000,0,0,0,0,0
100,594.936,0.232045,0.530535,0.487142,0.573928,20,0.00059064,1,0.037429,0.027011,0.047846,0.937540,0.948776,0.926303,0.550844,0.500300,0.601389,0.006627,0.010439,0.106363,0.082741,0.050000,0,0,0,0,0
125,633.857,0.202714,0.587379,0.513031,0.661726,20,0.00046854,0,0.032201,0.024910,0.039492,0.950236,0.954768,0.945704,0.606835,0.525810,0.687859,0.006144,0.008596,0.100906,0.065006,0.050000,0,0,0,0,0
150,888.516,0.187381,0.613681,0.537373,0.689988,20,0.00024210,1,0.028988,0.025210,0.032766,0.956142,0.956242,0.956041,0.631758,0.550920,0.712596,0.006128,0.007120,0.095691,0.059332,0.050000,0,0,0,0,0
175,928.235,0.171959,0.647844,0.576852,0.718836,20,0.00013375,3,0.026931,0.025110,0.028751,0.960921,0.959266,0.962576,0.665420,0.591337,0.739503,0.006148,0.006290,0.087494,0.053713,0.050000,0,0,0,0,0
200,1196.188,0.161036,0.683942,0.620203,0.747681,20,0.00018750,2,0.028206,0.027011,0.029402,0.961262,0.959319,0.963204,0.703310,0.636955,0.769665,0.006467,0.006546,0.078507,0.048224,0.050000,0,0,0,0,0
225,1235.397,0.153874,0.701663,0.629204,0.774122,20,0.00009754,0,0.027585,0.026311,0.028860,0.962942,0.960851,0.965032,0.721111,0.645758,0.796463,0.006257,0.006523,0.076635,0.043138,0.050000,0,0,0,0,0
250,1495.616,0.151004,0.711996,0.644963,0.779028,20,0.00004341,0,0.028191,0.024810,0.031572,0.963010,0.963822,0.962198,0.732294,0.660964,0.803624,0.005975,0.007120,0.073137,0.042234,0.050000,0,0,0,0,0
275,1535.036,0.145656,0.725531,0.663965,0.787097,20,0.00005533,2,0.027665,0.024410,0.030921,0.964324,0.965356,0.963292,0.745804,0.680172,0.811435,0.005909,0.007021,0.069354,0.040723,0.050000,0,0,0,0,0
300,1799.684,0.143502,0.725144,0.652589,0.797698,20,0.00001683,2,0.026634,0.025710,0.027558,0.965242,0.963011,0.967473,0.744524,0.669368,0.819681,0.006248,0.006109,0.071727,0.038281,0.050000,0,0,0,0,0
325,1839.257,0.135236,0.747829,0.679883,0.815776,20,0.00006318,0,0.025824,0.026911,0.024737,0.967073,0.962886,0.971259,0.767067,0.698179,0.835955,0.006650,0.005575,0.066352,0.034962,0.050000,0,0,0,0,0
350,2115.556,0.129661,0.760566,0.696314,0.824818,20,0.00002863,2,0.025708,0.025810,0.025605,0.967873,0.965126,0.970621,0.780111,0.714286,0.845937,0.006308,0.005748,0.062709,0.033116,0.050000,0,0,0,0,0
375,2155.651,0.126624,0.767830,0.706996,0.828665,20,0.00003955,0,0.025891,0.025310,0.026473,0.968040,0.966262,0.969817,0.787746,0.724890,0.850602,0.006260,0.005738,0.060457,0.032211,0.050000,0,0,0,0,0
