step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.071,1.137716,0.162447,0.129699,0.195195,20,0.00000000,0,0.229950,0.100717,0.359184,0.505590,0.586343,0.424837,0.204034,0.142762,0.265306,0.036898,0.050068,0.852652,0.727053,0.050000,0,0,0,0,0
25,36.882,0.862946,0.261593,0.173241,0.349945,20,0.00000000,0,0.113286,0.047144,0.179429,0.745361,0.793728,0.696995,0.297072,0.181408,0.412735,0.016944,0.024546,0.814307,0.579665,0.050000,0,0,0,0,0
50,477.647,0.753923,0.330820,0.198055,0.463585,20,0.00000000,0,0.090614,0.033474,0.147755,0.821054,0.859448,0.782661,0.368383,0.204685,0.532082,0.011862,0.020251,0.790871,0.460074,0.050000,0,0,0,0,0
75,513.112,0.679660,0.392231,0.234776,0.549687,20,0.00000000,0,0.089090,0.031405,0.146776,0.848166,0.885197,0.811134,0.436258,0.242149,0.630367,0.010397,0.020116,0.753745,0.361467,0.050000,0,0,0,0,0
100,937.594,0.609281,0.442677,0.262117,0.623238,19,0.00001535,0,0.083282,0.019951,0.146612,0.880159,0.930556,0.829763,0.490979,0.267346,0.714612,0.006601,0.019924,0.728003,0.278335,0.050000,0,0,1,0,0
125,971.576,0.551911,0.487934,0.303471,0.672397,19,0.00004725,1,0.084963,0.011232,0.158694,0.897736,0.964692,0.830780,0.542991,0.306879,0.779102,0.003267,0.021759,0.688792,0.214759,0.050000,0,0,1,0,0
150,1352.825,0.522335,0.517503,0.322984,0.712022,18,0.00008929,1,0.093074,0.011453,0.174694,0.896676,0.966128,0.827224,0.581546,0.326683,0.836408,0.003099,0.023932,0.669068,0.159226,0.050000,0,0,2,0,0
175,1385.179,0.507939,0.533411,0.340864,0.725958,18,0.00040496,2,0.097810,0.010641,0.184980,0.896531,0.970037,0.823024,0.602368,0.344491,0.860245,0.003166,0.025409,0.651454,0.135253,0.050000,0,0,2,0,0
200,1774.144,0.490117,0.552156,0.353591,0.750721,18,0.00048739,1,0.099250,0.010419,0.188082,0.898757,0.971664,0.825850,0.624597,0.357275,0.891918,0.003302,0.026366,0.638272,0.103934,0.050000,0,0,2,0,0
225,1806.975,0.484228,0.560721,0.372671,0.748770,18,0.00044454,1,0.103167,0.011232,0.195102,0.896030,0.971059,0.821001,0.635857,0.376857,0.894857,0.004026,0.027049,0.618537,0.100692,0.050000,0,0,2,0,0
