step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.531,0.916724,0.253675,0.291855,0.215495,20,0.00096555,0,0.193552,0.151317,0.235786,0.609946,0.689501,0.530392,0.301161,0.336017,0.266305,0.020305,0.034745,0.661130,0.730566,0.050000,0,0,0,0,0
25,27.790,0.608686,0.453616,0.490566,0.416667,20,0.00043142,3,0.096550,0.075826,0.117273,0.836576,0.874375,0.798777,0.496647,0.527764,0.465531,0.010045,0.016968,0.469869,0.530798,0.050000,0,0,0,0,0
50,355.246,0.460200,0.585526,0.631480,0.539571,20,0.00063992,3,0.090140,0.074316,0.105964,0.875238,0.901270,0.849206,0.637578,0.678410,0.596747,0.009660,0.015230,0.319675,0.400702,0.050000,0,0,0,0,0
75,382.245,0.390076,0.648251,0.698443,0.598060,20,0.00173694,2,0.084184,0.066432,0.101936,0.892078,0.918114,0.866042,0.701933,0.744841,0.659024,0.008573,0.014712,0.253717,0.337726,0.050000,0,0,0,0,0
100,708.041,0.329227,0.696044,0.721622,0.670466,20,0.00166514,2,0.064467,0.055192,0.073741,0.919751,0.932416,0.907086,0.740678,0.761449,0.719907,0.007046,0.010584,0.237782,0.277304,0.050000,0,0,0,0,0
125,735.317,0.290560,0.730878,0.750755,0.711002,20,0.00144073,2,0.063466,0.055360,0.071572,0.924409,0.934692,0.914126,0.777103,0.792317,0.761890,0.007030,0.010043,0.206777,0.235739,0.050000,0,0,0,0,0
150,1042.293,0.274414,0.748058,0.747636,0.748480,19,0.00115369,1,0.067060,0.064251,0.069868,0.922517,0.925283,0.919751,0.798223,0.795672,0.800775,0.008389,0.010096,0.202470,0.196856,0.050000,0,0,1,0,0
175,1068.336,0.256526,0.764602,0.751571,0.777633,19,0.00053418,1,0.068505,0.067606,0.069404,0.922631,0.922291,0.922971,0.816993,0.802382,0.831603,0.008737,0.010115,0.195667,0.165818,0.050000,0,0,1,0,0
200,1360.008,0.244798,0.776344,0.770600,0.782088,18,0.00010835,1,0.069480,0.064754,0.074206,0.922847,0.926852,0.918841,0.830312,0.820500,0.840124,0.008345,0.010945,0.177551,0.157577,0.050000,0,0,2,0,0
225,1384.585,0.254802,0.766974,0.766132,0.767816,18,0.00008999,0,0.067744,0.065929,0.069558,0.923606,0.925299,0.921913,0.818933,0.816642,0.821224,0.008671,0.010175,0.181727,0.176987,0.050000,0,0,2,0,0
250,1666.991,0.258794,0.761006,0.761272,0.760740,18,0.00013126,0,0.062110,0.060393,0.063826,0.928646,0.930394,0.926899,0.808271,0.807247,0.809295,0.007870,0.009374,0.190774,0.188677,0.050000,0,0,2,0,0
275,1691.713,0.242648,0.778056,0.791838,0.764273,18,0.00040754,1,0.067538,0.060560,0.074516,0.924774,0.932737,0.916811,0.830508,0.839792,0.821224,0.007937,0.010743,0.159614,0.175673,0.050000,0,0,2,0,0
300,1968.731,0.216138,0.803305,0.822706,0.783904,18,0.00025270,1,0.068411,0.055024,0.081797,0.926207,0.940385,0.912029,0.858000,0.867975,0.848025,0.007154,0.011847,0.130739,0.149176,0.050000,0,0,2,0,0
325,1992.764,0.198675,0.821879,0.846544,0.797215,18,0.00005456,0,0.074187,0.058212,0.090163,0.922496,0.938984,0.906008,0.882458,0.895823,0.869094,0.007565,0.013150,0.102743,0.128817,0.050000,0,0,2,0,0
350,2264.757,0.183566,0.835839,0.860016,0.811662,18,0.00003025,0,0.072993,0.059386,0.086600,0.924698,0.938807,0.910589,0.896520,0.911089,0.881952,0.007628,0.012733,0.087960,0.116249,0.050000,0,0,2,0,0
375,2288.435,0.174168,0.843094,0.865147,0.821041,18,0.00002288,0,0.071850,0.059889,0.083811,0.926307,0.938691,0.913922,0.903407,0.916960,0.889853,0.007477,0.012292,0.081448,0.108705,0.050000,0,0,2,0,0
