step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.594,1.733481,0.163615,0.130374,0.196857,20,0.00000000,0,0.231402,0.101825,0.360980,0.505601,0.585190,0.426012,0.205784,0.143649,0.267918,0.037397,0.050204,0.852074,0.723615,0.000000,0,0,0,0,0
25,27.977,1.352703,0.296093,0.193191,0.398995,20,0.00000000,0,0.132009,0.061405,0.202612,0.736330,0.769551,0.703110,0.342446,0.205054,0.479837,0.022105,0.027900,0.790431,0.512550,0.000000,0,0,0,0,0
50,381.571,1.151139,0.381896,0.250921,0.512870,22,0.00007273,0,0.114453,0.042784,0.186122,0.812594,0.859466,0.765721,0.434992,0.261657,0.608327,0.014752,0.025414,0.733772,0.384550,0.000000,1,1,0,0,0
75,411.395,0.965667,0.470094,0.323032,0.617156,22,0.00004435,0,0.123865,0.035321,0.212408,0.841684,0.904476,0.778892,0.541343,0.334442,0.748245,0.012591,0.029071,0.661028,0.245254,0.000000,1,1,0,0,0
100,746.938,0.798735,0.547532,0.416703,0.678362,23,0.00006121,0,0.153470,0.027267,0.279673,0.848223,0.940117,0.756330,0.648073,0.428065,0.868082,0.009795,0.038398,0.567607,0.127057,0.000000,4,1,2,0,0
125,777.842,0.714655,0.587442,0.475406,0.699479,23,0.00028153,1,0.153405,0.023055,0.283755,0.857311,0.954743,0.759878,0.692163,0.486367,0.897959,0.007550,0.039037,0.510101,0.097395,0.000000,4,1,2,0,0
150,1147.225,0.636051,0.624920,0.532417,0.717424,22,0.00052013,1,0.164645,0.021207,0.308082,0.857654,0.962459,0.752849,0.741078,0.543708,0.938449,0.007181,0.042035,0.452257,0.057200,0.000000,4,1,3,0,0
175,1176.267,0.603130,0.641134,0.558928,0.723341,22,0.00062196,1,0.166866,0.020099,0.313633,0.858895,0.965949,0.751841,0.760183,0.570162,0.950204,0.006171,0.043155,0.425670,0.046688,0.000000,4,1,3,0,0
200,1537.990,0.578001,0.654800,0.582281,0.727318,25,0.00058725,1,0.165118,0.018399,0.311837,0.861791,0.969906,0.753676,0.773559,0.592995,0.954122,0.005977,0.042937,0.403433,0.042680,0.000000,7,1,3,0,0
225,1571.103,0.556617,0.665555,0.602154,0.728957,25,0.00058961,1,0.164367,0.015592,0.313143,0.864320,0.975138,0.753502,0.784383,0.611542,0.957224,0.005461,0.043154,0.384569,0.038975,0.000000,7,1,3,0,0
250,1979.956,0.531983,0.680199,0.623721,0.736677,27,0.00038002,1,0.160331,0.018621,0.302041,0.866022,0.971525,0.760518,0.797260,0.635336,0.959184,0.006566,0.041726,0.360813,0.036814,0.000000,10,1,4,0,0
275,2016.043,0.499990,0.699024,0.653035,0.745013,27,0.00048456,1,0.152063,0.019065,0.285061,0.871358,0.972150,0.770565,0.811436,0.665484,0.957388,0.006956,0.039518,0.330971,0.038299,0.000000,10,1,4,0,0
300,2488.034,0.452275,0.725489,0.700629,0.750350,30,0.00043605,2,0.152857,0.022611,0.283102,0.871088,0.969406,0.772769,0.839623,0.716471,0.962776,0.008257,0.039242,0.279884,0.032307,0.000000,13,1,4,0,0
325,2527.811,0.416365,0.744669,0.737236,0.752102,30,0.00040457,2,0.153895,0.026158,0.281633,0.870234,0.966579,0.773889,0.860220,0.756521,0.963918,0.009294,0.038284,0.240271,0.031730,0.000000,13,1,4,0,0
350,3022.348,0.392959,0.760520,0.763542,0.757498,32,0.00024673,1,0.153930,0.034065,0.273796,0.868802,0.958640,0.778964,0.877225,0.789551,0.964898,0.011855,0.037487,0.207069,0.031992,0.000000,16,1,5,0,0
375,3064.812,0.370670,0.771424,0.780556,0.762292,32,0.00022727,1,0.149789,0.034434,0.265143,0.871728,0.959098,0.784358,0.885921,0.807434,0.964408,0.011643,0.036113,0.188928,0.031728,0.000000,16,1,5,0,0
400,3608.828,0.353073,0.780263,0.793743,0.766783,32,0.00030869,3,0.149623,0.032144,0.267102,0.873307,0.962246,0.784368,0.895424,0.819257,0.971592,0.011333,0.036074,0.177914,0.024520,0.000000,16,1,5,0,0
425,3650.871,0.344333,0.786339,0.800872,0.771807,32,0.00025355,4,0.145820,0.033843,0.257796,0.875448,0.960731,0.790166,0.899376,0.827976,0.970776,0.011952,0.035111,0.168784,0.025360,0.000000,16,1,5,0,0
450,4197.077,0.333782,0.793209,0.804951,0.781467,34,0.00021316,4,0.138327,0.032735,0.243918,0.880762,0.962114,0.799409,0.901691,0.831301,0.972082,0.011706,0.033515,0.165591,0.024228,0.000000,18,1,5,0,0
475,4242.591,0.323928,0.798376,0.813343,0.783410,34,0.00028365,3,0.137808,0.035617,0.240000,0.880659,0.959431,0.801887,0.906870,0.842311,0.971429,0.012288,0.032702,0.154541,0.025199,0.000000,18,1,5,0,0
500,4811.595,0.315603,0.804133,0.823622,0.784644,34,0.00020172,3,0.133622,0.036060,0.231184,0.883178,0.959455,0.806900,0.909681,0.853322,0.966041,0.012520,0.032092,0.143191,0.028874,0.000000,18,1,5,0,0
