step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.510,1.451074,0.254462,0.294280,0.214643,20,0.00111249,0,0.195230,0.152659,0.237800,0.608662,0.689632,0.527692,0.302445,0.339205,0.265686,0.020498,0.035143,0.658263,0.730614,0.000000,0,0,0,0,0
25,25.956,0.969178,0.470862,0.515152,0.426572,20,0.00049668,3,0.112705,0.085053,0.140356,0.822005,0.867934,0.776075,0.522706,0.558967,0.486445,0.011338,0.020422,0.439224,0.510212,0.000000,0,0,0,0,0
50,328.907,0.685129,0.613552,0.689054,0.538051,23,0.00069208,2,0.123452,0.086563,0.160341,0.846011,0.896365,0.795656,0.686511,0.748700,0.624322,0.011329,0.023244,0.249558,0.372867,0.000000,2,1,0,0,0
75,357.322,0.533084,0.689194,0.763724,0.614665,23,0.00109497,2,0.105494,0.084885,0.126104,0.876481,0.907071,0.845892,0.760364,0.828552,0.692177,0.011025,0.018068,0.170216,0.304875,0.000000,2,1,0,0,0
100,661.851,0.418032,0.746705,0.791712,0.701699,23,0.00148313,2,0.105339,0.088911,0.121766,0.886270,0.906509,0.866030,0.824623,0.862104,0.787142,0.011547,0.017529,0.136800,0.210221,0.000000,5,1,3,0,0
125,690.266,0.312026,0.799753,0.817165,0.782341,23,0.00120074,3,0.101761,0.094615,0.108908,0.896404,0.904342,0.888466,0.881013,0.894481,0.867545,0.012190,0.015475,0.104735,0.130364,0.000000,5,1,3,0,0
150,1023.272,0.284954,0.813254,0.825072,0.801435,24,0.00067387,4,0.100418,0.099983,0.100852,0.899091,0.900766,0.897416,0.894914,0.907566,0.882262,0.012995,0.014288,0.091499,0.115459,0.000000,6,1,3,0,0
175,1053.106,0.249587,0.833909,0.837040,0.830778,24,0.00021029,2,0.088653,0.086059,0.091247,0.911037,0.913520,0.908555,0.907830,0.909076,0.906584,0.011267,0.012934,0.089862,0.090489,0.000000,6,1,3,0,0
200,1420.487,0.209847,0.854918,0.863290,0.846545,27,0.00022714,1,0.088106,0.079852,0.096359,0.913522,0.921101,0.905943,0.930172,0.932226,0.928118,0.010152,0.013860,0.067012,0.069924,0.000000,9,1,3,0,0
225,1454.113,0.175297,0.873069,0.888453,0.857685,27,0.00024782,2,0.085455,0.069284,0.101627,0.917457,0.932028,0.902887,0.947429,0.950008,0.944849,0.008643,0.014354,0.049826,0.052765,0.000000,9,1,3,0,0
250,1861.343,0.154448,0.881957,0.902652,0.861263,30,0.00022155,1,0.090953,0.075323,0.106584,0.913701,0.927987,0.899415,0.961851,0.970643,0.953060,0.009661,0.014904,0.028943,0.044233,0.000000,12,1,3,0,0
275,1898.154,0.140441,0.892053,0.913370,0.870736,30,0.00055986,2,0.085900,0.072807,0.098993,0.918543,0.930837,0.906250,0.968401,0.979869,0.956933,0.009446,0.014144,0.019755,0.041495,0.000000,12,1,3,0,0
300,2300.115,0.129464,0.896895,0.918543,0.875246,31,0.00059784,1,0.086603,0.072974,0.100232,0.918394,0.931062,0.905726,0.974274,0.985573,0.962974,0.009440,0.014118,0.014201,0.034948,0.000000,15,1,5,0,0
325,2338.292,0.116506,0.905603,0.924511,0.886696,31,0.00061515,3,0.081111,0.071129,0.091092,0.923466,0.932986,0.913947,0.978869,0.990270,0.967467,0.009418,0.012819,0.009809,0.030217,0.000000,15,1,5,0,1
350,2777.770,0.104415,0.912281,0.926019,0.898542,33,0.00093027,6,0.077206,0.070290,0.084121,0.927143,0.933776,0.920509,0.982619,0.991109,0.974129,0.009049,0.011650,0.009044,0.023451,0.000000,18,1,6,0,1
375,2818.110,0.098582,0.917619,0.924428,0.910810,33,0.00099073,5,0.071693,0.069955,0.073431,0.932043,0.933946,0.930140,0.983394,0.989096,0.977692,0.009058,0.010312,0.010746,0.020540,0.000000,18,1,6,0,1
400,3265.002,0.098494,0.916923,0.922137,0.911710,32,0.00103838,3,0.073197,0.070793,0.075600,0.930763,0.933101,0.928425,0.984027,0.987418,0.980635,0.009235,0.010351,0.012264,0.018020,0.000000,18,1,7,0,1
425,3303.637,0.096175,0.918206,0.921032,0.915379,32,0.00115961,4,0.072809,0.072807,0.072812,0.931173,0.931373,0.930974,0.985059,0.988089,0.982029,0.009305,0.010041,0.012059,0.016513,0.000000,18,1,7,0,1
450,3716.716,0.086505,0.929920,0.942968,0.916872,31,0.00107792,3,0.054561,0.041268,0.067854,0.947427,0.959666,0.935188,0.980484,0.981882,0.979086,0.005252,0.009440,0.017338,0.019174,0.000000,18,1,8,0,1
475,3754.854,0.076052,0.936448,0.950458,0.922438,31,0.00130663,5,0.052766,0.042946,0.062587,0.949227,0.958475,0.939979,0.985724,0.991277,0.980170,0.005516,0.008482,0.009202,0.018291,0.000000,18,1,8,0,1
500,4171.458,0.069197,0.939198,0.949678,0.928717,32,0.00124426,3,0.052011,0.043449,0.060573,0.950030,0.957995,0.942065,0.987957,0.990941,0.984973,0.005421,0.008004,0.008927,0.013289,0.000000,20,1,9,0,1
525,4211.032,0.067477,0.942396,0.953178,0.931615,32,0.00134885,3,0.050275,0.042610,0.057940,0.951682,0.958886,0.944477,0.989693,0.993793,0.985593,0.005241,0.008239,0.006780,0.013228,0.000000,20,1,9,0,1
550,4594.074,0.065313,0.943870,0.955080,0.932660,31,0.00143909,2,0.050094,0.041939,0.058249,0.951916,0.959560,0.944272,0.991061,0.995135,0.986987,0.005286,0.008371,0.005311,0.011512,0.000000,20,1,10,0,1
575,4632.121,0.064810,0.944285,0.954962,0.933607,31,0.00148055,2,0.049978,0.042946,0.057010,0.952024,0.958663,0.945384,0.991403,0.995974,0.986832,0.005229,0.008350,0.004616,0.011929,0.000000,20,1,10,0,1
600,5017.622,0.059980,0.948312,0.961302,0.935323,31,0.00135612,2,0.044990,0.036068,0.053912,0.956598,0.965052,0.948145,0.990861,0.995974,0.985747,0.004436,0.007701,0.004766,0.012277,0.000000,20,1,10,0,1
625,5056.010,0.058037,0.950162,0.963577,0.936746,31,0.00120967,1,0.042422,0.031706,0.053137,0.958991,0.969092,0.948890,0.990325,0.994129,0.986522,0.003817,0.007621,0.006126,0.011665,0.000000,20,1,10,0,1
650,5444.909,0.055555,0.954054,0.968545,0.939564,31,0.00070957,1,0.037479,0.023989,0.050968,0.963650,0.976383,0.950917,0.989616,0.991780,0.987452,0.002863,0.007515,0.008846,0.010820,0.000000,20,1,10,0,1
675,5482.861,0.057070,0.951484,0.968452,0.934515,31,0.00066410,1,0.039222,0.020970,0.057475,0.962135,0.979232,0.945037,0.988493,0.988760,0.988226,0.002459,0.007737,0.011572,0.010538,0.000000,20,1,10,0,1
700,5905.251,0.052582,0.955957,0.971067,0.940848,31,0.00064930,2,0.036647,0.020466,0.052827,0.964567,0.979764,0.949369,0.990746,0.990941,0.990550,0.002374,0.007680,0.009187,0.008516,0.000000,20,1,10,0,1
725,5942.488,0.053553,0.955254,0.971843,0.938665,31,0.00070824,4,0.037280,0.018789,0.055771,0.964049,0.981377,0.946722,0.990559,0.990102,0.991015,0.002133,0.008034,0.010296,0.007989,0.000000,20,1,10,0,1
750,6307.153,0.053708,0.954544,0.973962,0.935126,31,0.00087686,4,0.039107,0.017950,0.060263,0.962459,0.982217,0.942701,0.991462,0.991444,0.991479,0.002031,0.008754,0.008861,0.006989,0.000000,20,1,10,0,1
775,6344.712,0.055357,0.952996,0.975103,0.930889,31,0.00075198,3,0.041101,0.017447,0.064756,0.960696,0.982719,0.938674,0.991643,0.992115,0.991170,0.001924,0.009353,0.008209,0.007605,0.000000,20,1,10,0,1
