step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.442,5.970469,0.255099,0.207099,0.303100,20,0.00020021,0,0.125269,0.156547,0.093992,0.691945,0.604746,0.779145,0.285554,0.239520,0.331588,0.035214,0.018930,0.755218,0.664372,0.000000,0,0,0,0,0
25,45.632,4.039190,0.447367,0.388826,0.505908,20,0.00086012,2,0.166596,0.235631,0.097561,0.760749,0.670941,0.850556,0.517855,0.480445,0.555265,0.053368,0.019597,0.516200,0.441420,0.000000,0,0,0,0,0
50,565.753,2.704746,0.541448,0.499802,0.583095,23,0.00168750,5,0.263268,0.362468,0.164069,0.728978,0.652620,0.805336,0.679863,0.680964,0.678763,0.082077,0.033030,0.317317,0.318911,0.000000,3,0,0,0,0
75,617.548,1.468864,0.606774,0.565738,0.647810,23,0.00183563,6,0.377324,0.524309,0.230339,0.698845,0.621893,0.775796,0.829693,0.862360,0.797026,0.119149,0.046099,0.136856,0.201011,0.000000,3,0,0,0,0
100,1211.810,0.848302,0.615440,0.560583,0.670298,26,0.00150041,11,0.489918,0.669188,0.310648,0.660903,0.583036,0.738769,0.907121,0.935717,0.878525,0.152436,0.062792,0.065520,0.120792,0.000000,6,0,0,0,0
125,1269.545,0.414165,0.633032,0.571798,0.694266,26,0.00115344,8,0.534093,0.713159,0.355027,0.652354,0.578695,0.726012,0.960165,0.979581,0.940750,0.162676,0.071940,0.022479,0.058962,0.000000,6,0,0,0,0
150,1886.885,0.183824,0.648846,0.579199,0.718494,29,0.00058098,7,0.541634,0.718129,0.365140,0.654781,0.580842,0.728719,0.987992,0.995138,0.980845,0.163808,0.073920,0.007032,0.019357,0.000000,9,0,0,0,0
175,1951.413,0.160608,0.674758,0.600824,0.748692,29,0.00046282,6,0.485147,0.651793,0.318501,0.679824,0.603588,0.756060,0.989794,0.992437,0.987151,0.148373,0.063732,0.009464,0.013278,0.000000,9,0,0,0,0
200,2582.902,0.123849,0.691769,0.610798,0.772740,31,0.00017739,5,0.456999,0.630834,0.283165,0.695060,0.612258,0.777861,0.993832,0.996111,0.991553,0.143186,0.056712,0.005804,0.009112,0.000000,11,0,0,0,0
225,2650.994,0.098067,0.699886,0.616643,0.783129,31,0.00026219,3,0.444936,0.617653,0.272219,0.701499,0.617592,0.785406,0.996913,0.997515,0.996312,0.140474,0.054202,0.004296,0.004839,0.000000,11,0,0,0,0
250,3137.953,0.094661,0.713258,0.625178,0.801339,30,0.00021826,2,0.419218,0.594533,0.243902,0.714911,0.626409,0.803414,0.996827,0.996867,0.996788,0.135350,0.048439,0.005184,0.003941,0.000000,11,0,1,0,0
275,3204.608,0.086757,0.723348,0.628461,0.818235,30,0.00034479,1,0.403533,0.588267,0.218798,0.724632,0.629188,0.820076,0.997713,0.998163,0.997264,0.133886,0.043842,0.003923,0.003739,0.000000,11,0,1,0,0
300,3767.278,0.081123,0.727617,0.628581,0.826652,30,0.00029149,4,0.397795,0.587619,0.207971,0.728513,0.629395,0.827630,0.998260,0.997947,0.998572,0.133619,0.041193,0.004106,0.002433,0.000000,11,0,1,0,0
325,3833.577,0.082993,0.730433,0.630208,0.830658,30,0.00037878,4,0.392546,0.584378,0.200714,0.731641,0.630810,0.832473,0.997935,0.998487,0.997383,0.133026,0.039976,0.003820,0.003283,0.000000,11,0,1,0,0
350,4367.491,0.078241,0.735434,0.631144,0.839724,30,0.00037339,3,0.385500,0.582541,0.188459,0.736387,0.631619,0.841155,0.998394,0.998812,0.997977,0.132350,0.037369,0.003453,0.002757,0.000000,11,0,1,0,0
375,4433.387,0.075765,0.742211,0.638285,0.846138,30,0.00030856,3,0.372255,0.564499,0.180012,0.743054,0.638858,0.847249,0.998524,0.998596,0.998453,0.127477,0.035703,0.003410,0.002697,0.000000,11,0,1,0,0
400,4923.582,0.073813,0.751727,0.643822,0.859631,30,0.00046787,2,0.356212,0.551210,0.161214,0.752658,0.644361,0.860954,0.998459,0.998704,0.998215,0.125005,0.032151,0.003513,0.002543,0.000000,11,0,1,0,0
425,4989.095,0.076475,0.757355,0.648120,0.866591,30,0.00035102,1,0.345548,0.539758,0.151338,0.758640,0.648985,0.868296,0.997843,0.997947,0.997739,0.122768,0.030253,0.003956,0.003055,0.000000,11,0,1,0,0
450,5522.536,0.071426,0.761939,0.652705,0.871172,29,0.00035727,2,0.337853,0.529602,0.146104,0.762873,0.653397,0.872349,0.998416,0.998379,0.998453,0.120133,0.029086,0.003702,0.002381,0.000000,11,0,2,0,0
475,5585.411,0.076843,0.761545,0.652401,0.870690,29,0.00041944,1,0.337664,0.529818,0.145509,0.762958,0.653232,0.872684,0.997719,0.998055,0.997383,0.120176,0.028668,0.003982,0.003410,0.000000,11,0,2,0,0
500,6090.077,0.077535,0.767358,0.649687,0.885030,29,0.00028346,2,0.331246,0.535545,0.126948,0.768892,0.650694,0.887090,0.997503,0.997623,0.997383,0.121655,0.024958,0.004244,0.003499,0.000000,11,0,2,0,0
