step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.572,5.824542,0.255480,0.295501,0.215459,20,0.00125031,0,0.200231,0.155846,0.244617,0.604819,0.686678,0.522961,0.304859,0.341553,0.268164,0.020895,0.036017,0.655062,0.729357,0.000000,0,0,0,0,0
25,27.096,3.674163,0.472729,0.540921,0.404538,20,0.00113218,2,0.196671,0.143768,0.249574,0.740456,0.811441,0.669471,0.562094,0.618688,0.505500,0.019012,0.036715,0.379815,0.491983,0.000000,0,0,0,0,0
50,317.810,2.094925,0.594018,0.684552,0.503485,22,0.00056334,1,0.274889,0.216239,0.333540,0.730966,0.793826,0.668105,0.751998,0.832578,0.671418,0.028770,0.048998,0.167007,0.326730,0.000000,3,0,1,0,0
75,345.916,1.100188,0.644138,0.700720,0.587556,22,0.00186973,3,0.357390,0.305486,0.409295,0.709434,0.749656,0.669212,0.871410,0.914779,0.828040,0.040886,0.060359,0.084974,0.169651,0.000000,3,0,1,0,0
100,672.019,0.557091,0.662440,0.698805,0.626074,25,0.00225083,2,0.418349,0.376279,0.460418,0.691935,0.718781,0.665089,0.938041,0.961751,0.914330,0.050435,0.068234,0.038466,0.085331,0.000000,6,0,1,0,0
125,705.449,0.250028,0.676037,0.693743,0.658332,25,0.00144797,3,0.442524,0.429123,0.455926,0.687789,0.697922,0.677656,0.974963,0.991444,0.958482,0.057691,0.067384,0.009180,0.041068,0.000000,6,0,1,0,0
150,994.658,0.103235,0.687950,0.701771,0.674129,28,0.00166561,6,0.443991,0.420903,0.467080,0.691202,0.703182,0.679221,0.993074,0.997148,0.989001,0.056744,0.069096,0.003787,0.011368,0.000000,9,0,1,0,0
175,1030.809,0.083494,0.719138,0.731446,0.706830,28,0.00062160,1,0.383527,0.363026,0.404028,0.721871,0.733070,0.710672,0.994695,0.996980,0.992409,0.048565,0.059356,0.003935,0.007995,0.000000,9,0,1,0,0
200,1349.454,0.074565,0.738704,0.752182,0.725226,27,0.00060562,1,0.347800,0.326120,0.369481,0.741233,0.753612,0.728854,0.995334,0.997484,0.993184,0.043615,0.054196,0.003468,0.007074,0.000000,9,0,2,0,0
225,1383.221,0.064178,0.740805,0.752917,0.728693,27,0.00034364,2,0.345652,0.322597,0.368706,0.742705,0.755312,0.730098,0.996586,0.995806,0.997366,0.043261,0.054213,0.004911,0.003223,0.000000,9,0,2,0,0
250,1700.242,0.055513,0.755047,0.768337,0.741757,26,0.00029143,1,0.321438,0.299111,0.343765,0.756493,0.769430,0.743557,0.997451,0.998155,0.996747,0.040053,0.050443,0.002706,0.003879,0.000000,9,0,3,0,0
275,1734.078,0.058059,0.763032,0.787931,0.738133,26,0.00030958,1,0.308045,0.264888,0.351201,0.764801,0.790027,0.739575,0.997006,0.996645,0.997366,0.035250,0.051656,0.004281,0.003169,0.000000,9,0,3,0,0
300,2048.131,0.056027,0.761324,0.784733,0.737915,26,0.00022051,4,0.311348,0.270257,0.352440,0.762861,0.786707,0.739016,0.997399,0.996813,0.997986,0.035864,0.051719,0.004120,0.002812,0.000000,9,0,3,0,0
325,2081.757,0.055281,0.765300,0.793265,0.737336,26,0.00038682,3,0.305045,0.255326,0.354764,0.766925,0.795924,0.737926,0.997361,0.995806,0.998916,0.033943,0.051780,0.004785,0.002077,0.000000,9,0,3,0,0
350,2363.824,0.043818,0.772695,0.801535,0.743856,27,0.00028009,2,0.294306,0.245932,0.342680,0.773471,0.802399,0.744543,0.998709,0.998658,0.998761,0.032830,0.050269,0.002203,0.002135,0.000000,12,0,5,0,0
375,2398.775,0.060517,0.778818,0.803683,0.753952,27,0.00074428,4,0.280952,0.239054,0.322851,0.780934,0.806412,0.755456,0.996586,0.995806,0.997366,0.031895,0.047203,0.005107,0.003427,0.000000,12,0,5,0,0
400,2666.184,0.052015,0.767278,0.784293,0.750262,24,0.00056365,2,0.300923,0.273109,0.328737,0.768620,0.785224,0.752016,0.997696,0.998490,0.996902,0.036336,0.048480,0.002122,0.003998,0.000000,12,0,8,0,0
425,2696.587,0.048781,0.773595,0.791911,0.755279,24,0.00036821,3,0.290694,0.260862,0.320527,0.774824,0.792860,0.756789,0.997928,0.998490,0.997366,0.034880,0.047234,0.002290,0.003289,0.000000,12,0,8,0,0
