pair,arm,config,step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
sun_moon,srd,aw0p25,1,1.546,1.469492,0.253556,0.207253,0.299858,20,0.00018595,0,0.119952,0.149957,0.089946,0.698993,0.613801,0.784185,0.282581,0.238332,0.326829,0.033556,0.018169,0.756427,0.669296,0.000000,0,0,0,0,0
sun_moon,srd,aw0p25,25,27.723,1.109901,0.407175,0.376386,0.437964,20,0.00102158,1,0.061962,0.081569,0.042356,0.874086,0.833075,0.915097,0.431801,0.407087,0.456514,0.018131,0.008298,0.587555,0.539159,0.000000,0,0,0,0,0
sun_moon,srd,aw0p25,50,339.927,0.878249,0.526101,0.512119,0.540083,23,0.00131260,2,0.055804,0.078652,0.032957,0.909792,0.875364,0.944221,0.555140,0.552398,0.557882,0.016895,0.006467,0.443250,0.438114,0.000000,2,1,0,0,0
sun_moon,srd,aw0p25,75,371.030,0.711054,0.615011,0.590887,0.639134,23,0.00143514,5,0.057873,0.093021,0.022725,0.920254,0.874104,0.966403,0.649755,0.645851,0.653659,0.019815,0.004456,0.349298,0.342561,0.000000,2,1,0,0,0
sun_moon,srd,aw0p25,100,696.960,0.616675,0.663689,0.616605,0.710773,24,0.00077770,3,0.049355,0.082649,0.016062,0.934038,0.889833,0.978243,0.694878,0.667567,0.722189,0.017465,0.002891,0.328435,0.274729,0.000000,4,2,2,0,0
sun_moon,srd,aw0p25,125,729.200,0.533593,0.707707,0.647469,0.767945,24,0.00044364,4,0.040159,0.069252,0.011065,0.947507,0.909065,0.985950,0.734375,0.692308,0.776443,0.015095,0.001972,0.303367,0.220898,0.000000,4,2,2,0,0
sun_moon,srd,aw0p25,150,1071.354,0.458423,0.747797,0.684354,0.811241,25,0.00015154,4,0.040369,0.070981,0.009756,0.949968,0.911705,0.988230,0.776043,0.732930,0.819155,0.015212,0.001729,0.264048,0.177425,0.000000,7,2,4,0,0
sun_moon,srd,aw0p25,175,1105.834,0.381405,0.789634,0.720405,0.858862,25,0.00019118,2,0.042566,0.076923,0.008209,0.950201,0.909793,0.990608,0.820867,0.775821,0.865913,0.016459,0.001385,0.221573,0.130689,0.000000,7,2,4,0,0
sun_moon,srd,aw0p25,200,1501.325,0.298666,0.832865,0.775467,0.890263,28,0.00012567,3,0.042940,0.075411,0.010470,0.952784,0.917073,0.988495,0.866765,0.833946,0.899584,0.016158,0.001885,0.162602,0.096979,0.000000,10,2,4,0,0
sun_moon,srd,aw0p25,225,1539.395,0.253899,0.856381,0.812399,0.900363,28,0.00011057,5,0.044554,0.071737,0.017371,0.952634,0.923879,0.981389,0.893340,0.870678,0.916002,0.015138,0.003271,0.127327,0.081061,0.000000,10,2,4,0,0
sun_moon,srd,aw0p25,250,1971.356,0.213925,0.877351,0.848442,0.906261,31,0.00011147,3,0.047842,0.071413,0.024271,0.950841,0.927163,0.974519,0.918644,0.909032,0.928257,0.015248,0.004578,0.089055,0.069247,0.000000,13,2,4,0,0
sun_moon,srd,aw0p25,275,2012.877,0.177018,0.896896,0.879616,0.914176,31,0.00013080,2,0.045519,0.067956,0.023081,0.954228,0.932540,0.975916,0.937334,0.939391,0.935277,0.014617,0.004438,0.058343,0.062020,0.000000,13,2,4,0,0
