step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.396,1.698920,0.150880,0.192249,0.109511,20,0.00033679,0,0.083574,0.091890,0.075258,0.652807,0.695532,0.610082,0.163833,0.209914,0.117752,0.025293,0.032610,0.775958,0.879859,0.000000,0,0,0,0,0
25,43.721,1.383708,0.267164,0.330753,0.203575,20,0.00008943,1,0.041174,0.045480,0.036868,0.867537,0.883765,0.851308,0.278438,0.345796,0.211080,0.012078,0.015775,0.640237,0.785735,0.000000,0,0,0,0,0
50,521.285,1.098726,0.414974,0.473066,0.356882,23,0.00012698,1,0.038061,0.044550,0.031573,0.919157,0.917300,0.921013,0.431145,0.494141,0.368149,0.011699,0.013471,0.492338,0.627691,0.000000,3,0,0,0,0
75,569.137,0.851427,0.545014,0.574770,0.515257,23,0.00060131,1,0.033886,0.041760,0.026013,0.943954,0.934805,0.953103,0.563716,0.598772,0.528660,0.011070,0.011320,0.388615,0.467388,0.000000,3,0,0,0,0
100,1122.614,0.680054,0.637307,0.647287,0.627326,26,0.00036310,2,0.037470,0.054222,0.020718,0.947524,0.926389,0.968659,0.661354,0.682385,0.640323,0.014543,0.008600,0.306192,0.356572,0.000000,6,0,0,0,0
125,1177.025,0.558826,0.701554,0.699443,0.703665,26,0.00053965,1,0.035169,0.051804,0.018533,0.954504,0.934215,0.974793,0.726192,0.735677,0.716706,0.013918,0.007753,0.253417,0.280394,0.000000,6,0,0,0,0
150,1803.592,0.471668,0.748556,0.760602,0.736511,29,0.00022238,2,0.034948,0.050502,0.019394,0.957686,0.940552,0.974820,0.774904,0.799014,0.750794,0.013769,0.007975,0.190687,0.246238,0.000000,9,0,0,0,0
175,1864.324,0.411437,0.781722,0.790757,0.772686,29,0.00044841,2,0.038136,0.056548,0.019725,0.956093,0.936607,0.975578,0.811700,0.835472,0.787927,0.015044,0.008107,0.154633,0.209568,0.000000,9,0,0,0,0
200,2536.641,0.353170,0.812861,0.816542,0.809180,31,0.00007063,1,0.037541,0.057013,0.018070,0.958287,0.938037,0.978536,0.843449,0.863095,0.823802,0.015236,0.007480,0.127466,0.174023,0.000000,12,0,1,0,0
225,2601.442,0.308326,0.837250,0.829556,0.844943,31,0.00020899,1,0.040319,0.062965,0.017673,0.956607,0.933353,0.979861,0.870832,0.881789,0.859876,0.016866,0.006965,0.109557,0.137542,0.000000,12,0,1,0,0
250,3337.773,0.267931,0.862195,0.839224,0.885166,33,0.00079145,1,0.042897,0.068452,0.017342,0.955090,0.929074,0.981106,0.898593,0.896670,0.900516,0.019231,0.006859,0.095854,0.096872,0.000000,15,0,2,0,0
275,3407.331,0.248485,0.874102,0.835137,0.913066,33,0.00059811,1,0.046429,0.074126,0.018732,0.951967,0.923674,0.980259,0.913606,0.897042,0.930169,0.020747,0.007708,0.094908,0.066901,0.000000,15,0,2,0,0
300,4217.213,0.226432,0.884768,0.838623,0.930913,36,0.00090611,3,0.046451,0.075428,0.017474,0.952353,0.922821,0.981886,0.924530,0.901879,0.947180,0.021037,0.006893,0.089747,0.049420,0.000000,18,0,2,0,0
325,4293.652,0.216032,0.891716,0.848474,0.934958,36,0.00066495,3,0.045791,0.072917,0.018666,0.953310,0.925842,0.980778,0.931376,0.910342,0.952409,0.020604,0.007580,0.081595,0.045188,0.000000,18,0,2,0,0
350,5112.827,0.206392,0.895752,0.851392,0.940112,34,0.00015990,6,0.044446,0.072080,0.016812,0.954764,0.926811,0.982716,0.934339,0.912760,0.955917,0.020135,0.006877,0.078957,0.042195,0.000000,18,0,4,0,0
375,5185.662,0.197529,0.901060,0.858745,0.943375,34,0.00019095,4,0.044038,0.069940,0.018136,0.955366,0.929263,0.981468,0.939645,0.918806,0.960485,0.019737,0.007305,0.073566,0.037594,0.000000,18,0,4,0,0
400,5994.803,0.191879,0.903772,0.861580,0.945963,34,0.00020279,5,0.044070,0.069010,0.019129,0.955420,0.930296,0.980544,0.942548,0.921038,0.964059,0.019082,0.007799,0.071397,0.034117,0.000000,18,0,4,0,0
425,6066.773,0.186754,0.906728,0.865682,0.947775,34,0.00009352,3,0.045376,0.070499,0.020254,0.954394,0.929304,0.979484,0.946841,0.926711,0.966971,0.019058,0.008543,0.066203,0.030825,0.000000,18,0,4,0,0
450,6874.790,0.174989,0.911717,0.870084,0.953351,34,0.00000519,4,0.044506,0.068824,0.020188,0.955379,0.931092,0.979665,0.951282,0.929967,0.972597,0.018340,0.008402,0.061965,0.025495,0.000000,18,0,4,0,1
475,6946.086,0.169618,0.914922,0.869732,0.960111,34,0.00000361,4,0.045127,0.068080,0.022174,0.954811,0.931716,0.977905,0.955172,0.928943,0.981401,0.018251,0.008870,0.063405,0.016572,0.000000,18,0,4,0,1
500,7707.601,0.162239,0.920881,0.874587,0.967175,37,0.00002705,3,0.046498,0.068638,0.024358,0.953794,0.931584,0.976004,0.962675,0.934617,0.990733,0.018272,0.010293,0.058104,0.007881,0.000000,21,0,4,0,1
525,7785.024,0.150344,0.924803,0.878098,0.971508,37,0.00000717,6,0.044011,0.065848,0.022174,0.956213,0.934268,0.978159,0.964484,0.935919,0.993050,0.017335,0.009029,0.056245,0.005342,0.000000,21,0,4,0,1
550,8661.550,0.148578,0.926802,0.882229,0.971375,37,0.00002262,3,0.040922,0.059803,0.022041,0.959082,0.939884,0.978281,0.963887,0.934989,0.992785,0.016414,0.009082,0.057428,0.005658,0.000000,21,0,4,0,1
575,8738.827,0.150079,0.927331,0.883128,0.971534,37,0.00001125,4,0.040754,0.058408,0.023100,0.959238,0.941187,0.977288,0.964343,0.934710,0.993977,0.016488,0.009623,0.057988,0.004312,0.000000,21,0,4,0,1
600,9553.964,0.146544,0.928349,0.885465,0.971233,36,0.00001636,3,0.040175,0.056455,0.023895,0.959810,0.943085,0.976536,0.964947,0.935454,0.994440,0.015379,0.010014,0.057232,0.004011,0.000000,21,0,5,0,1
625,9629.671,0.157577,0.921738,0.874288,0.969189,36,0.00003525,3,0.041745,0.060919,0.022571,0.958052,0.938370,0.977733,0.959306,0.927548,0.991064,0.016583,0.008999,0.065728,0.007005,0.000000,21,0,5,0,1
650,10482.939,0.160406,0.920589,0.868449,0.972730,36,0.00006465,1,0.041520,0.061198,0.021843,0.958114,0.937731,0.978497,0.957786,0.921596,0.993977,0.016458,0.009269,0.070937,0.004335,0.000000,21,0,5,0,1
675,10557.338,0.154614,0.922561,0.873001,0.972121,36,0.00009303,1,0.039569,0.058222,0.020916,0.960037,0.940714,0.979360,0.958141,0.923828,0.992454,0.015658,0.008831,0.068030,0.005738,0.000000,21,0,5,0,1
700,11396.374,0.160148,0.921900,0.875393,0.968407,36,0.00006779,2,0.045856,0.065104,0.026608,0.954333,0.934732,0.973933,0.963280,0.932385,0.994175,0.017559,0.011137,0.059068,0.004037,0.000000,21,0,5,0,1
725,11471.014,0.164141,0.921779,0.881713,0.961845,36,0.00004842,0,0.048636,0.068545,0.028727,0.951984,0.932180,0.971787,0.965813,0.942150,0.989476,0.018637,0.012018,0.051024,0.008697,0.000000,21,0,5,0,1
750,12277.414,0.156741,0.924315,0.883621,0.965008,36,0.00008307,2,0.046214,0.065290,0.027138,0.954244,0.935138,0.973351,0.966255,0.941313,0.991197,0.017859,0.011165,0.051343,0.006650,0.000000,21,0,5,0,1
775,12352.342,0.157910,0.924793,0.887502,0.962085,36,0.00009409,3,0.047823,0.065662,0.029984,0.952855,0.935080,0.970630,0.968355,0.945778,0.990932,0.018147,0.012289,0.046835,0.006803,0.000000,21,0,5,0,1
800,13162.194,0.149721,0.928391,0.893313,0.963469,36,0.00031805,4,0.045011,0.062686,0.027337,0.955591,0.938057,0.973124,0.969559,0.949312,0.989807,0.017511,0.011275,0.043454,0.007512,0.000000,21,0,5,0,1
825,13237.123,0.147300,0.929017,0.891475,0.966559,36,0.00064514,3,0.047117,0.066964,0.027270,0.953749,0.934229,0.973269,0.972045,0.951172,0.992918,0.018322,0.010871,0.041562,0.004831,0.000000,21,0,5,0,1
850,14058.896,0.148838,0.928301,0.886342,0.970259,36,0.00058930,3,0.045410,0.067057,0.023762,0.955215,0.933792,0.976637,0.969546,0.945778,0.993315,0.018231,0.010132,0.046807,0.004658,0.000000,21,0,5,0,1
875,14133.146,0.157937,0.923285,0.877873,0.968698,36,0.00036770,2,0.048908,0.072266,0.025549,0.951815,0.928703,0.974927,0.967380,0.941313,0.993447,0.019235,0.010543,0.052082,0.004005,0.000000,21,0,5,0,1
900,14864.055,0.154267,0.926933,0.887912,0.965954,35,0.00001586,4,0.048178,0.067894,0.028462,0.952665,0.933181,0.972148,0.970821,0.948196,0.993447,0.018697,0.011857,0.044830,0.004352,0.000000,21,0,6,0,1
925,14935.889,0.160886,0.925511,0.891208,0.959813,35,0.00000802,1,0.051914,0.069475,0.034353,0.949307,0.932060,0.966555,0.972955,0.953125,0.992785,0.019316,0.014270,0.039213,0.005197,0.000000,21,0,6,0,1
950,15706.070,0.160187,0.926460,0.894810,0.958110,34,0.00000345,1,0.052309,0.068080,0.036537,0.949009,0.933503,0.964515,0.974423,0.955729,0.993116,0.018625,0.015430,0.036968,0.004796,0.000000,21,0,7,0,1
975,15776.188,0.153879,0.927516,0.891667,0.963365,34,0.00000864,0,0.051534,0.071429,0.031639,0.949791,0.930435,0.969147,0.974601,0.955357,0.993844,0.019203,0.013280,0.037125,0.003912,0.000000,21,0,7,0,1
1000,16532.826,0.134785,0.934707,0.897458,0.971955,34,0.00000710,1,0.044558,0.064825,0.024292,0.956328,0.936475,0.976181,0.975601,0.955636,0.995565,0.017223,0.010331,0.036536,0.003004,0.000000,21,0,7,0,1
1025,16603.630,0.131483,0.936691,0.901585,0.971796,34,0.00000016,0,0.042727,0.062221,0.023233,0.958081,0.938993,0.977169,0.976028,0.957682,0.994374,0.017231,0.009732,0.034970,0.003272,0.000000,21,0,7,1,1
1050,17695.481,0.135771,0.934422,0.896911,0.971933,30,0.00000003,0,0.043138,0.062779,0.023497,0.957567,0.938209,0.976924,0.973994,0.953218,0.994771,0.017225,0.009758,0.039573,0.003350,0.000000,21,0,11,1,1
1075,17756.483,0.125540,0.938270,0.905796,0.970744,30,0.00000205,0,0.040011,0.057385,0.022637,0.960589,0.943472,0.977705,0.975247,0.957775,0.992719,0.015292,0.009474,0.035167,0.005257,0.000000,21,0,11,1,1
1100,18789.047,0.118701,0.940815,0.909187,0.972444,27,0.00000166,0,0.037862,0.054874,0.020850,0.962655,0.945881,0.979429,0.975898,0.959077,0.992719,0.015108,0.008433,0.033087,0.004635,0.000000,21,0,14,1,1
1125,18845.835,0.115362,0.941535,0.910139,0.972931,27,0.00000877,0,0.034057,0.048456,0.019658,0.966122,0.951674,0.980569,0.973149,0.954241,0.992057,0.013004,0.008130,0.037610,0.006028,0.000000,21,0,14,1,1
1150,19752.134,0.127761,0.935976,0.906256,0.965696,24,0.00000254,0,0.032215,0.043713,0.020718,0.967621,0.955827,0.979415,0.965787,0.945871,0.985703,0.012076,0.008643,0.046959,0.012120,0.000000,21,0,17,1,1
