step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.509,1.654705,0.181690,0.203214,0.160166,20,0.00004531,0,0.156578,0.163245,0.149911,0.571397,0.591511,0.551282,0.210282,0.236387,0.184176,0.037139,0.029919,0.758079,0.812215,0.000000,0,0,0,0,0
25,27.047,1.273071,0.335721,0.370873,0.300569,20,0.00000286,1,0.093184,0.099395,0.086972,0.796883,0.804005,0.789761,0.367223,0.407736,0.326710,0.022398,0.017159,0.587027,0.669263,0.000000,0,0,0,0,0
50,331.313,0.934878,0.506757,0.559068,0.454445,23,0.00031771,0,0.090580,0.103825,0.077335,0.859788,0.855987,0.863589,0.553351,0.617113,0.489590,0.023212,0.015204,0.378076,0.506763,0.000000,3,0,0,0,0
75,361.330,0.751931,0.599365,0.666961,0.531769,23,0.00069886,2,0.088736,0.102636,0.074836,0.880878,0.877530,0.884226,0.653490,0.735415,0.571565,0.022745,0.014652,0.260625,0.424722,0.000000,3,0,0,0,0
100,710.031,0.655480,0.649654,0.692217,0.607091,26,0.00016176,3,0.089389,0.105013,0.073766,0.888814,0.879285,0.898344,0.708392,0.764909,0.651874,0.023457,0.014269,0.232265,0.345019,0.000000,6,0,0,0,0
125,744.595,0.561148,0.696054,0.743005,0.649103,26,0.00002793,2,0.078431,0.088807,0.068055,0.905847,0.901083,0.910611,0.751133,0.808989,0.693278,0.019175,0.013534,0.188078,0.304561,0.000000,6,0,0,0,0
150,1142.214,0.476340,0.740432,0.784271,0.696593,29,0.00029579,2,0.078671,0.085242,0.072100,0.910461,0.908965,0.911957,0.798970,0.851124,0.746817,0.018652,0.014293,0.146470,0.250786,0.000000,9,0,0,0,0
175,1180.836,0.437948,0.759628,0.789988,0.729269,29,0.00045434,2,0.075433,0.083405,0.067460,0.915728,0.911203,0.920253,0.817171,0.855877,0.778465,0.018077,0.013302,0.141633,0.219104,0.000000,9,0,0,0,0
200,1622.008,0.377169,0.791406,0.810283,0.772529,32,0.00032746,2,0.074853,0.084270,0.065437,0.919415,0.912478,0.926352,0.850823,0.878565,0.823081,0.018407,0.012870,0.119426,0.174288,0.000000,12,0,0,0,0
225,1664.223,0.325700,0.816918,0.831346,0.802490,32,0.00037529,2,0.073938,0.087079,0.060797,0.922728,0.912114,0.933342,0.877509,0.903738,0.851279,0.018641,0.011914,0.093908,0.145468,0.000000,12,0,0,0,0
250,2145.882,0.289504,0.836634,0.847273,0.825994,35,0.00028844,2,0.072799,0.083729,0.061868,0.925272,0.916433,0.934110,0.897656,0.918215,0.877097,0.018111,0.012179,0.079932,0.120353,0.000000,15,0,0,0,0
275,2192.252,0.255170,0.854245,0.870117,0.838374,35,0.00011544,2,0.075948,0.089672,0.062225,0.924143,0.913596,0.934690,0.919342,0.948142,0.890541,0.019284,0.012140,0.050668,0.107069,0.000000,15,0,0,0,0
300,2712.069,0.226380,0.869096,0.882138,0.856055,35,0.00025435,3,0.077833,0.093561,0.062106,0.923824,0.911588,0.936061,0.936946,0.964672,0.909221,0.020362,0.011871,0.034129,0.088274,0.000000,16,0,1,0,0
325,2758.240,0.206299,0.880798,0.887814,0.873782,35,0.00017476,2,0.072041,0.093993,0.050089,0.930000,0.911765,0.948236,0.944405,0.971262,0.917549,0.020441,0.009601,0.027970,0.080945,0.000000,16,0,1,0,0
350,3293.548,0.204119,0.880785,0.893151,0.868418,35,0.00024439,3,0.070340,0.089996,0.050684,0.931377,0.915380,0.947375,0.942982,0.973531,0.912433,0.019558,0.009610,0.024845,0.085090,0.000000,16,0,1,0,0
375,3339.892,0.201007,0.883309,0.894794,0.871824,35,0.00020342,4,0.070258,0.091616,0.048899,0.931744,0.914248,0.949240,0.945614,0.976772,0.914456,0.019979,0.009367,0.021982,0.083818,0.000000,16,0,1,0,0
400,3855.157,0.191591,0.888708,0.901493,0.875923,34,0.00035249,2,0.066449,0.085782,0.047115,0.935282,0.919424,0.951141,0.948008,0.978825,0.917192,0.018956,0.008849,0.020203,0.081183,0.000000,16,0,2,0,0
425,3900.225,0.188624,0.890550,0.902577,0.878523,34,0.00032833,3,0.066335,0.085674,0.046996,0.935495,0.919598,0.951391,0.949857,0.979905,0.919810,0.018668,0.009029,0.019860,0.078678,0.000000,16,0,2,0,0
450,4388.695,0.178159,0.895982,0.900526,0.891438,33,0.00030901,1,0.068529,0.089347,0.047710,0.933962,0.916524,0.951400,0.957477,0.980985,0.933968,0.019757,0.009119,0.018429,0.063783,0.000000,16,0,3,0,0
475,4432.827,0.164107,0.903503,0.904738,0.902268,33,0.00031307,4,0.069802,0.085350,0.054253,0.933037,0.920032,0.946042,0.966589,0.981958,0.951220,0.018706,0.010360,0.018147,0.047685,0.000000,16,0,3,0,1
500,4922.883,0.162880,0.903995,0.900498,0.907493,33,0.00035423,3,0.070310,0.084702,0.055919,0.932533,0.920204,0.944862,0.967505,0.976772,0.958239,0.018539,0.010638,0.023188,0.040806,0.000000,16,0,3,0,1
525,4966.807,0.148513,0.911504,0.901982,0.921026,33,0.00031955,2,0.066568,0.084594,0.048543,0.936276,0.920411,0.952141,0.972010,0.978284,0.965735,0.018421,0.009306,0.020719,0.033140,0.000000,16,0,3,0,1
550,5453.130,0.138429,0.917190,0.906181,0.928198,33,0.00040975,2,0.063699,0.080164,0.047234,0.938980,0.924301,0.953659,0.975432,0.978825,0.972040,0.017765,0.008908,0.020409,0.026389,0.000000,16,0,3,0,1
575,5497.009,0.130365,0.922245,0.906013,0.938477,33,0.00037559,2,0.062016,0.081677,0.042356,0.940784,0.923069,0.958498,0.979120,0.980013,0.978227,0.018041,0.008219,0.018631,0.020888,0.000000,16,0,3,0,1
600,5965.467,0.130138,0.921980,0.908163,0.935797,32,0.00052731,2,0.061628,0.079948,0.043308,0.941077,0.924628,0.957526,0.978546,0.980769,0.976324,0.017499,0.008267,0.018470,0.022653,0.000000,16,0,4,0,1
625,6008.092,0.132173,0.920734,0.903748,0.937721,32,0.00045351,3,0.062947,0.080920,0.044973,0.939810,0.923501,0.956118,0.978386,0.976880,0.979893,0.017639,0.008477,0.022482,0.019557,0.000000,16,0,4,0,1
650,6464.327,0.134993,0.918781,0.900219,0.937343,32,0.00043202,2,0.064108,0.083838,0.044378,0.938753,0.920873,0.956633,0.977316,0.975691,0.978941,0.018492,0.008225,0.023496,0.019294,0.000000,16,0,4,0,1
675,6506.073,0.132609,0.921266,0.899642,0.942890,32,0.00037536,2,0.063388,0.085134,0.041642,0.939557,0.919788,0.959326,0.979193,0.976232,0.982153,0.018880,0.007853,0.023259,0.016859,0.000000,16,0,4,0,1
700,6963.030,0.133987,0.920877,0.896795,0.944959,31,0.00033317,1,0.064219,0.088699,0.039738,0.938922,0.916717,0.961127,0.979425,0.976340,0.982510,0.019818,0.007564,0.022585,0.016503,0.000000,16,0,5,0,1
725,7003.492,0.137299,0.919141,0.893005,0.945278,31,0.00029074,2,0.066412,0.093561,0.039262,0.937070,0.912569,0.961570,0.979474,0.976556,0.982391,0.020781,0.007527,0.022480,0.016619,0.000000,16,0,5,0,1
750,7430.497,0.132626,0.921938,0.897509,0.946367,31,0.00025476,2,0.065660,0.093129,0.038192,0.937944,0.913306,0.962583,0.981802,0.981093,0.982510,0.020940,0.007264,0.017798,0.016550,0.000000,16,0,5,0,1
775,7470.593,0.139557,0.918166,0.900604,0.935727,31,0.00028725,4,0.065272,0.090212,0.040333,0.938034,0.915852,0.960216,0.977659,0.981850,0.973468,0.020135,0.007692,0.017460,0.026072,0.000000,16,0,5,0,1
800,7928.713,0.135422,0.918822,0.904639,0.933006,31,0.00023133,3,0.063912,0.085350,0.042475,0.939091,0.920024,0.958158,0.977242,0.981850,0.972635,0.018693,0.007980,0.017736,0.025859,0.000000,16,0,5,0,1
825,7969.050,0.128618,0.923467,0.905065,0.941870,31,0.00023446,2,0.063841,0.087943,0.039738,0.939507,0.918010,0.961004,0.981978,0.984659,0.979298,0.019342,0.007715,0.014773,0.019726,0.000000,16,0,5,0,1
850,8366.411,0.122575,0.925822,0.915380,0.936264,31,0.00022323,3,0.062403,0.077571,0.047234,0.940566,0.927092,0.954040,0.983438,0.986387,0.980488,0.017147,0.008926,0.013129,0.018601,0.000000,16,0,5,0,1
875,8406.128,0.106919,0.934730,0.923310,0.946150,31,0.00028094,2,0.054543,0.070657,0.038430,0.947826,0.933293,0.962359,0.985529,0.988548,0.982510,0.015335,0.007463,0.011086,0.016301,0.000000,16,0,5,0,1
900,8837.224,0.105355,0.935790,0.924803,0.946777,31,0.00019517,2,0.053084,0.068928,0.037240,0.949141,0.934818,0.963464,0.985291,0.988548,0.982035,0.015157,0.007056,0.011318,0.016739,0.000000,16,0,5,0,1
925,8877.289,0.101717,0.937184,0.924757,0.949610,31,0.00028816,3,0.052403,0.068280,0.036526,0.949785,0.935352,0.964219,0.986097,0.987900,0.984295,0.014419,0.007158,0.011472,0.015013,0.000000,16,0,5,0,1
950,9277.658,0.101799,0.937799,0.925311,0.950287,31,0.00024311,3,0.051906,0.067524,0.036288,0.950238,0.936016,0.964460,0.986281,0.987792,0.984771,0.014525,0.007205,0.011509,0.014490,0.000000,16,0,5,0,1
975,9317.905,0.100608,0.937790,0.924374,0.951206,31,0.00024417,5,0.053148,0.070009,0.036288,0.949196,0.933898,0.964494,0.987405,0.989088,0.985723,0.014885,0.007029,0.009851,0.014091,0.000000,16,0,5,0,1
1000,9686.982,0.098491,0.939944,0.926536,0.953352,31,0.00025784,2,0.051050,0.069144,0.032957,0.951186,0.934754,0.967617,0.987686,0.990601,0.984771,0.014862,0.006578,0.009227,0.014246,0.000000,16,0,5,0,1
