step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.556,0.578331,0.279412,0.195999,0.362825,20,0.00095824,0,0.223292,0.141640,0.304944,0.610309,0.612370,0.608247,0.348613,0.223761,0.473466,0.028615,0.025359,0.156810,0.064552,0.000000,0,0,0,0,0
25,27.769,0.342064,0.498807,0.342704,0.654911,20,0.00022201,0,0.075135,0.056561,0.093710,0.874602,0.864895,0.884308,0.539185,0.362087,0.716283,0.011125,0.007479,0.118674,0.029025,0.000000,0,0,0,0,0
50,200.140,0.262064,0.612531,0.454752,0.770310,23,0.00072213,3,0.046169,0.040824,0.051514,0.930401,0.920598,0.940204,0.641655,0.473317,0.809992,0.007966,0.004157,0.096966,0.018659,0.000000,2,1,0,0,0
75,230.931,0.214762,0.683968,0.531601,0.836336,23,0.00052316,3,0.033958,0.033487,0.034429,0.952138,0.942550,0.961727,0.707267,0.549402,0.865131,0.006484,0.002765,0.082684,0.012952,0.000000,2,1,0,0,0
100,426.731,0.179877,0.735947,0.595441,0.876453,26,0.00034043,3,0.026200,0.027807,0.024592,0.964941,0.956538,0.973345,0.755003,0.611999,0.898007,0.005477,0.001915,0.070972,0.009607,0.000000,5,1,0,0,0
125,460.836,0.161899,0.769456,0.649272,0.889640,26,0.00033077,3,0.033071,0.031712,0.034429,0.959368,0.954798,0.963937,0.795065,0.669862,0.920269,0.005900,0.002755,0.061423,0.008592,0.000000,5,1,0,0,0
150,679.279,0.143502,0.798009,0.696318,0.899701,29,0.00025644,3,0.032908,0.028281,0.037536,0.961673,0.962003,0.961344,0.824741,0.716010,0.933471,0.005619,0.002875,0.053313,0.007730,0.000000,7,2,0,0,0
175,717.374,0.127631,0.820834,0.742417,0.899250,29,0.00040577,4,0.032701,0.029937,0.035465,0.962817,0.962323,0.963310,0.847892,0.764643,0.931142,0.005953,0.002675,0.045194,0.007694,0.000000,7,2,0,0,0
200,942.896,0.113786,0.837683,0.780760,0.894606,30,0.00032742,3,0.034258,0.027097,0.041419,0.962375,0.967314,0.957435,0.866788,0.801917,0.931659,0.005222,0.003176,0.038081,0.008200,0.000000,10,2,2,0,0
225,982.504,0.102828,0.857327,0.818025,0.896629,30,0.00021607,2,0.036806,0.029346,0.044266,0.960590,0.966323,0.954857,0.889175,0.842031,0.936319,0.005734,0.003510,0.031685,0.008098,0.000000,10,2,2,0,0
250,1235.024,0.101487,0.864265,0.829394,0.899137,33,0.00005377,1,0.042956,0.036209,0.049702,0.954773,0.959572,0.949974,0.901625,0.859425,0.943826,0.006764,0.003926,0.029514,0.007849,0.000000,13,2,2,0,0
275,1278.521,0.093156,0.872293,0.839210,0.905375,33,0.00007890,3,0.037667,0.030292,0.045043,0.960354,0.966151,0.954557,0.905394,0.864631,0.946156,0.005713,0.003480,0.027743,0.007316,0.000000,13,2,2,0,0
300,1562.397,0.087586,0.882663,0.855194,0.910132,36,0.00016889,4,0.035966,0.032067,0.039865,0.962261,0.964942,0.959580,0.914516,0.882617,0.946415,0.006122,0.003225,0.025040,0.007011,0.000000,16,2,2,0,0
325,1610.278,0.083017,0.886541,0.868475,0.904608,36,0.00008581,3,0.036536,0.033724,0.039348,0.961813,0.963796,0.959831,0.918983,0.897764,0.940202,0.006260,0.003037,0.022534,0.007324,0.000000,16,2,2,0,0
350,1911.110,0.077643,0.894988,0.883127,0.906849,35,0.00006520,5,0.036536,0.033724,0.039348,0.962151,0.964375,0.959926,0.927721,0.912910,0.942532,0.006229,0.003095,0.019885,0.007259,0.000000,16,2,3,0,0
375,1957.802,0.070441,0.906347,0.889310,0.923384,35,0.00008688,4,0.033370,0.029464,0.037277,0.965680,0.968820,0.962539,0.936659,0.915513,0.957805,0.005496,0.002897,0.018878,0.005822,0.000000,16,2,3,0,1
400,2258.756,0.066005,0.912945,0.897015,0.928876,35,0.00008775,2,0.032150,0.030647,0.033653,0.967025,0.967914,0.966137,0.942320,0.924506,0.960135,0.005616,0.002552,0.017398,0.005364,0.000000,16,2,3,0,1
425,2305.630,0.066224,0.914748,0.903026,0.926471,35,0.00005938,2,0.035437,0.032304,0.038571,0.963983,0.966507,0.961459,0.947201,0.932197,0.962206,0.005842,0.003018,0.016359,0.005658,0.000000,16,2,3,0,1
450,2596.310,0.066074,0.913867,0.901965,0.925769,34,0.00005816,1,0.032653,0.029582,0.035724,0.966605,0.969128,0.964081,0.943744,0.928647,0.958840,0.005631,0.002787,0.016778,0.005716,0.000000,16,2,4,0,1
475,2641.533,0.062396,0.921142,0.906103,0.936181,34,0.00006965,0,0.029935,0.029582,0.030287,0.969410,0.969265,0.969555,0.948721,0.932907,0.964535,0.005736,0.002397,0.016090,0.004917,0.000000,16,2,4,0,1
500,2928.441,0.061923,0.925036,0.910092,0.939980,34,0.00013274,2,0.031318,0.031831,0.030805,0.968201,0.967215,0.969187,0.953998,0.939060,0.968936,0.006226,0.002441,0.015433,0.004649,0.000000,16,2,4,0,1
525,2973.525,0.054703,0.926670,0.918775,0.934565,34,0.00006515,2,0.030320,0.024139,0.036500,0.969338,0.974988,0.963688,0.954815,0.940954,0.968677,0.004462,0.002719,0.013482,0.004871,0.000000,16,2,4,0,1
550,3256.259,0.049529,0.932389,0.926305,0.938473,33,0.00003434,1,0.024396,0.017986,0.030805,0.975211,0.981283,0.969139,0.955174,0.942965,0.967383,0.003476,0.002508,0.012461,0.004812,0.000000,16,2,5,0,1
575,3300.274,0.052399,0.926024,0.921548,0.930500,33,0.00004948,1,0.026785,0.018104,0.035465,0.972784,0.981069,0.964499,0.950866,0.938232,0.963500,0.003555,0.002609,0.013383,0.005095,0.000000,16,2,5,0,1
600,3581.733,0.048166,0.934648,0.923703,0.945592,33,0.00004743,2,0.022547,0.017394,0.027699,0.977057,0.981827,0.972287,0.955777,0.939770,0.971784,0.003398,0.002142,0.012992,0.004148,0.000000,16,2,5,0,1
625,3625.197,0.046802,0.936810,0.934325,0.939296,33,0.00005827,2,0.027114,0.017986,0.036241,0.972772,0.981441,0.964103,0.962233,0.951130,0.973337,0.003484,0.002712,0.011109,0.004526,0.000000,16,2,5,0,1
650,3887.884,0.046762,0.936414,0.935000,0.937828,33,0.00004187,1,0.027195,0.017631,0.036759,0.972689,0.981807,0.963571,0.961893,0.951485,0.972301,0.003423,0.002750,0.011010,0.004640,0.000000,16,2,5,0,1
675,3931.726,0.044627,0.938004,0.937289,0.938719,33,0.00002945,1,0.025047,0.015146,0.034947,0.974804,0.984331,0.965278,0.961505,0.951485,0.971525,0.002947,0.002723,0.010591,0.004626,0.000000,16,2,5,0,1
700,4203.999,0.043610,0.938989,0.938097,0.939880,33,0.00001586,1,0.024211,0.015028,0.033394,0.975612,0.984463,0.966761,0.961730,0.952195,0.971266,0.002803,0.002638,0.010354,0.004645,0.000000,16,2,5,0,1
725,4247.977,0.043137,0.940497,0.936954,0.944040,33,0.00002319,0,0.023482,0.015383,0.031582,0.976339,0.984088,0.968589,0.962611,0.951367,0.973855,0.002951,0.002448,0.010559,0.004253,0.000000,16,2,5,0,1
750,4509.885,0.040983,0.943493,0.941019,0.945966,32,0.00002960,0,0.022587,0.015146,0.030028,0.977248,0.984392,0.970103,0.964822,0.955272,0.974372,0.002975,0.002258,0.009952,0.003988,0.000000,16,2,6,0,1
775,4552.728,0.043769,0.940304,0.935450,0.945157,32,0.00002065,1,0.023194,0.017394,0.028993,0.976552,0.982051,0.971052,0.962141,0.951722,0.972560,0.003300,0.002221,0.010836,0.004140,0.000000,16,2,6,0,1
