step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.560,0.728044,0.250937,0.206351,0.295524,20,0.00021183,0,0.118218,0.146608,0.089827,0.699671,0.617423,0.781918,0.279337,0.236603,0.322070,0.032918,0.018148,0.169675,0.130441,0.000000,0,0,0,0,0
25,27.806,0.525467,0.368221,0.354986,0.381456,20,0.00052488,3,0.048518,0.062770,0.034265,0.888721,0.857353,0.920089,0.385898,0.377269,0.394527,0.013946,0.006873,0.127910,0.108617,0.000000,0,0,0,0,0
50,196.435,0.431058,0.475697,0.473344,0.478049,23,0.00105657,2,0.039097,0.053803,0.024390,0.927598,0.902639,0.952557,0.494260,0.498812,0.489709,0.011906,0.004928,0.103354,0.090763,0.000000,2,1,0,0,0
75,226.623,0.348364,0.584721,0.579403,0.590040,23,0.00072794,4,0.040358,0.060609,0.020107,0.938950,0.910226,0.967674,0.608212,0.614520,0.601904,0.013002,0.003836,0.082358,0.070522,0.000000,2,1,0,0,0
100,414.203,0.301318,0.637872,0.604696,0.671048,25,0.00034477,4,0.033694,0.053587,0.013801,0.951266,0.922415,0.980117,0.658705,0.637100,0.680309,0.011412,0.002591,0.076824,0.056211,0.000000,5,1,1,0,0
125,447.493,0.266522,0.682850,0.652829,0.712871,25,0.00018374,4,0.031709,0.054019,0.009399,0.957158,0.927209,0.987106,0.703833,0.688094,0.719572,0.011596,0.001863,0.067470,0.048903,0.000000,5,1,1,0,0
150,651.699,0.231144,0.731204,0.707870,0.754539,27,0.00006206,4,0.033805,0.058449,0.009161,0.957873,0.927635,0.988112,0.755348,0.749244,0.761452,0.012332,0.001693,0.056353,0.041666,0.000000,8,1,2,0,0
175,687.880,0.208288,0.765212,0.740294,0.790131,27,0.00016573,2,0.033854,0.057476,0.010232,0.959473,0.931602,0.987344,0.790529,0.782844,0.798215,0.012459,0.002022,0.050351,0.035634,0.000000,8,1,2,0,0
200,918.318,0.188004,0.793058,0.756994,0.829122,30,0.00004002,0,0.035249,0.058124,0.012374,0.958908,0.932344,0.985473,0.820188,0.800994,0.839381,0.012387,0.002348,0.046737,0.028832,0.000000,11,1,2,0,0
225,958.522,0.175371,0.808904,0.763528,0.854279,30,0.00005107,3,0.033527,0.052182,0.014872,0.961071,0.939007,0.983135,0.835177,0.803371,0.866984,0.011128,0.002973,0.045288,0.024754,0.000000,11,1,2,0,0
250,1214.503,0.168042,0.820799,0.772423,0.869174,33,0.00004674,3,0.033859,0.049157,0.018560,0.961138,0.942810,0.979466,0.847850,0.810393,0.885306,0.010681,0.003718,0.043825,0.022182,0.000000,14,1,2,0,0
275,1258.468,0.160908,0.832535,0.783379,0.881691,33,0.00010365,3,0.035024,0.054343,0.015705,0.960516,0.938267,0.982765,0.860745,0.825951,0.895538,0.011725,0.003263,0.041557,0.020125,0.000000,14,1,2,0,0
300,1542.172,0.146794,0.846668,0.801090,0.892246,33,0.00017486,5,0.033139,0.050454,0.015824,0.963138,0.943435,0.982841,0.873937,0.841508,0.906365,0.010759,0.003207,0.037732,0.018146,0.000000,14,1,2,0,0
325,1586.921,0.144916,0.850798,0.804642,0.896954,33,0.00016390,7,0.033470,0.047429,0.019512,0.962916,0.946723,0.979108,0.878630,0.842805,0.914456,0.010134,0.003980,0.037249,0.017510,0.000000,14,1,2,0,0
350,1869.873,0.137712,0.853736,0.806061,0.901410,33,0.00011262,6,0.028502,0.044512,0.012493,0.968142,0.949787,0.986497,0.877306,0.841940,0.912671,0.009672,0.002463,0.037128,0.016521,0.000000,14,1,2,0,0
375,1914.432,0.132904,0.857643,0.807979,0.907307,33,0.00012210,4,0.027649,0.042567,0.012731,0.969117,0.951898,0.986335,0.880615,0.842373,0.918858,0.009077,0.002468,0.036510,0.015468,0.000000,14,1,2,0,0
400,2199.298,0.129774,0.860074,0.808709,0.911439,33,0.00012556,4,0.025475,0.042027,0.008923,0.971443,0.952497,0.990390,0.881134,0.842697,0.919572,0.009103,0.001809,0.036466,0.014738,0.000000,14,1,2,0,0
425,2243.212,0.128460,0.863673,0.810238,0.917109,33,0.00013231,2,0.026885,0.044728,0.009042,0.970068,0.949812,0.990323,0.885940,0.846478,0.925402,0.009550,0.001823,0.036120,0.013847,0.000000,14,1,2,0,0
450,2519.569,0.126211,0.864986,0.812824,0.917148,32,0.00011982,3,0.026259,0.042999,0.009518,0.970776,0.951728,0.989824,0.886826,0.847774,0.925877,0.009135,0.001903,0.035559,0.013708,0.000000,14,1,3,0,0
475,2562.040,0.123747,0.867691,0.815787,0.919594,32,0.00018320,3,0.025378,0.041595,0.009161,0.971779,0.953333,0.990225,0.888869,0.849719,0.928019,0.009037,0.001824,0.034977,0.013257,0.000000,14,1,3,0,0
500,2826.204,0.127296,0.869076,0.810624,0.927528,31,0.00004512,4,0.028533,0.047429,0.009637,0.968455,0.947096,0.989814,0.892769,0.849071,0.936466,0.010507,0.001813,0.036341,0.011891,0.000000,14,1,4,0,0
525,2867.568,0.124917,0.869990,0.808881,0.931100,31,0.00004149,3,0.028532,0.048617,0.008447,0.968437,0.945790,0.991084,0.893586,0.848207,0.938965,0.010321,0.001579,0.036433,0.011136,0.000000,14,1,4,0,0
550,3126.757,0.120882,0.878115,0.814498,0.941732,31,0.00003602,3,0.028219,0.047753,0.008685,0.968974,0.947009,0.990940,0.901652,0.853392,0.949911,0.010526,0.001685,0.035636,0.009529,0.000000,14,1,4,0,0
575,3168.270,0.113589,0.881359,0.819237,0.943481,31,0.00006519,4,0.025340,0.042351,0.008328,0.972035,0.952748,0.991322,0.902636,0.853933,0.951338,0.009072,0.001555,0.034351,0.009137,0.000000,14,1,4,0,0
600,3429.639,0.112910,0.883184,0.818379,0.947989,31,0.00002399,4,0.026982,0.045160,0.008804,0.970364,0.949850,0.990878,0.905836,0.855337,0.956336,0.009305,0.001648,0.034343,0.008413,0.000000,14,1,4,0,0
625,3471.077,0.109877,0.886259,0.822188,0.950330,31,0.00005334,2,0.025237,0.042027,0.008447,0.972251,0.953240,0.991263,0.907550,0.856742,0.958358,0.009011,0.001552,0.033784,0.007932,0.000000,14,1,4,0,0
650,3731.355,0.108286,0.886826,0.822755,0.950897,31,0.00004086,2,0.024837,0.041703,0.007971,0.972676,0.953600,0.991752,0.907771,0.857066,0.958477,0.008725,0.001506,0.033512,0.007828,0.000000,14,1,4,0,0
675,3772.889,0.105545,0.888383,0.824154,0.952612,31,0.00005627,5,0.022243,0.037705,0.006782,0.975376,0.957774,0.992979,0.907151,0.855229,0.959072,0.008279,0.001151,0.033443,0.007523,0.000000,14,1,4,0,0
700,4033.974,0.106834,0.888442,0.823884,0.953000,31,0.00003007,4,0.023951,0.040406,0.007496,0.973618,0.954983,0.992254,0.908658,0.857174,0.960143,0.008614,0.001320,0.033467,0.007523,0.000000,14,1,4,0,0
725,4075.513,0.109687,0.887452,0.817722,0.957182,31,0.00005424,3,0.024613,0.046132,0.003093,0.972810,0.948832,0.996789,0.907794,0.855445,0.960143,0.009851,0.000640,0.034667,0.007044,0.000000,14,1,4,0,0
750,4335.215,0.115197,0.882130,0.821362,0.942898,31,0.00007786,6,0.025586,0.046889,0.004283,0.971894,0.948290,0.995497,0.903406,0.859875,0.946936,0.010223,0.000943,0.034122,0.009491,0.000000,14,1,4,0,0
775,4377.149,0.108358,0.884798,0.828391,0.941204,31,0.00015032,2,0.022804,0.041919,0.003688,0.974897,0.953683,0.996111,0.903896,0.863116,0.944676,0.008904,0.000694,0.032529,0.009599,0.000000,14,1,4,0,0
800,4641.406,0.100758,0.891112,0.836567,0.945657,30,0.00009805,4,0.019303,0.035869,0.002736,0.978688,0.960254,0.997122,0.907409,0.866573,0.948245,0.007779,0.000568,0.031061,0.008849,0.000000,14,1,5,0,0
825,4682.323,0.098051,0.893302,0.838168,0.948435,30,0.00009383,3,0.019562,0.035436,0.003688,0.978455,0.960770,0.996140,0.909901,0.867869,0.951933,0.007393,0.000804,0.030259,0.008488,0.000000,14,1,5,0,0
850,4940.027,0.097741,0.892839,0.842050,0.943629,29,0.00005279,3,0.019768,0.034896,0.004640,0.978313,0.961497,0.995129,0.909721,0.871435,0.948007,0.007349,0.000767,0.029660,0.009047,0.000000,14,1,6,0,0
