job_id	job_name	pair	arm	add_weight	delete_weight	split_weight	output_dir
4178274	ow_sun_moon_add_p05	sun_moon	add_p05	0.05	0.219231	0.730769	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_add_p05
4178275	ow_sun_moon_add_p1	sun_moon	add_p1	0.1	0.207692	0.692308	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_add_p1
4178276	ow_sun_moon_add_p175	sun_moon	add_p175	0.175	0.190385	0.634615	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_add_p175
4178277	ow_sun_moon_add_p25	sun_moon	add_p25	0.25	0.173077	0.576923	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_add_p25
4178278	ow_sun_moon_default	sun_moon	default	0.35	0.15	0.5	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_default
4178279	ow_sun_moon_split_p2	sun_moon	split_p2	0.56	0.24	0.2	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_split_p2
4178280	ow_sun_moon_split_p35	sun_moon	split_p35	0.455	0.195	0.35	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_split_p35
4178281	ow_sun_moon_split_p65	sun_moon	split_p65	0.245	0.105	0.65	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_split_p65
4178282	ow_sun_moon_split_p8	sun_moon	split_p8	0.14	0.06	0.8	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_sun_moon_split_p8
4178283	ow_horse_circle_add_p05	horse_circle	add_p05	0.05	0.219231	0.730769	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_add_p05
