step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.874,1.260056,0.190821,0.151570,0.230071,20,0.00000000,0,0.212629,0.093992,0.331265,0.559317,0.638225,0.480410,0.236051,0.165817,0.306286,0.034612,0.046126,0.253811,0.125838,0.000000,0,0,0
25,36.285,1.004623,0.285657,0.223962,0.347352,20,0.00000000,0,0.110991,0.037981,0.184000,0.775228,0.859563,0.690894,0.321867,0.232469,0.411265,0.013871,0.025420,0.220435,0.094794,0.000000,0,0,0
50,267.479,0.904149,0.361093,0.280451,0.441734,23,0.00013791,1,0.103108,0.034952,0.171265,0.821914,0.892524,0.751304,0.403821,0.290253,0.517388,0.012472,0.023473,0.203633,0.079746,0.000000,2,1,0
75,308.496,0.824187,0.413939,0.320529,0.507348,23,0.00019095,2,0.085797,0.027267,0.144327,0.862212,0.923523,0.800901,0.454920,0.329269,0.580571,0.010020,0.019810,0.191111,0.068659,0.000000,2,1,0
100,553.771,0.749987,0.467994,0.366357,0.569631,24,0.00026923,1,0.076904,0.024828,0.128980,0.885459,0.937973,0.832946,0.509277,0.375453,0.643102,0.008945,0.017765,0.177462,0.059116,0.000000,5,1,2
125,596.704,0.693593,0.512565,0.418487,0.606642,24,0.00024032,1,0.082700,0.024828,0.140571,0.888210,0.945277,0.831143,0.560398,0.428878,0.691918,0.008856,0.019279,0.162754,0.054320,0.000000,5,1,2
150,853.671,0.641159,0.560859,0.473669,0.648049,25,0.00000741,1,0.096678,0.029927,0.163429,0.882028,0.942201,0.821854,0.620902,0.487845,0.753959,0.010528,0.022444,0.147869,0.049363,0.000000,8,1,4
175,898.732,0.579690,0.605528,0.531279,0.679777,25,0.00000889,1,0.099715,0.028818,0.170612,0.886683,0.949917,0.823450,0.671172,0.546590,0.795755,0.010148,0.023503,0.131288,0.045114,0.000000,8,1,4
200,1188.846,0.522869,0.647406,0.588333,0.706480,28,0.00007359,1,0.107617,0.026010,0.189224,0.887434,0.958690,0.816178,0.721899,0.603636,0.840163,0.009304,0.026012,0.115004,0.041611,0.000000,10,2,4
225,1239.481,0.494121,0.668257,0.616799,0.719715,28,0.00001765,1,0.107471,0.024902,0.190041,0.890255,0.962101,0.818409,0.744324,0.632158,0.856490,0.009068,0.026365,0.107056,0.039930,0.000000,10,2,4
250,1545.379,0.459950,0.688428,0.642170,0.734685,29,0.00000746,1,0.102462,0.021577,0.183347,0.896997,0.968157,0.825837,0.762707,0.656026,0.869388,0.007589,0.025443,0.099356,0.037443,0.000000,13,2,6
275,1597.110,0.428607,0.707958,0.669396,0.746520,29,0.00001086,0,0.096388,0.019877,0.172898,0.903403,0.971708,0.835098,0.779147,0.682702,0.875592,0.007132,0.024053,0.091735,0.035538,0.000000,13,2,6
300,1918.249,0.407564,0.725458,0.685998,0.764919,29,0.00000226,1,0.095778,0.020616,0.170939,0.905567,0.971396,0.839737,0.797907,0.700140,0.895673,0.007598,0.023750,0.087271,0.032909,0.000000,15,2,8
325,1969.935,0.390929,0.735602,0.702315,0.768888,29,0.00000211,0,0.097298,0.021207,0.173388,0.905039,0.971280,0.838798,0.809707,0.717210,0.902204,0.007394,0.024022,0.082381,0.032220,0.000000,15,2,8
350,2298.200,0.369547,0.749014,0.729441,0.768588,28,0.00000045,1,0.097554,0.022538,0.172571,0.904979,0.970670,0.839288,0.823552,0.745880,0.901224,0.008170,0.023803,0.075025,0.032170,0.000000,15,2,9
375,2347.945,0.356353,0.757879,0.740058,0.775701,28,0.00000188,1,0.096198,0.021946,0.170449,0.906869,0.971800,0.841938,0.832109,0.756299,0.907918,0.007692,0.023636,0.071913,0.031207,0.000000,15,2,9
400,2672.374,0.354779,0.759503,0.741693,0.777313,28,0.00000186,1,0.097286,0.022981,0.171592,0.906028,0.970602,0.841454,0.834716,0.758738,0.910694,0.008008,0.023741,0.071470,0.030914,0.000000,15,2,9
425,2722.994,0.350140,0.761972,0.750145,0.773800,28,0.00002950,1,0.097666,0.018843,0.176490,0.906777,0.975939,0.837615,0.837324,0.764280,0.910367,0.006880,0.024616,0.069112,0.031847,0.000000,15,2,9
450,3048.455,0.345581,0.764795,0.755009,0.774582,28,0.00017525,1,0.099264,0.017956,0.180571,0.906134,0.977170,0.835098,0.841507,0.768566,0.914449,0.006388,0.025151,0.067705,0.031679,0.000000,15,2,9
475,3098.586,0.343907,0.766079,0.763626,0.768533,28,0.00015000,1,0.102640,0.018178,0.187102,0.903487,0.977155,0.829819,0.844917,0.777507,0.912327,0.006689,0.026128,0.065361,0.032831,0.000000,15,2,9
500,3412.405,0.337514,0.769599,0.766821,0.772376,28,0.00019317,1,0.100590,0.019138,0.182041,0.904926,0.976096,0.833756,0.847238,0.781497,0.912980,0.006791,0.025360,0.064282,0.032102,0.000000,15,2,9
525,3461.010,0.332019,0.773574,0.773096,0.774051,28,0.00005930,1,0.100924,0.018991,0.182857,0.904996,0.976461,0.833532,0.851685,0.787778,0.915592,0.006914,0.025349,0.062639,0.031889,0.000000,15,2,9
550,3770.749,0.329797,0.776007,0.777399,0.774615,28,0.00002986,0,0.103682,0.020099,0.187265,0.903054,0.975282,0.830826,0.856349,0.793024,0.919673,0.007232,0.025957,0.061495,0.031836,0.000000,15,2,9
575,3818.872,0.328095,0.777613,0.781563,0.773663,28,0.00000323,0,0.104893,0.019582,0.190204,0.902409,0.976016,0.828802,0.858842,0.796867,0.920816,0.007302,0.026289,0.060486,0.032084,0.000000,15,2,9
600,4138.440,0.324492,0.780398,0.783813,0.776983,28,0.00007517,0,0.104540,0.021651,0.187429,0.902413,0.973675,0.831152,0.861698,0.800783,0.922612,0.007761,0.025925,0.059824,0.031479,0.000000,15,2,9
625,4187.707,0.322677,0.781147,0.785281,0.777013,28,0.00014654,0,0.104108,0.022094,0.186122,0.902596,0.973210,0.831982,0.862132,0.802631,0.921633,0.007700,0.025842,0.059297,0.031457,0.000000,15,2,9
650,4504.189,0.318671,0.782010,0.788072,0.775947,28,0.00009745,0,0.105068,0.020912,0.189224,0.902250,0.974667,0.829834,0.863664,0.804552,0.922776,0.007666,0.025412,0.058659,0.031003,0.000000,15,2,9
675,4552.290,0.315683,0.784901,0.788283,0.781518,28,0.00004760,0,0.098794,0.019138,0.178449,0.907210,0.976732,0.837689,0.862175,0.803370,0.920980,0.006845,0.025003,0.058477,0.030815,0.000000,15,2,9
700,4865.509,0.313120,0.787196,0.790080,0.784311,28,0.00007530,0,0.099573,0.019065,0.180082,0.906996,0.976869,0.837123,0.865347,0.805143,0.925551,0.006922,0.025090,0.058049,0.030301,0.000000,15,2,9
725,4913.851,0.309638,0.787428,0.792716,0.782140,28,0.00004175,0,0.099767,0.018473,0.181061,0.906874,0.977631,0.836116,0.865557,0.807360,0.923755,0.006559,0.024887,0.057137,0.030343,0.000000,15,2,9
750,5227.099,0.306139,0.789792,0.792758,0.786826,28,0.00007362,0,0.096591,0.018326,0.174857,0.909368,0.977804,0.840933,0.865847,0.807286,0.924408,0.006580,0.024108,0.057061,0.029624,0.000000,15,2,9
775,5275.901,0.303914,0.791581,0.797516,0.785645,28,0.00002303,0,0.096719,0.017439,0.176000,0.909474,0.978961,0.839988,0.867671,0.811424,0.923918,0.006424,0.024475,0.055886,0.029964,0.000000,15,2,9
800,5595.788,0.307605,0.790071,0.792941,0.787201,28,0.00009883,1,0.095107,0.021725,0.168490,0.909535,0.973885,0.845185,0.865002,0.810168,0.919837,0.007738,0.023437,0.057290,0.029635,0.000000,15,2,9
825,5645.184,0.302927,0.791493,0.795708,0.787279,28,0.00029236,1,0.094868,0.019286,0.170449,0.910336,0.976773,0.843900,0.866262,0.811054,0.921469,0.006855,0.023560,0.056272,0.029428,0.000000,15,2,9
850,5962.722,0.304993,0.792032,0.798101,0.785962,28,0.00006252,1,0.096990,0.019286,0.174694,0.908867,0.976841,0.840892,0.868379,0.813493,0.923265,0.007181,0.024419,0.055800,0.030050,0.000000,15,2,9
875,6011.398,0.301141,0.792371,0.799812,0.784930,28,0.00000532,0,0.096938,0.019508,0.174367,0.908782,0.976635,0.840929,0.868605,0.815414,0.921796,0.006910,0.023930,0.055170,0.029789,0.000000,15,2,9
900,6320.421,0.295582,0.795963,0.803571,0.788354,28,0.00000600,0,0.092162,0.017956,0.166367,0.912655,0.978520,0.846790,0.868755,0.818000,0.919510,0.006683,0.023075,0.054284,0.029363,0.000000,15,2,9
925,6368.310,0.295102,0.795062,0.804966,0.785158,28,0.00000417,0,0.097774,0.020690,0.174857,0.908043,0.975436,0.840649,0.872035,0.821621,0.922449,0.007387,0.023401,0.053729,0.029244,0.000000,15,2,9
950,6680.077,0.290344,0.799592,0.807296,0.791888,28,0.00002245,0,0.093095,0.018843,0.167347,0.912161,0.977604,0.846718,0.873458,0.822508,0.924408,0.006963,0.022992,0.053217,0.028581,0.000000,15,2,9
975,6727.981,0.290376,0.798380,0.810221,0.786539,28,0.00000201,0,0.096700,0.019360,0.174041,0.909256,0.977096,0.841416,0.874668,0.825907,0.923429,0.007054,0.023426,0.052409,0.029143,0.000000,15,2,9
1000,7038.226,0.286884,0.801703,0.809951,0.793455,28,0.00011699,0,0.093879,0.020247,0.167510,0.911475,0.976084,0.846866,0.876359,0.826350,0.926367,0.007257,0.022752,0.052389,0.028207,0.000000,15,2,9
