step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.394,1.255568,0.156907,0.189697,0.124116,20,0.00019250,0,0.162589,0.112745,0.212434,0.533243,0.651838,0.414649,0.180784,0.211084,0.150483,0.027994,0.048116,0.182323,0.198100,0.000000,0,0,0
25,27.337,0.981256,0.272606,0.298704,0.246508,20,0.00000069,1,0.087846,0.057323,0.118368,0.772998,0.846381,0.699615,0.295756,0.315826,0.275686,0.014034,0.026551,0.149813,0.156980,0.000000,0,0,0
50,185.776,0.759037,0.432125,0.437202,0.427047,23,0.00030076,0,0.074058,0.049820,0.098297,0.864410,0.902084,0.826736,0.464004,0.458984,0.469025,0.011967,0.021911,0.119033,0.116970,0.000000,3,0,0
75,215.460,0.577787,0.566209,0.537742,0.594676,23,0.00003419,1,0.062187,0.048319,0.076055,0.907412,0.921053,0.893772,0.601815,0.563725,0.639905,0.011602,0.016808,0.097498,0.080885,0.000000,3,0,0
100,404.815,0.426334,0.684882,0.638534,0.731230,26,0.00023264,0,0.057680,0.056122,0.059238,0.926062,0.923172,0.928953,0.724458,0.674370,0.774547,0.013462,0.012894,0.076526,0.052353,0.000000,5,1,0
125,439.047,0.355671,0.735801,0.679373,0.792229,26,0.00028729,1,0.049924,0.047119,0.052729,0.939208,0.937879,0.940536,0.772693,0.711385,0.834002,0.011362,0.011367,0.067233,0.039893,0.000000,5,1,0
150,623.645,0.296099,0.780382,0.722924,0.837841,25,0.00011195,1,0.042338,0.045618,0.039058,0.950073,0.943085,0.957061,0.813234,0.755902,0.870565,0.011076,0.008425,0.058130,0.030793,0.000000,7,2,4
175,656.661,0.258825,0.807108,0.761705,0.852511,25,0.00020236,2,0.038807,0.047019,0.030596,0.955337,0.944326,0.966348,0.838056,0.797519,0.878594,0.011217,0.006439,0.049745,0.027655,0.000000,7,2,4
200,844.163,0.230324,0.831227,0.799061,0.863393,25,0.00013049,1,0.039293,0.044518,0.034067,0.956304,0.949363,0.963245,0.863720,0.834634,0.892807,0.010797,0.007316,0.041971,0.025718,0.000000,10,2,7
225,877.033,0.218181,0.838827,0.811700,0.865955,25,0.00026620,1,0.037868,0.039716,0.036020,0.958227,0.955055,0.961400,0.870542,0.843938,0.897147,0.009458,0.007662,0.038967,0.025138,0.000000,10,2,7
250,1081.998,0.206681,0.850288,0.830793,0.869784,28,0.00051132,2,0.039172,0.043517,0.034827,0.957476,0.952203,0.962748,0.883511,0.866947,0.900076,0.010622,0.007614,0.035239,0.024418,0.000000,13,2,7
275,1118.985,0.189181,0.864059,0.839778,0.888340,28,0.00071241,3,0.039046,0.045218,0.032874,0.958209,0.951008,0.965411,0.897647,0.877751,0.917544,0.010869,0.007072,0.033183,0.020740,0.000000,13,2,7
300,1344.111,0.174467,0.874024,0.855354,0.892695,27,0.00023615,2,0.036337,0.046419,0.026256,0.961418,0.950696,0.972139,0.905596,0.895058,0.916133,0.011158,0.005609,0.029920,0.019797,0.000000,13,2,8
325,1379.563,0.163587,0.883695,0.866660,0.900730,27,0.00065033,3,0.036645,0.048119,0.025171,0.961578,0.949691,0.973464,0.915883,0.908363,0.923402,0.011617,0.005340,0.027601,0.018298,0.000000,13,2,8
350,1597.386,0.157372,0.888345,0.877921,0.898769,26,0.00017976,3,0.035689,0.048920,0.022459,0.962850,0.949556,0.976144,0.919911,0.920868,0.918954,0.011913,0.004921,0.025197,0.018801,0.000000,13,2,9
375,1631.952,0.147468,0.895324,0.892109,0.898538,26,0.00014141,4,0.035165,0.045918,0.024411,0.963630,0.953096,0.974165,0.926773,0.933073,0.920473,0.011086,0.005358,0.022081,0.018820,0.000000,13,2,9
