step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.362,0.840068,0.239231,0.292745,0.185717,20,0.00081343,0,0.352688,0.531514,0.173861,0.506943,0.457560,0.556326,0.333174,0.448343,0.218006,0.034668,0.039119,0.066064,0.176875,0.000000,0,0,0
25,26.998,0.595248,0.370269,0.432316,0.308222,20,0.00003567,1,0.175316,0.276803,0.073828,0.741817,0.666013,0.817620,0.441480,0.551982,0.330977,0.017985,0.016481,0.043959,0.137216,0.000000,0,0,0
50,178.107,0.473309,0.482734,0.524895,0.440573,23,0.00043427,2,0.147283,0.239766,0.054800,0.812636,0.730755,0.894517,0.557732,0.650747,0.464717,0.015361,0.011957,0.035345,0.108664,0.000000,3,0,0
75,207.376,0.408784,0.551280,0.583091,0.519470,23,0.00058205,3,0.139801,0.229695,0.049908,0.836771,0.757378,0.916164,0.631210,0.717024,0.545395,0.014848,0.010908,0.030724,0.092523,0.000000,3,0,0
100,380.170,0.368588,0.590860,0.619930,0.561791,26,0.00046160,2,0.126957,0.209552,0.044362,0.855641,0.781578,0.929704,0.668275,0.749838,0.586713,0.013429,0.009663,0.027284,0.083925,0.000000,5,1,0
125,413.606,0.340417,0.622351,0.660675,0.584027,26,0.00017782,1,0.109521,0.174789,0.044254,0.874271,0.816194,0.932347,0.693013,0.776153,0.609873,0.011090,0.009690,0.023369,0.079672,0.000000,5,1,0
150,588.794,0.322430,0.639891,0.678009,0.601774,26,0.00007844,0,0.098742,0.155296,0.042188,0.885758,0.834545,0.936972,0.705231,0.783301,0.627161,0.009814,0.009327,0.021813,0.076075,0.000000,8,1,3
175,622.294,0.301201,0.663995,0.698028,0.629962,26,0.00006773,1,0.097060,0.153346,0.040774,0.890726,0.840000,0.941452,0.730358,0.805068,0.655649,0.009786,0.009031,0.020417,0.070559,0.000000,8,1,3
200,822.572,0.292192,0.676243,0.703373,0.649112,29,0.00010356,1,0.106061,0.165367,0.046754,0.883872,0.832124,0.935619,0.749574,0.819688,0.679461,0.010510,0.010138,0.020146,0.066904,0.000000,11,1,3
225,860.632,0.281027,0.686854,0.707494,0.666215,29,0.00009352,1,0.101936,0.161793,0.042079,0.889194,0.835535,0.942853,0.758105,0.821962,0.694248,0.010398,0.009583,0.019912,0.063751,0.000000,11,1,3
250,1074.296,0.266628,0.699695,0.711897,0.687493,30,0.00004399,1,0.105081,0.166017,0.044145,0.887700,0.833333,0.942066,0.773964,0.830084,0.717843,0.010530,0.009482,0.019524,0.059336,0.000000,14,1,5
275,1114.008,0.251511,0.713358,0.715206,0.711510,30,0.00003099,1,0.100580,0.160169,0.040992,0.892880,0.838202,0.947559,0.785218,0.829760,0.740676,0.010307,0.009221,0.019354,0.054711,0.000000,14,1,5
300,1336.815,0.239663,0.726990,0.725997,0.727983,31,0.00005155,1,0.100858,0.157245,0.044471,0.893545,0.842345,0.944745,0.800256,0.840156,0.760357,0.010032,0.009784,0.018454,0.051513,0.000000,17,1,7
325,1377.761,0.225801,0.740644,0.727809,0.753479,31,0.00004092,2,0.101838,0.156595,0.047081,0.893418,0.843150,0.943686,0.815367,0.841780,0.788953,0.009996,0.010451,0.018262,0.046772,0.000000,17,1,7
