step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.421,1.152610,0.188629,0.206117,0.171142,20,0.00000464,0,0.208281,0.263793,0.152769,0.530218,0.496849,0.563587,0.228888,0.260489,0.197287,0.036081,0.045266,0.122050,0.221479,0.000000,0,0,0
25,26.592,0.871730,0.307010,0.359446,0.254574,20,0.00005177,0,0.095561,0.121738,0.069385,0.782494,0.768093,0.796895,0.337721,0.403204,0.272237,0.016410,0.020540,0.087104,0.184987,0.000000,0,0,0
50,187.424,0.709256,0.428879,0.483636,0.374122,23,0.00004455,0,0.081342,0.110340,0.052343,0.856100,0.829548,0.882651,0.465353,0.537000,0.393705,0.014591,0.015102,0.069083,0.152479,0.000000,2,1,0
75,217.374,0.562064,0.550594,0.601604,0.499583,23,0.00015985,1,0.077429,0.111992,0.042866,0.890289,0.856599,0.923978,0.594989,0.668979,0.520998,0.014961,0.012349,0.053051,0.120612,0.000000,2,1,0
100,393.948,0.453735,0.632994,0.656809,0.609179,24,0.00005575,1,0.074816,0.117113,0.032519,0.906599,0.862357,0.950841,0.681359,0.733730,0.628989,0.015648,0.009286,0.045757,0.093008,0.000000,5,1,2
125,425.525,0.381273,0.690587,0.693020,0.688155,24,0.00017715,1,0.076589,0.124050,0.029128,0.911563,0.862630,0.960495,0.743594,0.778989,0.708199,0.016536,0.008229,0.040936,0.073732,0.000000,5,1,2
150,628.465,0.339721,0.722920,0.720166,0.725674,27,0.00018843,2,0.072073,0.115626,0.028519,0.918693,0.874191,0.963196,0.774903,0.803436,0.746370,0.015361,0.007889,0.036949,0.064622,0.000000,8,1,2
175,664.471,0.296973,0.756784,0.750452,0.763116,27,0.00014896,2,0.063005,0.096796,0.029215,0.929456,0.894775,0.964137,0.804251,0.823092,0.785410,0.012985,0.008394,0.032481,0.055785,0.000000,8,1,2
200,884.320,0.272377,0.773729,0.760617,0.786842,29,0.00009773,2,0.061280,0.092996,0.029563,0.932092,0.899392,0.964792,0.820727,0.831351,0.810103,0.012177,0.008250,0.030612,0.049944,0.000000,10,2,3
225,923.311,0.241528,0.797198,0.778571,0.815825,29,0.00020197,2,0.058267,0.086885,0.029650,0.936396,0.906886,0.965907,0.843116,0.846217,0.840014,0.010793,0.008545,0.027627,0.043166,0.000000,10,2,3
250,1142.290,0.225767,0.812873,0.789111,0.836635,25,0.00018890,2,0.055794,0.080112,0.031476,0.939447,0.914083,0.964810,0.857649,0.852329,0.862968,0.010841,0.009053,0.026977,0.038287,0.000000,10,2,7
275,1175.795,0.215266,0.819506,0.793991,0.845022,25,0.00022453,2,0.052729,0.077635,0.027824,0.942887,0.916814,0.968959,0.862083,0.855633,0.868533,0.010548,0.008112,0.026244,0.036129,0.000000,10,2,7
300,1376.451,0.209375,0.826465,0.802233,0.850697,27,0.00008074,2,0.062010,0.094979,0.029041,0.935159,0.902427,0.967891,0.876915,0.878427,0.875402,0.011999,0.008326,0.024872,0.034738,0.000000,13,2,8
325,1412.170,0.194067,0.837973,0.809134,0.866813,27,0.00009793,2,0.058784,0.088702,0.028867,0.938582,0.908518,0.968647,0.886370,0.880905,0.891835,0.011486,0.008231,0.023945,0.030863,0.000000,13,2,8
350,1632.098,0.181683,0.848143,0.812045,0.884242,26,0.00005707,3,0.058954,0.088867,0.029041,0.938873,0.908674,0.969071,0.897065,0.884209,0.909921,0.011818,0.008431,0.023705,0.026719,0.000000,13,2,9
375,1667.309,0.172870,0.852763,0.813505,0.892020,26,0.00008262,4,0.058006,0.088537,0.027476,0.940000,0.909106,0.970894,0.901030,0.885530,0.916529,0.011192,0.008014,0.023067,0.024934,0.000000,13,2,9
400,1876.957,0.170229,0.857307,0.817226,0.897388,25,0.00028904,4,0.056137,0.083581,0.028693,0.941805,0.913755,0.969855,0.904334,0.885530,0.923137,0.011176,0.008381,0.023138,0.023759,0.000000,13,2,10
425,1910.874,0.160470,0.862736,0.824712,0.900761,25,0.00048224,1,0.052377,0.076148,0.028606,0.945515,0.920980,0.970050,0.907020,0.887512,0.926528,0.009836,0.008020,0.021730,0.022720,0.000000,13,2,10
450,2123.373,0.155107,0.869386,0.829350,0.909422,25,0.00068557,2,0.052712,0.078295,0.027128,0.945637,0.919497,0.971777,0.914189,0.894285,0.934093,0.010426,0.008003,0.021467,0.020861,0.000000,13,2,10
475,2157.416,0.155018,0.869703,0.828506,0.910900,25,0.00081801,1,0.052203,0.077800,0.026606,0.946096,0.919857,0.972335,0.914050,0.892963,0.935136,0.010640,0.007789,0.021842,0.020425,0.000000,13,2,10
500,2368.433,0.148424,0.872542,0.832387,0.912697,25,0.00025451,1,0.050986,0.076148,0.025824,0.947405,0.921652,0.973159,0.916019,0.895771,0.936266,0.009584,0.007748,0.020707,0.020043,0.000000,13,2,10
525,2402.376,0.148942,0.871682,0.826628,0.916737,25,0.00007631,3,0.051608,0.075652,0.027563,0.946580,0.921589,0.971572,0.915585,0.889164,0.942005,0.010146,0.007874,0.021740,0.018879,0.000000,13,2,10
550,2615.137,0.147314,0.875243,0.834152,0.916335,25,0.00001029,3,0.051190,0.076644,0.025737,0.947358,0.921369,0.973348,0.919001,0.898084,0.939918,0.010341,0.007586,0.021056,0.019083,0.000000,13,2,10
575,2648.578,0.143492,0.875869,0.832795,0.918942,25,0.00001952,0,0.050151,0.074827,0.025476,0.948266,0.922854,0.973677,0.918732,0.895111,0.942353,0.009674,0.007561,0.020627,0.018582,0.000000,13,2,10
600,2859.268,0.142872,0.875669,0.833846,0.917493,25,0.00001081,0,0.050051,0.073670,0.026432,0.948334,0.923969,0.972699,0.918510,0.895276,0.941744,0.009499,0.007619,0.020450,0.018612,0.000000,13,2,10
625,2892.619,0.143012,0.877694,0.835513,0.919875,25,0.00000703,0,0.050577,0.073505,0.027650,0.947919,0.924255,0.971582,0.921118,0.896928,0.945309,0.010057,0.007847,0.020754,0.017963,0.000000,13,2,10
650,3098.260,0.141538,0.879249,0.836235,0.922263,25,0.00002472,0,0.049482,0.072184,0.026780,0.948994,0.925490,0.972498,0.921779,0.896597,0.946961,0.009777,0.007896,0.020610,0.017727,0.000000,13,2,10
675,3131.883,0.144540,0.877141,0.834281,0.920000,25,0.00001002,1,0.051334,0.074496,0.028171,0.947176,0.923273,0.971079,0.921175,0.896432,0.945918,0.010150,0.008120,0.020846,0.018197,0.000000,13,2,10
700,3338.698,0.144001,0.876477,0.829948,0.923005,25,0.00001592,1,0.051625,0.073340,0.029910,0.946714,0.923934,0.969495,0.920714,0.890816,0.950613,0.010067,0.008425,0.021548,0.017203,0.000000,13,2,10
725,3372.047,0.139252,0.877226,0.828065,0.926387,25,0.00001840,2,0.054098,0.081764,0.026432,0.944655,0.916357,0.972954,0.923323,0.895771,0.950874,0.010141,0.007607,0.020929,0.016610,0.000000,13,2,10
750,3582.827,0.146604,0.876148,0.828907,0.923389,25,0.00000902,0,0.055824,0.082260,0.029389,0.943007,0.916006,0.970009,0.923809,0.897093,0.950526,0.011105,0.008569,0.021652,0.017377,0.000000,13,2,10
775,3615.749,0.138421,0.879909,0.834659,0.925159,25,0.00002099,2,0.054059,0.079947,0.028171,0.944884,0.918532,0.971236,0.926305,0.901388,0.951222,0.009895,0.008160,0.020216,0.016892,0.000000,13,2,10
800,3823.407,0.134085,0.884466,0.842662,0.926270,25,0.00001977,0,0.052742,0.077139,0.028345,0.946386,0.921671,0.971102,0.930095,0.907664,0.952526,0.009744,0.008089,0.019198,0.016576,0.000000,13,2,10
825,3856.456,0.140412,0.881916,0.838660,0.925171,25,0.00002004,0,0.054229,0.080112,0.028345,0.944908,0.918747,0.971069,0.928621,0.905847,0.951396,0.010820,0.008185,0.020313,0.016984,0.000000,13,2,10
850,4061.392,0.137830,0.884425,0.841583,0.927267,25,0.00001799,0,0.054677,0.081269,0.028085,0.944698,0.918014,0.971383,0.931643,0.909977,0.953308,0.011111,0.007996,0.020066,0.016320,0.000000,13,2,10
875,4094.188,0.138634,0.882680,0.840533,0.924827,25,0.00002729,0,0.053277,0.078295,0.028258,0.945813,0.920483,0.971142,0.928652,0.906343,0.950961,0.010588,0.007976,0.020120,0.016803,0.000000,13,2,10
900,4299.425,0.136883,0.885269,0.844353,0.926186,25,0.00002429,0,0.053816,0.079286,0.028345,0.945530,0.919960,0.971099,0.931869,0.911298,0.952439,0.010793,0.007932,0.019808,0.016451,0.000000,13,2,10
925,4332.609,0.138074,0.883885,0.842574,0.925197,25,0.00002637,1,0.052090,0.075487,0.028693,0.946919,0.923103,0.970734,0.928961,0.906178,0.951743,0.010400,0.008053,0.020042,0.016750,0.000000,13,2,10
950,4539.992,0.135941,0.885680,0.844421,0.926939,25,0.00002645,0,0.052338,0.077635,0.027041,0.946886,0.921392,0.972380,0.930991,0.909977,0.952004,0.010671,0.007690,0.019756,0.016371,0.000000,13,2,10
975,4573.379,0.135179,0.885908,0.843396,0.928420,25,0.00002507,1,0.052199,0.077965,0.026432,0.947014,0.921017,0.973011,0.931056,0.909151,0.952961,0.010569,0.007663,0.019743,0.016195,0.000000,13,2,10
1000,4777.222,0.133990,0.884597,0.841589,0.927605,25,0.00004416,0,0.052612,0.077139,0.028085,0.946486,0.921579,0.971393,0.930082,0.906508,0.953656,0.009798,0.008086,0.019401,0.016311,0.000000,13,2,10
1025,4810.347,0.135545,0.883873,0.842081,0.925666,25,0.00004970,2,0.052242,0.076313,0.028171,0.946795,0.922340,0.971251,0.929043,0.906343,0.951743,0.009860,0.008077,0.019485,0.016717,0.000000,13,2,10
1050,5020.148,0.135601,0.884413,0.841258,0.927568,25,0.00003027,2,0.052268,0.076974,0.027563,0.946794,0.921694,0.971895,0.929574,0.906013,0.953135,0.010074,0.008011,0.019785,0.016366,0.000000,13,2,10
1075,5053.637,0.135008,0.884213,0.841031,0.927394,25,0.00003614,2,0.052586,0.076478,0.028693,0.946454,0.922106,0.970802,0.929678,0.905352,0.954004,0.009898,0.008182,0.019638,0.016316,0.000000,13,2,10
1100,5260.443,0.136639,0.885370,0.843497,0.927244,25,0.00001611,0,0.054864,0.080773,0.028954,0.944578,0.918609,0.970547,0.932860,0.911629,0.954091,0.010990,0.008008,0.019917,0.016126,0.000000,13,2,10
