step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.370,1.489770,0.161199,0.164435,0.157964,20,0.00000000,0,0.076986,0.090495,0.063476,0.695182,0.664598,0.725765,0.173653,0.179315,0.167990,0.024774,0.027771,0.196353,0.273964,0.000000,0,0,0
25,25.770,1.182863,0.290809,0.296457,0.285161,20,0.00000000,0,0.037297,0.050037,0.024557,0.891992,0.861519,0.922466,0.301727,0.311291,0.292163,0.013400,0.010479,0.158564,0.223785,0.000000,0,0,0
50,181.170,0.925907,0.438651,0.430747,0.446555,22,0.00000888,0,0.029624,0.038132,0.021115,0.938585,0.921426,0.955744,0.451578,0.447173,0.455984,0.010215,0.009006,0.126467,0.172556,0.000000,2,0,0
75,209.031,0.721721,0.557055,0.536360,0.577750,22,0.00009223,0,0.025156,0.034691,0.015621,0.957618,0.941167,0.974069,0.570871,0.554967,0.586775,0.009285,0.006289,0.102256,0.130509,0.000000,2,0,0
100,377.811,0.605837,0.628981,0.607522,0.650440,24,0.00081376,2,0.024016,0.033668,0.014363,0.963904,0.949114,0.978694,0.643880,0.627976,0.659783,0.009194,0.006120,0.086155,0.107944,0.000000,4,0,0
125,408.763,0.519590,0.682268,0.665105,0.699432,24,0.00196139,2,0.022855,0.032273,0.013437,0.968250,0.955104,0.981397,0.697700,0.686570,0.708830,0.008861,0.005601,0.073009,0.092500,0.000000,4,0,0
150,594.494,0.450567,0.725617,0.707665,0.743570,26,0.00114257,3,0.024400,0.037481,0.011319,0.968300,0.951428,0.985172,0.743087,0.734189,0.751986,0.010104,0.004816,0.063738,0.078724,0.000000,6,0,0
175,627.625,0.386768,0.765922,0.746896,0.784947,26,0.00125203,2,0.025923,0.041388,0.010458,0.968232,0.949478,0.986986,0.785482,0.777809,0.793156,0.011167,0.004396,0.055039,0.065811,0.000000,6,0,0
200,819.533,0.351142,0.791801,0.775744,0.807858,27,0.00007044,1,0.030473,0.046782,0.014165,0.964266,0.945527,0.983005,0.815668,0.812035,0.819301,0.012772,0.005921,0.048843,0.058841,0.000000,7,1,1
225,854.023,0.331071,0.803867,0.780479,0.827255,27,0.00007898,3,0.032349,0.051990,0.012708,0.962753,0.940450,0.985057,0.829412,0.821057,0.837768,0.014206,0.005386,0.047846,0.052697,0.000000,7,1,1
250,1036.128,0.313458,0.816255,0.788473,0.844036,24,0.00015577,0,0.034596,0.057013,0.012179,0.960958,0.935972,0.985945,0.843871,0.833426,0.854316,0.015660,0.005143,0.046457,0.047591,0.000000,8,1,5
275,1066.531,0.303320,0.821411,0.783725,0.859097,24,0.00024115,0,0.036570,0.061756,0.011385,0.958990,0.930912,0.987067,0.850501,0.832124,0.868877,0.016876,0.004716,0.047582,0.042672,0.000000,8,1,5
300,1250.964,0.285419,0.836513,0.790686,0.882341,26,0.00013733,0,0.043226,0.074405,0.012047,0.953079,0.919468,0.986689,0.871243,0.849516,0.892971,0.020562,0.004956,0.046702,0.035647,0.000000,10,1,5
325,1284.167,0.260013,0.852680,0.794920,0.910440,26,0.00017521,0,0.045983,0.083891,0.008075,0.951276,0.911273,0.991278,0.889700,0.861607,0.917792,0.023181,0.003731,0.046097,0.027077,0.000000,10,1,5
350,1483.526,0.246844,0.867427,0.788191,0.946662,27,0.00025775,0,0.060938,0.110491,0.011385,0.938081,0.887914,0.988249,0.916359,0.875279,0.957440,0.030441,0.005026,0.048681,0.015806,0.000000,11,1,5
375,1518.114,0.231143,0.876559,0.795044,0.958074,27,0.00002251,1,0.059833,0.110863,0.008803,0.939723,0.888473,0.990974,0.924846,0.883185,0.966508,0.030578,0.004101,0.047404,0.012299,0.000000,11,1,5
400,1727.353,0.224734,0.880948,0.792506,0.969389,27,0.00001105,2,0.063399,0.117001,0.009796,0.936675,0.883259,0.990092,0.932058,0.885231,0.978885,0.032320,0.003955,0.048224,0.008548,0.000000,11,1,5
425,1761.975,0.217918,0.885311,0.793524,0.977098,27,0.00002262,2,0.064464,0.120257,0.008671,0.936060,0.880840,0.991279,0.937261,0.888951,0.985571,0.033005,0.003675,0.048112,0.006182,0.000000,11,1,5
450,1962.626,0.218259,0.885335,0.790619,0.980051,26,0.00003154,1,0.064464,0.120257,0.008671,0.935880,0.880455,0.991305,0.937122,0.885696,0.988549,0.033045,0.003859,0.048656,0.005637,0.000000,11,1,6
475,1995.666,0.221230,0.884462,0.786641,0.982282,26,0.00001952,1,0.066882,0.125093,0.008671,0.933743,0.876162,0.991325,0.937922,0.885045,0.990800,0.034433,0.003844,0.049794,0.004806,0.000000,11,1,6
500,2187.071,0.222134,0.885290,0.789896,0.980685,26,0.00001964,1,0.067868,0.124814,0.010921,0.932964,0.876824,0.989104,0.939941,0.888486,0.991395,0.034339,0.004876,0.049025,0.005407,0.000000,11,1,6
525,2219.645,0.220379,0.889080,0.797111,0.981049,26,0.00002256,0,0.069837,0.126767,0.012907,0.931747,0.876316,0.987178,0.945935,0.898158,0.993712,0.035118,0.005834,0.047632,0.005346,0.000000,11,1,6
550,2416.316,0.216528,0.891131,0.801718,0.980544,26,0.00002829,1,0.070021,0.126209,0.013834,0.931818,0.877361,0.986275,0.948505,0.902902,0.994109,0.034924,0.005957,0.046447,0.005282,0.000000,11,1,6
575,2448.968,0.219449,0.891557,0.805831,0.977283,26,0.00017928,1,0.071497,0.126116,0.016878,0.930640,0.877981,0.983299,0.950619,0.907459,0.993778,0.034932,0.007499,0.045442,0.006450,0.000000,11,1,6
600,2633.622,0.220102,0.890925,0.803595,0.978255,25,0.00030073,1,0.072328,0.127976,0.016680,0.929893,0.876281,0.983506,0.950504,0.906436,0.994572,0.035244,0.007254,0.045946,0.006102,0.000000,11,1,7
