step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.399,1.012011,0.150333,0.126963,0.173704,20,0.00016185,0,0.466056,0.203275,0.728837,0.360439,0.429077,0.291802,0.226538,0.152771,0.300305,0.042887,0.056541,0.185008,0.102577,0.000000,0,0,0
25,26.921,0.779154,0.204872,0.156126,0.253619,20,0.00001391,1,0.229354,0.097343,0.361366,0.563145,0.637681,0.488610,0.258296,0.171324,0.345268,0.020354,0.027551,0.163319,0.072443,0.000000,0,0,0
50,176.940,0.687564,0.253164,0.198924,0.307404,23,0.00026119,1,0.161704,0.063903,0.259506,0.683396,0.768080,0.598712,0.299406,0.211635,0.387177,0.013243,0.019799,0.150348,0.062259,0.000000,0,3,0
75,205.484,0.613054,0.325686,0.255839,0.395532,23,0.00001567,2,0.139665,0.049244,0.230086,0.761960,0.844989,0.678931,0.377488,0.268438,0.486539,0.010190,0.017405,0.137798,0.052752,0.000000,0,3,0
100,352.816,0.538357,0.405405,0.334728,0.476082,21,0.00000000,1,0.129256,0.040082,0.218429,0.811603,0.896755,0.726451,0.464108,0.348145,0.580072,0.008210,0.016610,0.121900,0.045142,0.000000,3,3,5
125,379.400,0.483614,0.460435,0.397874,0.522997,21,0.00005784,0,0.107906,0.045121,0.170691,0.842052,0.902112,0.781992,0.514047,0.415827,0.612268,0.009248,0.012944,0.110746,0.039349,0.000000,3,3,5
150,539.166,0.418108,0.521439,0.489841,0.553038,23,0.00022898,2,0.096990,0.042716,0.151263,0.865427,0.922822,0.808031,0.573728,0.510765,0.636692,0.008646,0.011213,0.093424,0.035962,0.000000,4,4,5
175,568.739,0.367785,0.566427,0.558453,0.574400,23,0.00003333,2,0.085236,0.036418,0.134055,0.885066,0.940804,0.829329,0.615096,0.578791,0.651402,0.007425,0.009933,0.080395,0.033514,0.000000,4,4,5
200,737.069,0.338352,0.593106,0.598514,0.587698,24,0.00008818,1,0.078188,0.032868,0.123508,0.895969,0.949516,0.842422,0.639235,0.618186,0.660283,0.006680,0.009043,0.072795,0.032108,0.000000,6,5,7
225,768.867,0.311811,0.623622,0.644174,0.603069,24,0.00001081,1,0.079278,0.036990,0.121565,0.897592,0.947531,0.847652,0.672192,0.668003,0.676381,0.007603,0.009057,0.064621,0.030983,0.000000,6,5,7
