step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.446,1.012011,0.150333,0.126963,0.173704,20,0.00016185,0,0.466056,0.203275,0.728837,0.360439,0.429077,0.291802,0.226538,0.152771,0.300305,0.042887,0.056541,0.185008,0.102577,0.000000,0,0,0
25,27.692,0.779154,0.204872,0.156126,0.253619,20,0.00001391,1,0.229354,0.097343,0.361366,0.563145,0.637681,0.488610,0.258296,0.171324,0.345268,0.020354,0.027551,0.163319,0.072443,0.000000,0,0,0
50,178.876,0.688759,0.257754,0.203333,0.312174,23,0.00019163,1,0.170881,0.065048,0.276714,0.679615,0.769012,0.590218,0.307558,0.216560,0.398557,0.013502,0.021068,0.149660,0.062596,0.000000,1,2,0
75,208.398,0.608865,0.337404,0.268766,0.406042,23,0.00001590,2,0.150353,0.051191,0.249514,0.758468,0.846603,0.670334,0.394940,0.282524,0.507355,0.010623,0.018877,0.135710,0.052491,0.000000,1,2,0
100,367.252,0.536027,0.410624,0.346530,0.474718,22,0.00011115,1,0.135437,0.041342,0.229531,0.807479,0.897210,0.717747,0.472268,0.360857,0.583680,0.008586,0.017483,0.119956,0.045659,0.000000,2,4,4
125,396.485,0.485455,0.456299,0.408134,0.504464,22,0.00004647,2,0.112951,0.044663,0.181238,0.835982,0.905179,0.766786,0.511128,0.426363,0.595892,0.009356,0.013757,0.109039,0.041212,0.000000,2,4,4
150,539.657,0.431974,0.504756,0.488531,0.520981,21,0.00010306,0,0.107916,0.038479,0.177352,0.852606,0.929501,0.775711,0.560354,0.507329,0.613378,0.008041,0.013418,0.093471,0.039767,0.000000,5,4,8
175,567.347,0.391207,0.544046,0.557417,0.530675,21,0.00012748,1,0.107704,0.039166,0.176242,0.858243,0.936667,0.779820,0.601725,0.579249,0.624202,0.008255,0.013278,0.080961,0.038646,0.000000,5,4,8
200,734.514,0.358071,0.577803,0.615605,0.540000,24,0.00004769,3,0.109369,0.039166,0.179573,0.861195,0.942308,0.780082,0.638343,0.639716,0.636969,0.008337,0.013561,0.070358,0.038039,0.000000,8,4,8
225,767.032,0.322194,0.616043,0.680468,0.551619,24,0.00005611,4,0.115616,0.048328,0.182903,0.858807,0.936551,0.781063,0.682932,0.713353,0.652512,0.009906,0.013666,0.058568,0.037031,0.000000,8,4,8
250,959.768,0.303247,0.629770,0.712623,0.546916,27,0.00005162,4,0.108794,0.043289,0.174299,0.865759,0.944978,0.786540,0.692857,0.743472,0.642243,0.008951,0.013310,0.052497,0.037443,0.000000,11,4,8
275,996.331,0.287825,0.643399,0.736198,0.550599,27,0.00007071,2,0.110676,0.039281,0.182070,0.866287,0.951167,0.781406,0.707982,0.765117,0.650847,0.007954,0.013863,0.047778,0.037239,0.000000,11,4,8
300,1206.920,0.275185,0.658907,0.749834,0.567979,26,0.00017152,4,0.110903,0.037792,0.184013,0.869421,0.953684,0.785159,0.725334,0.778172,0.672495,0.007537,0.014010,0.045062,0.035853,0.000000,11,4,9
325,1241.786,0.261309,0.676767,0.768077,0.585457,26,0.00027824,3,0.109051,0.031035,0.187066,0.875102,0.962288,0.787917,0.743446,0.791915,0.694976,0.006530,0.014447,0.041843,0.034707,0.000000,11,4,9
350,1452.044,0.252130,0.684158,0.780620,0.587697,29,0.00005065,2,0.108099,0.034127,0.182070,0.875889,0.959439,0.792339,0.750980,0.807261,0.694699,0.006964,0.013900,0.039430,0.034169,0.000000,14,4,9
375,1491.988,0.242124,0.698835,0.795945,0.601725,29,0.00002714,1,0.112368,0.033784,0.190952,0.875082,0.960561,0.789602,0.769730,0.822836,0.716625,0.006970,0.014496,0.036782,0.033187,0.000000,14,4,9
400,1718.395,0.228385,0.715867,0.809418,0.622316,28,0.00001475,4,0.111282,0.033555,0.189009,0.878986,0.961437,0.796534,0.788259,0.836578,0.739939,0.006805,0.014333,0.034189,0.031367,0.000000,14,4,10
425,1755.636,0.229250,0.721720,0.806608,0.636831,28,0.00001288,1,0.111962,0.036303,0.187621,0.879806,0.958377,0.801235,0.796103,0.835891,0.756314,0.007605,0.014585,0.034930,0.030389,0.000000,14,4,10
450,1977.104,0.219137,0.734524,0.820986,0.648062,29,0.00001556,0,0.112092,0.035731,0.188454,0.881545,0.959674,0.803416,0.810256,0.850321,0.770192,0.007439,0.014750,0.032346,0.029602,0.000000,15,4,10
475,2016.212,0.215485,0.737409,0.826759,0.648058,29,0.00001325,0,0.114852,0.036532,0.193172,0.879614,0.959113,0.800115,0.815104,0.856963,0.773245,0.007535,0.014756,0.031248,0.029432,0.000000,15,4,10
500,2239.696,0.209471,0.744682,0.832394,0.656970,29,0.00001929,0,0.114575,0.036532,0.192617,0.881026,0.959379,0.802673,0.823159,0.862803,0.783514,0.007399,0.014824,0.029987,0.028720,0.000000,15,4,10
525,2278.424,0.212934,0.744993,0.835449,0.654537,29,0.00001985,2,0.121392,0.037678,0.205107,0.875991,0.958349,0.793633,0.827857,0.866926,0.788787,0.008033,0.015860,0.029806,0.029221,0.000000,15,4,10
