step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.399,1.095125,0.222408,0.192544,0.252272,20,0.00000000,0,0.178780,0.179451,0.178108,0.591939,0.558597,0.625282,0.262150,0.227096,0.297204,0.040569,0.035884,0.177669,0.149146,0.000000,0,0,0
25,26.968,0.797285,0.364217,0.354434,0.374001,20,0.00000003,0,0.090185,0.093993,0.086377,0.814785,0.804889,0.824680,0.397027,0.387748,0.406306,0.020869,0.017323,0.131327,0.115338,0.000000,0,0,0
50,182.542,0.626353,0.490924,0.511076,0.470772,23,0.00002575,1,0.073621,0.082757,0.064485,0.877948,0.869905,0.885991,0.527251,0.553371,0.501130,0.018183,0.012747,0.098130,0.095183,0.000000,3,0,0
75,212.860,0.529261,0.566434,0.597538,0.535329,23,0.00011720,0,0.064213,0.079408,0.049018,0.905050,0.890380,0.919719,0.603279,0.644987,0.561570,0.017579,0.009745,0.080292,0.082440,0.000000,3,0,0
100,396.606,0.463855,0.617975,0.628869,0.607081,26,0.00065128,3,0.056761,0.078544,0.034979,0.921741,0.896217,0.947265,0.653290,0.678263,0.628316,0.017216,0.006930,0.073673,0.068720,0.000000,4,2,0
125,431.023,0.418132,0.655419,0.642282,0.668556,26,0.00138886,5,0.051059,0.073682,0.028435,0.931877,0.903468,0.960286,0.688587,0.689607,0.687567,0.016193,0.005613,0.070841,0.057310,0.000000,4,2,0
150,619.758,0.383655,0.688684,0.654027,0.723340,24,0.00148528,1,0.054257,0.079840,0.028673,0.930664,0.898433,0.962895,0.725163,0.706245,0.744081,0.017392,0.005505,0.068496,0.047594,0.000000,5,2,3
175,651.280,0.355717,0.715458,0.664430,0.766486,24,0.00074813,3,0.054382,0.078544,0.030220,0.932182,0.901223,0.963140,0.753133,0.716616,0.789649,0.017406,0.005817,0.066635,0.040151,0.000000,5,2,3
200,836.579,0.326462,0.743192,0.677161,0.809223,26,0.00038119,4,0.057771,0.080920,0.034622,0.930371,0.900452,0.960289,0.784599,0.731958,0.837240,0.017715,0.006568,0.063936,0.032654,0.000000,8,2,4
225,870.982,0.298365,0.765253,0.684353,0.846154,26,0.00041295,4,0.049753,0.077139,0.022368,0.940031,0.905267,0.974796,0.801112,0.737143,0.865080,0.017114,0.004154,0.062762,0.025963,0.000000,8,2,4
250,1082.589,0.281996,0.781488,0.697291,0.865686,29,0.00033024,4,0.049692,0.080704,0.018679,0.941260,0.903263,0.979257,0.817711,0.753565,0.881856,0.018066,0.003527,0.060380,0.022745,0.000000,11,2,4
275,1121.276,0.258282,0.797543,0.722796,0.872291,29,0.00052772,6,0.046357,0.077247,0.015467,0.946292,0.909745,0.982838,0.832206,0.778630,0.885782,0.016799,0.002852,0.054699,0.021446,0.000000,11,2,4
300,1347.132,0.239969,0.814182,0.754138,0.874226,31,0.00050738,4,0.047439,0.077031,0.017847,0.946857,0.913376,0.980338,0.851029,0.812230,0.889827,0.017075,0.003327,0.048573,0.021097,0.000000,14,2,5
325,1388.372,0.209289,0.840334,0.789511,0.891157,31,0.00045905,4,0.045533,0.071197,0.019869,0.950479,0.922352,0.978606,0.877293,0.845722,0.908864,0.015830,0.003844,0.041437,0.018381,0.000000,14,2,5
350,1636.983,0.202328,0.847285,0.802841,0.891729,31,0.00029598,5,0.048269,0.072385,0.024152,0.948340,0.922445,0.974235,0.887110,0.860955,0.913266,0.016065,0.004743,0.038660,0.018310,0.000000,14,2,5
375,1678.348,0.188092,0.857553,0.817878,0.897227,31,0.00033508,3,0.044723,0.068388,0.021059,0.952473,0.927417,0.977530,0.894966,0.873812,0.916121,0.015117,0.004276,0.035423,0.017500,0.000000,14,2,5
400,1916.939,0.174419,0.867840,0.827087,0.908593,30,0.00026440,3,0.043508,0.066551,0.020464,0.954127,0.929849,0.978406,0.904658,0.882131,0.927186,0.014770,0.003866,0.033592,0.015168,0.000000,15,2,7
425,1956.767,0.163390,0.879835,0.840093,0.919576,30,0.00030793,2,0.046561,0.070873,0.022249,0.951926,0.926973,0.976879,0.919834,0.899633,0.940036,0.015532,0.004394,0.030962,0.013466,0.000000,15,2,7
450,2197.259,0.150924,0.890281,0.856725,0.923837,30,0.00040754,3,0.046605,0.070009,0.023200,0.952546,0.929049,0.976044,0.930987,0.916703,0.945271,0.015361,0.004582,0.027580,0.012662,0.000000,15,2,7
475,2237.304,0.145328,0.894967,0.862278,0.927656,30,0.00058679,1,0.044086,0.066876,0.021297,0.955123,0.932231,0.978015,0.933678,0.919944,0.947412,0.014897,0.004244,0.026647,0.012088,0.000000,15,2,7
500,2471.094,0.141284,0.898151,0.867714,0.928588,29,0.00039270,3,0.043546,0.065795,0.021297,0.955809,0.933581,0.978037,0.936585,0.924806,0.948364,0.014654,0.004323,0.025491,0.012023,0.000000,15,2,8
525,2509.084,0.138045,0.899031,0.867674,0.930387,29,0.00067479,3,0.042908,0.065471,0.020345,0.956441,0.933864,0.979018,0.936899,0.924481,0.949316,0.014390,0.004004,0.025174,0.011487,0.000000,15,2,8
550,2742.024,0.133217,0.902597,0.871112,0.934081,29,0.00049420,2,0.040422,0.062878,0.017965,0.958932,0.936407,0.981456,0.938374,0.925886,0.950863,0.013855,0.003573,0.024665,0.010911,0.000000,15,2,8
575,2780.046,0.129448,0.904443,0.873995,0.934892,29,0.00034402,2,0.039660,0.061474,0.017847,0.959723,0.937855,0.981591,0.939650,0.927723,0.951576,0.013429,0.003464,0.023954,0.010669,0.000000,15,2,8
600,3012.646,0.129350,0.904005,0.875191,0.932819,29,0.00031734,3,0.039790,0.061258,0.018322,0.959602,0.938127,0.981076,0.939357,0.928803,0.949911,0.013296,0.003542,0.023576,0.011048,0.000000,15,2,8
625,3050.915,0.130025,0.904726,0.876936,0.932516,29,0.00029896,3,0.039769,0.060501,0.019036,0.959639,0.938918,0.980361,0.940130,0.929991,0.950268,0.013422,0.003670,0.023495,0.011231,0.000000,15,2,8
650,3281.615,0.133209,0.903942,0.872164,0.935721,29,0.00027744,3,0.043210,0.066551,0.019869,0.956418,0.933232,0.979604,0.942260,0.930207,0.954313,0.014545,0.003989,0.024421,0.010651,0.000000,15,2,8
675,3319.508,0.134012,0.904804,0.872508,0.937099,29,0.00025545,2,0.043626,0.067740,0.019512,0.956101,0.932216,0.979985,0.943498,0.931612,0.955384,0.015117,0.003894,0.024650,0.010455,0.000000,15,2,8
700,3549.932,0.133992,0.904775,0.869385,0.940166,29,0.00029305,4,0.042966,0.067848,0.018084,0.956676,0.931895,0.981457,0.942770,0.928371,0.957168,0.015188,0.003588,0.025265,0.009942,0.000000,15,2,8
725,3588.015,0.135010,0.902467,0.869367,0.935567,29,0.00025700,3,0.043075,0.066876,0.019274,0.956467,0.932747,0.980188,0.940553,0.927506,0.953599,0.014770,0.003764,0.025066,0.010610,0.000000,15,2,8
750,3818.917,0.134501,0.903310,0.870846,0.935773,29,0.00021367,3,0.041952,0.063202,0.020702,0.957443,0.936100,0.978786,0.940516,0.925886,0.955146,0.014328,0.003989,0.025094,0.010531,0.000000,15,2,8
775,3856.814,0.132551,0.904688,0.867073,0.942303,29,0.00028311,2,0.040887,0.063094,0.018679,0.958424,0.935937,0.980912,0.940843,0.921780,0.959905,0.014140,0.003684,0.025675,0.009531,0.000000,15,2,8
800,4088.256,0.132288,0.904473,0.862304,0.946642,29,0.00028941,3,0.039179,0.061582,0.016776,0.959919,0.936968,0.982870,0.938964,0.915406,0.962522,0.013808,0.003272,0.026702,0.008786,0.000000,15,2,8
825,4126.133,0.132908,0.902959,0.859801,0.946117,29,0.00024234,3,0.039183,0.062662,0.015705,0.959870,0.935819,0.983920,0.937327,0.913678,0.960976,0.013843,0.003109,0.026977,0.008793,0.000000,15,2,8
