step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.430,1.095125,0.222408,0.192544,0.252272,20,0.00000000,0,0.178780,0.179451,0.178108,0.591939,0.558597,0.625282,0.262150,0.227096,0.297204,0.040569,0.035884,0.177669,0.149146,0.000000,0,0,0
25,27.257,0.797285,0.364217,0.354434,0.374001,20,0.00000003,0,0.090185,0.093993,0.086377,0.814785,0.804889,0.824680,0.397027,0.387748,0.406306,0.020869,0.017323,0.131327,0.115338,0.000000,0,0,0
50,181.837,0.627632,0.489894,0.508681,0.471108,23,0.00002545,1,0.073621,0.082757,0.064485,0.877718,0.869372,0.886063,0.526133,0.550778,0.501487,0.018183,0.012747,0.098629,0.095111,0.000000,3,0,0
75,212.104,0.529252,0.565277,0.590225,0.540329,23,0.00011572,0,0.062636,0.076491,0.048780,0.906645,0.892548,0.920742,0.601029,0.635372,0.566686,0.016942,0.009620,0.081589,0.081520,0.000000,3,0,0
100,393.307,0.463854,0.619537,0.631241,0.607832,26,0.00031637,3,0.059845,0.077571,0.042118,0.917644,0.897633,0.937654,0.656820,0.680207,0.633432,0.016834,0.008205,0.073185,0.068840,0.000000,6,0,0
125,427.658,0.420671,0.662338,0.650427,0.674250,26,0.00151942,2,0.062131,0.088807,0.035455,0.920122,0.888573,0.951670,0.703173,0.708189,0.698156,0.019328,0.007023,0.069866,0.056827,0.000000,6,0,0
150,624.925,0.355127,0.722714,0.679905,0.765522,28,0.00116056,4,0.062646,0.096262,0.029030,0.925040,0.885623,0.964457,0.766550,0.745354,0.787745,0.021210,0.005517,0.064485,0.040256,0.000000,8,1,1
175,661.243,0.293079,0.775696,0.720639,0.830753,28,0.00089567,4,0.059065,0.088267,0.029863,0.932554,0.898836,0.966273,0.819905,0.784248,0.855562,0.019494,0.005730,0.055887,0.028985,0.000000,8,1,1
200,867.060,0.257678,0.803893,0.746697,0.861088,29,0.00033294,4,0.054279,0.087619,0.020940,0.939676,0.902618,0.976735,0.845621,0.812122,0.879120,0.019648,0.003831,0.050723,0.023352,0.000000,11,1,3
225,905.654,0.222233,0.833042,0.772083,0.894002,29,0.00030968,3,0.051671,0.089780,0.013563,0.944419,0.903585,0.985252,0.873764,0.841400,0.906127,0.019742,0.002449,0.045250,0.017660,0.000000,11,1,3
