step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.405,0.883136,0.184212,0.187488,0.180936,20,0.00009523,0,0.477185,0.106808,0.847561,0.471523,0.660194,0.282853,0.270902,0.207513,0.334290,0.025029,0.049990,0.172524,0.084323,0.000000,0,0,0
25,26.983,0.652818,0.305707,0.270881,0.340532,20,0.00003389,2,0.240124,0.051984,0.428264,0.688743,0.845721,0.531765,0.385666,0.284963,0.486370,0.011983,0.024973,0.147048,0.052072,0.000000,0,0,0
50,181.501,0.547157,0.408515,0.388459,0.428571,23,0.00026124,2,0.218842,0.046722,0.390961,0.750430,0.896936,0.603924,0.501367,0.406608,0.596126,0.010668,0.022331,0.122475,0.043350,0.000000,2,1,0
75,210.645,0.484145,0.454169,0.480851,0.427487,23,0.00027715,3,0.207125,0.044091,0.370158,0.766013,0.919268,0.612758,0.543888,0.502052,0.585725,0.009797,0.020977,0.103279,0.042652,0.000000,2,1,0
100,373.664,0.426558,0.499330,0.559350,0.439309,22,0.00021266,3,0.192946,0.035462,0.350430,0.785481,0.942304,0.628658,0.586221,0.579186,0.593257,0.007930,0.019995,0.086922,0.041252,0.000000,3,1,2
125,401.742,0.371744,0.543081,0.620739,0.465423,22,0.00028342,2,0.167511,0.027991,0.307030,0.811277,0.957978,0.664577,0.623218,0.638114,0.608321,0.006236,0.017409,0.074139,0.037886,0.000000,3,1,2
150,571.535,0.318740,0.590540,0.681081,0.500000,24,0.00008470,2,0.147840,0.024519,0.271162,0.833502,0.966055,0.700949,0.666680,0.697780,0.635581,0.005276,0.015131,0.061787,0.034237,0.000000,4,2,2
175,602.333,0.290778,0.615972,0.715464,0.516480,24,0.00007521,2,0.136083,0.020730,0.251435,0.846167,0.972397,0.719936,0.688319,0.730296,0.646341,0.004594,0.014064,0.054969,0.032611,0.000000,4,2,2
200,784.547,0.278887,0.632979,0.729429,0.536530,24,0.00004730,1,0.138667,0.020520,0.256815,0.848682,0.973174,0.724191,0.709358,0.744397,0.674319,0.004326,0.014446,0.052067,0.031499,0.000000,6,2,4
225,817.214,0.265156,0.650566,0.741592,0.559541,24,0.00002376,2,0.133418,0.016837,0.250000,0.857422,0.978160,0.736683,0.726752,0.754078,0.699426,0.003804,0.014069,0.049745,0.029698,0.000000,6,2,4
250,1011.860,0.254510,0.663690,0.763393,0.563986,26,0.00003844,3,0.145110,0.023361,0.266858,0.849518,0.970965,0.728070,0.747859,0.781227,0.714491,0.004686,0.014922,0.045318,0.029705,0.000000,8,2,4
275,1047.011,0.234654,0.689378,0.793924,0.584831,26,0.00002075,2,0.151131,0.025360,0.276901,0.849645,0.969788,0.729502,0.780415,0.814059,0.746772,0.005220,0.015485,0.039462,0.028399,0.000000,8,2,4
300,1258.182,0.232905,0.698386,0.798439,0.598333,28,0.00013612,2,0.158041,0.024834,0.291248,0.848387,0.970544,0.726231,0.795432,0.818268,0.772597,0.005193,0.016616,0.038644,0.028054,0.000000,10,2,4
325,1295.258,0.230668,0.700803,0.799529,0.602078,28,0.00016538,2,0.151994,0.026728,0.277260,0.851734,0.968467,0.735002,0.794954,0.820899,0.769010,0.005805,0.015808,0.038583,0.027461,0.000000,10,2,4
350,1513.945,0.224706,0.708037,0.799179,0.616894,27,0.00000335,1,0.143555,0.025992,0.261119,0.858990,0.969275,0.748706,0.798964,0.819952,0.777977,0.005695,0.014828,0.038651,0.025988,0.000000,10,2,5
375,1550.079,0.215175,0.720724,0.806481,0.634966,27,0.00002705,1,0.142891,0.026097,0.259684,0.862168,0.969428,0.754909,0.813692,0.827528,0.799857,0.005424,0.014807,0.036922,0.024681,0.000000,10,2,5
400,1761.843,0.203217,0.735976,0.821329,0.650623,28,0.00005780,1,0.145530,0.024203,0.266858,0.863729,0.972033,0.755424,0.832727,0.841208,0.824247,0.004946,0.015162,0.034002,0.023669,0.000000,12,2,6
425,1799.120,0.191650,0.748099,0.835349,0.660850,28,0.00016150,1,0.146245,0.018100,0.274390,0.866709,0.979162,0.754256,0.846325,0.850468,0.842181,0.003810,0.015528,0.031192,0.022985,0.000000,12,2,6
450,2014.676,0.181007,0.759512,0.847370,0.671654,26,0.00019573,1,0.141273,0.012101,0.270445,0.872711,0.986086,0.759336,0.855462,0.857624,0.853300,0.002454,0.015576,0.028819,0.022457,0.000000,12,2,8
475,2049.297,0.178849,0.760810,0.854115,0.667505,26,0.00020521,1,0.148224,0.012733,0.283716,0.868376,0.985493,0.751258,0.860938,0.864990,0.856887,0.002441,0.016322,0.027366,0.022821,0.000000,12,2,8
500,2258.275,0.180930,0.759880,0.851614,0.668147,27,0.00030606,1,0.153392,0.014101,0.292683,0.865417,0.983935,0.746898,0.863662,0.863622,0.863702,0.002876,0.016518,0.027970,0.022571,0.000000,13,2,8
525,2293.946,0.168719,0.779028,0.858225,0.699831,27,0.00032004,0,0.145037,0.013890,0.276184,0.874046,0.984288,0.763804,0.881630,0.870146,0.893113,0.002761,0.015776,0.026588,0.020308,0.000000,13,2,8
550,2508.886,0.155220,0.796914,0.865335,0.728494,27,0.00039526,0,0.135824,0.016626,0.255022,0.881676,0.981451,0.781902,0.896999,0.879722,0.914275,0.003131,0.014373,0.025108,0.017788,0.000000,13,2,8
575,2544.859,0.157543,0.794737,0.862201,0.727273,27,0.00038614,1,0.135539,0.016416,0.254663,0.881710,0.981612,0.781807,0.894418,0.876355,0.912482,0.003117,0.014416,0.025712,0.017946,0.000000,13,2,8
600,2761.401,0.156356,0.795399,0.871138,0.719661,28,0.00027325,1,0.143122,0.018310,0.267934,0.876397,0.979777,0.773017,0.899785,0.887088,0.912482,0.003389,0.015359,0.023780,0.018901,0.000000,14,2,8
625,2799.163,0.150792,0.796897,0.888578,0.705217,28,0.00005994,1,0.157378,0.015258,0.299498,0.868528,0.983368,0.753687,0.909282,0.902136,0.916428,0.002636,0.016957,0.020304,0.020150,0.000000,14,2,8
650,3024.800,0.155120,0.792877,0.884611,0.701143,28,0.00001541,1,0.153079,0.019573,0.286585,0.868831,0.978760,0.758902,0.902003,0.901926,0.902080,0.003760,0.016336,0.021271,0.020384,0.000000,14,2,8
675,3062.199,0.146348,0.803082,0.889038,0.717126,28,0.00046744,2,0.142137,0.021362,0.262912,0.876015,0.977015,0.775015,0.906848,0.908029,0.905667,0.004089,0.014786,0.020463,0.018773,0.000000,14,2,8
700,3281.658,0.135448,0.811583,0.901709,0.721457,27,0.00048669,2,0.133177,0.015995,0.250359,0.882799,0.982840,0.782758,0.909106,0.916132,0.902080,0.003121,0.014201,0.018065,0.018310,0.000000,14,2,9
725,3317.874,0.141458,0.803364,0.901426,0.705302,27,0.00038106,2,0.145147,0.018415,0.271879,0.873874,0.980335,0.767413,0.907542,0.918026,0.897059,0.003554,0.015200,0.018085,0.019602,0.000000,14,2,9
750,3533.936,0.146435,0.800416,0.894503,0.706329,27,0.00032775,5,0.147761,0.020415,0.275108,0.872070,0.978124,0.766016,0.906705,0.912764,0.900646,0.003968,0.015445,0.019352,0.019677,0.000000,14,2,9
775,3569.616,0.143278,0.805379,0.900537,0.710222,27,0.00022509,4,0.146781,0.019888,0.273673,0.873268,0.978805,0.767732,0.911519,0.918447,0.904591,0.003921,0.015690,0.018239,0.019662,0.000000,14,2,9
800,3787.197,0.142554,0.804845,0.907018,0.702673,27,0.00025323,4,0.154028,0.019678,0.288379,0.868790,0.979167,0.758413,0.915087,0.924866,0.905308,0.003904,0.016360,0.017061,0.020267,0.000000,14,2,9
825,3822.965,0.147690,0.800107,0.893900,0.706313,27,0.00037513,3,0.146085,0.019573,0.272597,0.873138,0.978976,0.767299,0.905124,0.911396,0.898852,0.003826,0.015576,0.019517,0.019924,0.000000,14,2,9
850,4040.038,0.141685,0.803919,0.899494,0.708345,27,0.00031056,4,0.143332,0.018731,0.267934,0.875097,0.979968,0.770225,0.907239,0.916342,0.898135,0.003485,0.015177,0.018226,0.019599,0.000000,14,2,9
875,4075.998,0.141880,0.805254,0.896834,0.713675,27,0.00033377,2,0.137955,0.016942,0.258967,0.879013,0.981763,0.776263,0.905261,0.912028,0.898494,0.003283,0.014783,0.018936,0.019246,0.000000,14,2,9
900,4289.909,0.142849,0.805202,0.897290,0.713115,27,0.00038790,2,0.143186,0.017363,0.269010,0.876094,0.981335,0.770852,0.908910,0.912870,0.904950,0.003250,0.015366,0.018792,0.019426,0.000000,14,2,9
925,4325.156,0.144061,0.802333,0.899752,0.704913,27,0.00020346,2,0.151498,0.018205,0.284792,0.870644,0.980516,0.760771,0.910899,0.916132,0.905667,0.003396,0.015981,0.018331,0.019953,0.000000,14,2,9
950,4538.071,0.153415,0.794559,0.898883,0.690234,27,0.00032121,3,0.160793,0.017784,0.303802,0.864274,0.980932,0.747616,0.907399,0.914869,0.899928,0.003507,0.017646,0.018656,0.021831,0.000000,14,2,9
975,4573.247,0.152746,0.792636,0.898767,0.686506,27,0.00023511,2,0.161661,0.015574,0.307747,0.863971,0.983224,0.744719,0.905270,0.912764,0.897776,0.003207,0.017479,0.018778,0.021740,0.000000,14,2,9
1000,4788.027,0.152730,0.793981,0.903480,0.684483,27,0.00069087,3,0.165690,0.016100,0.315280,0.861698,0.982764,0.740631,0.909156,0.918026,0.900287,0.003390,0.017956,0.018046,0.022030,0.000000,14,2,9
