step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.416,0.883136,0.184212,0.187488,0.180936,20,0.00009523,0,0.477185,0.106808,0.847561,0.471523,0.660194,0.282853,0.270902,0.207513,0.334290,0.025029,0.049990,0.172524,0.084323,0.000000,0,0,0
25,26.933,0.652818,0.305707,0.270881,0.340532,20,0.00003389,2,0.240124,0.051984,0.428264,0.688743,0.845721,0.531765,0.385666,0.284963,0.486370,0.011983,0.024973,0.147048,0.052072,0.000000,0,0,0
50,205.268,0.547340,0.408529,0.387823,0.429236,23,0.00026124,2,0.218081,0.047353,0.388809,0.750418,0.895592,0.605244,0.501157,0.406188,0.596126,0.010827,0.022191,0.122659,0.043218,0.000000,2,1,0
75,234.337,0.479551,0.461853,0.485041,0.438666,23,0.00026410,3,0.205056,0.044617,0.365495,0.770059,0.919069,0.621049,0.552839,0.506682,0.598996,0.009968,0.020810,0.102648,0.041752,0.000000,2,1,0
100,422.284,0.418611,0.510520,0.566981,0.454060,24,0.00034186,3,0.190285,0.037672,0.342898,0.789941,0.939822,0.640060,0.599048,0.588341,0.609756,0.008498,0.019487,0.085630,0.039835,0.000000,4,2,2
125,452.210,0.363807,0.561145,0.638376,0.483915,24,0.00029374,3,0.181636,0.036515,0.326758,0.805210,0.947702,0.662718,0.651862,0.661686,0.642037,0.008066,0.018275,0.071212,0.036818,0.000000,4,2,2
150,658.551,0.333731,0.596765,0.655239,0.538290,25,0.00008308,3,0.161215,0.034410,0.288020,0.829095,0.951684,0.706506,0.685557,0.677786,0.693329,0.007508,0.016052,0.067546,0.031899,0.000000,5,2,2
175,690.162,0.297389,0.633977,0.693661,0.574294,25,0.00001388,1,0.149438,0.029149,0.269727,0.845376,0.960770,0.729982,0.721538,0.713880,0.729197,0.006523,0.014773,0.059792,0.028687,0.000000,5,2,2
200,911.224,0.278356,0.657442,0.716302,0.598582,27,0.00000845,1,0.146643,0.028938,0.264347,0.851676,0.962220,0.741131,0.746923,0.737030,0.756815,0.006403,0.014642,0.055288,0.026973,0.000000,8,2,3
225,946.437,0.265642,0.668936,0.740400,0.597472,27,0.00005681,1,0.153656,0.030411,0.276901,0.847684,0.961666,0.733701,0.762915,0.762917,0.762912,0.006649,0.015400,0.050243,0.027267,0.000000,8,2,3
250,1191.453,0.248245,0.688477,0.763447,0.613507,30,0.00016323,0,0.148463,0.032937,0.263989,0.852970,0.959908,0.746032,0.782030,0.788593,0.775466,0.007151,0.014648,0.045849,0.025962,0.000000,10,3,3
