step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.404,0.721905,0.285406,0.264819,0.305994,20,0.00017358,0,0.193571,0.180171,0.206971,0.637590,0.634321,0.640860,0.340929,0.312531,0.369326,0.024248,0.030491,0.104397,0.108828,0.000000,0,0,0
25,27.484,0.468361,0.470978,0.457935,0.484020,20,0.00014587,1,0.087992,0.070793,0.105190,0.854757,0.873842,0.835673,0.512644,0.490354,0.534934,0.009351,0.015447,0.069589,0.074098,0.000000,0,0,0
50,186.753,0.298990,0.668875,0.677328,0.660423,23,0.00008583,1,0.078233,0.064754,0.091712,0.902381,0.917609,0.887152,0.721090,0.721188,0.720991,0.008436,0.013395,0.040873,0.047855,0.000000,2,1,0
75,216.140,0.215941,0.765860,0.773158,0.758562,23,0.00002971,0,0.073451,0.061231,0.085670,0.918166,0.930556,0.905776,0.822024,0.820500,0.823548,0.007879,0.012360,0.028388,0.033465,0.000000,2,1,0
100,390.626,0.174903,0.816346,0.831175,0.801517,24,0.00018598,1,0.072405,0.062238,0.082572,0.923629,0.934150,0.913107,0.875303,0.882906,0.867699,0.008045,0.011883,0.021007,0.027287,0.000000,5,1,2
125,422.187,0.152907,0.840922,0.856984,0.824860,24,0.00051830,2,0.067409,0.059218,0.075600,0.930119,0.938758,0.921480,0.897476,0.907734,0.887219,0.007639,0.010958,0.017629,0.023921,0.000000,5,1,2
150,607.621,0.138268,0.853445,0.863535,0.843354,25,0.00017648,1,0.058825,0.053515,0.064136,0.938873,0.944444,0.933301,0.903595,0.909747,0.897444,0.006818,0.009350,0.016729,0.021235,0.000000,8,1,4
175,640.250,0.110626,0.878877,0.886053,0.871701,25,0.00009688,0,0.044293,0.032042,0.056545,0.954151,0.966147,0.942155,0.917718,0.914444,0.920991,0.004098,0.007979,0.013845,0.016969,0.000000,8,1,4
200,831.784,0.098756,0.893014,0.904770,0.881259,25,0.00007253,1,0.039029,0.019963,0.058095,0.960088,0.978826,0.941351,0.927644,0.922832,0.932455,0.002474,0.008548,0.011388,0.016003,0.000000,9,2,6
225,864.860,0.090140,0.901803,0.916226,0.887379,25,0.00008447,0,0.037920,0.015266,0.060573,0.961692,0.983854,0.939530,0.935672,0.930213,0.941131,0.001710,0.008642,0.009811,0.015040,0.000000,9,2,6
250,1050.452,0.079340,0.916245,0.933776,0.898714,23,0.00008991,0,0.035345,0.010736,0.059954,0.964771,0.988752,0.940789,0.948198,0.943801,0.952595,0.001311,0.008704,0.007916,0.013502,0.000000,9,2,8
275,1080.693,0.072861,0.921589,0.940066,0.903113,23,0.00010849,0,0.036681,0.013253,0.060108,0.963602,0.986278,0.940926,0.954961,0.952525,0.957397,0.001399,0.008297,0.006855,0.012559,0.000000,9,2,8
