step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.389,0.721905,0.285406,0.264819,0.305994,20,0.00017358,0,0.193571,0.180171,0.206971,0.637590,0.634321,0.640860,0.340929,0.312531,0.369326,0.024248,0.030491,0.104397,0.108828,0.000000,0,0,0
25,27.586,0.468361,0.470978,0.457935,0.484020,20,0.00014587,1,0.087992,0.070793,0.105190,0.854757,0.873842,0.835673,0.512644,0.490354,0.534934,0.009351,0.015447,0.069589,0.074098,0.000000,0,0,0
50,206.161,0.299495,0.668228,0.678588,0.657869,23,0.00008583,1,0.078233,0.064754,0.091712,0.902257,0.917750,0.886764,0.720366,0.722530,0.718203,0.008436,0.013395,0.040672,0.048224,0.000000,2,1,0
75,235.833,0.220670,0.760335,0.769814,0.750857,23,0.00018581,1,0.073502,0.062573,0.084431,0.917495,0.928939,0.906051,0.816118,0.817984,0.814253,0.008003,0.012250,0.028745,0.034642,0.000000,2,1,0
100,431.919,0.182999,0.803753,0.830048,0.777459,24,0.00022338,1,0.067797,0.055192,0.080403,0.926681,0.940721,0.912641,0.857914,0.875860,0.839969,0.007097,0.011556,0.021004,0.030616,0.000000,4,2,2
125,463.543,0.155563,0.833149,0.862279,0.804018,24,0.00013873,3,0.058504,0.045127,0.071882,0.937663,0.952313,0.923013,0.881502,0.901191,0.861813,0.005877,0.010303,0.016999,0.026733,0.000000,4,2,2
150,676.319,0.134338,0.849520,0.874594,0.824445,26,0.00011610,1,0.043622,0.032713,0.054531,0.953013,0.965047,0.940979,0.886304,0.903204,0.869404,0.004081,0.007919,0.015090,0.023662,0.000000,5,4,3
175,710.593,0.123026,0.861412,0.885461,0.837363,26,0.00004481,0,0.039816,0.022312,0.057320,0.957570,0.975945,0.939195,0.895289,0.905217,0.885360,0.002729,0.008212,0.013708,0.021820,0.000000,5,4,3
200,919.755,0.114620,0.872075,0.894581,0.849569,24,0.00010929,0,0.039591,0.018453,0.060728,0.958507,0.980148,0.936866,0.906125,0.911089,0.901162,0.002187,0.008702,0.012542,0.020194,0.000000,7,4,7
225,951.772,0.107800,0.880850,0.903162,0.858539,24,0.00009350,1,0.037849,0.013421,0.062277,0.960814,0.985549,0.936079,0.913644,0.915283,0.912006,0.001661,0.009033,0.011501,0.019064,0.000000,7,4,7
250,1176.766,0.098847,0.892369,0.916377,0.868360,25,0.00038187,3,0.038300,0.015098,0.061503,0.960740,0.984028,0.937451,0.925990,0.930213,0.921766,0.001695,0.008971,0.009760,0.017767,0.000000,8,4,7
275,1210.232,0.090715,0.898934,0.916018,0.881850,25,0.00074516,3,0.032169,0.012750,0.051588,0.966872,0.986443,0.947302,0.927520,0.927697,0.927343,0.001508,0.007444,0.009926,0.015662,0.000000,8,4,7
300,1434.162,0.073222,0.919835,0.937397,0.902272,27,0.00020895,5,0.029334,0.015601,0.043067,0.970059,0.983877,0.956241,0.946576,0.952021,0.941131,0.001990,0.006189,0.007422,0.012847,0.000000,10,5,8
325,1470.581,0.065607,0.927847,0.949421,0.906273,27,0.00012557,3,0.027295,0.014930,0.039659,0.972175,0.984742,0.959609,0.952906,0.963597,0.942215,0.001809,0.005681,0.005863,0.012232,0.000000,10,5,8
350,1704.480,0.061416,0.934521,0.956212,0.912830,24,0.00010860,2,0.027315,0.011407,0.043222,0.972462,0.988342,0.956583,0.959702,0.967120,0.952285,0.001340,0.006340,0.005082,0.011524,0.000000,10,5,11
375,1736.771,0.057456,0.937982,0.953996,0.921968,24,0.00013469,2,0.028024,0.013756,0.042293,0.971910,0.985976,0.957844,0.964040,0.967120,0.960960,0.001445,0.006201,0.005091,0.010207,0.000000,10,5,11
400,1955.591,0.057292,0.938397,0.954816,0.921977,23,0.00012177,2,0.027011,0.013588,0.040434,0.972854,0.986154,0.959554,0.963524,0.967791,0.959256,0.001539,0.005924,0.005156,0.010182,0.000000,10,5,12
425,1986.747,0.055340,0.939656,0.953966,0.925346,23,0.00014394,3,0.026372,0.013085,0.039659,0.973525,0.986642,0.960408,0.964247,0.966449,0.962045,0.001413,0.005698,0.005235,0.009623,0.000000,10,5,12
