step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,1.529,0.648519,0.240730,0.186049,0.295411,20,0.00016893,0,0.405502,0.114806,0.696198,0.531106,0.643697,0.418514,0.354242,0.207408,0.501076,0.026868,0.040600,0.173964,0.065901,0.000000,0,0,0
25,25.916,0.454577,0.334902,0.234414,0.435389,20,0.00000684,1,0.166673,0.048195,0.285151,0.749220,0.836019,0.662420,0.402626,0.245712,0.559541,0.010901,0.016240,0.153744,0.039615,0.000000,0,0,0
50,336.849,0.391423,0.391504,0.285758,0.497249,22,0.00010223,1,0.104374,0.035147,0.173601,0.832262,0.893800,0.770725,0.439687,0.295801,0.583572,0.007891,0.009682,0.141566,0.032143,0.000000,1,1,0
75,364.001,0.356312,0.441760,0.339237,0.544284,22,0.00004307,1,0.087961,0.033884,0.142037,0.862949,0.911902,0.813997,0.486162,0.350731,0.621593,0.007518,0.007775,0.130803,0.028222,0.000000,1,1,0
100,665.117,0.317419,0.476207,0.396030,0.556384,23,0.00000787,2,0.065071,0.023256,0.106887,0.898918,0.945727,0.852109,0.510547,0.405240,0.615854,0.005179,0.005841,0.118262,0.026669,0.000000,4,1,2
125,693.833,0.283379,0.533034,0.476662,0.589406,23,0.00004683,2,0.069272,0.021256,0.117288,0.903491,0.958161,0.848821,0.572665,0.486794,0.658537,0.004922,0.006475,0.102442,0.024984,0.000000,4,1,2
150,1048.701,0.248167,0.591206,0.573256,0.609156,26,0.00000701,2,0.085805,0.019888,0.151722,0.894648,0.967102,0.822194,0.643118,0.584657,0.701578,0.004428,0.008667,0.083211,0.024502,0.000000,7,1,2
175,1081.832,0.221311,0.632350,0.650509,0.614190,26,0.00002336,3,0.100212,0.022519,0.177905,0.884940,0.967253,0.802626,0.694308,0.665158,0.723458,0.004562,0.010158,0.067572,0.024675,0.000000,7,1,2
200,1480.256,0.204757,0.654541,0.707395,0.601687,29,0.00004490,3,0.106805,0.023151,0.190459,0.879479,0.969005,0.789953,0.720028,0.723771,0.716284,0.004930,0.010975,0.056591,0.025890,0.000000,10,1,2
225,1516.475,0.185972,0.674887,0.763629,0.586145,29,0.00013444,3,0.112132,0.023045,0.201220,0.874540,0.971346,0.777734,0.742658,0.781227,0.704089,0.004786,0.011590,0.045342,0.027128,0.000000,10,1,2
250,1979.231,0.167353,0.691529,0.809361,0.573698,31,0.00014325,3,0.116575,0.013996,0.219154,0.872327,0.983232,0.761421,0.760057,0.820688,0.699426,0.002773,0.012562,0.036135,0.028322,0.000000,12,1,2
275,2018.387,0.159439,0.701977,0.826326,0.577627,31,0.00017456,8,0.114444,0.013680,0.215208,0.874640,0.983931,0.765350,0.769784,0.837630,0.701937,0.002720,0.012335,0.032889,0.027950,0.000000,12,1,2
300,2518.420,0.151222,0.718295,0.837067,0.599523,34,0.00019471,8,0.109179,0.014627,0.203730,0.881457,0.983069,0.779845,0.785488,0.849311,0.721664,0.002959,0.011798,0.030651,0.026447,0.000000,14,2,2
325,2561.389,0.133576,0.754748,0.865263,0.644234,34,0.00013597,10,0.112175,0.014522,0.209828,0.885808,0.983726,0.787890,0.828620,0.877828,0.779412,0.002848,0.011885,0.025191,0.023134,0.000000,14,2,2
350,3096.888,0.123155,0.778197,0.871880,0.684515,37,0.00009129,7,0.097488,0.015995,0.178981,0.900372,0.982264,0.818479,0.846428,0.885826,0.807030,0.003517,0.010303,0.024126,0.020144,0.000000,17,2,2
375,3143.231,0.111352,0.792356,0.881876,0.702836,37,0.00008484,7,0.087777,0.011996,0.163558,0.910035,0.986736,0.833333,0.855123,0.892455,0.817791,0.002376,0.009446,0.022083,0.018785,0.000000,17,2,2
400,3723.201,0.110015,0.799225,0.880698,0.717752,37,0.00008959,6,0.090666,0.013469,0.167862,0.909144,0.985134,0.833155,0.865398,0.892560,0.838235,0.002542,0.009561,0.022240,0.017607,0.000000,17,2,2
425,3769.999,0.112377,0.800036,0.884879,0.715194,37,0.00006772,6,0.099853,0.014627,0.185079,0.902370,0.983970,0.820771,0.872691,0.897822,0.847561,0.002744,0.010643,0.021245,0.018187,0.000000,17,2,2
