step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.494,1.242181,0.096416,0.086784,0.106047,5,0.00065412,0,0.105446,0.082433,0.128458,0.507453,0.532615,0.482291,0.106804,0.093938,0.119670,0.020725,0.029324,0.200262,0.188621,0.000000,0,0,0
25,6.857,1.114654,0.152492,0.124859,0.180126,5,0.00000000,0,0.073309,0.062425,0.084192,0.689379,0.680000,0.698758,0.163972,0.132653,0.195291,0.015546,0.019051,0.188206,0.166047,0.000000,0,0,0
50,50.972,0.944332,0.238872,0.209673,0.268072,6,0.00000000,0,0.034251,0.023910,0.044592,0.881212,0.899790,0.862634,0.247356,0.214686,0.280026,0.005859,0.010051,0.163918,0.142904,0.000000,3,0,2
75,58.606,0.825961,0.333903,0.306009,0.361798,6,0.00000000,0,0.032243,0.023910,0.040577,0.915903,0.929101,0.902706,0.344902,0.313325,0.376478,0.005874,0.009090,0.143874,0.123964,0.000000,3,0,2
100,110.230,0.696052,0.438632,0.422155,0.455108,9,0.00012235,0,0.030602,0.026811,0.034393,0.936834,0.941752,0.931916,0.452117,0.433473,0.470761,0.006637,0.007539,0.120014,0.104887,0.000000,6,0,2
125,121.521,0.570272,0.547606,0.526514,0.568697,9,0.00003864,1,0.034294,0.035714,0.032874,0.942767,0.938533,0.947000,0.566355,0.545318,0.587393,0.008808,0.007328,0.099007,0.083007,0.000000,6,0,2
150,198.971,0.452277,0.650359,0.591215,0.709503,10,0.00027515,2,0.037622,0.054522,0.020723,0.945881,0.919581,0.972182,0.673827,0.623449,0.724205,0.013361,0.004565,0.086557,0.055175,0.000000,8,0,3
175,211.894,0.389074,0.701782,0.642109,0.761454,10,0.00317815,3,0.035817,0.051020,0.020614,0.951937,0.929713,0.974160,0.726010,0.674870,0.777151,0.012361,0.004526,0.075459,0.045048,0.000000,8,0,3
200,282.633,0.360160,0.729189,0.658800,0.799577,10,0.00100777,2,0.040943,0.055522,0.026364,0.947467,0.926059,0.968874,0.758018,0.695378,0.820657,0.013800,0.005679,0.072373,0.037706,0.000000,10,0,5
225,295.358,0.302693,0.774883,0.716750,0.833015,10,0.00260750,2,0.038673,0.055322,0.022025,0.953314,0.931846,0.974783,0.803882,0.756403,0.851362,0.013642,0.004672,0.059974,0.031158,0.000000,10,0,5
250,369.018,0.274823,0.802693,0.754442,0.850945,8,0.00183868,1,0.045950,0.064126,0.027775,0.947626,0.926033,0.969220,0.838700,0.802821,0.874580,0.016064,0.005868,0.052328,0.027885,0.000000,11,0,8
275,379.536,0.244249,0.823742,0.795609,0.851875,8,0.00328529,1,0.041336,0.061625,0.021048,0.954187,0.932001,0.976373,0.857222,0.844638,0.869806,0.015118,0.004488,0.043252,0.027594,0.000000,11,0,8
300,451.740,0.228492,0.837798,0.816047,0.859549,8,0.00216052,1,0.044564,0.064826,0.024303,0.951857,0.930576,0.973138,0.874693,0.868948,0.880438,0.016070,0.005123,0.038962,0.026101,0.000000,11,0,8
325,462.144,0.209559,0.850641,0.836236,0.865046,8,0.00363305,1,0.039315,0.056823,0.021808,0.957755,0.939587,0.975922,0.883832,0.883754,0.883910,0.014150,0.004734,0.034399,0.025164,0.000000,11,0,8
350,532.765,0.210650,0.852138,0.830242,0.874033,8,0.00201258,1,0.043305,0.062525,0.024086,0.953805,0.933813,0.973796,0.888619,0.882153,0.895085,0.015611,0.005214,0.035744,0.023591,0.000000,11,0,8
375,542.884,0.202230,0.856892,0.841447,0.872336,8,0.00347075,1,0.039720,0.056222,0.023218,0.957576,0.940504,0.974648,0.890673,0.888756,0.892590,0.013977,0.004976,0.033359,0.023765,0.000000,11,0,8
400,612.795,0.218992,0.851144,0.822819,0.879469,8,0.00150620,1,0.052795,0.076731,0.028860,0.944693,0.920295,0.969091,0.895402,0.885954,0.904850,0.018854,0.006161,0.037667,0.022471,0.000000,11,0,8
425,622.887,0.196822,0.864718,0.844821,0.884615,8,0.00334021,1,0.044612,0.062425,0.026798,0.953158,0.934973,0.971342,0.902940,0.897559,0.908322,0.015318,0.005912,0.032710,0.021503,0.000000,11,0,8
450,692.434,0.199904,0.861997,0.840426,0.883569,8,0.00236293,1,0.045688,0.062625,0.028751,0.951905,0.934471,0.969339,0.901015,0.893057,0.908973,0.015336,0.006215,0.033512,0.021795,0.000000,11,0,8
475,702.601,0.191955,0.867665,0.848814,0.886515,8,0.00340146,1,0.042273,0.058723,0.025822,0.955526,0.938662,0.972390,0.904033,0.898659,0.909407,0.014643,0.005614,0.031901,0.021162,0.000000,11,0,8
500,771.805,0.217368,0.854346,0.823066,0.885627,8,0.00095058,1,0.054685,0.078231,0.031138,0.943008,0.918989,0.967027,0.900329,0.887455,0.913204,0.019447,0.006815,0.037738,0.021365,0.000000,11,0,8
525,781.843,0.183767,0.873709,0.857318,0.890099,8,0.00351455,2,0.042919,0.060124,0.025713,0.955280,0.937952,0.972607,0.910925,0.908864,0.912987,0.014803,0.005579,0.029806,0.020439,0.000000,11,0,8
550,851.253,0.200766,0.864069,0.838499,0.889639,8,0.00129839,1,0.049973,0.071629,0.028317,0.948073,0.926170,0.969976,0.906695,0.898559,0.914831,0.017762,0.006122,0.034109,0.020568,0.000000,11,0,8
575,861.423,0.180345,0.875021,0.860977,0.889066,8,0.00314711,1,0.040762,0.058523,0.023001,0.957497,0.939660,0.975334,0.910440,0.911365,0.909515,0.014308,0.005090,0.028975,0.020707,0.000000,11,0,8
600,932.997,0.192242,0.868303,0.847999,0.888607,8,0.00165499,2,0.047542,0.067527,0.027558,0.950644,0.930584,0.970704,0.909179,0.905262,0.913095,0.016614,0.005874,0.031840,0.020610,0.000000,11,0,8
625,943.356,0.178847,0.873803,0.864054,0.883553,8,0.00315223,1,0.038940,0.056723,0.021157,0.959299,0.941510,0.977088,0.907656,0.913065,0.902246,0.013856,0.004447,0.028260,0.021469,0.000000,11,0,8
650,1014.580,0.184093,0.871034,0.856268,0.885799,8,0.00218490,1,0.042183,0.062125,0.022242,0.956042,0.936058,0.976026,0.907482,0.909464,0.905501,0.015118,0.004597,0.029946,0.021051,0.000000,11,0,8
675,1024.950,0.178494,0.874731,0.861503,0.887958,8,0.00286363,1,0.038945,0.055322,0.022567,0.959195,0.942641,0.975749,0.908580,0.909164,0.907996,0.013677,0.004790,0.028953,0.020643,0.000000,11,0,8
700,1094.436,0.189800,0.868821,0.849234,0.888407,8,0.00129608,1,0.045508,0.064326,0.026690,0.952566,0.933561,0.971571,0.907990,0.903862,0.912119,0.015909,0.005565,0.031576,0.020651,0.000000,11,0,8
725,1104.537,0.179253,0.874545,0.861074,0.888015,8,0.00238673,1,0.039490,0.057823,0.021157,0.958754,0.940308,0.977201,0.908833,0.910864,0.906803,0.014336,0.004527,0.029116,0.020647,0.000000,11,0,8
750,1172.520,0.209584,0.858670,0.829096,0.888243,8,0.00043639,1,0.052189,0.078231,0.026147,0.945822,0.919531,0.972113,0.902713,0.893958,0.911468,0.019456,0.005549,0.036499,0.020758,0.000000,11,0,8
775,1182.311,0.176649,0.877509,0.863992,0.891025,8,0.00253882,1,0.040703,0.059924,0.021482,0.957762,0.938583,0.976942,0.912966,0.915766,0.910166,0.014683,0.004763,0.028444,0.020124,0.000000,11,0,8
800,1249.952,0.208630,0.860914,0.829058,0.892770,8,0.00041781,1,0.054162,0.080332,0.027992,0.944047,0.917692,0.970403,0.906709,0.895658,0.917761,0.020074,0.005930,0.036526,0.019918,0.000000,11,0,8
825,1259.801,0.174875,0.878488,0.863611,0.893366,8,0.00255235,2,0.039464,0.058423,0.020506,0.958963,0.939924,0.978003,0.912875,0.914066,0.911685,0.014455,0.004382,0.028614,0.019664,0.000000,11,0,8
850,1326.967,0.187174,0.873254,0.847877,0.898630,8,0.00098189,2,0.048473,0.067327,0.029619,0.949867,0.930754,0.968981,0.915104,0.904962,0.925247,0.016809,0.006162,0.032066,0.018610,0.000000,11,0,8
875,1336.880,0.173882,0.881994,0.859180,0.904807,8,0.00234515,2,0.043065,0.059224,0.026907,0.955378,0.938900,0.971857,0.919608,0.910064,0.929153,0.014630,0.005899,0.029478,0.017671,0.000000,11,0,8
900,1404.386,0.192361,0.872368,0.838909,0.905827,8,0.00054710,2,0.052022,0.070628,0.033417,0.946314,0.927096,0.965533,0.917128,0.898159,0.936096,0.017637,0.007207,0.034132,0.017439,0.000000,11,0,8
925,1414.297,0.178060,0.881822,0.853198,0.910446,8,0.00128701,2,0.049271,0.065126,0.033417,0.949415,0.933128,0.965702,0.924817,0.908764,0.940870,0.016194,0.007148,0.030885,0.016497,0.000000,11,0,8
950,1481.374,0.199207,0.870416,0.830902,0.909930,8,0.00033795,2,0.055725,0.076731,0.034718,0.942723,0.921009,0.964437,0.918089,0.894658,0.941521,0.019281,0.007605,0.036123,0.016757,0.000000,11,0,8
975,1491.380,0.176088,0.881738,0.853417,0.910058,8,0.00143634,1,0.046393,0.062625,0.030162,0.952117,0.935404,0.968831,0.922185,0.906863,0.937507,0.015648,0.006458,0.030821,0.016487,0.000000,11,0,8
1000,1559.027,0.194741,0.872161,0.835927,0.908396,8,0.00042173,2,0.055038,0.073729,0.036346,0.943459,0.924091,0.962827,0.919486,0.897559,0.941413,0.018387,0.007773,0.034883,0.016853,0.000000,11,0,8
1025,1568.993,0.173593,0.884443,0.857655,0.911230,8,0.00158673,2,0.046645,0.060524,0.032766,0.951982,0.937610,0.966355,0.925325,0.909564,0.941087,0.014991,0.007266,0.029928,0.016438,0.000000,11,0,8
1050,1636.063,0.185222,0.876910,0.843984,0.909836,8,0.00082655,1,0.051634,0.070828,0.032440,0.946972,0.927325,0.966618,0.921556,0.903762,0.939351,0.017501,0.006906,0.032799,0.016545,0.000000,11,0,8
1075,1645.942,0.171053,0.885836,0.860677,0.910994,8,0.00160392,2,0.047336,0.063425,0.031247,0.951502,0.935194,0.967810,0.927363,0.915266,0.939460,0.015713,0.006689,0.029160,0.016283,0.000000,11,0,8
1100,1713.840,0.195324,0.873197,0.836797,0.909596,8,0.00041505,1,0.056366,0.078231,0.034501,0.942422,0.920212,0.964631,0.921620,0.902261,0.940979,0.019510,0.007414,0.034801,0.016748,0.000000,11,0,8
1125,1723.844,0.170764,0.886223,0.860365,0.912081,8,0.00155709,1,0.046906,0.064626,0.029185,0.951971,0.934095,0.969846,0.927333,0.915966,0.938700,0.016028,0.006151,0.029334,0.016135,0.000000,11,0,8
1150,1791.200,0.190198,0.877117,0.843623,0.910611,8,0.00044256,1,0.055456,0.079232,0.031681,0.943661,0.919943,0.967378,0.924962,0.910464,0.939460,0.019837,0.006819,0.033399,0.016569,0.000000,11,0,8
1175,1801.098,0.168488,0.888482,0.865616,0.911348,8,0.00176405,1,0.046412,0.066026,0.026798,0.952693,0.933225,0.972160,0.929270,0.922769,0.935771,0.016406,0.005929,0.028209,0.016374,0.000000,11,0,8
1200,1868.539,0.185385,0.879623,0.847097,0.912148,8,0.00049331,1,0.054685,0.076931,0.032440,0.944465,0.922229,0.966700,0.927001,0.912265,0.941738,0.019236,0.006899,0.032517,0.016096,0.000000,11,0,8
1225,1878.478,0.160698,0.894318,0.873894,0.914741,8,0.00187911,1,0.045617,0.063025,0.028209,0.953674,0.936466,0.970881,0.934758,0.928972,0.940545,0.015676,0.006270,0.026388,0.015767,0.000000,11,0,8
1250,1945.792,0.197913,0.869194,0.853059,0.885330,7,0.00054490,1,0.055465,0.077731,0.033200,0.943510,0.922043,0.964977,0.917045,0.919368,0.914723,0.019362,0.007147,0.031208,0.021381,0.000000,11,0,9
1275,1954.412,0.176356,0.882783,0.871533,0.894033,7,0.00177038,1,0.049328,0.067627,0.031030,0.949839,0.932244,0.967433,0.926124,0.930472,0.921775,0.016705,0.006773,0.026964,0.019670,0.000000,11,0,9
1300,2014.594,0.192992,0.876278,0.851502,0.901054,7,0.00045553,1,0.059362,0.079232,0.039492,0.940084,0.920625,0.959542,0.927803,0.918968,0.936639,0.019865,0.008600,0.031533,0.018459,0.000000,11,0,9
1325,2023.325,0.173310,0.888425,0.873362,0.903489,7,0.00179691,2,0.053780,0.068828,0.038733,0.945847,0.931330,0.960364,0.935978,0.933473,0.938483,0.016972,0.008689,0.026491,0.018029,0.000000,11,0,9
1350,2083.445,0.194357,0.875788,0.845407,0.906168,7,0.00027729,1,0.060412,0.081333,0.039492,0.939030,0.918300,0.959761,0.928060,0.914166,0.941955,0.020359,0.008556,0.032794,0.017469,0.000000,11,0,9
