step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.461,1.242181,0.096416,0.086784,0.106047,5,0.00065412,0,0.105446,0.082433,0.128458,0.507453,0.532615,0.482291,0.106804,0.093938,0.119670,0.020725,0.029324,0.200262,0.188621,0.010000,0,0,0
25,7.267,1.114654,0.152492,0.124859,0.180126,5,0.00000000,0,0.073309,0.062425,0.084192,0.689379,0.680000,0.698758,0.163972,0.132653,0.195291,0.015546,0.019051,0.188206,0.166047,0.010000,0,0,0
50,53.377,0.973568,0.242957,0.205509,0.280404,8,0.00000000,0,0.056007,0.049520,0.062493,0.819944,0.813278,0.826610,0.256807,0.215686,0.297928,0.012191,0.013986,0.168786,0.142648,0.010000,3,0,0
75,63.959,0.831010,0.350411,0.310075,0.390746,8,0.00000000,0,0.048846,0.049520,0.048172,0.881346,0.867930,0.894762,0.367500,0.325430,0.409569,0.012243,0.010777,0.146385,0.119108,0.010000,3,0,0
100,132.352,0.703926,0.448806,0.411910,0.485702,11,0.00030478,0,0.044760,0.049920,0.039601,0.911896,0.896516,0.927276,0.468705,0.432473,0.504937,0.012404,0.008500,0.124813,0.099306,0.010000,6,0,0
125,146.884,0.600063,0.539032,0.482625,0.595440,11,0.00001078,0,0.048373,0.059424,0.037322,0.919449,0.895881,0.943018,0.564484,0.511305,0.617663,0.014432,0.008209,0.110579,0.078118,0.010000,6,0,0
150,240.418,0.491880,0.635075,0.543732,0.726418,14,0.00000000,0,0.055176,0.071729,0.038624,0.920850,0.890400,0.951300,0.668604,0.582733,0.754475,0.017608,0.008516,0.098390,0.052509,0.010000,9,0,0
175,258.868,0.427807,0.692262,0.588164,0.796360,14,0.00000512,0,0.060856,0.078531,0.043181,0.920215,0.889840,0.950590,0.732551,0.634354,0.830748,0.019156,0.009497,0.089214,0.039061,0.010000,9,0,0
200,370.652,0.384299,0.728389,0.643871,0.812907,16,0.00002071,1,0.063586,0.078131,0.049040,0.922227,0.898834,0.945621,0.773475,0.694178,0.852772,0.019250,0.010820,0.077123,0.035937,0.010000,12,0,1
225,391.682,0.330158,0.769795,0.704895,0.834695,16,0.00003090,1,0.064253,0.079032,0.049474,0.926208,0.905874,0.946542,0.818297,0.760604,0.875990,0.019215,0.010723,0.063653,0.031423,0.010000,12,0,1
250,528.890,0.287595,0.800568,0.764919,0.836216,16,0.00031898,2,0.058784,0.076230,0.041337,0.934965,0.915249,0.954681,0.847006,0.823229,0.870782,0.018713,0.009223,0.050409,0.031414,0.010000,12,0,1
275,550.020,0.251492,0.829606,0.820406,0.838807,16,0.00090230,1,0.059785,0.075630,0.043941,0.936639,0.921061,0.952218,0.879059,0.882453,0.875665,0.018750,0.009825,0.038429,0.030903,0.010000,12,0,1
300,682.381,0.239819,0.837661,0.837121,0.838202,16,0.00081174,1,0.060821,0.074230,0.047412,0.936256,0.923749,0.948763,0.888601,0.899260,0.877943,0.018139,0.010437,0.034528,0.030934,0.010000,12,0,1
325,702.994,0.232732,0.844036,0.847015,0.841057,16,0.00086830,1,0.061819,0.072429,0.051210,0.935701,0.926153,0.945250,0.896245,0.908363,0.884127,0.017643,0.011283,0.032316,0.030595,0.010000,12,0,1
350,836.181,0.225269,0.850669,0.851900,0.849438,16,0.00072155,1,0.063054,0.074030,0.052078,0.935041,0.925147,0.944935,0.904320,0.914966,0.893675,0.017778,0.011702,0.031063,0.029118,0.010000,12,0,1
375,857.253,0.219163,0.855096,0.855996,0.854197,16,0.00072838,1,0.061707,0.071228,0.052186,0.936522,0.927921,0.945123,0.907870,0.916967,0.898774,0.017317,0.011682,0.030249,0.028136,0.010000,12,0,1
400,985.786,0.217598,0.856166,0.857676,0.854656,16,0.00062573,1,0.062950,0.072629,0.053271,0.935479,0.926829,0.944128,0.910076,0.919968,0.900184,0.017655,0.011764,0.029803,0.027873,0.010000,12,0,1
425,1005.308,0.216814,0.857546,0.859099,0.855994,16,0.00063785,1,0.063371,0.074230,0.052512,0.935240,0.925554,0.944925,0.911907,0.922869,0.900944,0.017987,0.011720,0.029465,0.027804,0.010000,12,0,1
