step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.482,1.242181,0.096416,0.086784,0.106047,5,0.00065412,0,0.105446,0.082433,0.128458,0.507453,0.532615,0.482291,0.106804,0.093938,0.119670,0.020725,0.029324,0.200262,0.188621,0.000100,0,0,0
25,7.404,1.114654,0.152492,0.124859,0.180126,5,0.00000000,0,0.073309,0.062425,0.084192,0.689379,0.680000,0.698758,0.163972,0.132653,0.195291,0.015546,0.019051,0.188206,0.166047,0.000100,0,0,0
50,53.980,0.973896,0.242794,0.205795,0.279792,8,0.00000000,0,0.056007,0.049520,0.062493,0.819893,0.813489,0.826297,0.256632,0.215986,0.297277,0.012191,0.013986,0.168712,0.142831,0.000100,3,0,0
75,64.713,0.824065,0.355364,0.322236,0.388492,8,0.00000000,0,0.048554,0.048719,0.048389,0.883903,0.873997,0.893810,0.372613,0.337935,0.407291,0.012034,0.010769,0.143726,0.119561,0.000100,3,0,0
100,133.370,0.701234,0.449974,0.437142,0.462806,11,0.00003507,0,0.044373,0.048820,0.039926,0.913582,0.903767,0.923397,0.469884,0.458483,0.481285,0.012218,0.008683,0.119354,0.103932,0.000100,6,0,0
125,147.887,0.619734,0.520882,0.501182,0.540583,11,0.00000000,0,0.048374,0.058123,0.038624,0.918430,0.901224,0.935636,0.545887,0.530312,0.561463,0.014183,0.008462,0.106416,0.088840,0.000100,6,0,0
150,241.527,0.518360,0.610594,0.558614,0.662573,14,0.00001598,0,0.055424,0.068427,0.042422,0.919638,0.897143,0.942134,0.643760,0.596839,0.690680,0.016505,0.009317,0.094703,0.065169,0.000100,9,0,0
175,260.330,0.440497,0.679857,0.622022,0.737693,14,0.00185654,1,0.060850,0.074830,0.046870,0.921061,0.899341,0.942781,0.720418,0.668567,0.772269,0.018351,0.010273,0.081486,0.050601,0.000100,9,0,0
200,382.949,0.393308,0.717272,0.668592,0.765953,17,0.00159609,1,0.061535,0.074030,0.049040,0.924511,0.906542,0.942479,0.760801,0.718087,0.803515,0.017918,0.010851,0.071136,0.045209,0.000100,12,0,0
225,406.117,0.344551,0.751811,0.704645,0.798977,17,0.00146294,3,0.054639,0.070328,0.038950,0.934943,0.914705,0.955181,0.792149,0.754202,0.830097,0.017231,0.008525,0.063355,0.038275,0.000100,12,0,0
250,542.293,0.314569,0.777651,0.734443,0.820858,18,0.00118245,3,0.057403,0.075530,0.039275,0.934357,0.912727,0.955988,0.821507,0.789916,0.853098,0.018707,0.008498,0.057088,0.033890,0.000100,15,0,2
275,567.222,0.274003,0.812352,0.773468,0.851237,18,0.00106256,3,0.059954,0.080632,0.039275,0.934755,0.912018,0.957492,0.860252,0.835834,0.884670,0.019693,0.008676,0.048712,0.028190,0.000100,15,0,2
300,718.148,0.240113,0.839442,0.809559,0.869325,20,0.00100084,2,0.060813,0.082133,0.039492,0.936205,0.914283,0.958127,0.889853,0.876050,0.903656,0.020097,0.008620,0.040820,0.024626,0.000100,18,0,3
325,745.285,0.223703,0.850919,0.830472,0.871366,20,0.00113868,1,0.057781,0.078131,0.037431,0.939990,0.919741,0.960240,0.899670,0.895358,0.903982,0.019116,0.008399,0.036113,0.024431,0.000100,18,0,3
350,912.636,0.239661,0.844412,0.815019,0.873806,19,0.00012440,1,0.067164,0.089736,0.044592,0.930829,0.908235,0.953422,0.900463,0.888155,0.912770,0.022314,0.009732,0.039877,0.023958,0.000100,18,0,4
375,938.736,0.208635,0.862574,0.849507,0.875640,19,0.00079773,1,0.057210,0.076230,0.038190,0.941361,0.923038,0.959684,0.911673,0.914266,0.909081,0.019009,0.008550,0.032002,0.023577,0.000100,18,0,4
400,1099.253,0.200060,0.869323,0.858762,0.879883,18,0.00093932,1,0.057682,0.076631,0.038733,0.941403,0.923461,0.959344,0.919267,0.924570,0.913963,0.018990,0.008641,0.029991,0.022660,0.000100,18,0,5
425,1123.934,0.193315,0.873074,0.866090,0.880059,18,0.00112795,1,0.056285,0.075030,0.037539,0.942968,0.925425,0.960511,0.922084,0.931072,0.913095,0.018303,0.008411,0.028242,0.022577,0.000100,18,0,5
450,1281.593,0.192711,0.874327,0.866989,0.881665,18,0.00115399,1,0.058370,0.077031,0.039709,0.941136,0.923793,0.958480,0.925225,0.933774,0.916676,0.018727,0.008727,0.027992,0.022248,0.000100,18,0,5
475,1306.231,0.191458,0.876175,0.870224,0.882126,18,0.00121595,1,0.057649,0.076130,0.039167,0.941921,0.924817,0.959024,0.926575,0.936475,0.916676,0.018711,0.008795,0.027450,0.022332,0.000100,18,0,5
500,1463.393,0.183390,0.881234,0.875233,0.887234,18,0.00127190,1,0.058209,0.074430,0.041988,0.941606,0.926656,0.956556,0.932432,0.940376,0.924487,0.017725,0.009317,0.025888,0.021423,0.000100,18,0,5
525,1488.090,0.181703,0.883093,0.881166,0.885020,18,0.00137391,1,0.055811,0.070828,0.040794,0.943884,0.930178,0.957591,0.932351,0.943577,0.921124,0.017284,0.009237,0.024933,0.022053,0.000100,18,0,5
550,1646.310,0.173911,0.887943,0.886847,0.889039,21,0.00137789,1,0.055208,0.067127,0.043290,0.944588,0.933768,0.955409,0.936952,0.946379,0.927525,0.016423,0.009544,0.023657,0.021008,0.000100,21,0,5
575,1674.988,0.167718,0.891337,0.892306,0.890368,21,0.00154044,1,0.053349,0.063625,0.043073,0.946425,0.937173,0.955677,0.938899,0.949080,0.928719,0.015426,0.009591,0.022276,0.020762,0.000100,21,0,5
