step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.473,0.863727,0.121507,0.163738,0.079275,5,0.00756693,0,0.229408,0.331384,0.127433,0.404522,0.396807,0.412237,0.153688,0.217999,0.089377,0.021656,0.028864,0.068362,0.192521,0.010000,0,0,0
25,7.399,0.756420,0.128481,0.166759,0.090202,5,0.00001223,0,0.118006,0.172840,0.063173,0.566868,0.530864,0.602871,0.145741,0.195582,0.095901,0.011227,0.014162,0.059941,0.179501,0.010000,0,0,0
50,52.983,0.706205,0.143942,0.179434,0.108450,7,0.00045714,1,0.071175,0.102664,0.039687,0.699018,0.658378,0.739658,0.155305,0.197856,0.112754,0.006719,0.008891,0.055530,0.171960,0.010000,0,2,0
75,62.451,0.662136,0.181896,0.219056,0.144735,7,0.00000000,0,0.047068,0.060429,0.033707,0.804848,0.793563,0.816133,0.190954,0.232294,0.149614,0.003961,0.007596,0.050889,0.164045,0.010000,0,2,0
100,114.475,0.616870,0.245660,0.287040,0.204280,9,0.00000000,1,0.046001,0.050357,0.041644,0.846602,0.856879,0.836325,0.257141,0.301494,0.212787,0.003212,0.009394,0.045764,0.153556,0.010000,3,2,1
125,126.328,0.558196,0.335896,0.397475,0.274316,9,0.00000000,0,0.050231,0.055231,0.045232,0.873691,0.883641,0.863741,0.353076,0.419428,0.286724,0.003546,0.010226,0.038716,0.140464,0.010000,3,2,1
150,196.042,0.499741,0.426016,0.504444,0.347588,11,0.00008136,0,0.056365,0.060104,0.052626,0.886608,0.898962,0.874253,0.450322,0.534763,0.365880,0.003643,0.011950,0.031609,0.127156,0.010000,5,3,2
175,210.686,0.459714,0.486496,0.559708,0.413283,11,0.00004179,1,0.067492,0.069201,0.065782,0.883205,0.896350,0.870060,0.519455,0.598441,0.440470,0.004316,0.014916,0.028141,0.115471,0.010000,5,3,2
200,295.304,0.425676,0.530891,0.595014,0.466768,12,0.00003538,1,0.070048,0.068551,0.071545,0.888766,0.902675,0.874857,0.567983,0.635802,0.500163,0.004342,0.016324,0.025945,0.105606,0.010000,8,3,4
225,311.725,0.394313,0.561867,0.610024,0.513710,12,0.00003894,0,0.068809,0.063028,0.074590,0.896190,0.911416,0.880965,0.600250,0.648473,0.552028,0.003919,0.016924,0.024780,0.096227,0.010000,8,3,4
250,403.665,0.371270,0.593121,0.635562,0.550679,10,0.00000849,0,0.074560,0.068876,0.080244,0.894543,0.907946,0.881140,0.637103,0.679337,0.594868,0.004358,0.018150,0.023268,0.089232,0.010000,8,3,6
275,417.239,0.346781,0.616960,0.649034,0.584887,10,0.00001480,1,0.083318,0.093242,0.073393,0.889593,0.883853,0.895333,0.668683,0.709552,0.627813,0.005747,0.016565,0.022650,0.081784,0.010000,8,3,6
