patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
28,-1,0.172716,0.796386,0.753731,0.839040,0.879973,0.894615,0.108541
27,24,0.174576,0.793516,0.756220,0.830813,0.872430,0.898789,0.102262
26,2,0.171383,0.797010,0.761851,0.832169,0.874924,0.900674,0.100312
25,11,0.173102,0.793666,0.759301,0.828030,0.867708,0.904138,0.095757
24,22,0.171402,0.794757,0.758446,0.831068,0.869828,0.903011,0.097059
23,4,0.168166,0.794030,0.764438,0.823623,0.859938,0.913907,0.085123
22,18,0.166110,0.792570,0.760309,0.824831,0.854957,0.916950,0.080897
21,21,0.166810,0.795706,0.767429,0.823983,0.860319,0.915500,0.083121
20,5,0.167358,0.795126,0.766275,0.823977,0.857773,0.917364,0.080683
19,19,0.171215,0.791426,0.767143,0.815709,0.855101,0.916377,0.082142
18,4,0.172528,0.789921,0.765446,0.814396,0.853584,0.915886,0.082254
17,1,0.174427,0.789076,0.768548,0.809604,0.852873,0.915815,0.082203
16,14,0.178037,0.786257,0.769429,0.803085,0.849122,0.916774,0.081064
15,9,0.182475,0.775582,0.749496,0.801669,0.835528,0.916827,0.078952
14,10,0.190943,0.770128,0.750143,0.790112,0.832746,0.913449,0.082638
13,4,0.192643,0.767513,0.748280,0.786747,0.829326,0.914022,0.081824
12,8,0.200260,0.761567,0.746995,0.776140,0.824705,0.911708,0.083886
11,3,0.209380,0.752025,0.745890,0.758160,0.811564,0.914561,0.079554
10,6,0.216601,0.740427,0.732754,0.748101,0.796217,0.916676,0.075814
9,8,0.227851,0.728481,0.729258,0.727705,0.781336,0.918970,0.072508
8,7,0.240409,0.716952,0.725553,0.708351,0.769274,0.918332,0.072453
7,7,0.253358,0.693110,0.685250,0.700971,0.744407,0.912848,0.074513
6,6,0.265964,0.673236,0.659025,0.687447,0.722611,0.910566,0.074295
5,4,0.285130,0.641922,0.609778,0.674066,0.686689,0.907260,0.071650
4,4,0.320718,0.591173,0.566247,0.616100,0.623915,0.917871,0.056535
3,2,0.360717,0.546272,0.537071,0.555473,0.575545,0.915734,0.053991
2,2,0.415533,0.474063,0.474525,0.473600,0.497558,0.912886,0.049534
1,1,0.471187,0.371618,0.308921,0.434315,0.388479,0.881345,0.050077
