step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.519,1.161969,0.086139,0.083513,0.088765,5,0.00767766,0,0.122140,0.149158,0.095122,0.448467,0.391509,0.505425,0.096589,0.095970,0.097209,0.020352,0.028825,0.128487,0.232457,0.010000,0,0,0
25,8.172,1.033518,0.110628,0.103031,0.118225,5,0.00000404,0,0.061650,0.078956,0.044344,0.660230,0.584709,0.735751,0.117317,0.111166,0.123468,0.010721,0.013232,0.118142,0.214386,0.010000,0,0,0
50,60.203,0.991168,0.129182,0.115266,0.143098,6,0.00013029,0,0.050086,0.069045,0.031128,0.733342,0.640893,0.825791,0.135388,0.123224,0.147552,0.009247,0.009228,0.115413,0.205708,0.010000,1,0,0
75,69.222,0.945382,0.160033,0.135315,0.184751,6,0.00024885,0,0.045491,0.066898,0.024085,0.785212,0.683346,0.887077,0.166784,0.144367,0.189201,0.008986,0.007195,0.112611,0.194368,0.010000,1,0,0
100,129.334,0.855492,0.228014,0.184714,0.271313,9,0.00019033,1,0.037741,0.052527,0.022955,0.855451,0.787291,0.923611,0.235979,0.194417,0.277541,0.007133,0.006773,0.104801,0.173366,0.010000,3,1,0
125,143.873,0.781681,0.287207,0.228580,0.345833,9,0.00000013,0,0.036615,0.050710,0.022520,0.882898,0.825667,0.940129,0.296897,0.240172,0.353621,0.006483,0.006610,0.098638,0.155375,0.010000,3,1,0
150,228.623,0.726099,0.339841,0.261934,0.417748,11,0.00000000,0,0.045305,0.065742,0.024867,0.877246,0.809387,0.945106,0.353645,0.279154,0.428137,0.008509,0.007331,0.095607,0.138506,0.010000,6,1,1
175,245.409,0.677498,0.380775,0.285250,0.476299,11,0.00008755,0,0.048135,0.067228,0.029041,0.881587,0.819111,0.944063,0.397279,0.304427,0.490131,0.008369,0.008620,0.092364,0.124954,0.010000,6,1,1
200,349.592,0.630972,0.421835,0.323784,0.519885,10,0.00007432,1,0.047148,0.066733,0.027563,0.894506,0.838076,0.950936,0.439803,0.345391,0.534214,0.008544,0.008221,0.087471,0.114453,0.010000,6,1,2
225,365.361,0.584399,0.465134,0.385848,0.544421,10,0.00000217,1,0.043401,0.062108,0.024694,0.913003,0.868393,0.957612,0.483838,0.409812,0.557865,0.008013,0.007308,0.079030,0.108109,0.010000,6,1,2
250,459.725,0.528710,0.522525,0.454052,0.590997,9,0.00000000,0,0.047735,0.065907,0.029563,0.916905,0.880144,0.953666,0.546223,0.483978,0.608469,0.008670,0.008482,0.070462,0.097199,0.010000,6,1,3
275,473.677,0.497629,0.547436,0.486638,0.608234,9,0.00000186,0,0.043679,0.063099,0.024259,0.926906,0.891292,0.962520,0.570167,0.517344,0.622989,0.007975,0.007005,0.065716,0.092670,0.010000,6,1,3
300,566.687,0.468111,0.581465,0.533685,0.629244,9,0.00001735,1,0.045522,0.064090,0.026954,0.929274,0.898589,0.959959,0.607047,0.567889,0.646205,0.008536,0.007763,0.059971,0.087913,0.010000,6,1,3
325,580.781,0.451493,0.598901,0.555436,0.642366,9,0.00000997,0,0.047856,0.071193,0.024520,0.928606,0.893132,0.964081,0.626548,0.594979,0.658117,0.009819,0.007031,0.057740,0.084330,0.010000,6,1,3
350,672.914,0.434711,0.616748,0.579477,0.654019,9,0.00009219,0,0.046917,0.067228,0.026606,0.931917,0.901951,0.961883,0.644927,0.618434,0.671420,0.009259,0.007753,0.054348,0.082028,0.010000,6,1,3
375,687.187,0.421368,0.629825,0.600343,0.659308,9,0.00054438,1,0.044062,0.060126,0.027998,0.937006,0.913683,0.960330,0.657103,0.636439,0.677767,0.008309,0.008143,0.051325,0.080778,0.010000,6,1,3
400,778.575,0.409722,0.639541,0.604993,0.674089,9,0.00065943,0,0.054664,0.078461,0.030867,0.925063,0.892655,0.957470,0.673679,0.652461,0.694896,0.009327,0.008747,0.050214,0.077169,0.010000,6,1,3
425,792.595,0.403188,0.648461,0.608915,0.688006,9,0.00035549,0,0.054581,0.078295,0.030867,0.925877,0.893459,0.958294,0.682917,0.656591,0.709243,0.010438,0.008906,0.050738,0.073903,0.010000,6,1,3
450,882.882,0.394282,0.655663,0.610728,0.700599,9,0.00041835,0,0.054377,0.077800,0.030954,0.926603,0.894300,0.958906,0.690264,0.658242,0.722285,0.010329,0.009070,0.050528,0.071102,0.010000,6,1,3
475,896.923,0.385054,0.662440,0.611521,0.713360,9,0.00044932,1,0.054399,0.075322,0.033475,0.926897,0.897228,0.956566,0.697411,0.657582,0.737240,0.010202,0.009737,0.050327,0.067950,0.010000,6,1,3
500,989.109,0.375917,0.673574,0.619272,0.727876,12,0.00022297,0,0.061571,0.088537,0.034606,0.919987,0.883907,0.956066,0.713582,0.674100,0.753065,0.011796,0.010122,0.049727,0.064567,0.010000,9,1,3
525,1007.185,0.345497,0.696227,0.643230,0.749224,12,0.00019993,0,0.056512,0.075983,0.037040,0.927786,0.901075,0.954497,0.734540,0.692104,0.776976,0.009272,0.011003,0.045243,0.059739,0.010000,9,1,3
550,1122.638,0.336386,0.705504,0.642274,0.768734,13,0.00029430,0,0.064901,0.092501,0.037301,0.919420,0.883527,0.955313,0.749547,0.701685,0.797409,0.011486,0.011059,0.045997,0.054791,0.010000,10,1,3
575,1142.383,0.305343,0.735544,0.681874,0.789214,13,0.00026092,0,0.056625,0.071688,0.041562,0.931268,0.910663,0.951873,0.776386,0.730757,0.822015,0.009733,0.012104,0.040859,0.049943,0.010000,10,1,3
600,1275.112,0.285742,0.756686,0.701576,0.811795,16,0.00028921,0,0.065362,0.089858,0.040866,0.924353,0.894839,0.953867,0.804794,0.764618,0.844970,0.012113,0.011844,0.038764,0.044438,0.010000,13,1,3
625,1299.603,0.259638,0.783339,0.745508,0.821169,16,0.00053733,0,0.058959,0.075487,0.042431,0.933362,0.913952,0.952773,0.828898,0.801784,0.856013,0.010436,0.012372,0.032765,0.042252,0.010000,13,1,3
650,1447.233,0.246615,0.796165,0.765699,0.826631,16,0.00042535,0,0.058994,0.075818,0.042170,0.934526,0.915718,0.953334,0.842622,0.823753,0.861490,0.010537,0.012190,0.030111,0.040631,0.010000,13,1,3
675,1469.394,0.243570,0.799493,0.763442,0.835543,16,0.00024849,0,0.063506,0.084407,0.042605,0.930426,0.907478,0.953373,0.849512,0.827882,0.871142,0.011428,0.012448,0.030423,0.038771,0.010000,13,1,3
700,1610.694,0.238100,0.801337,0.762345,0.840329,16,0.00014742,0,0.068301,0.090519,0.046083,0.925999,0.901810,0.950188,0.855203,0.831351,0.879054,0.010826,0.013403,0.029505,0.037714,0.010000,13,1,3
