step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.494,0.674401,0.144530,0.121811,0.167248,5,0.00294349,0,0.148403,0.110655,0.186151,0.532993,0.550083,0.515903,0.166836,0.135290,0.198381,0.011934,0.023472,0.095815,0.110596,0.010000,0,0,0
25,7.354,0.559729,0.211521,0.184134,0.238909,5,0.00000024,1,0.075223,0.055841,0.094604,0.755605,0.776866,0.734343,0.227963,0.194416,0.261511,0.005877,0.011892,0.084510,0.093182,0.010000,0,0,0
50,53.782,0.514271,0.254676,0.211557,0.297794,7,0.00047265,0,0.056811,0.037364,0.076259,0.831157,0.854516,0.807797,0.269983,0.219462,0.320504,0.003956,0.009438,0.080325,0.084291,0.010000,0,2,0
75,63.459,0.478919,0.301174,0.259267,0.343081,7,0.00000716,0,0.052361,0.046808,0.057914,0.857648,0.852903,0.862393,0.317176,0.271402,0.362950,0.004972,0.007133,0.076147,0.077439,0.010000,0,2,0
100,113.048,0.435168,0.354173,0.305112,0.403234,7,0.00000000,0,0.042871,0.040238,0.045504,0.895033,0.887486,0.902580,0.369486,0.317389,0.421583,0.004136,0.005549,0.070758,0.069455,0.010000,3,2,3
125,122.746,0.387398,0.422613,0.385274,0.459952,7,0.00000000,0,0.039009,0.031616,0.046403,0.919191,0.926316,0.912065,0.439375,0.397454,0.481295,0.003075,0.005741,0.061856,0.062869,0.010000,3,2,3
150,179.247,0.350691,0.471010,0.434774,0.507246,6,0.00000000,0,0.031898,0.021351,0.042446,0.939909,0.954124,0.925693,0.486417,0.444057,0.528777,0.001952,0.005244,0.056263,0.057036,0.010000,3,2,4
175,187.158,0.323843,0.514293,0.472954,0.555632,6,0.00000026,0,0.033402,0.020940,0.045863,0.942643,0.958435,0.926850,0.531986,0.482858,0.581115,0.002186,0.005575,0.052604,0.051463,0.010000,3,2,4
200,244.448,0.307209,0.536850,0.499195,0.574505,6,0.00000107,0,0.032400,0.020735,0.044065,0.946231,0.960898,0.931564,0.554683,0.509546,0.599820,0.001975,0.005262,0.049770,0.049014,0.010000,3,2,4
225,252.529,0.297850,0.548598,0.511450,0.585746,6,0.00000002,0,0.029598,0.021967,0.037230,0.950964,0.959668,0.942259,0.565120,0.522685,0.607554,0.002239,0.004333,0.048740,0.047257,0.010000,3,2,4
