patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
20,-1,0.088673,0.889130,0.923669,0.854592,0.932591,0.949684,0.049204
19,2,0.090331,0.886875,0.921333,0.852417,0.931564,0.948130,0.050758
18,6,0.090382,0.885552,0.919968,0.851136,0.930499,0.947715,0.051131
17,12,0.092040,0.882718,0.919112,0.846323,0.925068,0.949972,0.048514
16,12,0.093810,0.880288,0.913403,0.847173,0.925042,0.947422,0.051142
15,4,0.095678,0.867431,0.878776,0.856087,0.898686,0.961393,0.036161
14,4,0.102032,0.858764,0.865695,0.851833,0.892501,0.957897,0.039371
13,12,0.105807,0.851048,0.851539,0.850557,0.880823,0.962210,0.034995
12,5,0.114015,0.835989,0.819567,0.852411,0.866299,0.960582,0.036021
11,4,0.122661,0.823733,0.808989,0.838477,0.853626,0.960023,0.036060
10,10,0.132954,0.806672,0.799717,0.813626,0.832939,0.963202,0.032428
9,0,0.142233,0.791829,0.791238,0.792420,0.815948,0.964469,0.030450
8,4,0.157052,0.770126,0.776497,0.763755,0.793527,0.963424,0.030515
7,7,0.172051,0.749247,0.772443,0.726051,0.771997,0.961650,0.030770
6,4,0.187182,0.724054,0.731322,0.716787,0.746305,0.960819,0.030901
5,5,0.203922,0.699637,0.721066,0.678208,0.720501,0.959749,0.030244
4,3,0.225518,0.663721,0.650627,0.676815,0.684189,0.958295,0.030540
3,1,0.257641,0.611733,0.576347,0.647120,0.629547,0.958675,0.028280
2,2,0.317402,0.515678,0.443020,0.588337,0.530120,0.957951,0.025637
1,1,0.389188,0.400071,0.338443,0.461699,0.409014,0.958944,0.019974
