step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.541,1.512066,0.094492,0.093298,0.095686,5,0.00000000,0,0.038140,0.040737,0.035544,0.720221,0.704453,0.735988,0.098092,0.097098,0.099087,0.011185,0.015561,0.203796,0.286852,0.000000,0,0,0
25,7.397,1.353010,0.153966,0.154930,0.153003,5,0.00000000,0,0.012667,0.016927,0.008406,0.925659,0.902985,0.948332,0.155921,0.157552,0.154289,0.004684,0.003436,0.185429,0.261514,0.000000,0,0,0
50,58.254,1.195943,0.247582,0.251929,0.243234,8,0.00000000,0,0.008753,0.012277,0.005229,0.966566,0.954071,0.979062,0.249764,0.255022,0.244506,0.003379,0.002200,0.163048,0.232810,0.000000,3,0,0
75,69.359,1.036521,0.349651,0.359324,0.339979,8,0.00000626,0,0.010066,0.017485,0.002648,0.973325,0.954358,0.992293,0.353243,0.365606,0.340879,0.004832,0.001147,0.140032,0.202484,0.000000,3,0,0
100,141.221,0.871118,0.449649,0.445533,0.453765,10,0.00005043,1,0.009422,0.015997,0.002846,0.979825,0.965866,0.993784,0.453858,0.452660,0.455057,0.004036,0.001147,0.120328,0.167441,0.000000,6,0,1
125,155.232,0.697231,0.560309,0.546734,0.573884,10,0.00038135,2,0.012514,0.023903,0.001125,0.978548,0.959050,0.998045,0.567166,0.559803,0.574530,0.006343,0.000472,0.098695,0.130219,0.000000,6,0,1
150,250.063,0.562258,0.644308,0.611832,0.676785,11,0.00028680,2,0.014032,0.025019,0.003045,0.978586,0.961637,0.995535,0.652992,0.627139,0.678846,0.006798,0.001304,0.084524,0.098777,0.000000,7,0,1
175,265.391,0.476949,0.700740,0.673895,0.727585,11,0.00074692,1,0.017317,0.033575,0.001059,0.976280,0.954013,0.998548,0.712439,0.696522,0.728356,0.009131,0.000383,0.071171,0.082881,0.000000,7,0,1
200,369.322,0.428431,0.737573,0.706678,0.768468,12,0.00124386,1,0.026146,0.051432,0.000860,0.967072,0.935261,0.998882,0.756077,0.743025,0.769129,0.014001,0.000383,0.064950,0.070378,0.000000,8,0,1
225,386.109,0.388648,0.763652,0.733056,0.794248,12,0.00210152,2,0.027962,0.052548,0.003376,0.966010,0.936237,0.995782,0.784253,0.771577,0.796929,0.014084,0.001375,0.058798,0.062532,0.000000,8,0,1
250,497.469,0.343650,0.794345,0.753635,0.835055,12,0.00184673,1,0.033983,0.061942,0.006023,0.960522,0.928163,0.992881,0.820200,0.800316,0.840085,0.016519,0.002601,0.054263,0.050296,0.000000,8,0,1
275,513.821,0.313532,0.812066,0.753810,0.870323,12,0.00214950,2,0.037270,0.067987,0.006553,0.957351,0.922126,0.992575,0.840543,0.805060,0.876026,0.018117,0.002758,0.054430,0.039141,0.000000,8,0,1
300,624.151,0.292988,0.824016,0.756057,0.891974,12,0.00253158,2,0.038527,0.070964,0.006089,0.956341,0.919421,0.993260,0.853558,0.809710,0.897405,0.018913,0.002550,0.053918,0.032423,0.000000,8,0,1
325,640.498,0.266863,0.844231,0.784091,0.904372,12,0.00268066,1,0.041017,0.072173,0.009862,0.955127,0.920937,0.989317,0.876986,0.840681,0.913291,0.019478,0.004224,0.047785,0.028693,0.000000,8,0,1
350,750.067,0.250179,0.855964,0.794454,0.917473,11,0.00401538,2,0.042734,0.073289,0.012179,0.953953,0.920852,0.987055,0.890663,0.852679,0.928647,0.019866,0.005208,0.045292,0.024627,0.000000,8,0,2
375,765.067,0.231348,0.867016,0.804910,0.929123,11,0.00365321,2,0.041779,0.072173,0.011385,0.955427,0.922824,0.988030,0.901352,0.863002,0.939701,0.019456,0.004920,0.042977,0.021099,0.000000,8,0,2
400,866.040,0.231253,0.864188,0.789098,0.939279,10,0.00448009,2,0.039832,0.068080,0.011583,0.956608,0.925260,0.987956,0.896489,0.842820,0.950159,0.018428,0.004837,0.046618,0.017788,0.000000,8,0,3
425,879.485,0.223209,0.869676,0.789136,0.950216,10,0.00454154,3,0.041129,0.071801,0.010458,0.955488,0.921751,0.989225,0.902975,0.845796,0.960154,0.019534,0.004489,0.046710,0.014621,0.000000,8,0,3
450,970.540,0.224388,0.868065,0.777277,0.958852,9,0.00509683,2,0.041694,0.073196,0.010193,0.954459,0.919332,0.989586,0.901398,0.834170,0.968626,0.019912,0.004420,0.049584,0.011857,0.000000,8,0,4
475,982.641,0.217416,0.871690,0.782586,0.960795,9,0.00476048,3,0.041025,0.072452,0.009598,0.955369,0.920535,0.990203,0.904651,0.839286,0.970016,0.019646,0.004048,0.048207,0.011307,0.000000,8,0,4
500,1065.649,0.224063,0.869358,0.781196,0.957519,9,0.00353009,3,0.041476,0.073289,0.009664,0.954860,0.919616,0.990103,0.902611,0.838449,0.966773,0.020527,0.004117,0.049210,0.012332,0.000000,8,0,4
525,1077.825,0.210398,0.878017,0.794095,0.961938,9,0.00409063,3,0.041538,0.070964,0.012113,0.955348,0.922984,0.987712,0.912018,0.850446,0.973590,0.019626,0.005045,0.045939,0.010904,0.000000,8,0,4
550,1161.623,0.214613,0.877751,0.795961,0.959541,9,0.00418424,4,0.044481,0.073010,0.015952,0.952574,0.921248,0.983900,0.914461,0.854074,0.974848,0.020246,0.006670,0.045499,0.011604,0.000000,8,0,4
575,1173.911,0.210853,0.879417,0.792664,0.966169,9,0.00399306,2,0.045844,0.080171,0.011517,0.951367,0.914382,0.988353,0.916755,0.856213,0.977297,0.021775,0.005055,0.046318,0.009620,0.000000,8,0,4
600,1259.711,0.209103,0.879373,0.788030,0.970715,9,0.00367894,2,0.044411,0.078497,0.010326,0.952515,0.915448,0.989581,0.915314,0.849888,0.980739,0.021549,0.004575,0.047452,0.008329,0.000000,8,0,4
625,1272.437,0.206500,0.878455,0.785696,0.971215,9,0.00336698,3,0.042447,0.075428,0.009465,0.954243,0.918048,0.990438,0.912683,0.844959,0.980408,0.020571,0.004070,0.047640,0.008087,0.000000,8,0,4
650,1356.203,0.211455,0.875045,0.779727,0.970363,9,0.00256119,3,0.042865,0.076265,0.009465,0.953561,0.916692,0.990430,0.909370,0.839193,0.979547,0.020725,0.004108,0.048971,0.008501,0.000000,8,0,4
675,1368.456,0.214625,0.872945,0.774157,0.971733,9,0.00389143,2,0.042923,0.078962,0.006884,0.953323,0.913632,0.993014,0.906854,0.835286,0.978422,0.021458,0.003121,0.050390,0.007955,0.000000,8,0,4
700,1453.202,0.235247,0.866774,0.771882,0.961667,9,0.00253550,3,0.051032,0.090216,0.011848,0.945572,0.903174,0.987970,0.907289,0.841518,0.973061,0.024840,0.004956,0.051850,0.011076,0.000000,8,0,4
725,1465.499,0.225250,0.869644,0.776058,0.963230,9,0.00098561,1,0.045668,0.081473,0.009862,0.950739,0.911515,0.989963,0.906008,0.839286,0.972730,0.022620,0.004564,0.050404,0.010857,0.000000,8,0,4
750,1550.412,0.224651,0.871115,0.778845,0.963385,9,0.00055474,2,0.047766,0.085007,0.010524,0.948953,0.908600,0.989305,0.909288,0.845052,0.973524,0.023417,0.004823,0.049846,0.010788,0.000000,8,0,4
775,1562.955,0.224620,0.873726,0.784084,0.963368,9,0.00052293,2,0.049962,0.088077,0.011848,0.947207,0.906423,0.987991,0.913963,0.853144,0.974782,0.024499,0.005378,0.049072,0.010740,0.000000,8,0,4
800,1647.307,0.225581,0.875777,0.789173,0.962380,9,0.00076111,1,0.052198,0.090960,0.013437,0.945428,0.904446,0.986410,0.918134,0.860956,0.975311,0.025300,0.006192,0.048054,0.011216,0.000000,8,0,4
825,1659.537,0.222083,0.877314,0.791503,0.963125,9,0.00055781,2,0.051074,0.087984,0.014165,0.946503,0.907300,0.985706,0.918955,0.861142,0.976767,0.024610,0.006464,0.047274,0.011087,0.000000,8,0,4
