step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.480,1.512066,0.094492,0.093298,0.095686,5,0.00000000,0,0.038140,0.040737,0.035544,0.720221,0.704453,0.735988,0.098092,0.097098,0.099087,0.011185,0.015561,0.203796,0.286852,0.000000,0,0,0
25,7.335,1.353010,0.153966,0.154930,0.153003,5,0.00000000,0,0.012667,0.016927,0.008406,0.925659,0.902985,0.948332,0.155921,0.157552,0.154289,0.004684,0.003436,0.185429,0.261514,0.000000,0,0,0
50,57.120,1.196472,0.247214,0.251654,0.242773,8,0.00000000,0,0.008753,0.012277,0.005229,0.966523,0.954023,0.979023,0.249393,0.254743,0.244043,0.003379,0.002200,0.163124,0.232911,0.000000,3,0,0
75,68.375,1.024362,0.357021,0.367108,0.346933,8,0.00000000,0,0.010266,0.017950,0.002581,0.973400,0.954168,0.992633,0.360763,0.373698,0.347829,0.004939,0.001112,0.138190,0.200238,0.000000,3,0,0
100,143.349,0.825795,0.480039,0.494230,0.465848,11,0.00001860,0,0.008712,0.015439,0.001986,0.982959,0.970155,0.995764,0.484316,0.501860,0.466773,0.003927,0.000812,0.109337,0.163555,0.000000,6,0,0
125,158.948,0.665458,0.582102,0.581736,0.582468,11,0.00018305,1,0.012394,0.023531,0.001258,0.979916,0.961983,0.997848,0.589313,0.595424,0.583201,0.006159,0.000513,0.090907,0.127533,0.000000,6,0,0
150,252.988,0.552663,0.651467,0.640741,0.662193,13,0.00031781,2,0.012441,0.023624,0.001258,0.981670,0.965234,0.998107,0.659452,0.655878,0.663026,0.006310,0.000465,0.077832,0.102928,0.000000,9,0,1
175,271.384,0.479456,0.699252,0.686556,0.711947,13,0.00073570,2,0.015759,0.028739,0.002780,0.978511,0.960901,0.996121,0.710107,0.706287,0.713926,0.007616,0.000907,0.067750,0.087636,0.000000,9,0,1
200,383.232,0.419271,0.736665,0.715211,0.758119,15,0.00102982,1,0.017338,0.033947,0.000728,0.977575,0.956109,0.999041,0.749081,0.739490,0.758671,0.008784,0.000297,0.061464,0.073512,0.000000,12,0,2
225,404.407,0.376114,0.768009,0.752660,0.783358,15,0.00056202,1,0.021565,0.040086,0.003045,0.973714,0.951288,0.996140,0.784287,0.782831,0.785743,0.010525,0.001416,0.053278,0.065992,0.000000,12,0,2
250,539.429,0.315222,0.806276,0.786046,0.826507,18,0.00001057,0,0.024614,0.042411,0.006818,0.971331,0.950788,0.991874,0.825762,0.819382,0.832142,0.011025,0.002815,0.045640,0.052512,0.000000,15,0,2
275,564.664,0.259510,0.843637,0.801794,0.885480,18,0.00002372,0,0.032538,0.057664,0.007413,0.964045,0.936332,0.991758,0.870036,0.848028,0.892044,0.015114,0.003264,0.042608,0.034701,0.000000,15,0,2
300,726.773,0.232014,0.861320,0.812533,0.910107,21,0.00005930,1,0.034619,0.062686,0.006553,0.962607,0.932316,0.992898,0.889769,0.863467,0.916071,0.016758,0.002817,0.040496,0.027040,0.000000,18,0,2
325,755.952,0.218043,0.871147,0.819334,0.922961,21,0.00003292,1,0.035085,0.064081,0.006089,0.962508,0.931531,0.993485,0.900209,0.871838,0.928581,0.017605,0.002817,0.039253,0.023210,0.000000,18,0,2
350,940.886,0.205103,0.882113,0.833348,0.930878,21,0.00001945,1,0.036739,0.067057,0.006420,0.961535,0.929877,0.993193,0.913042,0.889230,0.936855,0.018741,0.003017,0.036626,0.020858,0.000000,18,0,2
375,970.287,0.192551,0.892724,0.843574,0.941873,21,0.00003227,2,0.041395,0.076172,0.006619,0.957828,0.922590,0.993067,0.927969,0.907831,0.948107,0.021197,0.003180,0.034464,0.017524,0.000000,18,0,2
400,1158.792,0.182157,0.899634,0.850882,0.948386,21,0.00006653,4,0.043475,0.080264,0.006685,0.956369,0.919691,0.993046,0.936952,0.919178,0.954726,0.022223,0.002921,0.032726,0.015405,0.000000,18,0,2
425,1188.267,0.174492,0.905304,0.859476,0.951132,21,0.00001527,2,0.042620,0.076172,0.009068,0.957277,0.923913,0.990640,0.942350,0.924944,0.959756,0.021294,0.004127,0.030865,0.014585,0.000000,18,0,2
450,1375.419,0.162595,0.911317,0.868827,0.953808,21,0.00001804,1,0.040411,0.073475,0.007347,0.959692,0.926974,0.992411,0.946740,0.932664,0.960815,0.020256,0.003467,0.028468,0.013865,0.000000,18,0,2
475,1406.287,0.160437,0.911791,0.873307,0.950276,21,0.00004409,1,0.039367,0.071057,0.007678,0.960721,0.929397,0.992046,0.946467,0.935361,0.957572,0.019395,0.003565,0.027146,0.014842,0.000000,18,0,2
500,1598.217,0.160817,0.912474,0.874165,0.950784,20,0.00000772,2,0.040189,0.071708,0.008671,0.959970,0.928901,0.991040,0.947939,0.936849,0.959028,0.019588,0.004046,0.027029,0.014758,0.000000,18,0,3
525,1628.869,0.179212,0.905284,0.869149,0.941419,20,0.00007621,1,0.045670,0.078962,0.012378,0.954759,0.922338,0.987179,0.945425,0.937779,0.953071,0.021743,0.005585,0.028306,0.017750,0.000000,18,0,3
550,1810.513,0.184692,0.901445,0.872243,0.930647,22,0.00040299,1,0.044405,0.075242,0.013569,0.955776,0.925732,0.985819,0.940574,0.937872,0.943275,0.020615,0.005945,0.027400,0.020790,0.000000,20,0,3
575,1845.088,0.169740,0.909824,0.888578,0.931070,22,0.00020185,2,0.040109,0.064267,0.015952,0.959891,0.936366,0.983416,0.945804,0.945685,0.945923,0.017687,0.006999,0.023481,0.020709,0.000000,20,0,3
600,2048.596,0.168339,0.911613,0.892243,0.930983,22,0.00023632,1,0.039678,0.059896,0.019460,0.960172,0.940437,0.979908,0.947392,0.945685,0.949100,0.016483,0.008560,0.022537,0.021000,0.000000,20,0,3
625,2082.197,0.170108,0.910741,0.890512,0.930970,22,0.00013546,0,0.041392,0.063523,0.019261,0.958624,0.937143,0.980105,0.947990,0.947080,0.948901,0.017494,0.008268,0.022977,0.020813,0.000000,20,0,3
