step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.492,0.938453,0.066347,0.039557,0.093137,5,0.00808091,0,0.284668,0.097229,0.472107,0.266844,0.308632,0.225057,0.090256,0.043404,0.137108,0.020520,0.036694,0.186210,0.096115,0.000000,0,0,0
25,7.361,0.828614,0.069251,0.029179,0.109323,5,0.00000332,0,0.148619,0.055772,0.241465,0.357822,0.355820,0.359823,0.083263,0.030806,0.135720,0.011718,0.018811,0.181260,0.079679,0.000000,0,0,0
50,55.500,0.793936,0.078927,0.037000,0.120854,8,0.00000061,1,0.118235,0.039968,0.196503,0.457216,0.490511,0.423922,0.091540,0.038479,0.144602,0.008337,0.015266,0.177090,0.075754,0.000000,3,0,0
75,65.904,0.750799,0.113540,0.072173,0.154906,8,0.00000803,1,0.100588,0.032982,0.168193,0.605787,0.693291,0.518283,0.127757,0.074553,0.180960,0.006825,0.012980,0.169427,0.070936,0.000000,3,0,0
100,136.915,0.698456,0.178307,0.150205,0.206409,11,0.00000694,1,0.106647,0.035387,0.177907,0.696046,0.814637,0.577456,0.199325,0.155520,0.243131,0.007302,0.013634,0.155393,0.066956,0.000000,6,0,0
125,151.098,0.650573,0.229130,0.215373,0.242887,11,0.00000000,1,0.105720,0.031035,0.180405,0.745580,0.877376,0.613785,0.254381,0.222057,0.286706,0.006353,0.013768,0.142877,0.063920,0.000000,6,0,0
150,248.685,0.625342,0.259770,0.259829,0.259710,14,0.00000000,0,0.110123,0.034013,0.186234,0.755437,0.887628,0.623245,0.288372,0.268667,0.308077,0.006894,0.014366,0.134991,0.062826,0.000000,9,0,0
175,266.958,0.576019,0.314299,0.328012,0.300586,14,0.00002408,0,0.108416,0.033097,0.183736,0.785244,0.911022,0.659465,0.347342,0.338869,0.355815,0.006755,0.014135,0.122444,0.059111,0.000000,9,0,0
200,390.684,0.504159,0.372258,0.385955,0.358562,15,0.00000000,1,0.064785,0.025767,0.103802,0.865557,0.938892,0.792222,0.395841,0.395900,0.395781,0.005296,0.007905,0.111204,0.050249,0.000000,12,0,2
225,410.551,0.467590,0.424198,0.444370,0.404026,15,0.00000389,0,0.077960,0.025195,0.130724,0.862555,0.947594,0.777515,0.456204,0.455566,0.456842,0.005192,0.009900,0.100448,0.047868,0.000000,12,0,2
250,524.001,0.417427,0.477390,0.489160,0.465620,14,0.00007547,0,0.064136,0.014201,0.114072,0.895955,0.972172,0.819737,0.507420,0.496106,0.518734,0.002725,0.008724,0.091221,0.042180,0.000000,15,0,6
275,542.468,0.402535,0.504234,0.521127,0.487342,14,0.00001771,0,0.078269,0.016377,0.140161,0.884286,0.970008,0.798564,0.542655,0.529661,0.555648,0.003254,0.010809,0.085589,0.041554,0.000000,15,0,6
300,662.210,0.392229,0.519066,0.539459,0.498674,16,0.00003058,1,0.083395,0.015804,0.150985,0.881849,0.971968,0.791730,0.560975,0.547984,0.573966,0.003218,0.011630,0.082347,0.040965,0.000000,18,0,7
325,683.341,0.370091,0.543427,0.576797,0.510057,16,0.00001286,1,0.086904,0.014773,0.159034,0.881697,0.975382,0.788013,0.588246,0.585318,0.591174,0.003006,0.012199,0.075603,0.040155,0.000000,18,0,7
350,820.488,0.353658,0.566988,0.612247,0.521729,17,0.00000381,1,0.100764,0.013628,0.187899,0.872933,0.978512,0.767354,0.620176,0.620591,0.619761,0.002640,0.014507,0.068989,0.040322,0.000000,21,0,9
375,843.193,0.337192,0.581621,0.630224,0.533018,17,0.00001685,2,0.093303,0.013972,0.172634,0.881090,0.978604,0.783577,0.632032,0.639029,0.625035,0.002690,0.013169,0.065845,0.038618,0.000000,21,0,9
400,992.913,0.331521,0.583440,0.635480,0.531400,20,0.00001384,1,0.085719,0.013514,0.157924,0.887607,0.979450,0.795765,0.629694,0.644068,0.615321,0.002602,0.012052,0.064849,0.038328,0.000000,24,0,9
425,1018.657,0.326487,0.587381,0.639765,0.534996,20,0.00001159,0,0.079580,0.013170,0.145989,0.893882,0.980087,0.807678,0.630645,0.648191,0.613100,0.002503,0.011304,0.064007,0.037916,0.000000,24,0,9
450,1183.219,0.318226,0.595477,0.638813,0.552140,18,0.00001019,1,0.069978,0.011452,0.128504,0.905805,0.982584,0.829025,0.634611,0.646129,0.623092,0.002270,0.009900,0.064155,0.035833,0.000000,24,0,11
475,1207.339,0.317040,0.597665,0.643059,0.552272,18,0.00001663,0,0.074265,0.012254,0.136275,0.901554,0.981523,0.821584,0.639236,0.650939,0.627533,0.002351,0.010412,0.063386,0.035909,0.000000,24,0,11
