step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.474,0.938453,0.066347,0.039557,0.093137,5,0.00808091,0,0.284668,0.097229,0.472107,0.266844,0.308632,0.225057,0.090256,0.043404,0.137108,0.020520,0.036694,0.186210,0.096115,0.010000,0,0,0
25,7.291,0.828614,0.069251,0.029179,0.109323,5,0.00000332,0,0.148619,0.055772,0.241465,0.357822,0.355820,0.359823,0.083263,0.030806,0.135720,0.011718,0.018811,0.181260,0.079679,0.010000,0,0,0
50,53.383,0.785701,0.066720,0.022969,0.110471,7,0.00047201,1,0.093885,0.032066,0.155704,0.437795,0.425051,0.450539,0.075689,0.023706,0.127671,0.006755,0.012024,0.178402,0.073999,0.010000,0,2,0
75,62.747,0.774325,0.063845,0.029432,0.098258,7,0.00001026,1,0.085092,0.023362,0.146822,0.498697,0.563169,0.434225,0.071401,0.030119,0.112684,0.004825,0.011284,0.175666,0.074386,0.010000,0,2,0
100,110.211,0.769361,0.070915,0.044454,0.097375,5,0.00000000,0,0.091538,0.020156,0.162920,0.551179,0.692308,0.410050,0.079295,0.045350,0.113239,0.004130,0.012684,0.172387,0.075660,0.010000,0,2,2
125,116.737,0.761327,0.082816,0.061087,0.104544,5,0.00000000,0,0.098360,0.017980,0.178740,0.591901,0.775714,0.408088,0.092708,0.062185,0.123231,0.003725,0.013772,0.169092,0.075935,0.010000,0,2,2
150,162.891,0.749690,0.096924,0.078690,0.115159,5,0.00000000,0,0.099127,0.017293,0.180960,0.625712,0.822353,0.429072,0.108024,0.080050,0.135998,0.003642,0.014066,0.165799,0.075244,0.010000,0,2,2
175,169.282,0.736168,0.117811,0.114299,0.121324,5,0.00000000,0,0.112931,0.017980,0.207882,0.639812,0.866155,0.413469,0.131449,0.116354,0.146545,0.003548,0.016120,0.159256,0.076300,0.010000,0,2,2
200,214.791,0.703689,0.152320,0.175960,0.128679,8,0.00000000,0,0.116546,0.016606,0.216486,0.667349,0.915056,0.419643,0.167709,0.178882,0.156536,0.003554,0.016783,0.148171,0.076224,0.010000,3,2,2
225,225.404,0.648793,0.202199,0.258890,0.145509,8,0.00000000,0,0.108453,0.020957,0.195948,0.698452,0.926536,0.470368,0.219168,0.264315,0.174022,0.004052,0.015135,0.133312,0.073359,0.010000,3,2,2
250,294.293,0.599916,0.263507,0.331016,0.195997,11,0.00000000,0,0.113898,0.021301,0.206495,0.737281,0.940727,0.533835,0.287268,0.338067,0.236470,0.004432,0.015755,0.120478,0.069400,0.010000,6,2,2
275,308.638,0.543441,0.329198,0.416124,0.242272,11,0.00000000,0,0.115986,0.019927,0.212046,0.767918,0.955155,0.580681,0.359030,0.424416,0.293644,0.004232,0.016377,0.105084,0.065758,0.010000,6,2,2
300,401.321,0.505375,0.376271,0.476703,0.275839,12,0.00000110,0,0.123491,0.022446,0.224535,0.778333,0.955975,0.600691,0.412588,0.487403,0.337774,0.004436,0.017375,0.094071,0.063482,0.010000,7,2,2
325,417.195,0.467926,0.416134,0.535980,0.296288,12,0.00000019,1,0.128267,0.015346,0.241188,0.788247,0.972575,0.603920,0.455977,0.544205,0.367749,0.003066,0.018567,0.082801,0.062358,0.010000,7,2,2
350,517.296,0.435241,0.459147,0.589584,0.328710,12,0.00000000,0,0.137179,0.013743,0.260616,0.795711,0.977524,0.613898,0.506032,0.597687,0.414377,0.002635,0.020240,0.073050,0.060593,0.010000,7,2,2
375,533.098,0.406012,0.489631,0.633507,0.345755,12,0.00000000,0,0.135864,0.013055,0.258673,0.803631,0.980063,0.627200,0.538485,0.641777,0.435193,0.002507,0.020151,0.065054,0.058955,0.010000,7,2,2
400,631.352,0.392791,0.501205,0.636065,0.366346,12,0.00000000,0,0.125186,0.011681,0.238690,0.818741,0.982171,0.655311,0.548642,0.643495,0.453789,0.002262,0.018402,0.064619,0.055980,0.010000,7,2,2
425,646.786,0.385030,0.509820,0.639084,0.380555,12,0.00004058,0,0.120335,0.010307,0.230364,0.827265,0.984288,0.670242,0.556946,0.645671,0.468221,0.002093,0.017718,0.064113,0.054315,0.010000,7,2,2
450,746.251,0.385160,0.510543,0.635426,0.385659,12,0.00000119,0,0.118784,0.010536,0.227033,0.829820,0.983857,0.675783,0.557669,0.642121,0.473217,0.002151,0.017554,0.064821,0.053713,0.010000,7,2,2
475,761.540,0.385366,0.511099,0.636993,0.385205,12,0.00000956,0,0.120245,0.009849,0.230641,0.828813,0.984920,0.672706,0.558658,0.643266,0.474049,0.002064,0.017921,0.064558,0.053903,0.010000,7,2,2
