step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.464,0.896057,0.098179,0.087198,0.109160,5,0.00000000,0,0.378731,0.061980,0.695481,0.404615,0.599047,0.210183,0.138841,0.092602,0.185079,0.014558,0.041177,0.186359,0.084460,0.000100,0,0,0
25,7.077,0.767164,0.134994,0.088723,0.181265,5,0.00000000,0,0.191879,0.028307,0.355452,0.585958,0.763204,0.408711,0.168465,0.091234,0.245696,0.006600,0.020798,0.180189,0.061833,0.000100,0,0,0
50,50.490,0.710817,0.162694,0.089705,0.235682,8,0.00054606,0,0.106623,0.017047,0.196198,0.716107,0.842566,0.589647,0.186578,0.091234,0.281923,0.004042,0.011466,0.178099,0.050959,0.000100,0,3,0
75,60.982,0.687293,0.182533,0.096325,0.268742,8,0.00003274,1,0.074191,0.019257,0.129125,0.768757,0.836022,0.701493,0.200811,0.098180,0.303443,0.004413,0.007504,0.177075,0.046057,0.000100,0,3,0
100,109.070,0.661394,0.203262,0.116296,0.290229,7,0.00000000,0,0.062395,0.012522,0.112267,0.822920,0.903877,0.741962,0.220282,0.117752,0.322812,0.002759,0.006464,0.171985,0.043868,0.000100,3,3,4
125,118.604,0.624034,0.251201,0.176391,0.326012,7,0.00001260,0,0.076555,0.009997,0.143113,0.834700,0.946868,0.722531,0.275411,0.178154,0.372669,0.002216,0.008299,0.159958,0.042793,0.000100,3,3,4
150,183.327,0.575096,0.296292,0.256179,0.336406,10,0.00000649,0,0.086119,0.004735,0.167504,0.841480,0.981935,0.701024,0.325074,0.257392,0.392755,0.000843,0.009706,0.143401,0.043022,0.000100,6,3,4
175,196.802,0.525754,0.354851,0.336509,0.373193,10,0.00001370,0,0.097934,0.005051,0.190818,0.842445,0.985285,0.699605,0.391307,0.338209,0.444405,0.000885,0.011149,0.127811,0.041420,0.000100,6,3,4
200,278.700,0.487851,0.392329,0.400481,0.384177,12,0.00000020,0,0.101509,0.006103,0.196915,0.842621,0.985078,0.700164,0.431377,0.402925,0.459828,0.001283,0.011368,0.115607,0.040684,0.000100,9,3,5
225,295.220,0.454245,0.424161,0.449415,0.398907,12,0.00000061,0,0.094166,0.006840,0.181492,0.853543,0.985109,0.721978,0.461897,0.452489,0.471306,0.001410,0.010509,0.106197,0.039258,0.000100,9,3,5
250,399.817,0.421495,0.458646,0.498222,0.419071,15,0.00003468,0,0.093566,0.005998,0.181133,0.860135,0.988174,0.732095,0.498094,0.501210,0.494978,0.001211,0.010540,0.096666,0.037949,0.000100,12,3,5
275,420.199,0.381783,0.510868,0.552827,0.468910,15,0.00000064,0,0.100496,0.006945,0.194046,0.865152,0.987677,0.742626,0.558283,0.556666,0.559900,0.001447,0.011176,0.086046,0.034903,0.000100,12,3,5
300,550.551,0.344423,0.555683,0.611070,0.500296,18,0.00000792,0,0.109958,0.007577,0.212339,0.864268,0.987844,0.740692,0.611114,0.615700,0.606528,0.001500,0.012192,0.074686,0.033274,0.000100,15,3,5
325,575.052,0.313587,0.584089,0.658695,0.509484,18,0.00008289,2,0.108882,0.007577,0.210187,0.867242,0.988713,0.745770,0.640128,0.663685,0.616571,0.001451,0.011995,0.065393,0.032393,0.000100,15,3,5
350,725.090,0.287231,0.614875,0.703016,0.526733,20,0.00001762,2,0.114683,0.008418,0.220947,0.866278,0.988265,0.744292,0.676024,0.708934,0.643113,0.001805,0.012620,0.057027,0.031500,0.000100,18,3,6
375,752.735,0.262940,0.642539,0.737931,0.547148,20,0.00005012,2,0.119738,0.007050,0.232425,0.867136,0.990602,0.743671,0.708726,0.743134,0.674319,0.001430,0.013226,0.050011,0.030296,0.000100,18,3,6
400,926.605,0.236860,0.680197,0.770933,0.589461,23,0.00001446,1,0.123387,0.007892,0.238881,0.871730,0.989945,0.753516,0.753645,0.777018,0.730273,0.001622,0.013707,0.043727,0.027558,0.000100,21,3,6
425,957.857,0.224982,0.695339,0.780829,0.609848,23,0.00000588,0,0.119388,0.007787,0.230990,0.877454,0.990201,0.764706,0.768813,0.786909,0.750717,0.001675,0.013055,0.041870,0.025758,0.000100,21,3,6
450,1157.417,0.217339,0.707629,0.788100,0.627158,24,0.00001653,0,0.116856,0.008103,0.225610,0.881496,0.989904,0.773088,0.781569,0.794486,0.768651,0.001765,0.012899,0.040477,0.024634,0.000100,22,3,6
475,1190.119,0.215035,0.711801,0.793682,0.629919,24,0.00002807,1,0.124482,0.009365,0.239598,0.876823,0.988445,0.765202,0.790981,0.801115,0.780846,0.001882,0.013663,0.039222,0.024678,0.000100,22,3,6
500,1398.907,0.212689,0.720431,0.804959,0.635903,24,0.00007446,3,0.142373,0.009997,0.274749,0.867357,0.987853,0.746861,0.811812,0.813006,0.810617,0.002089,0.015705,0.037037,0.024945,0.000100,22,3,6
525,1431.734,0.209567,0.722756,0.811516,0.633996,24,0.00008905,4,0.144843,0.008839,0.280846,0.866172,0.989318,0.743026,0.815370,0.818689,0.812052,0.001930,0.015952,0.035845,0.025049,0.000100,22,3,6
550,1634.198,0.210082,0.727846,0.809228,0.646465,23,0.00008112,4,0.146639,0.014943,0.278336,0.865092,0.982132,0.748052,0.823859,0.821320,0.826399,0.003179,0.015875,0.036404,0.024078,0.000100,22,3,7
575,1665.495,0.202170,0.737822,0.820191,0.655453,23,0.00006824,2,0.146809,0.014206,0.279412,0.866645,0.983209,0.750080,0.835218,0.831843,0.838594,0.003156,0.015970,0.034283,0.023528,0.000100,22,3,7
600,1864.586,0.195218,0.745718,0.830621,0.660815,23,0.00003582,1,0.141006,0.015153,0.266858,0.870316,0.982346,0.758285,0.840183,0.843207,0.837159,0.003530,0.015482,0.032411,0.023147,0.000100,22,3,7
625,1895.876,0.195843,0.747779,0.831260,0.664298,23,0.00001381,1,0.142599,0.023361,0.261836,0.867627,0.973272,0.761982,0.844457,0.850679,0.838235,0.005277,0.014920,0.032409,0.022770,0.000100,22,3,7
650,2088.244,0.186444,0.757852,0.842479,0.673225,22,0.00001927,1,0.139995,0.022098,0.257891,0.870769,0.974979,0.766558,0.853970,0.861096,0.846844,0.005061,0.014869,0.030179,0.021999,0.000100,22,3,8
675,2118.719,0.196041,0.752060,0.833111,0.671008,22,0.00000975,1,0.147004,0.027149,0.266858,0.865164,0.969249,0.761079,0.852901,0.855730,0.850072,0.006195,0.015359,0.032137,0.022430,0.000100,22,3,8
700,2309.233,0.200702,0.748378,0.828766,0.667990,22,0.00002205,1,0.149053,0.033042,0.265065,0.862034,0.962840,0.761228,0.850600,0.856151,0.845050,0.007606,0.015108,0.033225,0.022314,0.000100,22,3,8
725,2339.024,0.198627,0.752403,0.832198,0.672609,22,0.00000671,0,0.151151,0.034726,0.267575,0.861181,0.961236,0.761127,0.856839,0.861096,0.852582,0.007946,0.015284,0.032444,0.022148,0.000100,22,3,8
750,2532.141,0.182557,0.766185,0.839037,0.693333,25,0.00003454,2,0.132245,0.027044,0.237446,0.876403,0.969571,0.783235,0.859845,0.861728,0.857963,0.006148,0.013502,0.030938,0.020081,0.000100,25,3,8
775,2566.679,0.158487,0.785313,0.857559,0.713067,25,0.00007738,3,0.114712,0.010628,0.218795,0.893382,0.987885,0.798879,0.867878,0.866674,0.869082,0.002192,0.012475,0.026835,0.018642,0.000100,25,3,8
800,2789.075,0.142658,0.801484,0.875992,0.726976,25,0.00011390,2,0.107710,0.008103,0.207317,0.899917,0.990908,0.808926,0.880390,0.883090,0.877690,0.001707,0.011830,0.023285,0.017472,0.000100,25,3,8
825,2823.568,0.139704,0.807536,0.874153,0.740919,25,0.00007657,2,0.102012,0.009260,0.194763,0.904637,0.989613,0.819661,0.883735,0.882248,0.885222,0.001902,0.011153,0.023572,0.016451,0.000100,25,3,8
850,3044.947,0.142005,0.806246,0.869447,0.743045,25,0.00000720,1,0.102901,0.006735,0.199067,0.904869,0.992365,0.817374,0.883132,0.875303,0.890961,0.001407,0.011397,0.024562,0.016369,0.000100,25,3,8
875,3079.607,0.139094,0.808605,0.869484,0.747726,25,0.00001939,1,0.095778,0.008629,0.182927,0.909443,0.990257,0.828629,0.880746,0.876986,0.884505,0.001720,0.010494,0.024396,0.015857,0.000100,25,3,8
900,3302.113,0.136833,0.812458,0.873329,0.751587,25,0.00000549,2,0.097277,0.007682,0.186872,0.909071,0.991347,0.826795,0.886038,0.880038,0.892037,0.001571,0.010764,0.023675,0.015767,0.000100,25,3,8
925,3336.463,0.136546,0.813836,0.874570,0.753101,25,0.00000055,2,0.097770,0.010102,0.185438,0.908352,0.988694,0.828011,0.888080,0.883405,0.892755,0.002171,0.010653,0.023479,0.015624,0.000100,25,3,8
950,3560.584,0.131355,0.818764,0.882328,0.755200,25,0.00000000,1,0.099238,0.008734,0.189742,0.907962,0.990282,0.825643,0.894264,0.890035,0.898494,0.001837,0.010828,0.022016,0.015437,0.000100,25,3,8
975,3594.694,0.130080,0.819562,0.883917,0.755207,25,0.00000049,1,0.098626,0.008945,0.188307,0.908316,0.990070,0.826561,0.894621,0.891824,0.897418,0.001798,0.010746,0.021678,0.015410,0.000100,25,3,8
1000,3814.496,0.131943,0.819807,0.883045,0.756569,25,0.00000166,0,0.099004,0.010418,0.187590,0.907869,0.988459,0.827279,0.895369,0.892245,0.898494,0.002245,0.010834,0.022023,0.015418,0.000100,25,3,8
1025,3847.956,0.133142,0.815605,0.877481,0.753729,25,0.00000291,0,0.092868,0.007471,0.178264,0.912224,0.991619,0.832829,0.886064,0.884037,0.888092,0.001591,0.010300,0.022964,0.015470,0.000100,25,3,8
1050,4062.112,0.128077,0.820676,0.882279,0.759073,24,0.00000003,0,0.091318,0.006524,0.176112,0.913971,0.992707,0.835235,0.890395,0.888035,0.892755,0.001299,0.010084,0.021932,0.015069,0.000100,25,3,9
1075,4094.962,0.130040,0.820636,0.876006,0.765265,24,0.00000144,1,0.087731,0.006524,0.168938,0.916901,0.992655,0.841147,0.888135,0.881722,0.894548,0.001262,0.009816,0.023096,0.014712,0.000100,25,3,9
1100,4305.173,0.127165,0.821823,0.882875,0.760770,24,0.00000782,1,0.090558,0.007156,0.173960,0.914496,0.992017,0.836975,0.891153,0.889193,0.893113,0.001412,0.009930,0.021795,0.014920,0.000100,25,3,9
1125,4338.322,0.126754,0.822874,0.880773,0.764976,24,0.00000425,1,0.090326,0.007050,0.173601,0.915039,0.992114,0.837965,0.892380,0.886983,0.897776,0.001434,0.009826,0.022175,0.014446,0.000100,25,3,9
1150,4549.581,0.125508,0.825426,0.881928,0.768924,24,0.00000672,1,0.088291,0.006209,0.170373,0.916935,0.993052,0.840818,0.893666,0.887404,0.899928,0.001179,0.009803,0.021877,0.014466,0.000100,25,3,9
1175,4582.373,0.127745,0.826459,0.876332,0.776586,24,0.00000023,1,0.088922,0.007471,0.170373,0.916874,0.991609,0.842140,0.895887,0.882879,0.908895,0.001450,0.009832,0.022984,0.013957,0.000100,25,3,9
1200,4792.908,0.128379,0.822583,0.877248,0.767917,24,0.00000462,1,0.091265,0.006419,0.176112,0.914802,0.992782,0.836823,0.893018,0.882879,0.903156,0.001149,0.009968,0.022842,0.014391,0.000100,25,3,9
1225,4825.983,0.129388,0.820614,0.876791,0.764438,24,0.00000197,1,0.093080,0.006103,0.180057,0.913369,0.993129,0.833610,0.892111,0.882142,0.902080,0.001073,0.010247,0.022889,0.014580,0.000100,25,3,9
1250,5035.858,0.126411,0.823510,0.881276,0.765744,24,0.00000109,1,0.092490,0.005998,0.178981,0.913914,0.993280,0.834549,0.894680,0.886562,0.902798,0.001156,0.010032,0.022089,0.014454,0.000100,25,3,9
1275,5068.376,0.126354,0.825497,0.879958,0.771037,24,0.00000006,0,0.090971,0.005472,0.176471,0.915497,0.993853,0.837140,0.895938,0.884773,0.907102,0.001139,0.009942,0.022413,0.014165,0.000100,25,3,9
1300,5275.744,0.126847,0.824126,0.880193,0.768059,24,0.00000179,0,0.091256,0.005682,0.176829,0.914999,0.993622,0.836376,0.894534,0.885194,0.903874,0.001132,0.009999,0.022348,0.014369,0.000100,25,3,9
1325,5308.130,0.125844,0.826469,0.880853,0.772086,24,0.00000003,0,0.088068,0.006840,0.169297,0.917217,0.992347,0.842088,0.894838,0.886878,0.902798,0.001349,0.009699,0.022255,0.014169,0.000100,25,3,9
1350,5516.154,0.126744,0.824606,0.880075,0.769137,24,0.00000082,0,0.088513,0.005577,0.171449,0.916936,0.993737,0.840134,0.892994,0.884984,0.901004,0.001161,0.009839,0.022398,0.014351,0.000100,25,3,9
1375,5548.429,0.126598,0.825288,0.877431,0.773145,24,0.00000010,0,0.088111,0.006209,0.170014,0.917403,0.993017,0.841789,0.893735,0.882879,0.904591,0.001191,0.009635,0.022831,0.013955,0.000100,25,3,9
1400,5756.265,0.125303,0.827214,0.881172,0.773256,24,0.00000186,0,0.089082,0.005998,0.172166,0.916826,0.993279,0.840372,0.896421,0.886457,0.906385,0.001238,0.009791,0.022259,0.013994,0.000100,25,3,9
1425,5788.577,0.124452,0.826829,0.880987,0.772672,24,0.00000030,0,0.088470,0.006209,0.170732,0.917136,0.993045,0.841227,0.895524,0.886457,0.904591,0.001200,0.009619,0.022122,0.013952,0.000100,25,3,9
1450,5995.737,0.126629,0.826565,0.877274,0.775857,24,0.00000081,0,0.084197,0.006629,0.161765,0.920195,0.992549,0.847841,0.892226,0.883090,0.901363,0.001404,0.009290,0.023081,0.013781,0.000100,25,3,9
1475,6028.063,0.125722,0.825455,0.878113,0.772798,24,0.00000484,0,0.083059,0.005788,0.160330,0.920905,0.993490,0.848320,0.889947,0.883195,0.896700,0.001137,0.009142,0.022784,0.013983,0.000100,25,3,9
1500,6233.329,0.126668,0.824919,0.874908,0.774931,24,0.00000383,0,0.083513,0.005261,0.161765,0.920870,0.994053,0.847687,0.889899,0.879512,0.900287,0.001040,0.009164,0.023342,0.013778,0.000100,25,3,9
1525,6265.245,0.126434,0.824336,0.875903,0.772769,24,0.00000000,0,0.083303,0.004841,0.161765,0.920928,0.994530,0.847326,0.888960,0.880143,0.897776,0.001022,0.009095,0.023302,0.013784,0.000100,25,3,9
1550,6473.258,0.126721,0.824856,0.874751,0.774961,24,0.00000000,0,0.083006,0.005682,0.160330,0.921131,0.993582,0.848680,0.889467,0.879722,0.899211,0.001124,0.009078,0.023374,0.013765,0.000100,25,3,9
1575,6505.416,0.127338,0.825100,0.875471,0.774730,24,0.00000000,0,0.085168,0.006419,0.163917,0.919474,0.992767,0.846180,0.891406,0.881090,0.901722,0.001213,0.009361,0.023210,0.013949,0.000100,25,3,9
