patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
23,-1,0.130901,0.820791,0.873730,0.767852,0.892264,0.914137,0.092734
22,22,0.137623,0.810630,0.867413,0.753846,0.884296,0.909745,0.097301
21,11,0.137841,0.810707,0.867761,0.753654,0.880623,0.912760,0.092267
20,7,0.142166,0.809288,0.860623,0.757952,0.881783,0.911247,0.095211
19,19,0.146069,0.804766,0.856964,0.752568,0.878600,0.908848,0.097562
18,10,0.152000,0.796606,0.850063,0.743150,0.871265,0.906274,0.099850
17,16,0.158394,0.790129,0.839795,0.740463,0.864887,0.905940,0.100496
16,8,0.168491,0.781462,0.821145,0.741780,0.854551,0.907404,0.098143
15,1,0.178167,0.768598,0.811337,0.725859,0.843624,0.902926,0.102997
14,1,0.183261,0.760332,0.809792,0.710872,0.834964,0.899911,0.104429
13,6,0.198631,0.743404,0.789721,0.697087,0.819111,0.895597,0.107983
12,12,0.212204,0.724305,0.774977,0.673634,0.795994,0.894056,0.105661
11,9,0.234876,0.702272,0.741342,0.663202,0.775506,0.889314,0.109731
10,7,0.258834,0.680296,0.695530,0.665063,0.747905,0.895238,0.101431
9,5,0.281515,0.645627,0.673023,0.618231,0.708384,0.889393,0.101072
8,4,0.313584,0.599158,0.636250,0.562066,0.654756,0.883360,0.098320
7,4,0.344005,0.558597,0.595375,0.521819,0.607366,0.880553,0.092748
6,5,0.380894,0.504876,0.554734,0.455018,0.546906,0.868953,0.091239
5,5,0.423084,0.448796,0.501771,0.395821,0.484436,0.857291,0.088676
4,3,0.467964,0.387377,0.449708,0.325046,0.417165,0.834879,0.089604
3,3,0.517709,0.327251,0.378834,0.275669,0.350624,0.822227,0.082502
2,1,0.573743,0.246371,0.287329,0.205414,0.260155,0.813828,0.065969
1,1,0.652268,0.157168,0.149486,0.164850,0.164414,0.830128,0.044072
