step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes
1,0.447,0.830884,0.142461,0.117786,0.167136,5,0.00028114,0,0.172118,0.133702,0.210534,0.494871,0.499686,0.490056,0.167929,0.133535,0.202324,0.018194,0.031145,0.120898,0.131328,0.000000,0,0,0
25,7.168,0.651124,0.218045,0.166826,0.269264,5,0.00000000,0,0.063215,0.052843,0.073586,0.782909,0.768722,0.797095,0.232360,0.175642,0.289078,0.007042,0.010708,0.105920,0.102246,0.000000,0,0,0
50,51.003,0.570612,0.295027,0.253741,0.336313,8,0.00020000,0,0.044268,0.031371,0.057165,0.877223,0.892959,0.861486,0.308620,0.261701,0.355538,0.003991,0.008193,0.092806,0.091260,0.000000,2,1,0
75,61.483,0.492192,0.379496,0.348127,0.410865,8,0.00001241,1,0.030231,0.016776,0.043687,0.931146,0.954751,0.907541,0.391391,0.353967,0.428815,0.002153,0.006237,0.079923,0.079943,0.000000,2,1,0
100,116.889,0.430347,0.455881,0.424338,0.487424,9,0.00004170,0,0.027076,0.013253,0.040899,0.947751,0.970098,0.925403,0.468660,0.429961,0.507359,0.001621,0.005954,0.070320,0.069332,0.000000,5,1,2
125,128.851,0.376587,0.521507,0.480232,0.562782,9,0.00101771,2,0.022770,0.014092,0.031448,0.960243,0.971878,0.948608,0.533740,0.486999,0.580480,0.001793,0.004523,0.063601,0.058532,0.000000,5,1,2
150,209.344,0.320656,0.592770,0.532205,0.653335,12,0.00030302,0,0.024339,0.010569,0.038110,0.963764,0.980728,0.946799,0.608032,0.537829,0.678234,0.001208,0.005529,0.056774,0.046672,0.000000,7,2,2
175,225.486,0.285333,0.646962,0.579576,0.714348,12,0.00019463,1,0.035003,0.011911,0.058095,0.954361,0.980095,0.928626,0.671163,0.586479,0.755848,0.001387,0.008496,0.051041,0.039083,0.000000,7,2,2
200,322.770,0.258368,0.687745,0.625166,0.750325,15,0.00023182,2,0.042361,0.011911,0.072812,0.949285,0.981520,0.917049,0.718785,0.632612,0.804957,0.001447,0.010723,0.045524,0.034459,0.000000,10,2,2
225,342.382,0.233129,0.719907,0.669591,0.770223,15,0.00017376,3,0.041025,0.013421,0.068629,0.951821,0.980606,0.923037,0.750830,0.678577,0.823083,0.001593,0.010101,0.040172,0.031650,0.000000,10,2,2
250,460.838,0.207816,0.755601,0.723950,0.787252,17,0.00043220,1,0.043071,0.014259,0.071882,0.951226,0.980950,0.921502,0.789057,0.734273,0.843842,0.001831,0.010501,0.033712,0.029294,0.000000,13,2,3
275,483.012,0.187189,0.782096,0.755783,0.808409,17,0.00023844,0,0.043729,0.015266,0.072192,0.951804,0.980493,0.923115,0.817045,0.767321,0.866770,0.001867,0.010666,0.029691,0.026383,0.000000,13,2,3
300,612.442,0.173005,0.799628,0.774711,0.824546,18,0.00028282,0,0.045188,0.014930,0.075445,0.951478,0.981365,0.921591,0.836516,0.786277,0.886754,0.001689,0.010995,0.027225,0.024035,0.000000,16,2,5
325,635.937,0.154557,0.827232,0.818736,0.835729,18,0.00032295,1,0.048440,0.018957,0.077924,0.949084,0.977782,0.920386,0.867554,0.834256,0.900852,0.002262,0.011556,0.021892,0.022642,0.000000,16,2,5
