step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.540,1.260056,0.190821,0.151570,0.230071,20,0.00000000,0,0.212629,0.093992,0.331265,0.559317,0.638225,0.480410,0.236051,0.165817,0.306286,0.034612,0.046126,0.253811,0.125838
25,27.042,1.004623,0.285657,0.223962,0.347352,20,0.00000000,0,0.110991,0.037981,0.184000,0.775228,0.859563,0.690894,0.321867,0.232469,0.411265,0.013871,0.025420,0.220435,0.094794
50,199.032,0.907154,0.361392,0.281130,0.441654,23,0.00006835,1,0.106393,0.036134,0.176653,0.817974,0.889641,0.746307,0.405481,0.291288,0.519673,0.012891,0.024257,0.203615,0.080180
75,229.122,0.828060,0.415350,0.330418,0.500282,23,0.00019170,2,0.094962,0.030740,0.159184,0.850920,0.917214,0.784626,0.460247,0.340575,0.579918,0.011319,0.021790,0.188925,0.070496
100,419.736,0.763485,0.467755,0.383535,0.551975,23,0.00034507,2,0.098359,0.031331,0.165388,0.861041,0.926606,0.795477,0.519408,0.395552,0.643265,0.011352,0.022841,0.173808,0.063510
125,449.804,0.712285,0.502436,0.423983,0.580889,23,0.00063581,3,0.098551,0.028449,0.168653,0.869877,0.938753,0.801002,0.557451,0.436045,0.678857,0.009862,0.022931,0.161714,0.059169
150,645.809,0.663331,0.544657,0.472137,0.617178,23,0.00076704,1,0.104805,0.032956,0.176653,0.870521,0.936702,0.804340,0.606950,0.487697,0.726204,0.011862,0.023820,0.149018,0.054073
175,676.212,0.636666,0.565615,0.493434,0.637795,23,0.00063676,1,0.105791,0.029705,0.181878,0.875192,0.944765,0.805619,0.630944,0.508091,0.753796,0.010874,0.025047,0.142469,0.051644
200,869.116,0.606419,0.589578,0.520899,0.658258,23,0.00067770,0,0.108383,0.032439,0.184327,0.875943,0.943113,0.808774,0.658694,0.537796,0.779592,0.011506,0.025434,0.134685,0.048826
225,898.709,0.585155,0.604102,0.538263,0.669941,23,0.00046054,1,0.105751,0.031257,0.180245,0.880526,0.946692,0.814360,0.672891,0.555088,0.790694,0.011175,0.025008,0.129814,0.047039
250,1091.061,0.567979,0.613679,0.548895,0.678462,23,0.00038648,0,0.101694,0.026897,0.176490,0.886691,0.954454,0.818928,0.680932,0.563659,0.798204,0.009784,0.024515,0.126379,0.045708
275,1120.771,0.560893,0.621520,0.556728,0.686312,23,0.00077030,1,0.107669,0.029705,0.185633,0.882491,0.950735,0.814246,0.693490,0.573265,0.813714,0.010797,0.025072,0.124616,0.044234
300,1314.916,0.553295,0.630727,0.568508,0.692945,23,0.00057255,1,0.108187,0.033843,0.182531,0.881690,0.945554,0.817826,0.703589,0.587748,0.819429,0.012274,0.025362,0.121636,0.043844
325,1344.707,0.540907,0.640069,0.572882,0.707256,23,0.00060439,0,0.106425,0.031626,0.181224,0.885474,0.949205,0.821744,0.713214,0.591000,0.835429,0.011401,0.025215,0.120070,0.041784
350,1537.034,0.532412,0.645034,0.582299,0.707769,23,0.00041491,0,0.105679,0.030296,0.181061,0.886945,0.951929,0.821962,0.717930,0.599941,0.835918,0.011201,0.025226,0.117474,0.041686
375,1566.483,0.528870,0.649508,0.591209,0.707806,23,0.00032701,1,0.109218,0.030518,0.187918,0.884815,0.952298,0.817331,0.725034,0.609251,0.840816,0.011298,0.026531,0.115016,0.042283
400,1758.787,0.523708,0.653796,0.595180,0.712413,23,0.00036994,0,0.112907,0.030222,0.195592,0.883138,0.953026,0.813250,0.732461,0.613168,0.851755,0.011215,0.027166,0.113889,0.041403
425,1788.245,0.513787,0.661289,0.599770,0.722807,23,0.00065928,0,0.111395,0.029483,0.193306,0.885671,0.954426,0.816917,0.739992,0.617454,0.862531,0.010982,0.026651,0.112637,0.039655
450,1980.588,0.504168,0.671874,0.604839,0.738909,23,0.00086246,0,0.110476,0.032218,0.188735,0.887031,0.950929,0.823133,0.751347,0.624326,0.878367,0.012085,0.026112,0.111568,0.037188
475,2009.919,0.502185,0.673830,0.609209,0.738451,23,0.00065734,0,0.112284,0.033548,0.191020,0.885490,0.949415,0.821565,0.754578,0.629646,0.879510,0.012363,0.026587,0.110209,0.037557
500,2203.042,0.496516,0.678723,0.611977,0.745470,23,0.00070064,0,0.111645,0.034065,0.189224,0.886510,0.948920,0.824101,0.759677,0.632823,0.886531,0.012531,0.026301,0.109466,0.036459
525,2232.482,0.494895,0.681212,0.614168,0.748256,23,0.00073294,0,0.112984,0.032661,0.193306,0.886530,0.951025,0.822035,0.763563,0.634227,0.892898,0.012423,0.026880,0.109065,0.036077
550,2423.274,0.494009,0.682582,0.616844,0.748321,23,0.00076677,0,0.113614,0.036208,0.191020,0.884946,0.946389,0.823503,0.765222,0.639178,0.891265,0.013494,0.026573,0.108444,0.036014
575,2452.489,0.493639,0.683976,0.617199,0.750753,23,0.00059667,0,0.114992,0.037168,0.192816,0.883978,0.945123,0.822832,0.767825,0.640139,0.895510,0.013717,0.026976,0.108268,0.035793
600,2646.504,0.494084,0.683287,0.617601,0.748973,23,0.00055563,0,0.115405,0.038646,0.192163,0.883039,0.943177,0.822901,0.767183,0.641469,0.892898,0.014128,0.026728,0.108300,0.035837
625,2676.346,0.492148,0.683620,0.615385,0.751855,23,0.00056215,1,0.111414,0.034582,0.188245,0.887222,0.948481,0.825962,0.765027,0.636666,0.893388,0.013133,0.026115,0.108970,0.035324
650,2869.571,0.500536,0.680271,0.612965,0.747577,23,0.00053300,0,0.117171,0.038425,0.195918,0.881661,0.943070,0.820252,0.765279,0.636518,0.894041,0.014317,0.027215,0.109794,0.036161
675,2899.358,0.491138,0.685568,0.614122,0.757015,23,0.00054562,1,0.110711,0.040198,0.181224,0.886143,0.940799,0.831486,0.766506,0.638809,0.894204,0.014397,0.025358,0.109160,0.034548
700,3096.784,0.490013,0.686545,0.610243,0.762846,23,0.00050152,1,0.106340,0.040272,0.172408,0.889365,0.940346,0.838384,0.764593,0.634819,0.894367,0.014628,0.023943,0.110567,0.033368
