step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,2.214,1.260056,0.190821,0.151570,0.230071,20,0.00000000,0,0.212629,0.093992,0.331265,0.559317,0.638225,0.480410,0.236051,0.165817,0.306286,0.034612,0.046126,0.253811,0.125838
25,43.017,1.004623,0.285657,0.223962,0.347352,20,0.00000000,0,0.110991,0.037981,0.184000,0.775228,0.859563,0.690894,0.321867,0.232469,0.411265,0.013871,0.025420,0.220435,0.094794
50,317.872,0.910614,0.357882,0.278690,0.437075,20,0.00007860,1,0.106024,0.035395,0.176653,0.817534,0.890739,0.744329,0.401420,0.288554,0.514286,0.012639,0.024257,0.204204,0.080868
75,359.999,0.840500,0.405304,0.313512,0.497095,20,0.00014117,1,0.091784,0.031405,0.152163,0.850783,0.911477,0.790090,0.448046,0.323358,0.572735,0.011250,0.020795,0.193566,0.070545
100,629.463,0.784956,0.449149,0.353038,0.545260,20,0.00030454,1,0.088910,0.032513,0.145306,0.864675,0.918109,0.811241,0.494503,0.364516,0.624490,0.011463,0.019950,0.182574,0.063300
125,671.114,0.719356,0.493254,0.404341,0.582166,20,0.00031183,1,0.085342,0.028153,0.142531,0.880052,0.936574,0.823529,0.540434,0.415725,0.665143,0.009814,0.019626,0.167042,0.057951
150,946.731,0.654226,0.546100,0.470470,0.621731,20,0.00001706,1,0.097351,0.027193,0.167510,0.879614,0.946728,0.812500,0.604570,0.483263,0.725878,0.010030,0.022818,0.148574,0.053073
175,988.217,0.610209,0.585075,0.523172,0.646978,20,0.00000000,0,0.108711,0.031626,0.185796,0.874841,0.944646,0.805037,0.653451,0.539718,0.767184,0.011713,0.025539,0.134225,0.050552
200,1258.762,0.587832,0.606163,0.534711,0.677614,20,0.00000000,0,0.110815,0.033548,0.188082,0.876695,0.942771,0.810620,0.678855,0.552649,0.805061,0.012327,0.025638,0.131110,0.045852
225,1300.490,0.559816,0.630931,0.562160,0.699702,20,0.00000000,0,0.118638,0.033030,0.204245,0.875540,0.946183,0.804897,0.711670,0.580729,0.842612,0.011984,0.028027,0.123297,0.043303
250,1570.960,0.537469,0.646906,0.583983,0.709830,20,0.00000000,0,0.121271,0.033400,0.209143,0.875813,0.947558,0.804069,0.730887,0.603488,0.858286,0.012180,0.028614,0.117097,0.041663
275,1612.219,0.521710,0.660458,0.592901,0.728015,20,0.00000000,0,0.118073,0.036799,0.199347,0.878823,0.943518,0.814127,0.743931,0.614720,0.873143,0.013175,0.027245,0.114777,0.038916
300,1877.495,0.516082,0.669693,0.600752,0.738635,20,0.00000000,0,0.122278,0.041454,0.203102,0.875914,0.937860,0.813967,0.757154,0.625656,0.888653,0.014892,0.028001,0.112896,0.037685
325,1918.421,0.509296,0.674149,0.602742,0.745556,20,0.00000000,0,0.117234,0.040346,0.194122,0.880268,0.939548,0.820988,0.758673,0.627060,0.890286,0.014763,0.026946,0.112498,0.036413
350,2184.658,0.501091,0.680207,0.608872,0.751543,20,0.00000000,0,0.115076,0.039459,0.190694,0.882823,0.941312,0.824334,0.763877,0.632897,0.894857,0.014663,0.026521,0.110815,0.035623
375,2226.390,0.497477,0.682804,0.610332,0.755275,20,0.00000000,0,0.117147,0.042784,0.191510,0.880771,0.937010,0.824533,0.768181,0.636444,0.899918,0.015267,0.026362,0.110190,0.034821
400,2494.415,0.497915,0.685135,0.611087,0.759183,20,0.00000000,0,0.116097,0.041011,0.191184,0.882461,0.939437,0.825484,0.770238,0.636149,0.904327,0.015343,0.026698,0.110489,0.034462
