step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.420,1.255568,0.156907,0.189697,0.124116,20,0.00019250,0,0.162589,0.112745,0.212434,0.533243,0.651838,0.414649,0.180784,0.211084,0.150483,0.027994,0.048116,0.182323,0.198100
25,27.603,0.981256,0.272606,0.298704,0.246508,20,0.00000069,1,0.087846,0.057323,0.118368,0.772998,0.846381,0.699615,0.295756,0.315826,0.275686,0.014034,0.026551,0.149813,0.156980
50,191.489,0.756308,0.431001,0.438051,0.423952,23,0.00042617,0,0.070961,0.044818,0.097103,0.869049,0.910810,0.827287,0.461401,0.457683,0.465119,0.010747,0.021644,0.118319,0.117488
75,221.913,0.566478,0.573529,0.552395,0.594663,23,0.00000923,1,0.060887,0.044418,0.077357,0.910389,0.928514,0.892264,0.608797,0.576931,0.640664,0.010672,0.017151,0.093930,0.080982
100,409.881,0.425366,0.683264,0.645063,0.721466,25,0.00013569,0,0.054755,0.049620,0.059889,0.929543,0.931718,0.927368,0.720872,0.677071,0.764674,0.011979,0.013184,0.074705,0.054471
125,443.026,0.341297,0.745399,0.701063,0.789735,25,0.00016292,1,0.046808,0.045118,0.048497,0.943332,0.941994,0.944671,0.780364,0.732693,0.828035,0.010983,0.010518,0.062761,0.040216
150,647.140,0.287180,0.786412,0.752033,0.820791,27,0.00008597,1,0.042605,0.045718,0.039492,0.950410,0.945059,0.955761,0.819810,0.786415,0.853206,0.010975,0.008642,0.051770,0.034128
175,682.886,0.248109,0.816919,0.787838,0.846001,27,0.00019117,1,0.040627,0.046319,0.034935,0.954215,0.946800,0.961630,0.849943,0.824330,0.875556,0.011184,0.007471,0.044295,0.029037
200,908.806,0.210448,0.849140,0.828259,0.870022,29,0.00005017,1,0.041985,0.051421,0.032549,0.954640,0.944246,0.965035,0.884594,0.870848,0.898340,0.012470,0.007118,0.035764,0.024580
225,947.893,0.178560,0.876815,0.856100,0.897530,29,0.00038950,1,0.043827,0.055322,0.032332,0.954291,0.942300,0.966282,0.915005,0.903461,0.926549,0.013558,0.007070,0.030016,0.019099
250,1186.737,0.161876,0.889299,0.869154,0.909445,30,0.00080710,1,0.044097,0.056623,0.031572,0.954684,0.941925,0.967442,0.928263,0.918367,0.938158,0.013702,0.006605,0.027158,0.016459
