step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.635,0.721905,0.285406,0.264819,0.305994,20,0.00017358,0,0.193571,0.180171,0.206971,0.637590,0.634321,0.640860,0.340929,0.312531,0.369326,0.024248,0.030491,0.104397,0.108828
25,27.492,0.468361,0.470978,0.457935,0.484020,20,0.00014587,1,0.087992,0.070793,0.105190,0.854757,0.873842,0.835673,0.512644,0.490354,0.534934,0.009351,0.015447,0.069589,0.074098
50,189.275,0.299844,0.667713,0.675803,0.659623,23,0.00007477,1,0.078627,0.064922,0.092332,0.901833,0.917255,0.886411,0.720102,0.719678,0.720527,0.008427,0.013488,0.041023,0.047950
75,218.109,0.217213,0.764535,0.768624,0.760446,23,0.00023150,0,0.072740,0.062909,0.082572,0.918673,0.928503,0.908842,0.820107,0.816977,0.823238,0.008041,0.012168,0.028797,0.033449
100,402.046,0.167654,0.820462,0.824547,0.816376,25,0.00021010,1,0.066532,0.056534,0.076530,0.929478,0.939060,0.919896,0.875008,0.871163,0.878854,0.007198,0.011048,0.021634,0.025079
125,434.292,0.144332,0.846575,0.869027,0.824124,25,0.00050470,1,0.058176,0.042610,0.073741,0.939080,0.955084,0.923077,0.895476,0.906056,0.884895,0.005474,0.010625,0.015995,0.023948
150,619.182,0.136640,0.848826,0.868541,0.829112,22,0.00016886,2,0.048334,0.032377,0.064291,0.948620,0.965150,0.932090,0.889539,0.896662,0.882417,0.004071,0.009226,0.015838,0.023021
175,647.763,0.123398,0.862528,0.886379,0.838677,22,0.00070895,2,0.041455,0.024660,0.058249,0.955989,0.973566,0.938411,0.897883,0.908237,0.887529,0.002922,0.008463,0.013517,0.021758
200,812.525,0.119575,0.864995,0.889054,0.840936,19,0.00107461,1,0.038629,0.017614,0.059644,0.959084,0.980902,0.937266,0.897903,0.904714,0.891092,0.002096,0.008406,0.013170,0.021186
225,837.408,0.114755,0.870622,0.898577,0.842667,19,0.00061547,2,0.036706,0.013924,0.059489,0.961239,0.984947,0.937531,0.901943,0.911089,0.892796,0.001680,0.008431,0.012041,0.021012
