step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.382,1.255568,0.156907,0.189697,0.124116,20,0.00019250,0,0.162589,0.112745,0.212434,0.533243,0.651838,0.414649,0.180784,0.211084,0.150483,0.027994,0.048116,0.182323,0.198100,0.000000
25,25.613,0.981256,0.272606,0.298704,0.246508,20,0.00000069,1,0.087846,0.057323,0.118368,0.772998,0.846381,0.699615,0.295756,0.315826,0.275686,0.014034,0.026551,0.149813,0.156980,0.000000
50,178.205,0.755948,0.431298,0.438051,0.424545,23,0.00039799,0,0.070961,0.044818,0.097103,0.869148,0.910810,0.827487,0.461726,0.457683,0.465770,0.010747,0.021644,0.118319,0.117375,0.000000
75,206.447,0.567053,0.573186,0.551992,0.594380,23,0.00000674,0,0.060979,0.044818,0.077140,0.910181,0.927893,0.892468,0.608480,0.576731,0.640230,0.010742,0.017137,0.094019,0.081058,0.000000
100,374.868,0.421961,0.684483,0.648561,0.720405,24,0.00011874,0,0.053709,0.046118,0.061300,0.931064,0.936352,0.925775,0.721518,0.678471,0.764565,0.011125,0.013399,0.073851,0.054513,0.000000
125,404.506,0.343007,0.746694,0.698102,0.795286,24,0.00019183,1,0.048978,0.043818,0.054139,0.941309,0.943279,0.939339,0.783517,0.728691,0.838342,0.010654,0.011967,0.063242,0.039738,0.000000
150,585.661,0.286946,0.789700,0.742909,0.836490,25,0.00013548,1,0.044970,0.047519,0.042422,0.948030,0.942452,0.953607,0.825093,0.778211,0.871976,0.011630,0.009403,0.053927,0.031174,0.000000
175,616.944,0.249880,0.816285,0.781268,0.851302,25,0.00011919,1,0.041079,0.044618,0.037539,0.953698,0.948164,0.959232,0.849693,0.816126,0.883259,0.010839,0.008153,0.045602,0.028167,0.000000
200,800.493,0.225070,0.839243,0.813775,0.864712,25,0.00021073,1,0.045325,0.054522,0.036129,0.950750,0.940261,0.961239,0.877048,0.858143,0.895953,0.013321,0.007760,0.039102,0.025332,0.000000
225,831.545,0.198873,0.860653,0.853811,0.867495,25,0.00005724,2,0.047140,0.055222,0.039058,0.950358,0.942247,0.958468,0.901169,0.900960,0.901378,0.013436,0.008293,0.030615,0.024798,0.000000
250,1023.883,0.185123,0.870527,0.871017,0.870038,24,0.00014740,2,0.045118,0.051721,0.038516,0.952837,0.946558,0.959116,0.909807,0.916066,0.903548,0.012552,0.008346,0.026720,0.024505,0.000000
275,1053.677,0.172706,0.881476,0.883590,0.879362,24,0.00015922,3,0.046233,0.051020,0.041445,0.952313,0.947922,0.956704,0.922240,0.928671,0.915808,0.012362,0.009050,0.024026,0.022800,0.000000
300,1243.328,0.164209,0.890415,0.891319,0.889511,26,0.00027892,2,0.048953,0.052121,0.045785,0.950219,0.947347,0.953090,0.934006,0.937775,0.930238,0.012658,0.010128,0.022337,0.020941,0.000000
325,1275.998,0.146975,0.902534,0.900361,0.904707,26,0.00052581,1,0.045857,0.052221,0.039492,0.953729,0.947758,0.959699,0.943908,0.947379,0.940436,0.012642,0.008588,0.020329,0.017925,0.000000
350,1464.342,0.139164,0.908972,0.900989,0.916954,26,0.00052640,2,0.044572,0.051821,0.037322,0.955198,0.948153,0.962243,0.949428,0.947679,0.951177,0.012609,0.008211,0.020366,0.015489,0.000000
375,1496.960,0.128386,0.915769,0.907920,0.923618,26,0.00049474,2,0.041243,0.048419,0.034067,0.958577,0.951595,0.965559,0.953482,0.951881,0.955083,0.011730,0.007608,0.018787,0.014224,0.000000
400,1697.072,0.127712,0.917368,0.911111,0.923624,25,0.00052526,3,0.042958,0.048920,0.036997,0.957057,0.951305,0.962809,0.956739,0.955682,0.957795,0.011832,0.008138,0.018186,0.014278,0.000000
425,1728.715,0.122796,0.920056,0.913876,0.926236,25,0.00038102,3,0.040448,0.045418,0.035478,0.959473,0.954618,0.964329,0.957240,0.955382,0.959097,0.011086,0.007836,0.017640,0.013743,0.000000
450,1930.071,0.119521,0.922155,0.919142,0.925168,25,0.00038969,6,0.038980,0.044218,0.033742,0.960940,0.955959,0.965922,0.958084,0.959784,0.956385,0.010820,0.007545,0.016505,0.014062,0.000000
