step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,2.188,1.489770,0.161199,0.164435,0.157964,20,0.00000000,0,0.076986,0.090495,0.063476,0.695182,0.664598,0.725765,0.173653,0.179315,0.167990,0.024774,0.027771,0.196353,0.273964,0.010000
25,43.842,1.182863,0.290809,0.296457,0.285161,20,0.00000000,0,0.037297,0.050037,0.024557,0.891992,0.861519,0.922466,0.301727,0.311291,0.292163,0.013400,0.010479,0.158564,0.223785,0.010000
50,325.362,0.922396,0.440639,0.432001,0.449277,23,0.00000849,0,0.029624,0.038132,0.021115,0.938818,0.921636,0.956000,0.453619,0.448475,0.458764,0.010215,0.009006,0.126169,0.171683,0.010000
75,374.810,0.719833,0.557089,0.530486,0.583692,23,0.00002959,0,0.024857,0.034226,0.015488,0.957907,0.941280,0.974535,0.570687,0.548642,0.592732,0.009123,0.006293,0.103541,0.128688,0.010000
100,701.759,0.610546,0.624912,0.600884,0.648940,26,0.00054711,1,0.022760,0.031157,0.014363,0.965384,0.952122,0.978646,0.638933,0.619606,0.658261,0.008565,0.006101,0.087616,0.108439,0.010000
125,759.033,0.524819,0.678492,0.660573,0.696411,26,0.00044374,1,0.022624,0.032738,0.012510,0.968388,0.954208,0.982568,0.693661,0.682199,0.705123,0.008967,0.005451,0.074131,0.093496,0.010000
150,1128.128,0.450191,0.724913,0.706732,0.743093,26,0.00054438,3,0.023537,0.036086,0.010988,0.969309,0.953032,0.985585,0.741747,0.732236,0.751258,0.009702,0.004589,0.063912,0.078879,0.010000
175,1185.410,0.399972,0.757729,0.729017,0.786440,26,0.00003748,1,0.028310,0.047154,0.009465,0.965021,0.941824,0.988218,0.778638,0.763393,0.793884,0.012832,0.003976,0.059554,0.065358,0.010000
200,1554.729,0.364287,0.780085,0.736188,0.823981,26,0.00001860,1,0.032032,0.055525,0.008539,0.961570,0.933311,0.989830,0.804041,0.777065,0.831017,0.015349,0.003438,0.058509,0.053521,0.010000
225,1612.135,0.323495,0.804771,0.741763,0.867778,26,0.00012739,1,0.034796,0.061384,0.008208,0.959189,0.927671,0.990706,0.831098,0.787295,0.874901,0.016886,0.003421,0.057563,0.040085,0.010000
250,1958.312,0.300665,0.824228,0.731987,0.916470,24,0.00001064,2,0.047405,0.086868,0.007943,0.946517,0.901560,0.991475,0.859661,0.795573,0.923749,0.024053,0.003599,0.061191,0.025202,0.010000
275,2011.650,0.280121,0.840611,0.728942,0.952281,24,0.00005929,1,0.056286,0.104167,0.008406,0.938366,0.885410,0.991322,0.882580,0.804874,0.960286,0.028880,0.003617,0.063027,0.014084,0.010000
