step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.370,1.012011,0.150333,0.126963,0.173704,20,0.00016185,0,0.466056,0.203275,0.728837,0.360439,0.429077,0.291802,0.226538,0.152771,0.300305,0.042887,0.056541,0.185008,0.102577,0.000000
25,26.597,0.779154,0.204872,0.156126,0.253619,20,0.00001391,1,0.229354,0.097343,0.361366,0.563145,0.637681,0.488610,0.258296,0.171324,0.345268,0.020354,0.027551,0.163319,0.072443,0.000000
50,184.890,0.696101,0.255314,0.201001,0.309628,23,0.00011704,1,0.172043,0.075699,0.268387,0.667361,0.740683,0.594039,0.304472,0.216216,0.392728,0.015702,0.020397,0.151549,0.062408,0.000000
75,213.453,0.606538,0.344058,0.277563,0.410553,23,0.00001488,1,0.145690,0.065735,0.225645,0.754293,0.818182,0.690404,0.399500,0.295809,0.503192,0.013482,0.017089,0.135660,0.051230,0.000000
100,393.956,0.510605,0.443625,0.389529,0.497721,25,0.00008895,0,0.136079,0.054283,0.217874,0.809426,0.883251,0.735601,0.508417,0.410673,0.606162,0.011207,0.016536,0.113206,0.043103,0.000000
125,425.221,0.446214,0.503381,0.472195,0.534568,25,0.00006867,3,0.118314,0.052336,0.184291,0.839623,0.904712,0.774533,0.564996,0.496908,0.633084,0.010740,0.013884,0.097664,0.038746,0.000000
150,595.641,0.404553,0.538414,0.523506,0.553322,24,0.00011891,0,0.108173,0.042602,0.173744,0.858270,0.927598,0.788941,0.597634,0.545809,0.649459,0.008755,0.013021,0.087253,0.036683,0.000000
175,626.192,0.366651,0.571698,0.574697,0.568699,24,0.00008960,3,0.094188,0.040999,0.147377,0.875809,0.935865,0.815753,0.625386,0.598259,0.652512,0.008441,0.011162,0.077693,0.034701,0.000000
200,806.942,0.332044,0.606278,0.627173,0.585384,23,0.00021011,2,0.092475,0.034242,0.150708,0.883515,0.949857,0.817172,0.661127,0.648649,0.673605,0.007213,0.011447,0.067757,0.033546,0.000000
225,837.146,0.304829,0.633216,0.668514,0.597918,23,0.00007704,2,0.089935,0.033326,0.146545,0.888930,0.953978,0.823883,0.688166,0.690792,0.685540,0.007073,0.011057,0.060202,0.032325,0.000000
250,1028.855,0.283988,0.652017,0.698778,0.605257,25,0.00013665,2,0.090838,0.030692,0.150985,0.890500,0.959128,0.821873,0.708433,0.720224,0.696642,0.006240,0.011224,0.054301,0.031598,0.000000
275,1062.330,0.269675,0.667671,0.726939,0.608403,25,0.00009389,4,0.091962,0.027943,0.155981,0.891214,0.963953,0.818475,0.725277,0.747251,0.703303,0.005863,0.011846,0.049324,0.031691,0.000000
300,1273.593,0.261026,0.676030,0.739164,0.612895,25,0.00005549,4,0.092876,0.027829,0.157924,0.891322,0.964665,0.817978,0.734710,0.759734,0.709686,0.005521,0.012085,0.046780,0.031413,0.000000
