step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.341,1.095125,0.222408,0.192544,0.252272,20,0.00000000,0,0.178780,0.179451,0.178108,0.591939,0.558597,0.625282,0.262150,0.227096,0.297204,0.040569,0.035884,0.177669,0.149146,0.000000
25,24.552,0.797285,0.364217,0.354434,0.374001,20,0.00000003,0,0.090185,0.093993,0.086377,0.814785,0.804889,0.824680,0.397027,0.387748,0.406306,0.020869,0.017323,0.131327,0.115338,0.000000
50,176.541,0.626574,0.490699,0.510178,0.471219,23,0.00006061,1,0.073621,0.082757,0.064485,0.877896,0.869706,0.886087,0.527002,0.552398,0.501606,0.018183,0.012747,0.098284,0.095094,0.000000
75,203.946,0.530465,0.565963,0.594744,0.537182,23,0.00009606,0,0.064096,0.077031,0.051160,0.904789,0.892653,0.916924,0.602611,0.640557,0.564664,0.017164,0.010165,0.080900,0.082236,0.000000
100,383.209,0.473428,0.613413,0.621519,0.605308,26,0.00089572,3,0.061466,0.078436,0.044497,0.914743,0.895238,0.934248,0.651255,0.670268,0.632243,0.017165,0.008713,0.075168,0.069493,0.000000
125,414.988,0.432199,0.651457,0.635791,0.667123,26,0.00189212,1,0.061503,0.080056,0.042951,0.918724,0.895590,0.941859,0.691233,0.686690,0.695776,0.017635,0.008267,0.072560,0.058114,0.000000
150,611.629,0.393649,0.689407,0.642068,0.736746,28,0.00139573,2,0.063047,0.084810,0.041285,0.920194,0.891455,0.948933,0.731842,0.696521,0.767162,0.018724,0.008015,0.071634,0.045887,0.000000
175,645.331,0.351583,0.724956,0.672606,0.777305,28,0.00066328,3,0.060105,0.085350,0.034860,0.926893,0.895323,0.958463,0.767208,0.730013,0.804402,0.019053,0.006702,0.065628,0.038535,0.000000
200,860.269,0.332426,0.740790,0.696765,0.784814,31,0.00021924,4,0.062074,0.085242,0.038905,0.926574,0.898690,0.954457,0.785753,0.756158,0.815348,0.018756,0.007365,0.060537,0.037161,0.000000
225,897.728,0.301893,0.764673,0.724110,0.805235,31,0.00051900,2,0.057856,0.083946,0.031767,0.933277,0.903382,0.963172,0.807856,0.784896,0.830815,0.018461,0.006084,0.054713,0.033525,0.000000
250,1135.596,0.268627,0.795447,0.750472,0.840422,33,0.00051661,2,0.057135,0.087619,0.026651,0.936549,0.903060,0.970037,0.839524,0.816227,0.862820,0.019445,0.005227,0.049800,0.027286,0.000000
275,1175.870,0.236637,0.819596,0.780004,0.859188,33,0.00026158,3,0.053103,0.083838,0.022368,0.942473,0.909778,0.975168,0.861902,0.845398,0.878406,0.018678,0.004260,0.043532,0.023817,0.000000
300,1437.036,0.202719,0.846937,0.803289,0.890585,36,0.00037235,2,0.049315,0.077571,0.021059,0.947560,0.917755,0.977366,0.887470,0.865601,0.909340,0.017053,0.004100,0.038478,0.018432,0.000000
325,1481.028,0.179678,0.864986,0.818109,0.911864,36,0.00058944,2,0.045278,0.072710,0.017847,0.952311,0.923488,0.981134,0.902865,0.877593,0.928138,0.015975,0.003453,0.035385,0.014656,0.000000
350,1766.431,0.167235,0.879674,0.839175,0.920172,39,0.00045201,4,0.049904,0.078868,0.020940,0.949032,0.919868,0.978196,0.922400,0.905359,0.939441,0.017489,0.004198,0.031431,0.013365,0.000000
375,1813.946,0.152015,0.893458,0.853403,0.933513,39,0.00045608,3,0.049670,0.081137,0.018203,0.950189,0.919169,0.981209,0.936575,0.922645,0.950506,0.018200,0.003566,0.028626,0.011056,0.000000
400,2119.021,0.144452,0.901873,0.862363,0.941383,38,0.00040954,2,0.052419,0.087943,0.016895,0.948478,0.914298,0.982658,0.947745,0.938202,0.957287,0.019552,0.003397,0.026901,0.009680,0.000000
425,2165.445,0.144757,0.903051,0.872769,0.933333,38,0.00041061,2,0.055138,0.089455,0.020821,0.946312,0.914010,0.978614,0.951804,0.950843,0.952766,0.020259,0.003933,0.025197,0.010863,0.000000
