step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.422,1.095125,0.222408,0.192544,0.252272,20,0.00000000,0,0.178780,0.179451,0.178108,0.591939,0.558597,0.625282,0.262150,0.227096,0.297204,0.040569,0.035884,0.177669,0.149146,0.010000
25,27.086,0.797285,0.364217,0.354434,0.374001,20,0.00000003,0,0.090185,0.093993,0.086377,0.814785,0.804889,0.824680,0.397027,0.387748,0.406306,0.020869,0.017323,0.131327,0.115338,0.010000
50,194.620,0.626771,0.490555,0.509778,0.471331,23,0.00006175,1,0.073621,0.082757,0.064485,0.877864,0.869617,0.886111,0.526846,0.551966,0.501725,0.018183,0.012747,0.098370,0.095074,0.010000
75,224.720,0.530292,0.565756,0.592047,0.539465,23,0.00009536,0,0.063895,0.078652,0.049137,0.905230,0.890345,0.920116,0.602293,0.638613,0.565973,0.017430,0.009787,0.081489,0.081645,0.010000
100,414.594,0.468837,0.618791,0.616856,0.620725,25,0.00065190,3,0.062350,0.084486,0.040214,0.914620,0.887869,0.941370,0.657329,0.668971,0.645687,0.018478,0.007840,0.076544,0.066423,0.010000
125,448.054,0.413773,0.664732,0.638425,0.691039,25,0.00205300,2,0.056500,0.081353,0.031648,0.926038,0.894582,0.957494,0.701636,0.690363,0.712909,0.017783,0.006167,0.071963,0.053507,0.010000
150,662.412,0.369414,0.706336,0.654111,0.758561,25,0.00213672,5,0.056299,0.084162,0.028435,0.929372,0.893913,0.964832,0.744646,0.709162,0.780131,0.018483,0.005558,0.068990,0.041629,0.010000
175,695.703,0.332558,0.738325,0.679632,0.797018,25,0.00144374,4,0.054878,0.080488,0.029268,0.933385,0.901220,0.965551,0.777340,0.734334,0.820345,0.017785,0.005740,0.063807,0.034946,0.010000
200,908.621,0.307075,0.761920,0.701300,0.822540,25,0.00135930,5,0.056430,0.080380,0.032481,0.933625,0.904087,0.963163,0.803464,0.757671,0.849256,0.017800,0.006397,0.059450,0.030493,0.010000
225,941.573,0.284785,0.780066,0.709481,0.850651,25,0.00138681,3,0.053109,0.082541,0.023676,0.938245,0.902959,0.973530,0.819417,0.768042,0.870791,0.018221,0.004695,0.057713,0.025434,0.010000
250,1154.313,0.261522,0.800498,0.719960,0.881036,25,0.00142822,1,0.049974,0.079840,0.020107,0.942493,0.906868,0.978117,0.838096,0.777442,0.898751,0.017866,0.003958,0.055813,0.020116,0.010000
275,1187.543,0.242561,0.812176,0.727776,0.896576,25,0.00139059,1,0.045613,0.073142,0.018084,0.947471,0.914369,0.980573,0.846898,0.781007,0.912790,0.015847,0.003474,0.053525,0.017344,0.010000
300,1402.004,0.237020,0.817596,0.731950,0.903241,25,0.00103128,2,0.044910,0.072926,0.016895,0.948484,0.915030,0.981938,0.851915,0.785328,0.918501,0.016082,0.003219,0.052929,0.016187,0.010000
325,1435.449,0.233946,0.820584,0.736279,0.904890,25,0.00100825,2,0.045193,0.070873,0.019512,0.948407,0.917526,0.979288,0.855504,0.788462,0.922546,0.015657,0.003835,0.052016,0.015985,0.010000
350,1646.925,0.234206,0.820918,0.732755,0.909080,25,0.00072682,3,0.044695,0.071305,0.018084,0.948782,0.916730,0.980835,0.855262,0.785004,0.925521,0.015894,0.003569,0.052843,0.015324,0.010000
375,1679.935,0.231202,0.823876,0.738258,0.909493,25,0.00043663,2,0.046685,0.071953,0.021416,0.947061,0.916656,0.977466,0.860175,0.791379,0.928971,0.016141,0.004130,0.051704,0.015126,0.010000
400,1895.882,0.225730,0.826735,0.744146,0.909325,25,0.00027381,2,0.044322,0.070441,0.018203,0.949736,0.918754,0.980718,0.861221,0.796564,0.925877,0.015768,0.003544,0.050423,0.015101,0.010000
425,1929.071,0.221072,0.833163,0.752206,0.914119,25,0.00025703,2,0.048493,0.077355,0.019631,0.946118,0.912864,0.979372,0.871229,0.810393,0.932064,0.017194,0.003747,0.048940,0.014220,0.010000
450,2144.154,0.215684,0.836114,0.764114,0.908114,25,0.00028396,2,0.046305,0.073574,0.019036,0.948769,0.917694,0.979844,0.872867,0.820333,0.925402,0.016331,0.003648,0.046457,0.015383,0.010000
475,2177.293,0.206889,0.841266,0.770926,0.911606,25,0.00021546,2,0.041792,0.068712,0.014872,0.953600,0.923021,0.984179,0.874531,0.823898,0.925164,0.015502,0.002802,0.045155,0.014606,0.010000
500,2393.214,0.202704,0.843165,0.773035,0.913294,25,0.00021218,2,0.039737,0.068172,0.011303,0.955824,0.923737,0.987910,0.874676,0.825735,0.923617,0.015182,0.002197,0.044375,0.014454,0.010000
525,2427.023,0.205303,0.844741,0.772325,0.917157,25,0.00024514,2,0.042698,0.074330,0.011065,0.952995,0.917782,0.988208,0.878519,0.829732,0.927305,0.016719,0.002246,0.045037,0.013858,0.010000
550,2635.139,0.203561,0.845335,0.773221,0.917450,24,0.00006358,2,0.043984,0.074762,0.013206,0.951727,0.917462,0.985992,0.880297,0.831029,0.929566,0.016717,0.002493,0.044652,0.013582,0.010000
575,2667.668,0.207672,0.843923,0.773038,0.914809,24,0.00007774,2,0.047894,0.076275,0.019512,0.947765,0.916022,0.979508,0.882330,0.832001,0.932659,0.017046,0.003617,0.044868,0.014006,0.010000
600,2870.817,0.207671,0.845341,0.774465,0.916218,24,0.00004039,2,0.048254,0.079732,0.016776,0.947631,0.912951,0.982311,0.883901,0.836214,0.931588,0.017966,0.003194,0.044788,0.013846,0.010000
625,2902.773,0.206412,0.846559,0.776043,0.917075,24,0.00011643,4,0.049152,0.079624,0.018679,0.946805,0.913212,0.980397,0.886020,0.837835,0.934206,0.017747,0.003634,0.044322,0.013765,0.010000
650,3105.412,0.208493,0.846246,0.775855,0.916638,24,0.00005843,3,0.050314,0.080164,0.020464,0.945643,0.912696,0.978591,0.886723,0.838051,0.935396,0.018089,0.004017,0.044581,0.013850,0.010000
675,3137.434,0.203813,0.848602,0.781237,0.915967,24,0.00015452,2,0.048224,0.075627,0.020821,0.947825,0.917433,0.978218,0.887679,0.840320,0.935039,0.017174,0.003931,0.043451,0.013898,0.010000
700,3339.134,0.206670,0.846290,0.777377,0.915203,24,0.00004994,2,0.050586,0.078328,0.022844,0.945362,0.914545,0.976179,0.887188,0.838267,0.936109,0.017503,0.004302,0.043951,0.014025,0.010000
725,3370.909,0.200703,0.851339,0.783385,0.919293,24,0.00005677,2,0.049948,0.076815,0.023081,0.946293,0.916539,0.976046,0.892036,0.843561,0.940512,0.017046,0.004440,0.042768,0.013377,0.010000
750,3575.038,0.197699,0.853390,0.781539,0.925241,24,0.00003897,1,0.049473,0.075627,0.023319,0.946713,0.917463,0.975963,0.893731,0.840644,0.946817,0.016816,0.004463,0.043050,0.012200,0.010000
775,3607.374,0.194085,0.855858,0.782286,0.929430,24,0.00012511,1,0.047915,0.075843,0.019988,0.948342,0.917334,0.979351,0.894812,0.841616,0.948007,0.016862,0.003854,0.042844,0.011464,0.010000
800,3810.300,0.198468,0.851474,0.780694,0.922253,24,0.00005670,1,0.048343,0.074438,0.022249,0.947718,0.918490,0.976945,0.890790,0.838807,0.942772,0.016497,0.004143,0.043124,0.012699,0.010000
825,3842.359,0.179961,0.864277,0.788968,0.939586,24,0.00018847,2,0.041798,0.067416,0.016181,0.954609,0.925882,0.983335,0.898473,0.842156,0.954789,0.014935,0.003012,0.041264,0.009705,0.010000
850,4045.131,0.183581,0.861130,0.789292,0.932968,24,0.00010239,3,0.043027,0.065471,0.020583,0.953306,0.927771,0.978841,0.896570,0.840968,0.952171,0.014600,0.003863,0.041133,0.010805,0.010000
875,4076.803,0.176952,0.865779,0.791113,0.940445,24,0.00024589,4,0.039901,0.064931,0.014872,0.956550,0.928444,0.984657,0.898456,0.842481,0.954432,0.014439,0.002729,0.040755,0.009588,0.010000
900,4279.363,0.180498,0.864349,0.788761,0.939937,24,0.00025740,3,0.042555,0.068928,0.016181,0.953883,0.924425,0.983341,0.899137,0.843129,0.955146,0.015247,0.003007,0.041347,0.009632,0.010000
925,4311.160,0.177820,0.865490,0.791405,0.939575,24,0.00032884,3,0.039971,0.065903,0.014039,0.956507,0.927536,0.985479,0.898164,0.843561,0.952766,0.014573,0.002720,0.040653,0.009897,0.010000
950,4513.375,0.179944,0.864022,0.789681,0.938363,24,0.00026679,3,0.042604,0.067956,0.017252,0.953839,0.925430,0.982248,0.898948,0.843345,0.954551,0.014840,0.003241,0.040935,0.009944,0.010000
975,4544.952,0.171971,0.869642,0.792380,0.946904,24,0.00035034,3,0.038408,0.066227,0.010589,0.958182,0.927309,0.989056,0.900894,0.844857,0.956930,0.014592,0.002007,0.040359,0.008583,0.010000
1000,4747.830,0.176732,0.868041,0.789675,0.946408,24,0.00024750,2,0.040817,0.071521,0.010113,0.955797,0.922063,0.989532,0.901066,0.846154,0.955979,0.015878,0.001888,0.041306,0.008664,0.010000
1025,4779.905,0.173670,0.866485,0.792098,0.940871,24,0.00020739,3,0.035916,0.063742,0.008090,0.960606,0.929670,0.991542,0.895536,0.842589,0.948483,0.014223,0.001349,0.040634,0.009421,0.010000
1050,4983.899,0.166297,0.869200,0.797816,0.940585,24,0.00019945,2,0.031896,0.058557,0.005235,0.964827,0.935160,0.994494,0.895021,0.844533,0.945509,0.012548,0.000922,0.038923,0.009728,0.010000
1075,5015.577,0.162484,0.871100,0.801308,0.940891,24,0.00029928,3,0.031734,0.057044,0.006425,0.965082,0.936902,0.993261,0.896977,0.847018,0.946936,0.012220,0.001037,0.038094,0.009369,0.010000
1100,5215.116,0.164349,0.870378,0.801513,0.939243,23,0.00032318,3,0.031524,0.056504,0.006544,0.965287,0.937448,0.993126,0.896096,0.846802,0.945390,0.012400,0.001032,0.038360,0.009631,0.010000
1125,5245.547,0.162278,0.871785,0.805715,0.937855,23,0.00039222,2,0.030000,0.054883,0.005116,0.966973,0.939343,0.994602,0.896294,0.849935,0.942653,0.012085,0.000835,0.037599,0.009942,0.010000
1150,5444.627,0.154646,0.878089,0.815552,0.940627,23,0.00047426,2,0.029552,0.053155,0.005949,0.967736,0.941720,0.993752,0.902562,0.858902,0.946222,0.011707,0.001054,0.035600,0.009457,0.010000
1175,5475.405,0.143628,0.886037,0.829487,0.942587,23,0.00060802,2,0.027878,0.048617,0.007139,0.969801,0.947065,0.992536,0.909565,0.869814,0.949316,0.010711,0.001180,0.032670,0.009118,0.010000
1200,5670.999,0.136513,0.892417,0.845584,0.939251,23,0.00072010,1,0.028072,0.049481,0.006663,0.970094,0.947186,0.993003,0.916466,0.887424,0.945509,0.010842,0.001330,0.029399,0.009851,0.010000
