patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
29,-1,0.146236,0.800396,0.910316,0.690476,0.914434,0.864276,0.162780
28,16,0.117647,0.829882,0.911918,0.747847,0.912959,0.900161,0.109783
27,26,0.113571,0.836326,0.917367,0.755284,0.919944,0.900891,0.109243
26,16,0.120351,0.827353,0.909289,0.745417,0.912550,0.897836,0.112894
25,22,0.122360,0.826022,0.903822,0.748223,0.910868,0.898507,0.112029
24,21,0.124641,0.821719,0.902850,0.740587,0.904689,0.898812,0.110754
23,9,0.128626,0.811623,0.904114,0.719131,0.891373,0.897213,0.109233
22,22,0.134803,0.805090,0.893944,0.716236,0.885552,0.895871,0.110721
21,5,0.142765,0.785873,0.891350,0.680397,0.856915,0.897345,0.102536
20,2,0.150516,0.779684,0.877454,0.681914,0.850928,0.897151,0.102576
19,17,0.159989,0.768435,0.861097,0.675773,0.839136,0.896387,0.103064
18,7,0.170099,0.743705,0.859271,0.628139,0.806331,0.894497,0.097822
17,9,0.177319,0.739413,0.842795,0.636032,0.801318,0.896792,0.095362
16,0,0.189092,0.727471,0.826943,0.627999,0.788480,0.895952,0.095565
15,13,0.198462,0.720833,0.808989,0.632678,0.784134,0.893970,0.098454
14,0,0.209456,0.704585,0.792032,0.617138,0.763798,0.895215,0.094680
13,5,0.226595,0.682218,0.773457,0.590978,0.738091,0.892716,0.093097
12,4,0.250421,0.637319,0.755006,0.519632,0.684682,0.885241,0.089121
11,10,0.269023,0.616867,0.731142,0.502592,0.664278,0.879444,0.092370
10,10,0.294205,0.581009,0.700031,0.461987,0.623154,0.874615,0.089111
9,8,0.326942,0.536204,0.655972,0.416435,0.572014,0.869867,0.083996
8,5,0.361767,0.505210,0.599145,0.411275,0.541639,0.865075,0.086557
7,5,0.393286,0.480125,0.542214,0.418035,0.515633,0.868641,0.083518
6,6,0.432551,0.417816,0.503128,0.332504,0.445582,0.848430,0.081156
5,3,0.470275,0.383302,0.421821,0.344783,0.405386,0.873123,0.063064
4,4,0.513250,0.308599,0.382451,0.234746,0.323510,0.837851,0.061569
3,0,0.563945,0.256344,0.293632,0.219057,0.267721,0.847294,0.050861
2,1,0.611474,0.192004,0.216160,0.167849,0.197940,0.855886,0.034393
1,0,0.663668,0.111079,0.128049,0.094109,0.112507,0.880948,0.015000
