patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
21,-1,0.024433,0.972826,0.971211,0.974441,0.985551,0.986901,0.013081
20,2,0.028445,0.966105,0.967534,0.964677,0.980717,0.984817,0.015128
19,19,0.028999,0.966451,0.970988,0.961913,0.980355,0.985526,0.014398
18,14,0.034293,0.959709,0.967044,0.952374,0.972152,0.986813,0.013005
17,13,0.034710,0.959249,0.968375,0.950122,0.971971,0.986494,0.013315
16,15,0.036451,0.957181,0.969858,0.944503,0.971003,0.985260,0.014535
15,11,0.038426,0.954771,0.964120,0.945421,0.969867,0.983913,0.015871
14,3,0.040008,0.950692,0.957355,0.944029,0.961523,0.988267,0.011424
13,11,0.047764,0.941228,0.957100,0.925355,0.952363,0.987643,0.011882
12,10,0.053212,0.935021,0.958278,0.911765,0.946999,0.986490,0.012901
11,9,0.060737,0.925959,0.940629,0.911290,0.938321,0.985864,0.013424
10,10,0.066471,0.919036,0.943184,0.894889,0.933298,0.983501,0.015592
9,9,0.090199,0.888980,0.921209,0.856751,0.902802,0.983052,0.015547
8,5,0.117947,0.848365,0.838629,0.858100,0.859393,0.985262,0.012947
7,3,0.152125,0.806044,0.821210,0.790879,0.817329,0.983091,0.014030
6,2,0.191301,0.751220,0.719447,0.782993,0.760425,0.984646,0.012063
5,5,0.237184,0.688050,0.581933,0.794167,0.696273,0.984077,0.011475
4,0,0.290108,0.623001,0.601758,0.644244,0.630725,0.980801,0.012365
3,1,0.346576,0.546082,0.512791,0.579374,0.550981,0.985169,0.008649
2,0,0.420788,0.449093,0.470578,0.427608,0.452307,0.983723,0.007339
1,0,0.580918,0.233252,0.191408,0.275096,0.234228,0.982726,0.004085
